Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Arron Afflalo,22.0,DET,Wing,755,78,-3.2,66,-1.5,84,-2.8%,84,+1.3%,73,-1.9,85,-2.1,42,+3.0
Blake Ahearn,23.4,MIA,Point,156,13,+4.5,86,-4.4,6,+5.4%,10,-2.1%,18,+3.1,18,+2.4,49,+0.1
LaMarcus Aldridge,22.3,POR,Big,2637,50,-0.1,21,+2.7,97,-5.6%,86,+1.3%,94,-5.8,96,-4.1,61,-3.5
Malik Allen,29.3,NJN,Big,719,33,+1.5,33,+1.5,54,-0.2%,98,+3.1%,53,-0.1,94,-3.7,1,+32.0
Malik Allen,29.3,DAL,Big,313,87,-4.8,96,-7.7,46,+0.6%,77,+0.9%,13,+3.8,21,+2.1,21,+9.1
Ray Allen,32.3,BOS,Wing,2609,8,+5.6,7,+5.3,76,-1.9%,26,-0.9%,47,+0.4,26,+1.7,78,-9.7
Tony Allen,25.8,BOS,Wing,1239,82,-3.7,85,-4.1,25,+2.2%,75,+0.8%,29,+2.0,35,+0.7,29,+6.6
Rafer Alston,31.3,HOU,Point,2520,58,-0.8,55,-0.5,64,-0.9%,14,-1.7%,66,-1.4,39,+0.5,85,-13.2
Derek Anderson,33.3,CHA,Wing,336,46,+0.1,70,-1.8,32,+1.6%,3,-3.0%,2,+7.9,3,+5.6,38,+4.1
Carmelo Anthony,23.4,DEN,Forward,2791,7,+6.1,13,+4.0,56,-0.3%,47,-0.1%,42,+0.7,59,-0.6,26,+7.5
Joel Anthony,25.2,MIA,Big,461,21,+3.0,77,-2.8,1,+8.2%,5,-2.6%,5,+6.4,1,+6.2,67,-5.4
Gilbert Arenas,25.8,WAS,Combo,423,77,-3.2,76,-2.7,65,-1.0%,27,-0.8%,26,+2.3,57,-0.5,7,+19.0
Trevor Ariza,22.3,LAL,Wing,385,53,-0.3,67,-1.6,10,+4.1%,16,-1.4%,32,+1.7,25,+1.8,59,-2.8
Darrell Armstrong,39.4,NJN,Combo,505,75,-2.7,75,-2.6,10,+4.4%,20,-1.2%,54,-0.3,46,+0.1,60,-2.9
Hilton Armstrong,22.9,NOH,Big,663,22,+2.9,34,+1.4,44,+0.7%,77,+0.9%,44,+0.6,72,-1.3,12,+14.7
Carlos Arroyo,28.3,ORL,Point,1216,16,+3.8,17,+3.3,31,+1.7%,51,-0.0%,12,+4.0,17,+2.4,29,+6.5
Chucky Atkins,33.2,DEN,Combo,293,57,-0.6,34,+1.4,96,-4.6%,70,+0.7%,89,-4.3,97,-4.7,27,+7.0
James Augustine,23.7,ORL,Big,106,30,+1.8,26,+2.1,100,-7.5%,59,+0.3%,31,+1.8,82,-1.8,2,+27.5
Kelenna Azubuike,23.9,GSW,Wing,1680,41,+0.6,48,+0.1,35,+1.4%,32,-0.6%,34,+1.6,31,+1.2,51,-0.3
Renaldo Balkman,23.3,NYK,Forward,895,74,-2.5,90,-5.4,24,+2.3%,68,+0.6%,8,+5.0,10,+3.2,36,+4.9
Marcus Banks,25.9,PHX,Combo,240,6,+6.6,20,+2.8,2,+7.6%,2,-3.3%,1,+9.2,0,+8.9,64,-4.4
Marcus Banks,25.9,MIA,Combo,239,47,+0.0,22,+2.6,84,-2.8%,64,+0.4%,76,-2.4,75,-1.5,65,-4.4
Leandro Barbosa,24.9,PHX,Combo,2347,6,+6.6,10,+4.6,16,+3.2%,44,-0.3%,20,+3.0,20,+2.2,43,+2.5
J.J. Barea,23.3,DAL,Point,414,89,-5.1,78,-2.9,95,-4.4%,76,+0.9%,48,+0.3,82,-1.8,8,+17.9
Andrea Bargnani,22.0,TOR,Big,1827,36,+1.1,33,+1.5,60,-0.6%,59,+0.3%,61,-0.8,50,-0.1,66,-4.9
Matt Barnes,27.6,GSW,Forward,1360,12,+4.8,18,+3.3,3,+6.4%,11,-1.9%,28,+2.0,3,+5.2,92,-19.3
Earl Barron,26.2,MIA,Big,852,52,-0.3,17,+3.3,77,-2.0%,86,+1.3%,59,-0.7,82,-1.8,18,+9.6
Brent Barry,35.8,SAS,Wing,520,8,+5.6,2,+7.0,88,-3.4%,10,-2.0%,35,+1.5,18,+2.4,72,-7.4
Brandon Bass,22.5,DAL,Big,1508,22,+2.9,52,-0.3,19,+2.8%,10,-1.9%,12,+3.9,14,+2.7,35,+5.0
Shane Battier,29.1,HOU,Forward,2901,39,+0.9,67,-1.6,30,+1.8%,18,-1.4%,36,+1.5,17,+2.4,76,-8.8
Marco Belinelli,21.6,GSW,Wing,173,12,+4.6,2,+7.0,3,+6.9%,9,-2.1%,7,+5.3,5,+4.2,41,+3.2
Charlie Bell,28.6,MIL,Combo,1522,42,+0.5,81,-3.2,4,+6.1%,7,-2.3%,9,+4.5,3,+4.8,69,-6.1
Raja Bell,31.1,PHX,Wing,2633,76,-2.8,80,-3.1,40,+1.0%,25,-0.9%,72,-1.9,79,-1.6,50,-0.2
Mike Bibby,29.5,SAC,Point,469,12,+4.7,11,+4.3,91,-3.8%,42,-0.3%,60,-0.8,72,-1.3,37,+4.3
Mike Bibby,29.5,ATL,Point,1098,73,-2.4,68,-1.6,81,-2.5%,83,+1.2%,35,+1.5,44,+0.2,23,+8.3
Andris Biedrins,21.6,GSW,Big,2072,76,-2.8,63,-1.3,74,-1.7%,83,+1.2%,85,-3.4,48,+0.0,90,-16.7
Chauncey Billups,31.1,DET,Point,2519,51,-0.3,40,+0.9,83,-2.7%,87,+1.4%,67,-1.4,78,-1.6,48,+1.1
Steve Blake,27.7,POR,Point,2415,61,-1.1,49,+0.1,90,-3.7%,49,-0.1%,63,-1.0,72,-1.3,41,+3.1
Andray Blatche,21.2,WAS,Big,1579,17,+3.5,11,+4.4,18,+3.0%,77,+0.9%,29,+2.0,37,+0.6,23,+8.2
Mark Blount,31.9,MIA,Big,1503,64,-1.4,54,-0.4,85,-2.9%,26,-0.8%,41,+0.8,49,+0.0,35,+5.0
Keith Bogans,27.5,ORL,Wing,2167,71,-2.1,86,-4.3,64,-0.9%,14,-1.6%,43,+0.6,41,+0.4,47,+1.1
Andrew Bogut,22.9,MIL,Big,2697,23,+2.8,9,+4.8,83,-2.7%,78,+0.9%,45,+0.6,68,-1.0,18,+10.0
Matt Bonner,27.6,SAS,Big,748,73,-2.5,57,-0.7,26,+2.2%,50,-0.0%,93,-5.5,58,-0.6,99,-34.5
Josh Boone,22.9,NJN,Big,1737,18,+3.3,25,+2.2,51,+0.1%,31,-0.7%,48,+0.3,26,+1.7,79,-10.4
Calvin Booth,31.5,PHI,Big,200,92,-5.7,88,-4.7,80,-2.4%,21,-1.2%,37,+1.4,41,+0.4,31,+6.2
Carlos Boozer,25.9,UTA,Big,2820,12,+4.7,10,+4.4,41,+1.0%,70,+0.7%,53,-0.2,69,-1.1,24,+8.0
Chris Bosh,23.6,TOR,Big,2416,81,-3.6,84,-3.7,46,+0.5%,98,+2.9%,73,-2.0,49,-0.0,85,-13.0
Bruce Bowen,36.4,SAS,Wing,2434,55,-0.5,74,-2.4,48,+0.3%,28,-0.8%,11,+4.0,33,+1.0,6,+20.8
Ryan Bowen,31.9,NOH,Forward,600,68,-1.8,55,-0.6,27,+2.0%,83,+1.1%,65,-1.4,35,+0.7,87,-14.7
Earl Boykins,31.4,CHA,Point,535,38,+1.0,21,+2.6,67,-1.3%,73,+0.8%,6,+5.8,28,+1.5,4,+23.5
Elton Brand,28.6,LAC,Big,270,3,+8.1,14,+3.8,39,+1.1%,1,-3.8%,23,+2.6,7,+3.7,74,-8.2
Corey Brewer,21.7,MIN,Wing,1757,61,-1.0,50,+0.0,37,+1.2%,15,-1.5%,26,+2.3,8,+3.5,80,-10.8
Ronnie Brewer,22.6,UTA,Wing,2078,28,+2.1,41,+0.8,48,+0.3%,22,-1.1%,21,+2.8,32,+1.1,22,+8.5
Primoz Brezec,28.1,CHA,Big,264,25,+2.5,9,+4.6,91,-3.9%,91,+1.8%,99,-9.3,99,-5.6,90,-17.1
Aaron Brooks,22.8,HOU,Point,520,40,+0.7,25,+2.1,49,+0.2%,95,+2.4%,46,+0.4,55,-0.4,32,+5.9
Andre Brown,26.5,MEM,Big,227,1,+11.5,0,+10.0,4,+6.0%,2,-3.5%,4,+6.8,2,+5.6,41,+3.0
Devin Brown,28.8,CLE,Wing,1728,38,+0.9,70,-1.8,22,+2.4%,49,-0.1%,30,+1.8,43,+0.2,18,+9.7
Kwame Brown,25.6,LAL,Big,488,74,-2.5,85,-4.1,31,+1.8%,10,-2.1%,4,+7.1,20,+2.2,4,+23.4
Kwame Brown,25.6,MEM,Big,150,77,-3.0,94,-6.5,7,+5.1%,4,-2.8%,0,+14.0,0,+11.0,47,+1.1
P.J. Brown,38.0,BOS,Big,167,34,+1.4,7,+5.3,2,+7.8%,6,-2.5%,81,-2.9,6,+4.0,99,-35.7
Shannon Brown,21.9,CLE,Wing,189,20,+3.1,24,+2.3,11,+4.0%,12,-1.8%,97,-7.0,60,-0.7,100,-40.4
Kobe Bryant,29.2,LAL,Wing,3187,54,-0.5,46,+0.3,70,-1.5%,58,+0.2%,18,+3.2,13,+2.7,49,+0.3
Greg Buckner,31.1,MIN,Combo,511,3,+7.8,9,+4.6,33,+1.6%,41,-0.4%,16,+3.4,42,+0.3,9,+17.6
Caron Butler,27.6,WAS,Wing,2306,56,-0.5,25,+2.2,81,-2.4%,81,+1.1%,78,-2.6,84,-2.0,54,-1.3
Rasual Butler,28.4,NOH,Wing,821,92,-5.6,89,-5.1,57,-0.3%,36,-0.5%,60,-0.8,62,-0.7,52,-0.4
Andrew Bynum,20.0,LAL,Big,981,79,-3.2,48,+0.1,82,-2.6%,48,-0.1%,93,-5.5,89,-2.6,86,-14.2
Jose Calderon,26.1,TOR,Point,2434,11,+4.8,6,+5.6,60,-0.6%,85,+1.3%,58,-0.6,86,-2.2,16,+11.7
