Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Al Horford,32.4,BOS,Big,309,78,19.7%,30,105.9,93,21.1%,90,1.07,38,13.8%
Danuel House,25.4,HOU,Forward,134,0,12.8%,9,84.2,0,1.2%,0,0.09,64,10.7%
Serge Ibaka,29.1,TOR,Big,490,75,19.2%,25,104.9,35,7.2%,18,0.38,43,11.8%
Andre Iguodala,34.8,GSW,Wing,629,42,14.7%,52,110.9,88,18.3%,97,1.25,61,10.0%
Ersan Ilyasova,31.5,MIL,Big,249,40,15.1%,57,118.1,55,10.8%,68,0.71,88,7.0%
Joe Ingles,31.1,UTA,Wing,150,48,15.2%,0,80.6,100,25.3%,100,1.67,24,15.4%
Kyrie Irving,26.6,BOS,Point,329,93,32.6%,14,96.9,79,34.1%,57,1.04,71,11.4%
Jonathan Isaac,21.1,ORL,Big,136,35,14.7%,0,76.7,0,2.6%,0,0.18,53,11.0%
Reggie Jackson,28.5,DET,Point,107,86,32.0%,50,102.9,93,41.8%,86,1.31,93,6.0%
Jonas Jerebko,31.7,GSW,Big,105,65,18.4%,3,78.6,68,13.4%,70,0.73,98,4.7%
Nikola Jokic,23.7,DEN,Big,556,98,28.1%,60,118.1,100,36.5%,95,1.30,55,10.2%
Enes Kanter,26.5,POR,Big,460,53,16.6%,43,109.6,20,6.4%,20,0.38,35,14.4%
Luke Kennard,22.4,DET,Wing,121,30,13.8%,64,114.0,58,9.3%,70,0.68,100,2.5%
Caris LeVert,24.2,BKN,Wing,144,94,28.8%,88,122.1,94,20.3%,76,0.70,58,10.1%
Kawhi Leonard,27.3,TOR,Forward,939,91,31.9%,91,125.3,64,18.8%,55,0.59,55,11.2%
Meyers Leonard,26.7,POR,Big,166,50,16.5%,70,122.4,57,11.2%,65,0.68,95,5.0%
Damian Lillard,28.3,POR,Point,650,79,31.6%,64,113.2,71,26.9%,21,0.85,43,12.6%
Shaun Livingston,33.1,GSW,Combo,321,6,13.5%,28,104.7,22,14.8%,72,1.10,67,8.4%
Kevon Looney,22.7,GSW,Big,429,10,10.6%,98,139.3,23,6.4%,60,0.61,40,12.5%
Brook Lopez,30.6,MIL,Big,437,28,14.4%,55,115.1,30,6.7%,28,0.47,90,6.9%
Kyle Lowry,32.6,TOR,Point,898,21,21.0%,71,114.3,64,26.9%,79,1.28,50,12.5%
Wesley Matthews,32.0,IND,Wing,118,52,15.2%,12,90.3,64,10.5%,73,0.69,0,20.5%
CJ McCollum,27.1,POR,Combo,635,78,28.0%,33,105.3,28,16.0%,22,0.57,83,7.1%
Alfonzo McKinnie,26.1,GSW,Wing,219,12,11.2%,30,101.6,3,2.4%,3,0.22,70,8.6%
Khris Middleton,27.2,MIL,Wing,515,88,21.6%,73,115.5,91,19.2%,88,0.89,52,11.2%
Patty Mills,30.2,SAS,Combo,149,39,18.3%,0,80.4,78,23.6%,83,1.29,94,5.0%
Paul Millsap,33.7,DEN,Big,468,63,17.8%,50,111.4,5,3.5%,3,0.20,63,9.7%
Nikola Mirotic,27.7,MIL,Big,280,60,17.4%,33,106.7,15,4.9%,5,0.28,73,8.5%
Donovan Mitchell,22.1,UTA,Combo,193,83,32.0%,11,84.9,17,14.3%,6,0.45,22,14.4%
Marcus Morris,29.2,BOS,Big,254,45,15.6%,88,133.7,28,6.7%,25,0.43,78,7.9%
Monte Morris,23.3,DEN,Point,212,29,21.1%,0,79.3,43,25.4%,64,1.20,100,5.8%
Jamal Murray,21.7,DEN,Combo,504,72,27.3%,39,106.5,72,21.2%,33,0.78,78,7.2%
Royce O'Neale,25.4,UTA,Wing,134,55,15.3%,55,111.1,70,11.8%,82,0.77,9,16.3%
Chris Paul,33.5,HOU,Point,396,57,25.8%,57,111.3,50,25.5%,43,0.99,7,16.0%
Mason Plumlee,28.7,DEN,Big,208,38,14.9%,38,108.5,73,14.4%,80,0.97,57,10.0%
Jakob Poeltl,23.0,SAS,Big,176,5,10.3%,80,130.8,53,9.2%,78,0.89,83,7.6%
Norman Powell,25.4,TOR,Wing,341,70,16.2%,42,107.7,67,11.0%,67,0.67,67,9.1%
JJ Redick,34.4,PHI,Wing,375,58,15.6%,97,124.8,36,7.5%,36,0.48,12,16.2%
Austin Rivers,26.3,HOU,Combo,208,11,13.5%,83,116.9,6,7.4%,17,0.54,33,12.4%
Terrence Ross,27.7,ORL,Wing,143,82,20.5%,33,101.7,52,9.2%,30,0.45,27,15.2%
Terry Rozier,24.6,BOS,Combo,149,56,20.7%,17,90.7,50,19.8%,50,0.95,11,14.8%
Ricky Rubio,28.0,UTA,Point,167,64,26.7%,43,102.7,86,41.3%,100,1.55,21,14.4%
D'Angelo Russell,22.7,BKN,Combo,147,89,34.4%,22,91.5,83,24.3%,28,0.71,50,11.2%
Dennis Schroder,25.1,OKC,Combo,150,61,20.8%,50,109.5,61,20.2%,56,0.97,72,8.1%
Mike Scott,30.3,PHI,Big,192,3,10.0%,65,119.1,8,3.6%,15,0.37,33,15.1%
Landry Shamet,21.6,LAC,Wing,171,15,11.4%,61,112.2,39,7.5%,64,0.66,30,14.9%
Iman Shumpert,28.4,HOU,Wing,102,9,10.3%,58,111.5,0,1.4%,0,0.13,48,12.0%
Pascal Siakam,24.6,TOR,Big,888,83,22.1%,35,107.9,63,12.3%,50,0.55,80,7.7%
Ben Simmons,22.3,PHI,Combo,420,44,18.4%,94,125.6,89,27.0%,100,1.46,0,17.7%
Jayson Tatum,20.7,BOS,Forward,292,36,21.0%,55,107.0,27,9.9%,18,0.47,18,13.0%
Klay Thompson,28.7,GSW,Wing,817,79,19.9%,70,115.1,48,8.1%,18,0.41,55,10.2%
PJ Tucker,33.5,HOU,Big,425,8,10.3%,75,126.3,25,6.6%,63,0.64,75,8.1%
Evan Turner,30.0,POR,Combo,245,22,14.6%,6,81.1,67,20.3%,94,1.40,6,16.6%
Myles Turner,22.6,IND,Big,125,33,14.6%,13,95.1,40,7.6%,43,0.52,85,7.4%
Fred VanVleet,24.7,TOR,Combo,578,33,15.8%,61,111.2,33,16.6%,61,1.05,61,10.1%
Nikola Vucevic,28.0,ORL,Big,147,88,24.1%,5,86.2,90,19.7%,73,0.82,25,16.9%
Russell Westbrook,30.0,OKC,Point,197,100,35.9%,7,93.4,100,43.8%,71,1.22,29,13.5%
Derrick White,24.3,SAS,Point,190,43,24.9%,86,124.7,7,17.8%,7,0.72,14,14.7%
Lou Williams,32.0,LAC,Combo,175,94,36.3%,44,106.6,100,43.8%,78,1.21,39,11.5%
Thaddeus Young,30.4,IND,Big,130,68,18.6%,10,93.3,88,19.2%,85,1.03,60,9.8%
