Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Devin Carter,22.6,SAC,Combo,344,0,53.3%,68,10.1%,79,1.7%,0,0.0%
Jevon Carter,29.1,CHI,Combo,223,0,75.0%,13,3.1%,3,0.4%,97,66.7%
Wendell Carter,25.5,ORL,Big,1749,53,74.7%,71,14.3%,87,2.2%,39,20.5%
Alex Caruso,30.7,OKC,Forward,1029,71,82.0%,42,8.3%,44,0.7%,84,29.6%
Stephon Castle,20.0,SAS,Combo,2136,15,72.4%,100,15.7%,62,1.4%,46,22.0%
Colin Castleton,24.4,TOR,Big,279,0,75.0%,47,11.4%,24,0.9%,61,25.0%
Julian Champagnie,23.3,SAS,Wing,1916,98,90.3%,29,5.6%,6,0.3%,57,23.7%
Justin Champagnie,23.3,WAS,Big,1261,26,67.8%,17,6.9%,5,0.5%,82,29.6%
Max Christie,21.7,DAL,Wing,940,77,85.0%,58,7.7%,71,1.1%,15,12.5%
Max Christie,21.7,LAL,Wing,1110,76,84.9%,98,15.0%,17,0.5%,74,27.3%
Jaylen Clark,23.1,MIN,Wing,491,43,78.1%,80,11.3%,24,0.6%,0,0.0%
Brandon Clarke,28.1,MEM,Big,1184,42,71.4%,58,12.8%,19,0.7%,96,45.1%
Jordan Clarkson,32.4,UTA,Combo,961,42,79.6%,76,10.9%,93,2.1%,56,24.1%
Nicolas Claxton,25.5,BKN,Big,1889,2,51.3%,42,10.8%,92,2.5%,59,23.9%
Donovan Clingan,20.7,POR,Big,1294,7,58.0%,78,15.3%,47,1.3%,81,29.1%
Noah Clowney,20.3,BKN,Big,1019,92,84.2%,25,9.0%,53,1.4%,27,17.1%
Amir Coffey,27.4,LAC,Forward,1643,96,88.2%,70,11.0%,39,0.7%,34,18.2%
Isaiah Collier,20.1,UTA,Point,1794,3,67.3%,73,11.3%,48,1.3%,60,24.2%
John Collins,27.1,UTA,Big,1218,93,84.6%,67,13.9%,89,2.4%,75,28.0%
Zach Collins,27.0,CHI,Big,536,97,87.8%,35,10.3%,78,1.9%,21,15.8%
Zach Collins,27.0,SAS,Big,398,98,88.6%,44,11.1%,70,1.8%,86,33.3%
Mike Conley,37.1,MIN,Point,1755,93,89.9%,19,5.9%,38,1.2%,8,6.9%
Pat Connaughton,31.8,MIL,Wing,570,20,73.1%,30,5.7%,53,0.9%,41,20.0%
Bilal Coulibaly,20.3,WAS,Wing,1944,27,74.6%,96,14.0%,50,0.9%,71,26.8%
Ricky Council,23.2,PHI,Combo,1154,39,78.8%,95,15.1%,49,1.3%,48,22.9%
Torrey Craig,33.9,BOS,Wing,180,0,62.5%,63,8.5%,0,0.0%,0,0.0%
Torrey Craig,33.9,CHI,Forward,106,0,50.0%,6,2.2%,0,0.0%,0,0.0%
Cade Cunningham,23.1,DET,Combo,2451,65,84.6%,71,10.5%,84,1.9%,54,23.6%
Seth Curry,34.2,CHA,Wing,1056,73,84.6%,20,4.6%,76,1.2%,92,37.5%
Stephen Curry,36.6,GSW,Point,2250,100,93.2%,46,7.9%,83,2.5%,79,29.5%
Dyson Daniels,21.6,ATL,Combo,2568,2,59.3%,41,7.1%,26,0.8%,32,18.8%
Anthony Davis,31.6,DAL,Big,265,31,68.8%,72,14.5%,81,2.0%,22,16.0%
Anthony Davis,31.6,LAL,Big,1439,70,78.8%,83,16.3%,94,2.8%,70,27.1%
Johnny Davis,22.7,WAS,Wing,129,0,33.3%,9,2.8%,55,1.0%,0,0.0%
DeMar DeRozan,35.2,SAC,Wing,2761,81,85.7%,99,15.2%,75,1.2%,58,24.7%
Donte DiVincenzo,27.8,MIN,Combo,1584,34,77.0%,20,3.5%,52,1.3%,20,14.3%
Moussa Diabate,22.8,CHA,Big,1159,6,56.3%,77,15.1%,73,1.8%,52,22.7%
Gradey Dick,21.0,TOR,Wing,1573,80,85.6%,69,9.0%,78,1.3%,11,8.1%
Ousmane Dieng,21.5,OKC,Big,312,0,60.0%,11,6.2%,1,0.3%,86,33.3%
Rob Dillingham,19.8,MIN,Point,442,0,61.5%,10,3.9%,62,1.7%,94,42.9%
Spencer Dinwiddie,31.6,DAL,Combo,2097,44,80.0%,98,15.6%,44,1.2%,67,26.1%
Luka Doncic,25.7,DAL,Point,780,18,76.3%,85,13.0%,87,2.7%,87,31.8%
Luka Doncic,25.7,LAL,Point,983,25,79.0%,98,17.9%,69,1.9%,44,20.5%
Luguentz Dort,25.5,OKC,Wing,2071,17,71.7%,17,4.1%,23,0.6%,83,32.0%
Ayo Dosunmu,24.8,CHI,Wing,1391,45,78.5%,50,7.2%,43,0.8%,81,29.4%
Jeff Dowtin,27.5,PHI,Wing,564,24,73.5%,60,7.9%,60,1.0%,89,35.3%
Andre Drummond,31.2,PHI,Big,741,14,62.5%,75,14.8%,65,1.7%,58,23.7%
Kris Dunn,30.6,LAC,Combo,1779,0,68.2%,3,1.8%,11,0.5%,61,25.0%
Ryan Dunn,21.8,PHX,Forward,1384,1,48.7%,11,4.0%,3,0.2%,11,10.5%
Kevin Durant,36.1,PHX,Big,2262,91,83.9%,56,12.4%,98,3.3%,60,24.7%
Jalen Duren,21.0,DET,Big,2033,22,67.2%,92,18.7%,64,1.6%,57,23.5%
Tari Eason,23.5,HOU,Forward,1405,39,76.0%,40,8.1%,45,0.8%,59,23.4%
Zach Edey,22.6,MEM,Big,1380,40,70.9%,60,13.2%,59,1.5%,93,37.7%
Anthony Edwards,23.2,MIN,Combo,2870,61,83.5%,87,13.1%,76,1.6%,61,25.0%
Justin Edwards,20.9,PHI,Forward,1117,30,72.7%,19,5.0%,25,0.5%,6,5.3%
Kessler Edwards,24.2,DAL,Big,549,0,92.3%,6,4.0%,18,0.7%,34,20.0%
Keon Ellis,24.8,SAC,Combo,1928,66,84.9%,46,7.7%,37,1.0%,57,24.3%
