Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Quincy Acy,24.1,NYK,Big,1179,56,+0.5,-0,22,-4.7,31,-1.4%,8,+2.1%,62,+0.7%,22,-2.3,90,-5.2,85,-2.1%,80,+1.2%,68,-0.9%,55,-0.1
Jordan Adams,20.3,MEM,Wing,185,81,+5.3,+12,82,+3.7,56,+0.1%,9,+2.0%,98,+7.6%,36,-1.0,68,-1.7,85,-2.1%,27,-0.9%,51,+0.1%,5,+6.6
Steven Adams,21.3,OKC,Big,1767,38,-2.8,-7,32,-3.2,35,-1.2%,17,+1.5%,74,+1.8%,40,-0.8,56,-0.4,25,+1.4%,64,+0.6%,52,+0.0%,96,-5.8
Jeff Adrien,28.7,MIN,Big,189,87,+6.8,+11,76,+2.8,37,-1.1%,76,-0.9%,94,+5.2%,53,+0.1,82,-4.0,96,-4.1%,4,-2.6%,78,-1.7%,80,-2.4
Arron Afflalo,29.0,DEN,Wing,1746,63,+1.4,+4,72,+2.1,78,+1.2%,15,+1.6%,96,+6.1%,10,-4.2,46,+0.7,37,+0.7%,3,-2.9%,89,-2.7%,97,-6.1
Arron Afflalo,29.0,POR,Wing,747,71,+3.5,+9,89,+5.3,90,+2.6%,74,-0.8%,54,+0.1%,76,+2.2,36,+1.8,69,-1.1%,4,-2.6%,47,+0.3%,94,-4.5
Alexis Ajinca,26.5,NOP,Big,873,38,-2.8,-8,38,-2.0,61,+0.3%,11,+1.9%,66,+1.2%,16,-3.2,44,+0.8,76,-1.5%,32,-0.6%,16,+2.4%,12,+4.3
Furkan Aldemir,23.2,PHI,Big,488,31,-4.1,-6,86,+4.6,68,+0.7%,28,+0.9%,99,+8.5%,17,-3.1,4,+8.7,7,+3.5%,11,-1.8%,81,-1.9%,2,+7.9
Cole Aldrich,26.0,NYK,Big,915,19,-7.7,-12,9,-8.1,16,-2.8%,7,+2.1%,27,-1.9%,31,-1.6,57,-0.4,73,-1.2%,41,-0.3%,38,+0.8%,47,+0.4
LaMarcus Aldridge,29.3,POR,Big,2508,83,+5.7,+14,95,+8.0,64,+0.5%,92,-2.0%,90,+4.2%,91,+4.5,31,+2.3,32,+0.9%,50,+0.0%,36,+0.9%,53,-0.1
Lavoy Allen,25.7,IND,Big,1025,74,+4.2,+11,80,+3.4,42,-0.8%,86,-1.6%,93,+5.0%,39,-0.9,61,-0.8,35,+0.8%,83,+1.3%,91,-3.0%,39,+1.2
