Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Quincy Acy,25.1,SAC,Big,843,36,+0.8%,70,-1.6%,73,-2.6%,51,-0.1%,65,-1.3%,11,+6.8%,41,+0.8%,17,+2.5%
Steven Adams,22.3,OKC,Big,1999,93,-3.1%,83,-3.1%,87,-4.6%,58,-0.7%,80,-2.7%,68,-2.5%,66,-1.2%,71,-1.5%
Arron Afflalo,30.0,NYK,Wing,2354,26,+1.4%,56,-0.3%,10,+5.2%,2,+7.5%,3,+6.4%,86,-5.5%,76,-2.3%,87,-3.2%
Alexis Ajinca,27.5,NOP,Big,815,92,-2.9%,95,-5.6%,95,-6.3%,30,+1.7%,73,-1.8%,23,+3.8%,64,-1.1%,50,+0.1%
Cole Aldrich,27.0,LAC,Big,704,29,+1.1%,67,-1.2%,17,+3.8%,16,+3.5%,9,+3.6%,29,+2.9%,89,-4.1%,80,-2.3%
LaMarcus Aldridge,30.3,SAS,Big,2251,50,+0.0%,65,-1.1%,36,+1.2%,56,-0.5%,47,+0.3%,5,+10.1%,61,-0.9%,22,+2.1%
Lavoy Allen,26.7,IND,Big,1558,84,-2.1%,93,-5.0%,26,+2.5%,63,-1.3%,45,+0.4%,67,-2.3%,43,+0.5%,57,-0.4%
Tony Allen,33.8,MEM,Wing,1606,60,-0.4%,51,+0.3%,7,+6.2%,83,-3.4%,34,+1.1%,61,-1.6%,70,-1.6%,73,-1.6%
Al-Farouq Aminu,25.1,POR,Forward,2337,27,+1.4%,32,+1.6%,5,+7.2%,24,+2.1%,6,+4.3%,40,+1.6%,88,-4.1%,84,-2.7%
Lou Amundson,32.9,NYK,Big,171,95,-3.8%,89,-4.0%,3,+7.8%,97,-7.3%,52,-0.1%,42,+1.3%,98,-8.2%,96,-5.6%
Chris Andersen,37.3,MEM,Big,361,15,+2.3%,7,+5.4%,68,-2.2%,57,-0.6%,69,-1.6%,92,-7.8%,4,+6.2%,17,+2.5%
Alan Anderson,33.0,WAS,Wing,190,97,-4.4%,82,-3.1%,57,-0.9%,99,-13.7%,99,-7.8%,7,+8.3%,67,-1.3%,42,+0.6%
James Anderson,26.6,SAC,Wing,690,77,-1.5%,88,-3.7%,66,-1.8%,57,-0.5%,65,-1.2%,58,-1.2%,38,+1.0%,46,+0.3%
Justin Anderson,21.9,DAL,Wing,556,80,-1.8%,87,-3.6%,56,-0.8%,36,+1.1%,48,+0.2%,73,-3.3%,72,-1.8%,80,-2.2%
Kyle Anderson,22.1,SAS,Forward,1048,23,+1.5%,25,+2.2%,25,+2.8%,37,+1.0%,24,+1.9%,54,-0.4%,46,+0.3%,49,+0.1%
Ryan Anderson,27.5,NOP,Big,1965,61,-0.5%,55,-0.2%,22,+3.0%,92,-5.1%,68,-1.4%,90,-7.0%,61,-0.8%,78,-2.1%
Giannis Antetokounmpo,20.9,MIL,Forward,2813,15,+2.4%,22,+2.5%,58,-1.0%,7,+5.3%,20,+2.4%,91,-7.2%,4,+5.9%,24,+2.0%
Carmelo Anthony,31.4,NYK,Wing,2524,34,+0.9%,55,-0.1%,29,+2.1%,70,-2.1%,51,-0.1%,40,+1.6%,17,+3.3%,18,+2.4%
Trevor Ariza,30.3,HOU,Forward,2853,12,+2.8%,14,+3.6%,39,+0.8%,44,+0.5%,42,+0.7%,61,-1.7%,8,+4.9%,14,+3.0%
Darrell Arthur,27.6,DEN,Big,1496,87,-2.4%,85,-3.4%,90,-4.9%,47,+0.3%,74,-2.0%,46,+0.7%,67,-1.3%,62,-0.7%
Omer Asik,29.3,NOP,Big,1175,43,+0.4%,53,+0.1%,41,+0.7%,35,+1.2%,36,+1.0%,15,+5.8%,39,+0.9%,23,+2.1%
D.J. Augustin,28.0,OKC,Point,471,32,+1.0%,53,+0.1%,20,+3.3%,47,+0.3%,23,+1.9%,58,-1.2%,56,-0.6%,63,-0.8%
D.J. Augustin,28.0,DEN,Point,631,84,-2.1%,38,+1.1%,63,-1.6%,37,+1.0%,50,-0.0%,50,+0.3%,99,-9.1%,98,-6.2%
Luke Babbitt,26.4,NOP,Forward,798,43,+0.4%,23,+2.5%,89,-4.7%,45,+0.5%,72,-1.8%,69,-2.8%,27,+2.2%,36,+1.1%
Leandro Barbosa,32.9,GSW,Wing,955,9,+3.2%,18,+2.9%,45,+0.3%,21,+2.7%,28,+1.5%,25,+3.5%,11,+4.3%,9,+4.2%
J.J. Barea,31.3,DAL,Point,1601,17,+2.1%,47,+0.7%,59,-1.2%,48,+0.1%,56,-0.5%,14,+5.8%,13,+4.1%,7,+4.6%
Andrea Bargnani,30.0,BKN,Big,612,8,+3.3%,12,+4.0%,34,+1.5%,2,+7.7%,5,+4.7%,8,+7.9%,71,-1.7%,44,+0.4%
Harrison Barnes,23.4,GSW,Forward,2008,20,+1.7%,11,+4.2%,49,-0.1%,8,+5.3%,18,+2.6%,21,+4.3%,66,-1.2%,54,-0.1%
Matt Barnes,35.6,MEM,Forward,2145,54,-0.1%,67,-1.2%,66,-1.9%,40,+0.7%,56,-0.5%,33,+2.4%,60,-0.8%,51,+0.0%
Will Barton,24.8,DEN,Wing,2284,72,-1.2%,34,+1.4%,66,-1.9%,10,+4.5%,24,+1.9%,81,-4.6%,98,-8.2%,99,-7.1%
Brandon Bass,30.5,LAL,Big,1287,71,-1.1%,48,+0.6%,48,-0.0%,80,-3.0%,69,-1.6%,83,-5.1%,77,-2.5%,87,-3.2%
