Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Arron Afflalo,26.0,DEN,Wing,2077,87,53.2%,87,50.3%,81,39.7%,59,79.8%,27,76%,16,71%,28,67%,39,97%
Solomon Alabi,23.6,TOR,Big,105,1,32.1%,1,32.1%,0,0.0%,0,87.5%,98,44%,98,38%,1,100%,0,0%
LaMarcus Aldridge,26.3,POR,Big,1987,66,51.6%,67,51.7%,0,25.0%,93,81.4%,89,54%,79,54%,85,53%,98,50%
Lavoy Allen,22.7,PHI,Big,569,35,47.4%,35,47.4%,0,0.0%,0,83.3%,7,84%,4,88%,31,82%,0,0%
Ray Allen,36.3,BOS,Wing,1558,97,56.4%,59,46.3%,98,45.1%,99,91.5%,22,78%,42,60%,27,68%,55,93%
Tony Allen,29.8,MEM,Wing,1523,52,47.8%,72,47.9%,25,30.8%,60,80.0%,59,63%,41,60%,29,67%,3,100%
Al-Farouq Aminu,21.1,NOP,Forward,1436,19,42.3%,29,42.8%,18,26.1%,51,76.4%,67,62%,71,52%,29,71%,8,100%
Lou Amundson,28.9,IND,Big,650,12,41.9%,13,41.9%,0,0.0%,9,48.2%,77,60%,75,55%,41,76%,0,0%
Chris Andersen,33.3,DEN,Big,481,82,54.2%,83,54.2%,0,0.0%,21,60.0%,64,64%,34,67%,93,44%,0,0%
Alan Anderson,29.0,TOR,Wing,450,45,47.2%,9,38.3%,80,39.3%,89,87.5%,58,64%,79,43%,59,47%,72,88%
James Anderson,22.6,SAS,Wing,512,21,44.9%,34,44.0%,27,30.9%,42,77.5%,16,79%,12,74%,53,50%,3,100%
Ryan Anderson,23.5,ORL,Big,1956,83,54.9%,53,49.7%,87,39.3%,98,87.6%,30,73%,92,44%,57,67%,88,99%
Carmelo Anthony,27.4,NYK,Forward,1871,44,46.5%,42,45.4%,51,33.8%,74,80.4%,96,38%,94,40%,96,24%,96,68%
Joel Anthony,29.2,MIA,Big,1342,87,55.9%,88,55.9%,0,0.0%,53,69.0%,42,69%,43,65%,24,85%,0,0%
Gilbert Arenas,29.8,MEM,Point,210,83,51.6%,95,52.0%,42,33.3%,0,70.0%,8,62%,92,0%,19,40%,20,92%
Trevor Ariza,26.3,NOP,Wing,1346,27,45.5%,36,44.1%,43,33.7%,41,77.5%,61,63%,59,51%,33,65%,39,97%
Omer Asik,25.3,CHI,Big,874,37,48.1%,40,48.1%,0,0.0%,8,47.7%,45,69%,34,67%,1,100%,0,0%
D.J. Augustin,24.0,CHA,Point,1404,31,43.4%,19,39.5%,46,33.5%,93,87.5%,53,36%,66,20%,39,27%,73,63%
Gustavo Ayon,26.6,NOP,Big,1042,79,53.6%,80,53.6%,0,0.0%,32,63.8%,12,80%,9,78%,23,85%,0,0%
Luke Babbitt,22.4,POR,Forward,468,85,54.4%,10,37.9%,95,43.3%,0,78.6%,46,69%,100,20%,100,17%,52,97%
Leandro Barbosa,28.9,IND,Wing,413,37,46.6%,13,39.3%,93,42.6%,33,75.8%,70,59%,83,42%,53,50%,64,91%
Leandro Barbosa,28.9,TOR,Combo,925,62,48.1%,53,45.8%,69,37.9%,63,83.5%,11,62%,16,57%,11,53%,27,87%
