Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Shareef Abdur-Rahim,29.9,SAC,Big,1996,25,1.1%,67,1.2%,64,4.8%,22,6.7%,27,14.4%,22,0.7%,36,24.6%
Hassan Adams,22.4,BKN,Wing,448,54,0.5%,34,1.3%,17,4.7%,98,9.0%,41,9.1%,0,0.0%,46,6.3%
Maurice Ager,22.7,DAL,Wing,158,92,1.1%,2,0.6%,4,5.8%,0,0.7%,42,9.2%,0,0.0%,0,0.0%
LaMarcus Aldridge,21.3,POR,Big,1342,81,3.0%,25,0.7%,36,5.9%,81,11.2%,18,13.4%,64,4.3%,27,23.2%
Malik Allen,28.3,CHI,Big,572,37,1.4%,44,1.0%,32,6.1%,27,7.0%,7,11.3%,0,0.0%,10,15.6%
Ray Allen,31.3,OKC,Wing,2214,22,0.3%,73,1.7%,93,2.0%,45,2.7%,54,10.0%,67,1.9%,12,0.6%
Tony Allen,24.8,BOS,Wing,772,81,0.9%,100,2.7%,32,4.1%,81,4.7%,77,12.5%,93,4.1%,29,3.7%
Rafer Alston,30.3,HOU,Point,3027,55,0.2%,77,2.0%,68,2.8%,11,1.0%,58,8.5%,77,1.2%,89,6.7%
Alan Anderson,24.0,CHA,Wing,242,0,0.0%,43,1.3%,8,5.5%,79,4.7%,55,10.1%,0,0.0%,0,0.0%
Derek Anderson,32.3,CHA,Wing,1172,29,0.3%,85,2.0%,29,4.3%,39,2.6%,21,7.9%,53,1.3%,19,2.3%
Carmelo Anthony,22.4,DEN,Wing,2479,53,0.5%,42,1.3%,83,2.6%,94,6.6%,61,10.4%,0,0.0%,31,3.9%
Rafael Araujo,26.2,UTA,Big,193,12,0.6%,78,1.4%,27,6.4%,74,10.6%,64,17.9%,0,0.0%,98,50.0%
