Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Enes Kanter,23.4,OKC,Big,296,53,2.0%,42,0.7%,26,5.3%,95,14.6%,68,19.6%,82,6.3%,13,10.5%
Kyle Korver,34.6,ATL,Wing,315,55,0.5%,34,1.2%,66,3.0%,7,0.6%,86,13.5%,100,10.0%,0,0.0%
Courtney Lee,30.1,CHA,Wing,256,62,0.7%,24,1.1%,52,3.3%,62,1.9%,3,6.3%,0,0.0%,55,7.7%
Kawhi Leonard,24.3,SAS,Wing,337,100,2.2%,97,3.6%,86,2.3%,93,4.4%,90,14.2%,0,0.0%,69,18.2%
Damian Lillard,25.3,POR,Point,436,56,0.4%,63,1.3%,88,2.2%,69,2.5%,63,8.3%,0,0.0%,0,0.0%
Jeremy Lin,27.2,CHA,Combo,188,0,0.0%,46,1.3%,23,4.0%,38,1.7%,8,7.1%,0,0.0%,0,0.0%
Shaun Livingston,30.1,GSW,Combo,507,62,0.5%,31,1.0%,38,3.7%,69,2.7%,77,10.1%,0,0.0%,100,20.5%
Kevin Love,27.1,CLE,Big,611,8,0.7%,37,0.7%,97,2.2%,34,5.8%,82,24.2%,74,3.1%,37,22.2%
Kyle Lowry,29.6,TOR,Point,765,31,0.2%,81,1.9%,31,4.1%,56,2.4%,75,11.5%,88,2.0%,63,2.9%
Ian Mahinmi,29.0,IND,Big,171,45,1.8%,76,1.4%,21,5.4%,55,8.3%,16,11.8%,0,0.0%,32,18.2%
Wesley Matthews,29.0,DAL,Wing,173,0,0.0%,38,1.3%,38,3.7%,66,2.3%,31,8.6%,0,0.0%,48,6.3%
CJ McCollum,24.1,POR,Combo,441,69,0.6%,23,1.0%,69,2.6%,31,1.5%,15,7.4%,0,0.0%,62,2.6%
Josh McRoberts,28.7,MIA,Big,121,50,1.9%,100,2.0%,11,7.1%,37,6.1%,34,15.0%,0,0.0%,0,0.0%
Patty Mills,27.2,SAS,Combo,160,0,0.0%,54,1.7%,100,0.9%,0,0.0%,38,7.9%,0,0.0%,77,10.0%
Paul Millsap,30.7,ATL,Big,364,87,3.2%,87,1.6%,82,2.9%,45,7.5%,37,16.0%,0,0.0%,26,15.8%
Marcus Morris,26.2,DET,Wing,143,0,0.0%,7,0.7%,7,4.8%,55,1.7%,28,8.6%,0,0.0%,0,0.0%
Dirk Nowitzki,37.4,DAL,Big,169,16,0.9%,3,0.3%,95,2.2%,8,2.1%,11,11.5%,0,0.0%,50,25.0%
Zaza Pachulia,31.7,DAL,Big,106,5,0.5%,74,1.3%,18,5.4%,47,7.8%,8,11.5%,0,0.0%,97,75.0%
Tony Parker,33.5,SAS,Point,263,69,0.4%,44,1.1%,69,2.7%,13,0.4%,50,7.9%,0,0.0%,0,0.0%
Patrick Patterson,26.6,TOR,Big,582,13,0.9%,29,0.6%,100,2.2%,29,5.0%,0,9.1%,84,6.5%,24,15.4%
Chris Paul,30.5,LAC,Point,124,0,0.0%,100,3.2%,38,4.0%,63,2.5%,69,9.2%,0,0.0%,0,0.0%
Mason Plumlee,25.7,POR,Big,303,47,1.8%,53,1.0%,34,5.0%,71,10.9%,97,28.2%,0,0.0%,55,29.6%
Norman Powell,22.4,TOR,Wing,173,69,0.7%,93,2.9%,21,4.4%,45,1.6%,34,9.2%,0,0.0%,93,33.3%
Zach Randolph,34.3,MEM,Big,119,0,0.0%,11,0.4%,61,3.7%,66,10.6%,63,18.8%,0,0.0%,61,33.3%
JJ Redick,31.4,LAC,Wing,166,31,0.3%,0,0.3%,72,2.9%,3,0.6%,7,6.5%,0,0.0%,0,0.0%
Josh Richardson,22.1,MIA,Combo,378,100,1.9%,8,0.8%,15,4.4%,100,3.1%,92,11.2%,0,0.0%,69,4.2%
Austin Rivers,23.2,LAC,Combo,139,0,0.0%,15,1.0%,31,3.9%,77,2.8%,54,8.5%,0,0.0%,0,0.0%
Andre Roberson,23.9,OKC,Wing,464,97,2.1%,76,2.1%,24,4.0%,100,5.4%,100,15.4%,0,0.0%,90,30.0%
Terrence Ross,24.7,TOR,Wing,313,72,0.7%,62,1.8%,45,3.4%,21,1.0%,45,9.9%,0,0.0%,45,5.0%
Dennis Schroder,22.1,ATL,Point,186,44,0.3%,38,1.0%,13,5.4%,94,3.3%,25,6.5%,0,0.0%,0,0.0%
Luis Scola,35.5,TOR,Big,131,0,0.0%,61,1.1%,8,7.1%,0,1.5%,5,10.9%,0,0.0%,82,50.0%
Mike Scott,27.3,ATL,Big,153,21,1.0%,47,0.9%,32,5.0%,13,3.5%,39,16.2%,0,0.0%,29,16.7%
Thabo Sefolosha,31.5,ATL,Wing,200,90,1.5%,90,2.3%,34,3.7%,90,4.2%,93,14.2%,0,0.0%,76,22.2%
Iman Shumpert,25.3,CLE,Wing,347,52,0.5%,48,1.4%,17,4.5%,79,3.4%,41,9.9%,0,0.0%,66,15.0%
Marcus Smart,21.7,BOS,Wing,191,83,1.4%,86,2.3%,48,3.4%,86,3.8%,52,9.9%,0,0.0%,0,0.0%
JR Smith,30.1,CLE,Wing,729,41,0.4%,55,1.6%,55,3.3%,28,1.1%,17,7.5%,0,0.0%,79,23.8%
Marreese Speights,28.2,GSW,Big,163,63,2.3%,24,0.5%,3,7.6%,53,8.0%,32,14.9%,0,0.0%,53,27.3%
Rodney Stuckey,29.5,IND,Wing,123,45,0.4%,52,1.6%,62,3.1%,10,0.9%,59,10.2%,0,0.0%,0,0.0%
Jeff Teague,27.4,ATL,Point,278,63,0.4%,31,0.9%,19,4.6%,25,1.1%,13,5.5%,0,0.0%,0,0.0%
Jason Terry,38.1,HOU,Wing,119,48,0.5%,10,0.7%,14,4.7%,14,0.9%,38,9.8%,0,0.0%,0,0.0%
Isaiah Thomas,26.7,BOS,Point,219,100,1.2%,25,0.8%,56,2.9%,19,0.8%,31,6.8%,0,0.0%,88,12.5%
Klay Thompson,25.7,GSW,Wing,847,59,0.5%,41,1.3%,79,2.4%,52,1.7%,21,7.8%,93,1.9%,41,4.5%
Tristan Thompson,24.6,CLE,Big,620,37,1.6%,32,0.6%,47,3.8%,97,14.8%,42,16.3%,71,2.9%,42,23.1%
Evan Turner,27.0,BOS,Wing,214,86,1.5%,59,1.6%,28,3.8%,83,3.4%,55,10.0%,0,0.0%,100,50.0%
Myles Turner,19.6,IND,Big,197,100,6.3%,21,0.5%,29,5.0%,58,8.5%,21,13.4%,100,25.0%,61,33.3%
Jonas Valanciunas,23.5,TOR,Big,314,76,2.6%,79,1.4%,50,3.8%,92,14.6%,100,28.3%,97,15.8%,87,53.8%
Dwyane Wade,33.8,MIA,Combo,471,92,1.5%,38,1.1%,92,2.0%,92,2.9%,100,14.3%,0,0.0%,0,0.0%
Dion Waiters,23.9,OKC,Wing,463,38,0.3%,17,0.8%,69,3.0%,31,1.2%,24,8.1%,0,0.0%,38,3.3%
Kemba Walker,25.5,CHA,Point,259,94,0.8%,69,1.7%,94,1.8%,31,1.2%,44,7.6%,0,0.0%,75,6.3%
David West,35.2,SAS,Big,157,71,2.5%,82,1.5%,39,4.7%,63,9.3%,13,11.7%,0,0.0%,58,30.0%
Russell Westbrook,27.0,OKC,Point,672,19,0.2%,94,2.9%,81,2.2%,100,6.0%,81,11.7%,94,4.5%,100,18.8%
Hassan Whiteside,26.4,MIA,Big,290,97,5.1%,71,1.3%,37,4.8%,68,10.9%,87,25.8%,0,0.0%,92,54.5%
Marvin Williams,29.4,CHA,Forward,226,56,0.7%,33,1.2%,83,2.3%,28,2.9%,67,15.6%,0,0.0%,100,66.7%
Justise Winslow,19.6,MIA,Forward,321,44,0.7%,28,1.2%,6,5.3%,94,5.9%,44,13.2%,0,0.0%,56,20.0%
Cody Zeller,23.1,CHA,Big,136,26,1.1%,5,0.3%,24,5.3%,39,6.3%,66,19.4%,0,0.0%,16,12.5%
