Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Shareef Abdur-Rahim,28.9,SAC,Big,1946,82,53.4%,83,53.8%,13,26.3%,83,78.1%,81,54%,77,52%,77,55%,73,100%
Malik Allen,27.3,CHI,Big,655,41,48.9%,41,48.4%,0,100.0%,30,60.5%,33,71%,49,61%,43,73%,100,0%
Ray Allen,30.3,OKC,Wing,3009,88,54.5%,74,48.6%,88,41.6%,98,90.3%,80,50%,95,29%,87,36%,90,75%
Tony Allen,23.8,BOS,Combo,911,64,49.2%,89,49.3%,31,32.3%,51,76.4%,56,49%,25,45%,31,50%,36,90%
Rafer Alston,29.3,HOU,Point,2420,40,45.0%,33,41.8%,35,32.9%,8,69.0%,42,44%,56,22%,88,13%,23,91%
Chris Andersen,27.3,NOP,Big,528,92,56.0%,91,56.0%,0,0.0%,5,49.0%,84,53%,85,49%,24,83%,0,0%
Alan Anderson,23.0,CHA,Wing,515,46,47.3%,14,39.8%,91,42.3%,71,80.6%,40,69%,51,53%,43,60%,45,95%
Derek Anderson,31.3,HOU,Wing,579,32,45.1%,50,46.2%,16,28.8%,81,83.6%,78,51%,55,50%,84,36%,86,79%
Derek Anderson,31.3,MIA,Wing,426,11,41.1%,3,30.4%,34,33.9%,75,81.3%,49,66%,55,50%,98,18%,46,95%
Shandon Anderson,31.8,MIA,Wing,575,36,45.7%,63,47.5%,3,23.5%,0,72.2%,11,84%,7,75%,10,87%,6,100%
Carmelo Anthony,21.4,DEN,Forward,2930,67,49.8%,80,50.7%,13,27.2%,77,80.7%,65,63%,32,64%,70,57%,87,92%
Rafael Araujo,25.2,TOR,Big,587,1,37.6%,2,37.9%,0,0.0%,15,53.6%,13,79%,9,73%,22,85%,0,0%
Gilbert Arenas,23.8,WAS,Combo,3379,76,50.9%,82,48.6%,56,37.1%,67,81.9%,76,37%,62,29%,73,27%,91,61%
Trevor Ariza,20.3,NYK,Wing,700,14,41.7%,27,42.0%,0,0.0%,0,54.5%,70,55%,55,50%,25,71%,0,0%
Trevor Ariza,20.3,ORL,Forward,280,15,40.3%,18,41.3%,0,0.0%,32,70.5%,100,45%,85,44%,78,50%,0,0%
Darrell Armstrong,37.4,DAL,Point,545,12,38.3%,12,35.0%,16,29.4%,66,82.1%,21,55%,65,20%,10,64%,37,80%
Carlos Arroyo,26.3,DET,Point,524,8,36.7%,15,36.9%,0,20.0%,39,78.0%,77,31%,23,38%,54,28%,94,0%
Carlos Arroyo,26.3,ORL,Point,584,85,51.6%,94,51.2%,0,38.5%,61,81.6%,85,26%,58,22%,60,26%,92,40%
Chucky Atkins,31.2,MEM,Point,1154,71,48.6%,52,44.4%,49,35.8%,55,80.8%,48,40%,96,2%,63,26%,44,77%
Chucky Atkins,31.2,WAS,Point,533,69,48.5%,29,41.3%,57,36.8%,11,69.2%,19,55%,71,19%,15,59%,58,72%
Stacey Augmon,37.3,ORL,Forward,374,5,35.8%,5,35.8%,0,0.0%,0,70.8%,75,58%,33,64%,78,50%,0,0%
Marcus Banks,24.0,BOS,Combo,250,29,45.3%,55,44.8%,27,31.3%,93,88.5%,64,45%,38,39%,78,25%,2,100%
Marcus Banks,24.0,MIN,Point,1198,79,50.4%,87,49.3%,73,39.0%,42,78.4%,62,35%,48,26%,33,43%,90,44%
Leandro Barbosa,22.9,PHX,Wing,1538,96,57.0%,88,51.1%,97,45.7%,36,74.8%,75,53%,76,41%,78,40%,87,79%
Matt Barnes,25.6,PHI,Forward,503,98,56.7%,97,57.1%,0,33.3%,17,64.9%,38,72%,18,68%,28,78%,22,100%
Andre Barrett,23.7,TOR,Point,257,10,36.8%,19,38.6%,0,16.7%,0,66.7%,88,24%,81,15%,62,26%,79,50%
Brent Barry,33.8,SAS,Wing,1179,97,57.2%,92,52.3%,80,40.2%,10,66.1%,18,80%,18,68%,51,57%,49,95%
Jon Barry,36.3,HOU,Wing,330,33,45.2%,9,37.5%,52,35.5%,85,84.6%,14,83%,6,80%,25,71%,65,91%
Eddie Basden,22.7,CHI,Wing,124,25,43.9%,70,48.1%,0,16.7%,0,80.0%,20,79%,12,73%,1,100%,6,100%
Brandon Bass,20.5,NOP,Big,201,1,36.8%,1,36.8%,0,0.0%,0,60.0%,47,67%,54,60%,24,83%,0,0%
Esteban Batista,22.2,ATL,Big,457,6,40.9%,9,41.5%,0,0.0%,41,65.1%,94,48%,82,50%,99,0%,0,0%
Tony Battie,29.7,ORL,Big,2211,56,50.8%,64,51.2%,0,0.0%,45,65.9%,32,72%,22,67%,37,75%,0,0%
Shane Battier,27.1,MEM,Forward,2832,83,54.2%,88,52.2%,87,39.9%,34,70.7%,53,67%,53,56%,63,62%,72,97%
Lonny Baxter,26.8,CHA,Big,113,0,36.7%,1,36.7%,0,0.0%,0,78.6%,27,73%,25,67%,1,100%,0,0%
Lonny Baxter,26.8,HOU,Big,251,25,46.0%,26,46.0%,0,0.0%,0,83.3%,94,48%,96,40%,1,100%,0,0%
Charlie Bell,26.6,MIL,Combo,1229,87,52.6%,64,45.2%,87,42.1%,33,73.2%,16,67%,16,49%,27,52%,29,93%
Raja Bell,29.1,PHX,Wing,2942,95,56.3%,61,47.3%,96,44.2%,62,78.8%,17,80%,31,62%,30,69%,45,95%
