Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Ray Allen,37.3,MIA,Wing,565,85,+12.2,71,+1.6,34,-1.3%,74,+15.1,73,+0.9,38,-3.4%,77,+33.5,66,+0.9,58,+0.5%,62,+11.0
Tony Allen,30.8,MEM,Wing,420,62,+4.2,72,+1.6,97,+4.8%,43,-2.2,53,+0.3,75,+8.9%,41,-4.3,75,+1.6,90,+6.5%,56,+6.5
Chris Andersen,34.3,MIA,Big,298,84,+12.0,29,-1.4,22,-2.6%,33,-9.4,54,+0.3,74,+8.6%,54,+6.9,25,-1.5,13,-8.6%,28,-19.6
Carmelo Anthony,28.4,NYK,Forward,480,47,+0.5,49,-0.1,75,+1.5%,37,-5.9,80,+1.3,53,+0.9%,82,+37.9,12,-2.5,89,+6.2%,4,-58.9
Darrell Arthur,24.6,MEM,Big,173,55,+2.3,42,-0.3,40,-0.6%,56,+4.1,46,+0.0,62,+3.5%,42,-4.2,45,-0.3,51,-0.6%,59,+7.8
Omer Asik,26.3,HOU,Big,207,72,+6.9,82,+2.6,46,-0.3%,81,+23.3,27,-0.9,19,-12.0%,29,-22.9,92,+3.2,8,-11.6%,86,+40.5
D.J. Augustin,25.0,IND,Point,308,9,-12.5,12,-3.0,25,-2.4%,4,-42.5,24,-1.1,71,+7.9%,14,-46.2,21,-1.7,34,-3.2%,11,-41.0
Harrison Barnes,20.4,GSW,Wing,459,67,+5.5,50,+0.0,61,+0.5%,50,+1.1,14,-1.3,70,+7.4%,6,-77.9,61,+0.7,37,-2.9%,68,+15.5
Matt Barnes,32.6,LAC,Wing,160,96,+17.2,90,+4.0,94,+3.9%,89,+35.1,94,+2.4,100,+39.0%,99,+162.5,71,+1.3,81,+4.2%,72,+21.4
Brandon Bass,27.5,BOS,Big,201,87,+12.6,98,+6.2,87,+2.9%,91,+37.6,99,+3.5,96,+23.9%,96,+86.7,66,+1.0,61,+1.2%,61,+8.7
Shane Battier,34.1,MIA,Forward,375,43,-0.2,53,+0.1,31,-1.9%,70,+13.1,60,+0.6,63,+4.1%,76,+32.8,44,-0.4,46,-1.6%,55,+4.9
Jerryd Bayless,24.2,MEM,Combo,313,33,-2.0,31,-1.2,16,-3.1%,55,+2.6,61,+0.6,23,-10.8%,80,+35.7,14,-2.1,35,-3.2%,21,-24.0
Marco Belinelli,26.6,CHI,Wing,314,35,-1.5,24,-1.9,24,-2.5%,26,-16.7,21,-1.2,8,-20.1%,28,-24.6,41,-0.8,60,+1.1%,34,-9.3
Patrick Beverley,24.3,HOU,Point,191,98,+20.4,85,+3.2,98,+5.9%,85,+28.3,82,+1.4,64,+4.2%,45,0.0,73,+1.5,92,+9.0%,80,+31.8
Chauncey Billups,36.1,LAC,Wing,115,25,-5.3,41,-0.3,13,-3.6%,77,+18.6,34,-0.8,3,-35.9%,92,+62.5,60,+0.6,18,-6.6%,73,+21.4
Andray Blatche,26.2,BKN,Big,138,65,+5.0,77,+2.1,96,+4.3%,29,-13.8,77,+1.1,72,+8.1%,51,+5.1,59,+0.6,99,+15.6%,29,-17.7
Andrew Bogut,27.9,GSW,Big,326,51,+1.8,55,+0.3,78,+1.7%,65,+9.8,63,+0.7,78,+9.7%,71,+26.9,39,-0.8,66,+1.5%,40,-5.9
Matt Bonner,32.6,SAS,Big,249,69,+5.7,66,+1.3,55,+0.1%,64,+9.6,18,-1.2,85,+13.7%,22,-31.2,87,+2.7,55,-0.2%,82,+32.4
Carlos Boozer,30.9,CHI,Big,430,10,-12.2,34,-1.0,70,+1.2%,28,-14.9,30,-0.8,98,+29.9%,3,-82.1,48,-0.2,50,-0.8%,63,+11.2
Chris Bosh,28.6,MIA,Big,747,22,-7.0,44,-0.2,91,+3.3%,30,-12.6,8,-1.7,14,-15.6%,18,-40.8,71,+1.3,94,+9.6%,57,+7.0
Avery Bradley,21.9,BOS,Combo,189,19,-9.0,30,-1.3,82,+2.1%,58,+4.8,98,+2.9,76,+9.6%,93,+69.0,3,-5.9,82,+4.2%,16,-32.7
