Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,26.3,OKC,Big,210,59,59.6%,87,84%,38,14%,0,0%,36,14%,44,2%,0,0%,21,2%
Bam Adebayo,22.3,MIA,Big,686,41,56.4%,69,53%,100,34%,82,13%,90,46%,0,0%,18,0%,15,0%
Jarrett Allen,21.5,BKN,Big,132,46,56.5%,79,72%,90,28%,0,0%,62,28%,0,0%,0,0%,0,0%
Giannis Antetokounmpo,24.9,MIL,Big,277,62,60.1%,74,59%,49,15%,62,6%,44,21%,33,1%,49,20%,38,21%
Carmelo Anthony,35.4,POR,Big,213,10,45.7%,5,15%,77,23%,100,34%,100,57%,64,12%,36,15%,46,27%
OG Anunoby,22.3,TOR,Forward,392,76,55.1%,100,52%,12,6%,24,1%,12,7%,82,25%,0,16%,53,41%
D.J. Augustin,32.0,ORL,Point,127,8,46.8%,25,22%,92,27%,67,16%,92,44%,50,5%,25,29%,25,35%
Darius Bazley,19.4,OKC,Big,116,77,63.8%,33,28%,8,6%,38,3%,10,9%,67,13%,95,50%,82,63%
Patrick Beverley,31.3,LAC,Point,165,100,63.2%,50,26%,42,18%,0,0%,0,18%,100,21%,58,34%,100,55%
Eric Bledsoe,29.9,MIL,Point,267,0,42.9%,83,32%,75,24%,58,14%,58,38%,17,3%,17,27%,17,30%
Malcolm Brogdon,26.9,IND,Combo,159,35,48.4%,95,50%,10,8%,55,13%,15,21%,5,1%,40,28%,15,29%
Jaylen Brown,23.0,BOS,Wing,670,64,55.1%,86,35%,71,15%,68,10%,68,26%,50,19%,4,20%,11,39%
Trey Burke,27.0,DAL,Point,155,83,58.6%,58,31%,50,21%,75,21%,83,42%,75,8%,8,19%,0,27%
Jimmy Butler,30.1,MIA,Wing,806,46,51.7%,100,44%,100,34%,71,11%,100,45%,7,4%,0,8%,0,11%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,57,53.7%,50,21%,25,6%,82,13%,61,19%,86,30%,21,31%,61,61%
Alex Caruso,25.7,LAL,Combo,499,45,51.9%,85,43%,15,9%,0,2%,5,10%,95,22%,25,25%,75,47%
