Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,22.1,TOR,Big,166,70,17.0%,24,108.9,32,5.8%,24,0.34,30,15.3%
Steven Adams,28.3,MEM,Big,109,27,11.9%,3,95.8,86,14.6%,92,1.22,54,12.7%
Bam Adebayo,24.3,MIA,Big,612,73,17.9%,70,128.5,70,12.6%,65,0.70,24,15.8%
Grayson Allen,26.1,MIL,Wing,305,27,12.5%,69,117.6,31,7.1%,38,0.57,54,10.2%
Jose Alvarado,23.6,NOP,Point,150,8,18.5%,62,114.8,0,15.8%,15,0.85,31,14.2%
Kyle Anderson,28.1,MEM,Forward,211,32,13.3%,52,120.0,64,12.0%,92,0.91,20,13.3%
Giannis Antetokounmpo,26.9,MIL,Big,447,100,40.0%,27,111.8,97,35.5%,81,0.89,49,13.1%
OG Anunoby,24.3,TOR,Wing,216,73,20.9%,73,118.2,65,11.7%,35,0.56,46,10.6%
Deandre Ayton,23.3,PHX,Big,390,81,20.0%,78,130.9,54,9.1%,38,0.45,73,11.4%
Desmond Bane,23.4,MEM,Wing,426,54,16.2%,96,129.1,38,9.3%,42,0.57,62,9.4%
Scottie Barnes,20.3,TOR,Forward,132,64,19.7%,16,106.3,76,17.9%,96,0.91,80,8.8%
Will Barton,30.8,DEN,Wing,172,62,18.1%,23,104.5,69,11.9%,58,0.65,19,13.7%
Malik Beasley,24.9,MIN,Wing,144,50,15.1%,50,115.1,8,4.7%,4,0.31,35,11.5%
Davis Bertans,29.0,DAL,Forward,179,28,13.2%,96,130.4,20,5.5%,28,0.41,88,5.9%
Patrick Beverley,33.3,MIN,Combo,226,24,17.4%,57,109.0,76,22.7%,90,1.30,10,15.6%
Nemanja Bjelica,33.5,GSW,Big,125,49,14.7%,35,114.3,92,18.3%,95,1.24,59,12.5%
Bogdan Bogdanovic,29.2,ATL,Wing,160,77,22.3%,81,120.3,81,15.6%,69,0.70,96,5.1%
Bojan Bogdanovic,32.5,UTA,Forward,214,72,20.8%,40,117.4,44,8.4%,24,0.40,36,12.7%
Devin Booker,25.0,PHX,Wing,365,100,30.1%,65,117.1,92,19.8%,62,0.66,23,13.6%
Chris Boucher,28.8,TOR,Big,129,41,14.1%,92,142.6,0,1.2%,0,0.09,100,4.9%
Mikal Bridges,25.2,PHX,Wing,491,42,14.6%,46,113.8,50,10.2%,73,0.70,92,7.2%
Dillon Brooks,25.8,MEM,Wing,335,81,24.3%,0,88.0,73,13.5%,27,0.55,42,11.0%
Bruce Brown,25.2,BKN,Forward,179,44,17.7%,76,123.3,72,16.0%,88,0.90,0,17.4%
Jaylen Brown,25.0,BOS,Wing,919,92,26.4%,54,116.2,85,16.7%,50,0.63,15,13.7%
Jalen Brunson,25.2,DAL,Combo,627,90,28.8%,67,111.5,57,18.9%,14,0.66,90,5.0%
Reggie Bullock,30.6,DAL,Forward,707,4,10.1%,64,122.6,28,6.3%,48,0.63,96,5.4%
Jimmy Butler,32.1,MIA,Forward,628,88,29.0%,68,122.6,84,22.6%,68,0.78,92,5.9%
Jevon Carter,26.1,MIL,Combo,119,0,9.9%,62,110.5,10,9.2%,67,0.93,0,22.6%
Alex Caruso,27.7,CHI,Combo,113,5,11.5%,52,108.7,67,21.5%,100,1.87,95,3.4%
Brandon Clarke,25.1,MEM,Big,296,59,16.3%,65,127.6,73,13.3%,73,0.81,89,9.2%
Jordan Clarkson,29.4,UTA,Combo,170,67,24.2%,86,131.3,5,9.1%,5,0.38,52,11.4%
Nicolas Claxton,22.5,BKN,Big,126,51,14.9%,68,127.9,43,8.4%,49,0.57,97,7.5%
John Collins,24.1,ATL,Big,121,62,16.5%,30,111.9,51,9.0%,46,0.54,68,11.8%
Mike Conley,34.1,UTA,Point,174,31,23.2%,8,85.9,54,29.6%,77,1.28,23,14.7%
Pat Connaughton,28.8,MIL,Wing,317,15,11.4%,88,125.8,15,5.1%,15,0.45,77,8.5%
Jae Crowder,31.3,PHX,Forward,377,36,16.3%,12,106.1,52,10.9%,56,0.67,16,13.6%
Seth Curry,31.2,BKN,Wing,165,23,12.3%,100,134.9,54,10.3%,81,0.84,69,9.2%
Stephen Curry,33.6,GSW,Point,762,77,32.2%,85,123.9,38,27.0%,0,0.84,85,10.1%
DeMar DeRozan,32.2,CHI,Forward,203,84,27.4%,4,95.4,80,20.3%,64,0.74,84,8.7%
Dewayne Dedmon,32.2,MIA,Big,134,68,16.5%,5,100.0,30,5.7%,27,0.35,43,13.7%
Spencer Dinwiddie,28.6,DAL,Wing,494,88,24.8%,58,116.4,96,22.3%,92,0.90,38,11.3%
Luka Doncic,22.7,DAL,Point,551,100,43.4%,69,114.9,92,36.9%,8,0.85,54,11.8%
Kevin Durant,33.1,BKN,Forward,217,100,31.2%,24,108.3,92,24.8%,72,0.80,8,14.6%
Anthony Edwards,20.2,MIN,Wing,263,96,26.8%,85,121.5,77,14.9%,31,0.56,50,10.4%
Joel Embiid,27.6,PHI,Big,385,95,27.4%,43,118.0,62,10.2%,32,0.37,32,14.6%
Dorian Finney-Smith,28.5,DAL,Forward,687,20,12.0%,84,124.9,40,7.6%,52,0.63,64,10.5%
Danilo Gallinari,33.2,ATL,Forward,181,68,20.1%,20,107.8,24,6.3%,8,0.31,52,11.2%
Rudy Gobert,29.3,UTA,Big,196,38,13.2%,84,133.3,8,2.6%,3,0.19,38,14.4%
Aaron Gordon,26.1,DEN,Forward,160,60,19.3%,8,104.5,60,11.7%,40,0.61,56,11.0%
Danny Green,34.4,PHI,Wing,318,38,13.4%,77,118.4,12,5.0%,12,0.37,4,14.7%
Draymond Green,31.7,GSW,Big,698,65,16.5%,22,108.6,95,25.7%,100,1.55,8,22.6%
Jeff Green,35.2,DEN,Big,113,0,8.0%,0,95.0,3,2.2%,19,0.28,86,9.5%
James Harden,32.2,PHI,Point,478,69,28.5%,77,116.8,77,34.8%,62,1.22,8,17.5%
Tobias Harris,29.3,PHI,Forward,465,52,18.9%,44,117.4,68,13.2%,60,0.70,68,9.8%
Jaxson Hayes,21.4,NOP,Big,116,30,12.1%,41,114.7,14,3.5%,22,0.29,65,12.3%
Tyler Herro,21.8,MIA,Combo,373,81,26.0%,24,100.5,48,17.7%,19,0.68,38,12.4%
Jrue Holiday,31.4,MIL,Point,462,62,28.5%,15,93.5,31,26.4%,23,0.93,69,11.2%
Al Horford,35.4,BOS,Big,814,32,12.7%,86,133.8,84,14.3%,89,1.13,57,12.6%
Danuel House,28.4,UTA,Wing,107,19,11.9%,8,95.5,19,5.4%,19,0.45,0,22.6%
Kevin Huerter,23.2,ATL,Wing,212,65,18.5%,19,104.3,88,17.6%,96,0.95,8,14.3%
DeAndre Hunter,23.9,ATL,Forward,233,76,20.9%,88,125.9,8,4.2%,4,0.20,40,12.4%
Brandon Ingram,24.2,NOP,Forward,304,92,29.3%,72,123.0,96,26.1%,84,0.89,24,12.9%
Kyrie Irving,29.6,BKN,Combo,212,71,24.4%,81,130.8,86,23.4%,71,0.96,48,11.4%
Jaren Jackson,22.1,MEM,Big,331,84,21.8%,11,102.8,24,5.2%,5,0.24,92,9.0%
Cameron Johnson,25.7,PHX,Forward,311,40,16.5%,48,119.8,48,8.8%,36,0.53,60,10.5%
Nikola Jokic,26.7,DEN,Big,171,97,35.6%,62,127.0,100,35.8%,86,1.00,19,16.8%
Herbert Jones,23.1,NOP,Forward,292,8,11.3%,60,120.3,32,6.9%,44,0.61,12,14.3%
Tyus Jones,25.5,MEM,Combo,261,48,21.0%,38,103.8,100,32.3%,95,1.54,81,9.0%
Maxi Kleber,29.8,DAL,Big,455,22,11.8%,89,135.3,41,7.3%,51,0.62,84,9.8%
Zach LaVine,26.6,CHI,Wing,152,85,24.3%,31,110.3,100,27.3%,100,1.12,8,14.3%
Kevon Looney,25.7,GSW,Big,441,19,11.4%,81,131.6,81,14.2%,97,1.25,22,16.5%
Brook Lopez,33.6,MIL,Big,331,46,14.6%,32,113.4,19,3.8%,16,0.26,81,10.0%
Kyle Lowry,35.6,MIA,Point,294,23,19.6%,0,82.6,15,23.7%,54,1.21,15,15.0%
Caleb Martin,26.1,MIA,Forward,169,48,18.8%,0,92.5,0,2.2%,0,0.12,48,11.8%
Wesley Matthews,35.0,MIL,Wing,344,4,8.7%,35,110.4,27,5.6%,54,0.64,73,8.8%
Tyrese Maxey,21.0,PHI,Combo,484,52,21.4%,76,124.5,43,17.2%,38,0.80,76,9.2%
CJ McCollum,30.1,NOP,Combo,311,95,29.4%,14,98.4,62,20.7%,24,0.70,67,9.7%
Jaden McDaniels,21.1,MIN,Forward,151,24,12.9%,100,131.9,16,4.5%,16,0.35,28,12.9%
JaVale McGee,33.8,PHX,Big,125,76,18.3%,97,146.3,46,8.6%,41,0.47,27,15.7%
De'Anthony Melton,23.4,MEM,Combo,151,29,18.0%,5,87.7,29,13.6%,29,0.76,5,17.8%
Shake Milton,25.1,PHI,Combo,137,14,13.1%,95,136.1,14,10.9%,43,0.83,62,10.5%
Donovan Mitchell,25.1,UTA,Combo,229,100,36.4%,29,100.7,95,28.8%,33,0.79,86,8.9%
Ja Morant,22.2,MEM,Point,336,92,35.7%,46,107.6,100,41.9%,46,1.17,77,10.5%
Monte Morris,26.3,DEN,Point,155,15,19.2%,92,127.3,23,25.5%,92,1.33,62,11.6%
Trey Murphy III,21.4,NOP,Forward,162,0,9.1%,92,127.8,12,4.5%,32,0.49,100,3.0%
Larry Nance Jr.,28.8,NOP,Big,164,57,15.7%,73,128.8,76,13.6%,78,0.87,70,11.7%
Georges Niang,28.4,PHI,Big,194,24,11.8%,59,126.1,49,8.6%,70,0.73,35,14.4%
Frank Ntilikina,23.3,DAL,Wing,108,12,10.6%,4,95.2,42,9.4%,88,0.89,31,12.5%
Royce O'Neale,28.4,UTA,Wing,188,8,9.1%,12,102.8,35,7.4%,77,0.82,81,8.2%
Onyeka Okongwu,20.9,ATL,Big,153,3,8.6%,76,129.2,11,3.0%,30,0.35,3,24.6%
Victor Oladipo,29.5,MIA,Combo,345,57,21.9%,10,97.3,24,11.5%,10,0.52,24,13.4%
Chris Paul,36.5,PHX,Point,441,54,26.4%,100,133.3,85,36.2%,100,1.37,46,12.1%
Cameron Payne,27.2,PHX,Combo,151,86,26.1%,0,70.4,81,23.2%,57,0.89,57,11.2%
Gary Payton II,28.9,GSW,Combo,189,10,12.8%,100,150.0,19,11.0%,48,0.86,71,9.3%
Jordan Poole,22.4,GSW,Combo,588,76,24.9%,90,132.0,71,21.8%,52,0.87,19,14.4%
Otto Porter,28.4,GSW,Forward,370,12,11.4%,80,124.4,56,11.2%,100,0.99,32,12.8%
Bobby Portis,26.7,MIL,Big,297,78,18.5%,8,102.4,22,4.7%,11,0.26,62,12.4%
Dwight Powell,30.3,DAL,Big,247,5,9.0%,54,124.4,5,2.3%,14,0.26,16,19.6%
Payton Pritchard,23.8,BOS,Point,288,0,15.9%,54,111.1,8,16.6%,38,1.04,92,7.1%
Paul Reed,22.4,PHI,Big,125,35,12.8%,49,121.4,68,11.9%,84,0.93,5,23.2%
Duncan Robinson,27.5,MIA,Wing,130,46,14.8%,62,117.0,0,1.3%,0,0.08,88,7.2%
D'Angelo Russell,25.7,MIN,Point,233,46,24.5%,38,101.0,69,32.4%,85,1.32,38,13.3%
Landry Shamet,24.6,PHX,Wing,181,35,13.0%,42,113.0,62,11.1%,85,0.86,27,13.2%
Pascal Siakam,27.6,TOR,Forward,259,80,26.5%,32,111.4,88,23.0%,76,0.87,76,8.9%
Marcus Smart,27.7,BOS,Combo,759,62,22.4%,48,105.2,90,25.8%,86,1.15,29,13.3%
Max Strus,25.6,MIA,Wing,516,58,17.2%,15,103.2,58,10.6%,46,0.62,58,9.6%
Jayson Tatum,23.7,BOS,Forward,982,96,30.3%,36,112.4,100,26.3%,80,0.87,4,15.0%
