Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Alex Abrines,23.3,OKC,Wing,976,44,0.4%,62,1.5%,5,4.6%,32,1.4%,3,6.2%,0,0.0%,34,5.6%
Quincy Acy,26.1,BKN,Big,492,41,1.5%,57,1.2%,39,4.6%,7,3.4%,52,17.1%,0,0.0%,49,29.2%
Steven Adams,23.3,OKC,Big,2381,51,1.7%,76,1.5%,92,2.8%,81,11.1%,20,13.9%,93,10.9%,2,9.7%
Arron Afflalo,31.0,SAC,Wing,1576,18,0.2%,5,0.7%,61,2.8%,4,0.6%,14,7.9%,69,1.3%,39,5.7%
Alexis Ajinca,28.5,NOP,Big,566,66,2.1%,72,1.5%,24,5.3%,50,7.8%,68,18.8%,0,0.0%,68,35.9%
Cole Aldrich,28.0,MIN,Big,497,76,2.4%,92,2.1%,5,6.8%,76,10.4%,76,20.8%,0,0.0%,81,40.6%
LaMarcus Aldridge,31.3,SAS,Big,2325,63,2.0%,29,0.9%,90,2.8%,55,8.0%,28,14.9%,53,2.8%,35,23.9%
Lavoy Allen,27.7,IND,Big,829,40,1.5%,37,1.0%,65,3.8%,86,12.0%,17,13.5%,87,7.3%,28,21.7%
Tony Allen,34.8,MEM,Wing,1906,76,0.8%,100,2.8%,12,4.1%,100,9.0%,79,12.3%,84,2.1%,87,15.5%
Al-Farouq Aminu,26.1,POR,Big,1756,32,1.3%,78,1.5%,97,2.4%,16,4.6%,72,19.9%,46,2.2%,65,34.5%
Alan Anderson,34.0,LAC,Wing,258,0,0.0%,1,0.4%,2,5.4%,7,0.8%,19,8.1%,0,0.0%,0,0.0%
Justin Anderson,23.0,DAL,Wing,627,96,1.5%,72,1.6%,14,4.1%,96,4.8%,97,16.4%,97,8.0%,98,31.4%
Justin Anderson,23.0,PHI,Wing,462,63,0.6%,51,1.3%,31,3.6%,98,5.2%,58,11.2%,96,5.3%,95,24.1%
Kyle Anderson,23.1,SAS,Wing,912,97,1.5%,95,2.3%,64,2.8%,89,3.8%,98,16.6%,83,2.0%,94,22.0%
Ryan Anderson,28.5,HOU,Big,2112,3,0.3%,10,0.6%,93,2.7%,25,5.5%,4,10.1%,31,0.8%,6,11.2%
Giannis Antetokounmpo,21.9,MIL,Forward,2820,100,2.8%,90,2.1%,49,3.3%,86,5.5%,98,19.4%,58,1.9%,90,32.9%
Carmelo Anthony,32.4,NYK,Forward,2532,31,0.6%,32,1.0%,71,2.9%,34,2.5%,68,14.2%,0,0.0%,39,14.7%
Trevor Ariza,31.3,HOU,Forward,2759,14,0.4%,92,2.2%,95,1.9%,14,1.9%,66,14.0%,61,1.9%,64,23.1%
Darrell Arthur,28.6,DEN,Big,620,51,1.7%,64,1.4%,30,5.0%,11,4.2%,14,12.9%,0,0.0%,17,17.6%
Omer Asik,30.3,NOP,Big,481,22,0.9%,2,0.5%,45,4.5%,71,9.5%,85,22.8%,82,6.3%,50,29.4%
D.J. Augustin,29.0,ORL,Combo,1456,10,0.0%,15,0.9%,77,2.8%,13,0.9%,5,7.1%,0,0.0%,44,3.5%
Luke Babbitt,27.4,MIA,Forward,1044,27,0.5%,22,1.0%,14,4.7%,5,1.3%,36,11.4%,0,0.0%,54,18.2%
Ron Baker,23.6,NYK,Combo,778,35,0.3%,58,1.7%,18,4.1%,40,1.5%,61,9.6%,0,0.0%,35,2.4%
Wade Baldwin,20.6,MEM,Combo,381,92,1.0%,77,1.9%,27,4.0%,81,2.6%,56,9.4%,0,0.0%,42,3.3%
Leandro Barbosa,33.9,PHX,Wing,946,48,0.4%,54,1.4%,32,3.5%,45,1.8%,38,9.6%,0,0.0%,41,5.8%
J.J. Barea,32.4,DAL,Combo,768,13,0.1%,11,0.9%,98,1.8%,27,1.3%,76,10.4%,0,0.0%,82,7.7%
Harrison Barnes,24.4,DAL,Big,2797,1,0.3%,49,1.1%,99,2.0%,8,3.6%,10,12.0%,47,2.3%,5,10.7%
Matt Barnes,36.6,GSW,Forward,376,71,1.0%,63,1.4%,12,4.7%,59,3.6%,69,14.4%,95,6.3%,100,50.0%
Matt Barnes,36.6,SAC,Forward,1360,42,0.7%,41,1.2%,17,4.3%,69,4.2%,90,17.3%,86,3.9%,85,28.9%
Will Barton,25.8,DEN,Wing,1671,81,0.9%,31,1.1%,69,2.6%,84,3.4%,82,12.5%,65,1.0%,39,5.7%
Brandon Bass,31.5,LAC,Big,458,24,1.0%,42,1.1%,68,3.7%,60,8.2%,22,14.0%,0,0.0%,18,18.2%
Nicolas Batum,27.9,CHA,Wing,2611,61,0.6%,67,1.5%,97,1.7%,49,1.9%,96,15.8%,0,0.0%,99,32.5%
Aron Baynes,29.9,DET,Big,1104,56,1.8%,7,0.6%,14,5.8%,74,9.9%,60,17.7%,87,7.3%,35,24.3%
Kent Bazemore,27.3,ATL,Wing,1953,95,1.4%,89,2.0%,29,3.6%,58,2.1%,28,8.8%,94,4.4%,58,8.1%
Bradley Beal,23.3,WAS,Wing,2680,42,0.4%,57,1.4%,70,2.5%,60,2.1%,7,7.0%,0,0.0%,38,5.7%
Malik Beasley,19.9,DEN,Wing,112,0,0.0%,41,1.1%,68,2.7%,78,3.0%,16,7.9%,0,0.0%,0,0.0%
Michael Beasley,27.8,MIL,Big,903,44,1.6%,66,1.4%,54,4.1%,17,4.6%,45,16.6%,66,4.0%,15,16.7%
Marco Belinelli,30.6,CHA,Wing,1748,21,0.3%,36,1.1%,85,2.2%,9,0.8%,41,9.9%,0,0.0%,25,3.3%
DeAndre' Bembry,22.3,ATL,Wing,273,74,0.8%,18,1.0%,45,3.2%,95,4.6%,85,12.6%,0,0.0%,72,11.1%
Dragan Bender,19.0,PHX,Big,530,66,2.1%,6,0.6%,16,5.7%,14,4.5%,7,11.2%,0,0.0%,71,36.6%
Anthony Bennett,23.6,BKN,Big,206,1,0.2%,7,0.6%,89,2.9%,72,9.6%,54,17.3%,88,7.7%,27,21.4%
Davis Bertans,24.0,SAS,Big,684,47,1.6%,43,1.1%,60,3.9%,3,2.8%,1,8.5%,78,5.7%,1,5.0%
Patrick Beverley,28.3,HOU,Point,2046,77,0.6%,75,2.0%,12,4.5%,98,4.7%,96,15.0%,90,1.7%,58,3.3%
Bismack Biyombo,24.2,ORL,Big,1714,84,2.6%,5,0.6%,48,4.4%,65,8.7%,82,21.9%,52,2.7%,63,34.1%
Nemanja Bjelica,28.5,MIN,Big,1140,19,0.9%,75,1.5%,23,5.4%,19,4.8%,29,15.0%,74,5.3%,53,30.1%
Tarik Black,24.9,LAL,Big,1065,65,2.1%,46,1.1%,10,6.1%,93,12.9%,53,17.2%,54,3.0%,43,26.9%
Eric Bledsoe,26.9,PHX,Point,2172,85,0.7%,58,1.8%,69,2.7%,71,2.4%,90,12.8%,77,0.8%,88,8.9%
Bojan Bogdanovic,27.5,BKN,Wing,1468,4,0.1%,6,0.7%,66,2.7%,36,1.6%,67,11.6%,81,1.7%,23,2.7%
Bojan Bogdanovic,27.5,WAS,Forward,584,7,0.3%,7,0.7%,68,3.0%,36,2.5%,32,11.2%,0,0.0%,25,12.5%
Andrew Bogut,31.9,DAL,Big,581,81,2.4%,41,1.1%,13,5.8%,71,9.5%,96,26.7%,0,0.0%,98,56.8%
Devin Booker,20.0,PHX,Wing,2720,37,0.4%,32,1.1%,46,3.2%,39,1.6%,12,7.7%,82,1.8%,0,0.0%
Trevor Booker,28.9,BKN,Big,1747,16,0.8%,86,1.8%,75,3.4%,62,8.4%,83,22.1%,0,0.0%,61,33.7%
Avery Bradley,25.9,BOS,Combo,1829,40,0.3%,55,1.6%,48,3.3%,97,3.7%,94,15.0%,0,0.0%,68,5.2%
