Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,27.3,NOP,Big,1604,83,+4.3,87,+5.6,92,+4.3%,18,+1.6%,71,+1.7,57,+0.4,69,+6.5
LaMarcus Aldridge,35.3,SAS,Big,544,49,-0.4,56,+0.3,1,-7.8%,8,+2.6%,27,-2.3,5,-4.3,85,+16.3
LaMarcus Aldridge,35.3,BKN,Big,130,78,+3.4,90,+6.4,9,-4.5%,3,+3.5%,7,-6.8,1,-7.0,95,+26.4
Al-Farouq Aminu,30.1,ORL,Forward,366,24,-4.5,66,+2.0,2,-7.1%,45,+0.3%,23,-2.9,15,-2.8,57,+2.3
Kyle Anderson,27.1,MEM,Forward,1884,42,-1.6,35,-2.7,16,-3.1%,72,-0.9%,84,+3.7,53,+0.2,88,+17.8
Giannis Antetokounmpo,25.9,MIL,Big,2010,75,+2.7,79,+4.3,13,-3.7%,96,-2.9%,19,-3.3,24,-2.0,34,-5.9
Thanasis Antetokounmpo,28.3,MIL,Forward,448,15,-6.5,17,-6.0,93,+4.6%,15,+1.9%,18,-3.4,52,+0.1,9,-21.1
Carmelo Anthony,36.4,POR,Forward,1671,42,-1.5,35,-2.7,53,+0.1%,37,+0.5%,26,-2.5,37,-1.0,33,-6.1
Trevor Ariza,35.3,MIA,Forward,836,57,+0.6,69,+2.4,7,-4.9%,72,-0.9%,18,-3.4,17,-2.5,43,-2.5
D.J. Augustin,33.0,MIL,Point,697,62,+1.1,57,+0.6,88,+3.5%,7,+2.8%,11,-4.5,48,-0.4,6,-24.6
D.J. Augustin,33.0,HOU,Combo,405,67,+1.7,64,+1.6,40,-0.9%,11,+2.2%,52,-0.0,31,-1.4,82,+12.9
Harrison Barnes,28.4,SAC,Forward,2101,92,+6.9,93,+7.7,60,+0.7%,56,-0.1%,68,+1.4,59,+0.6,64,+5.1
Will Barton,29.8,DEN,Wing,1723,82,+4.0,71,+2.5,58,+0.5%,76,-1.1%,97,+7.4,89,+3.3,89,+18.4
