Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,25.1,NYK,Big,1141,35,13.7%,16,106.3,16,6.3%,16,0.46,64,11.9%
Steven Adams,31.3,HOU,Big,784,32,13.5%,19,107.7,53,10.8%,66,0.80,15,17.6%
Bam Adebayo,27.3,MIA,Big,2666,91,23.8%,32,111.9,92,20.4%,75,0.86,67,11.4%
Ochai Agbaji,24.5,TOR,Wing,1711,21,13.4%,77,119.6,18,8.0%,29,0.60,68,9.8%
Santi Aldama,23.8,MEM,Big,1634,65,17.7%,49,118.7,77,14.8%,73,0.84,85,9.8%
Nickeil Alexander-Walker,26.2,MIN,Wing,2053,46,16.0%,62,117.1,70,14.7%,83,0.92,33,12.8%
Grayson Allen,29.1,PHX,Wing,1532,56,16.8%,92,126.1,55,12.4%,55,0.74,34,12.7%
Jarrett Allen,26.5,CLE,Big,2292,35,13.9%,98,144.6,42,9.1%,47,0.66,55,12.9%
Jose Alvarado,26.6,NOP,Point,1332,44,22.2%,29,104.8,50,27.5%,65,1.24,65,12.2%
Kyle Anderson,31.1,MIA,Big,444,67,17.8%,22,109.6,90,19.8%,93,1.11,87,9.5%
Kyle Anderson,31.1,GSW,Big,508,56,16.3%,14,105.6,94,23.4%,99,1.44,85,9.7%
Giannis Antetokounmpo,29.9,MIL,Big,2287,100,36.2%,73,125.4,99,33.9%,81,0.94,72,10.9%
Cole Anthony,24.5,ORL,Point,1172,60,26.0%,37,106.7,37,24.8%,25,0.95,44,14.1%
OG Anunoby,27.3,NYK,Forward,2701,62,18.1%,71,118.3,36,8.4%,22,0.47,75,9.1%
Deni Avdija,23.8,POR,Forward,2166,89,23.8%,82,121.6,87,19.4%,81,0.82,5,16.0%
Deandre Ayton,26.3,POR,Big,1205,66,17.7%,42,116.4,34,8.2%,17,0.46,44,13.9%
Marcus Bagley,23.0,PHI,Forward,246,13,12.6%,4,90.1,8,5.7%,18,0.45,73,9.3%
Marvin Bagley,25.6,WAS,Big,115,69,18.2%,33,112.5,27,7.5%,11,0.41,47,13.5%
LaMelo Ball,23.2,CHA,Point,1501,100,37.1%,44,108.4,96,38.9%,40,1.05,60,12.4%
Lonzo Ball,27.0,CHI,Wing,776,54,16.6%,27,107.7,86,18.6%,96,1.12,29,13.2%
Mohamed Bamba,26.5,LAC,Big,316,50,15.3%,37,113.9,32,8.0%,28,0.52,37,14.8%
Paolo Banchero,22.0,ORL,Big,1580,99,34.3%,27,111.3,98,26.3%,62,0.77,72,10.9%
Desmond Bane,26.4,MEM,Wing,2191,90,24.4%,83,121.4,96,23.6%,86,0.97,35,12.7%
Dalano Banton,25.0,POR,Wing,1037,90,24.5%,7,97.8,93,21.1%,73,0.86,43,11.9%
Dominick Barlow,21.4,ATL,Big,336,25,13.0%,71,123.9,18,6.4%,21,0.49,99,4.8%
Harrison Barnes,32.4,SAS,Big,2224,45,14.7%,85,130.4,36,8.5%,34,0.58,98,6.6%
