Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,26.3,OKC,Big,210,11,+6.2%,13,+7.7%,23,+8.4%,19,+9.9%,14,+8.3%,34,+3.3%,33,+3.0%,38,+2.3%
Giannis Antetokounmpo,24.9,MIL,Big,277,78,-3.2%,94,-11.8%,65,-3.5%,46,+1.5%,62,-2.1%,14,+11.7%,70,-2.7%,54,-0.3%
Carmelo Anthony,35.4,POR,Big,213,1,+12.3%,1,+22.5%,26,+7.7%,73,-6.6%,45,+1.6%,40,+1.5%,22,+5.0%,27,+3.4%
D.J. Augustin,32.0,ORL,Point,127,21,+3.8%,20,+6.2%,7,+16.4%,5,+20.1%,2,+18.4%,45,+0.7%,60,-1.1%,60,-0.7%
Patrick Beverley,31.3,LAC,Point,165,80,-3.5%,28,+4.7%,73,-5.6%,96,-23.9%,95,-13.4%,96,-18.8%,17,+6.7%,50,+0.1%
Eric Bledsoe,29.9,MIL,Point,267,37,+2.2%,27,+4.9%,48,+0.5%,69,-6.0%,63,-2.7%,53,-0.7%,27,+3.7%,33,+2.8%
Malcolm Brogdon,26.9,IND,Combo,159,48,+0.9%,3,+16.7%,99,-20.4%,98,-39.0%,100,-28.2%,70,-5.5%,7,+10.3%,13,+6.2%
Jaylen Brown,23.0,BOS,Wing,670,61,-1.3%,70,-4.0%,42,+2.2%,54,-1.6%,49,+0.6%,43,+1.0%,56,-0.5%,57,-0.6%
Trey Burke,27.0,DAL,Point,155,86,-4.2%,10,+9.0%,46,+0.6%,91,-17.3%,75,-5.7%,38,+2.0%,98,-12.6%,91,-7.7%
Jimmy Butler,30.1,MIA,Wing,806,27,+3.2%,59,-1.5%,23,+8.0%,71,-6.4%,32,+3.8%,23,+8.0%,46,+1.1%,31,+3.1%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,35,+2.4%,63,-2.5%,40,+2.5%,38,+4.0%,36,+3.0%,18,+10.5%,53,+0.2%,29,+3.1%
Jordan Clarkson,27.4,UTA,Wing,197,34,+2.5%,41,+2.3%,96,-17.0%,78,-8.5%,94,-12.6%,19,+9.5%,6,+10.5%,4,+10.3%
Mike Conley,32.1,UTA,Point,162,26,+3.2%,11,+8.6%,37,+3.8%,10,+14.6%,12,+8.8%,87,-14.0%,68,-2.2%,81,-4.7%
Pat Connaughton,26.8,MIL,Wing,170,50,+0.5%,14,+7.5%,77,-6.2%,49,+0.5%,68,-3.5%,54,-1.4%,50,+0.6%,49,+0.4%
Robert Covington,28.9,HOU,Big,371,65,-2.2%,15,+7.4%,98,-19.5%,42,+2.7%,89,-10.2%,62,-4.1%,63,-1.5%,70,-2.3%
Jae Crowder,29.3,MIA,Big,659,28,+3.0%,52,+0.5%,34,+4.7%,13,+12.3%,16,+7.8%,27,+6.3%,59,-1.1%,45,+1.0%
Seth Curry,29.2,DAL,Combo,172,23,+3.7%,4,+15.4%,81,-8.3%,6,+18.2%,43,+1.9%,21,+9.3%,87,-7.1%,71,-2.4%
Anthony Davis,26.6,LAL,Big,768,68,-2.4%,40,+2.3%,53,-0.7%,22,+8.8%,38,+2.6%,67,-5.1%,90,-7.4%,87,-6.9%
