Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,23.3,OKC,Big,156,80,64.3%,65,57%,98,43%,0,0%,75,43%,0,0%,0,0%,0,0%
LaMarcus Aldridge,31.3,SAS,Big,535,13,46.3%,25,30%,88,28%,100,36%,98,64%,50,3%,45,3%,43,6%
Al-Farouq Aminu,26.1,POR,Big,111,43,52.8%,43,41%,13,8%,50,10%,25,18%,78,8%,90,33%,80,41%
Kyle Anderson,23.1,SAS,Wing,150,91,64.4%,94,49%,97,29%,21,8%,65,37%,59,12%,0,2%,3,14%
Ryan Anderson,28.5,HOU,Big,328,23,48.4%,23,27%,5,4%,45,9%,15,13%,80,11%,98,49%,93,60%
Giannis Antetokounmpo,21.9,MIL,Forward,242,63,54.9%,94,63%,69,15%,69,15%,69,30%,0,1%,13,7%,0,8%
Trevor Ariza,31.3,HOU,Forward,412,56,54.1%,50,34%,0,4%,0,0%,0,4%,69,17%,100,44%,100,62%
Kent Bazemore,27.3,ATL,Wing,149,38,48.0%,68,35%,53,15%,38,11%,44,25%,65,13%,47,27%,59,40%
Bradley Beal,23.3,WAS,Wing,464,62,52.3%,29,23%,62,18%,76,22%,74,40%,12,4%,68,32%,44,37%
Patrick Beverley,28.3,HOU,Point,323,35,50.9%,35,24%,82,28%,0,3%,35,31%,100,19%,29,26%,82,46%
Bojan Bogdanovic,27.5,WAS,Forward,230,44,52.0%,38,29%,44,10%,63,14%,44,24%,38,12%,81,35%,81,46%
Avery Bradley,25.9,BOS,Combo,604,75,53.0%,67,35%,17,6%,42,19%,25,25%,50,11%,75,29%,58,40%
Malcolm Brogdon,23.9,MIL,Combo,177,58,50.9%,75,36%,50,15%,25,13%,50,28%,58,13%,50,23%,50,36%
Jaylen Brown,20.0,BOS,Wing,168,71,54.3%,82,41%,56,16%,44,12%,53,27%,44,10%,35,22%,24,31%
Jimmy Butler,27.1,CHI,Wing,238,24,45.8%,76,38%,79,21%,74,21%,79,43%,0,2%,21,18%,9,20%
Clint Capela,22.5,HOU,Big,285,65,56.8%,95,88%,23,10%,15,2%,8,12%,0,0%,0,0%,0,0%
DeMarre Carroll,30.3,TOR,Forward,149,50,52.9%,19,21%,50,11%,19,8%,25,18%,75,18%,94,42%,94,61%
Vince Carter,39.8,MEM,Wing,194,74,57.1%,44,27%,71,20%,15,7%,50,27%,26,7%,79,40%,71,47%
Ian Clark,25.7,GSW,Combo,174,100,65.3%,58,31%,75,21%,0,5%,33,26%,92,20%,58,23%,67,43%
Mike Conley,29.1,MEM,Point,222,76,57.4%,59,31%,65,24%,18,10%,47,33%,47,3%,71,33%,65,36%
Jamal Crawford,36.6,LAC,Wing,162,26,46.1%,15,15%,85,25%,94,32%,97,57%,35,8%,26,20%,21,28%
Jae Crowder,26.3,BOS,Forward,557,25,49.5%,63,41%,19,7%,31,11%,31,19%,25,9%,75,32%,56,40%
Stephen Curry,28.6,GSW,Point,598,100,61.7%,41,24%,12,11%,29,12%,12,23%,71,9%,94,44%,94,53%
DeMar DeRozan,27.2,TOR,Wing,372,12,43.7%,71,36%,68,20%,97,37%,94,56%,6,3%,3,4%,0,7%
Matthew Dellavedova,26.1,MIL,Point,156,12,47.5%,0,7%,100,40%,65,19%,94,58%,41,2%,59,33%,59,35%
Boris Diaw,34.5,UTA,Big,184,48,54.8%,35,36%,63,20%,55,11%,50,32%,60,5%,85,27%,75,32%
Kevin Durant,28.1,GSW,Forward,529,94,63.3%,44,32%,94,19%,75,20%,88,39%,6,3%,63,26%,25,29%
James Ennis,26.3,MEM,Forward,158,31,50.0%,69,45%,13,7%,13,5%,6,11%,88,30%,19,14%,63,43%
Derrick Favors,25.3,UTA,Big,194,50,54.9%,70,67%,53,18%,70,16%,55,33%,0,0%,0,0%,0,0%
Raymond Felton,32.4,LAC,Combo,102,67,51.9%,33,29%,33,11%,83,25%,58,36%,83,18%,25,18%,42,36%
Channing Frye,33.5,CLE,Big,111,100,73.8%,5,19%,20,9%,40,7%,20,16%,83,12%,100,53%,95,65%
Marc Gasol,31.8,MEM,Big,238,33,51.2%,13,23%,100,47%,75,17%,100,64%,43,1%,60,12%,53,13%
Pau Gasol,36.3,SAS,Big,364,15,46.5%,50,47%,78,27%,57,12%,70,38%,70,6%,53,9%,57,15%
Paul George,26.5,IND,Forward,171,19,48.9%,6,15%,81,15%,100,25%,94,40%,19,8%,88,36%,69,44%
Taj Gibson,31.4,OKC,Big,118,78,60.0%,53,49%,93,36%,65,15%,90,51%,0,0%,0,0%,0,0%
Manu Ginobili,39.3,SAS,Wing,282,35,47.3%,88,44%,32,10%,35,11%,32,20%,32,7%,53,29%,38,36%
Rudy Gobert,24.4,UTA,Big,231,85,64.5%,93,87%,33,12%,10,1%,13,13%,0,0%,0,0%,0,0%
Eric Gordon,27.9,HOU,Wing,355,65,53.3%,53,29%,41,11%,6,4%,15,15%,47,10%,94,46%,82,56%
Marcin Gortat,32.7,WAS,Big,369,25,50.0%,75,68%,73,25%,43,7%,53,32%,0,0%,0,0%,0,0%
Jerami Grant,22.6,OKC,Forward,106,100,69.0%,100,72%,31,9%,6,3%,13,13%,31,9%,6,6%,6,16%
Danny Green,29.4,SAS,Wing,434,68,53.7%,21,18%,24,8%,18,8%,18,16%,85,23%,85,42%,91,66%
Draymond Green,26.7,GSW,Big,590,57,55.3%,48,45%,35,12%,8,1%,10,13%,68,6%,93,36%,85,42%
Gerald Green,30.8,BOS,Wing,147,88,63.5%,12,15%,9,4%,79,23%,47,26%,91,26%,65,32%,85,58%
JaMychal Green,26.4,MEM,Big,117,73,58.6%,10,23%,30,11%,80,23%,60,34%,93,20%,78,23%,88,43%
Tim Hardaway Jr.,24.6,ATL,Wing,198,3,40.1%,59,29%,35,10%,47,12%,41,22%,29,7%,82,42%,74,48%
James Harden,27.2,HOU,Combo,405,50,49.1%,92,40%,25,7%,8,5%,0,12%,8,3%,92,46%,92,49%
Andrew Harrison,22.0,MEM,Combo,106,83,54.5%,25,23%,0,0%,67,23%,17,23%,25,5%,100,50%,100,55%
Gordon Hayward,26.6,UTA,Wing,367,59,51.8%,18,17%,82,24%,85,23%,85,47%,15,5%,59,31%,41,36%
Nene Hilario,34.1,HOU,Big,160,93,70.6%,83,76%,18,8%,63,14%,38,22%,0,0%,38,2%,35,2%
George Hill,30.5,UTA,Point,246,41,52.4%,24,19%,88,31%,53,17%,82,48%,76,11%,12,22%,35,33%
Rodney Hood,24.0,UTA,Wing,254,6,40.2%,26,19%,74,20%,59,15%,59,36%,62,13%,71,33%,68,45%
Al Horford,30.4,BOS,Big,573,83,64.4%,28,33%,83,27%,60,13%,73,40%,63,5%,75,22%,65,27%
Dwight Howard,30.9,ATL,Big,155,25,50.0%,88,81%,43,14%,30,5%,30,19%,0,0%,0,0%,0,0%
Serge Ibaka,27.1,TOR,Big,305,30,50.8%,15,23%,57,18%,95,30%,85,48%,57,5%,80,24%,70,29%
Andre Iguodala,32.8,GSW,Wing,417,53,49.5%,79,39%,26,8%,50,14%,35,22%,56,12%,44,27%,53,39%
Joe Ingles,29.1,UTA,Wing,296,50,49.1%,56,29%,6,3%,3,3%,0,7%,76,20%,91,44%,88,64%
Kyrie Irving,24.6,CLE,Point,652,53,53.0%,47,30%,53,19%,71,20%,59,39%,65,5%,24,26%,24,31%
LeBron James,31.8,CLE,Forward,742,88,62.2%,88,49%,75,15%,38,11%,56,26%,13,4%,50,21%,13,25%
Richard Jefferson,36.4,CLE,Forward,144,0,37.9%,75,47%,25,8%,19,8%,19,16%,81,21%,31,16%,50,37%
Brandon Jennings,27.1,WAS,Combo,156,25,46.9%,17,22%,58,17%,92,28%,75,44%,42,8%,67,25%,33,33%
Amir Johnson,29.5,BOS,Big,127,60,55.4%,90,84%,3,3%,20,3%,3,6%,53,3%,50,6%,50,10%
Joe Johnson,35.3,UTA,Forward,295,38,51.2%,0,7%,100,44%,56,14%,100,58%,56,15%,56,21%,44,36%
DeAndre Jordan,28.3,LAC,Big,224,95,70.8%,100,97%,0,3%,0,0%,0,3%,0,0%,0,0%,0,0%
Cory Joseph,25.2,TOR,Combo,205,8,44.5%,8,22%,67,18%,100,31%,83,49%,75,15%,17,14%,25,29%
Kyle Korver,35.6,CLE,Wing,312,85,60.9%,0,3%,0,0%,41,11%,6,11%,100,35%,100,51%,100,86%
David Lee,33.5,SAS,Big,237,38,52.1%,80,75%,60,19%,25,4%,40,23%,0,0%,40,2%,38,2%
Kawhi Leonard,25.3,SAS,Wing,428,79,59.3%,47,27%,100,29%,68,20%,88,49%,9,4%,24,20%,15,24%
Damian Lillard,26.3,POR,Point,150,24,48.9%,88,37%,29,13%,41,15%,24,29%,6,1%,65,33%,47,34%
Shaun Livingston,31.1,GSW,Combo,201,92,56.6%,50,31%,100,47%,58,22%,100,69%,0,0%,0,0%,0,0%
Robin Lopez,28.6,CHI,Big,161,88,65.4%,60,53%,70,22%,83,25%,78,47%,0,0%,0,0%,0,0%
Kevin Love,28.2,CLE,Big,576,53,55.0%,18,27%,50,17%,48,10%,48,27%,90,20%,83,27%,90,46%
Kyle Lowry,30.6,TOR,Point,299,65,54.4%,94,41%,41,17%,6,6%,6,22%,29,2%,82,35%,71,37%
Shelvin Mack,26.5,UTA,Point,141,0,41.5%,76,35%,76,27%,12,8%,53,35%,59,4%,35,27%,29,31%
Thon Maker,19.7,MIL,Big,114,3,41.9%,63,56%,38,12%,18,3%,18,15%,85,15%,68,15%,73,29%
Luc Mbah a Moute,30.1,LAC,Forward,208,13,47.6%,56,40%,6,6%,88,23%,63,29%,94,31%,0,0%,31,31%
Patrick McCaw,21.0,GSW,Wing,138,94,69.4%,97,50%,29,9%,26,9%,29,18%,79,21%,6,12%,29,32%
CJ McCollum,25.1,POR,Combo,138,25,46.9%,0,16%,92,38%,50,20%,92,58%,33,5%,33,21%,17,26%
JaVale McGee,28.8,GSW,Big,144,98,73.2%,98,92%,10,7%,13,2%,5,8%,0,0%,0,0%,0,0%
Khris Middleton,25.2,MIL,Wing,230,18,44.8%,9,15%,65,20%,100,43%,100,62%,38,9%,12,15%,12,23%
Patty Mills,28.2,SAS,Point,414,47,52.5%,12,15%,0,4%,59,18%,0,22%,88,15%,100,48%,100,63%
Paul Millsap,31.7,ATL,Big,218,35,52.0%,30,33%,90,35%,65,15%,88,50%,45,2%,65,15%,60,16%
Nikola Mirotic,25.7,CHI,Big,161,8,44.0%,3,17%,40,13%,23,4%,23,17%,95,20%,95,46%,98,67%
Greg Monroe,26.4,MIL,Big,140,45,52.9%,78,75%,55,18%,35,7%,43,25%,0,0%,0,0%,0,0%
Markieff Morris,27.2,WAS,Big,361,18,46.7%,20,27%,80,27%,78,21%,83,48%,75,8%,70,18%,63,25%
Dejounte Murray,20.1,SAS,Combo,132,0,40.8%,100,54%,83,25%,33,15%,67,40%,17,4%,8,2%,8,6%
Victor Oladipo,24.5,OKC,Wing,179,0,39.3%,50,28%,44,13%,71,20%,56,33%,74,16%,41,23%,56,39%
Kelly Olynyk,25.5,BOS,Big,310,63,56.7%,45,42%,45,15%,38,7%,35,22%,65,5%,88,31%,78,36%
Kelly Oubre,20.9,WAS,Wing,145,21,45.6%,85,42%,44,13%,9,4%,24,17%,50,10%,59,31%,62,42%
