Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,22.3,OKC,Big,546,87,62.4%,71,69%,34,35%,0,0%,24,35%,0,0%,0,0%,0,0%
LaMarcus Aldridge,30.3,SAS,Big,336,55,52.7%,29,52%,71,50%,92,52%,87,51%,0,100%,0,100%,0,100%
Al-Farouq Aminu,25.1,POR,Forward,370,67,54.7%,44,59%,61,33%,50,33%,61,33%,80,53%,50,32%,81,42%
Kyle Anderson,22.1,SAS,Forward,100,22,41.7%,100,83%,17,20%,0,0%,11,10%,0,50%,0,0%,0,50%
Trevor Ariza,30.3,HOU,Forward,180,0,30.0%,6,31%,89,57%,50,33%,94,50%,0,15%,0,14%,0,15%
Leandro Barbosa,32.9,GSW,Wing,212,97,65.5%,66,63%,90,63%,100,86%,100,70%,0,67%,0,25%,72,43%
J.J. Barea,31.3,DAL,Point,100,13,34.8%,13,33%,38,35%,100,67%,50,40%,0,0%,0,17%,0,14%
Harrison Barnes,23.4,GSW,Forward,720,28,44.4%,50,60%,39,24%,61,37%,44,29%,20,41%,30,28%,56,35%
Matt Barnes,35.6,MEM,Forward,138,17,38.9%,28,55%,44,25%,39,25%,28,25%,0,0%,0,21%,6,18%
Nicolas Batum,26.9,CHA,Wing,143,21,44.4%,97,86%,59,50%,10,20%,28,31%,0,25%,25,28%,16,27%
Kent Bazemore,26.3,ATL,Wing,324,17,43.7%,31,51%,0,0%,66,42%,34,33%,29,32%,6,24%,12,27%
Patrick Beverley,27.3,HOU,Point,128,0,31.1%,6,25%,69,42%,0,0%,6,33%,0,20%,0,22%,0,21%
Bismack Biyombo,23.2,TOR,Big,504,76,58.0%,61,67%,0,13%,63,43%,5,27%,0,0%,0,0%,0,0%
Andrew Bogut,30.9,GSW,Big,364,84,62.3%,68,68%,87,53%,0,0%,89,53%,0,0%,0,0%,0,0%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,79,56.0%,59,63%,21,22%,79,50%,34,33%,0,64%,38,31%,80,44%
DeMarre Carroll,29.3,TOR,Forward,595,33,46.8%,56,61%,56,29%,22,14%,33,26%,100,56%,10,22%,38,33%
Ian Clark,24.7,GSW,Combo,109,92,51.4%,62,64%,85,44%,100,75%,100,54%,0,0%,0,27%,0,25%
Allen Crabbe,23.6,POR,Wing,298,90,63.2%,76,67%,97,69%,79,50%,93,59%,0,44%,88,43%,76,44%
Jamal Crawford,35.6,LAC,Wing,197,7,40.2%,69,64%,52,41%,59,38%,52,39%,0,0%,0,24%,8,20%
Jae Crowder,25.3,BOS,Forward,195,11,33.8%,17,53%,0,0%,0,0%,0,0%,0,36%,0,20%,13,24%
Stephen Curry,27.6,GSW,Point,612,94,56.8%,56,52%,81,46%,63,44%,81,45%,0,46%,100,41%,92,42%
Ed Davis,26.4,POR,Big,204,63,55.3%,39,57%,71,50%,0,0%,82,50%,0,0%,0,0%,0,0%
DeMar DeRozan,26.2,TOR,Wing,745,3,40.1%,24,49%,55,44%,52,37%,55,39%,0,20%,0,13%,4,16%
Matthew Dellavedova,25.1,CLE,Point,218,19,39.8%,13,33%,94,50%,6,20%,75,44%,0,44%,0,17%,17,26%
Luol Deng,30.5,MIA,Forward,492,78,55.8%,33,58%,94,65%,44,31%,89,44%,60,48%,70,35%,94,42%
Boris Diaw,33.5,SAS,Big,138,34,48.8%,34,53%,47,40%,63,43%,55,41%,0,100%,0,25%,0,40%
Goran Dragic,29.5,MIA,Point,470,75,48.5%,63,55%,63,41%,56,43%,69,42%,0,27%,82,38%,75,36%
Andre Drummond,22.2,DET,Big,131,61,52.8%,58,64%,47,40%,0,0%,50,40%,0,0%,0,0%,0,0%
Tim Duncan,39.5,SAS,Big,216,16,42.3%,13,45%,55,41%,29,0%,45,39%,0,0%,0,0%,0,0%
Kevin Durant,27.1,OKC,Forward,723,39,47.2%,67,64%,78,37%,83,47%,78,43%,0,43%,40,28%,19,29%
Monta Ellis,30.0,IND,Combo,225,38,48.0%,23,56%,54,40%,31,39%,38,39%,0,17%,0,40%,38,33%
Festus Ezeli,26.0,GSW,Big,187,74,56.9%,55,63%,45,39%,97,100%,61,42%,0,0%,0,0%,0,0%
Jordan Farmar,28.9,MEM,Point,100,6,34.6%,0,20%,25,33%,63,44%,63,42%,0,0%,0,25%,0,22%
Raymond Felton,31.3,DAL,Combo,160,77,50.8%,46,59%,15,25%,92,73%,92,48%,0,50%,0,22%,0,27%
Randy Foye,32.1,OKC,Combo,148,0,38.9%,92,100%,0,0%,38,40%,8,29%,0,50%,0,15%,0,26%
Channing Frye,32.5,CLE,Big,227,100,79.7%,100,89%,11,25%,63,43%,34,36%,0,43%,100,67%,100,59%
Paul George,25.5,IND,Forward,274,61,52.8%,22,53%,83,39%,89,47%,83,44%,0,55%,90,38%,88,42%
Manu Ginobili,38.3,SAS,Wing,190,59,53.3%,97,86%,45,38%,3,0%,14,26%,0,40%,0,47%,88,45%
Danny Green,28.4,SAS,Wing,263,100,65.6%,38,56%,0,0%,10,20%,3,14%,86,50%,100,50%,100,50%
Draymond Green,25.7,GSW,Big,876,45,50.4%,26,51%,21,31%,87,47%,37,37%,0,33%,14,38%,33,37%
Jeff Green,29.2,LAC,Forward,154,56,51.1%,78,65%,61,33%,33,17%,39,27%,0,100%,0,25%,0,40%
Blake Griffin,26.6,LAC,Big,126,8,38.7%,32,52%,13,27%,45,26%,5,27%,0,0%,0,100%,0,50%
James Harden,26.2,HOU,Combo,192,15,46.9%,0,50%,92,53%,54,41%,85,47%,0,20%,20,31%,13,30%
Maurice Harkless,22.5,POR,Forward,270,50,49.5%,39,58%,22,21%,0,0%,17,19%,40,45%,20,25%,50,34%
Devin Harris,32.7,DAL,Wing,117,83,58.6%,72,64%,100,100%,79,50%,97,67%,0,0%,0,44%,0,33%
Tobias Harris,23.3,DET,Big,156,39,50.0%,50,60%,63,46%,50,33%,61,42%,0,43%,0,20%,0,33%
Gerald Henderson,27.9,POR,Wing,233,10,41.4%,59,63%,24,27%,31,29%,21,28%,0,25%,0,45%,52,37%
George Hill,29.5,IND,Point,234,100,67.5%,94,64%,100,67%,94,57%,100,63%,0,47%,0,50%,100,48%
Solomon Hill,24.6,IND,Forward,195,100,62.9%,11,33%,0,0%,0,0%,0,0%,0,22%,0,90%,100,58%
Al Horford,29.4,ATL,Big,326,50,50.9%,61,67%,63,46%,39,24%,26,35%,0,0%,57,42%,44,39%
Dwight Howard,29.9,HOU,Big,176,68,55.3%,82,73%,8,24%,0,0%,3,24%,0,0%,0,0%,0,0%
Serge Ibaka,26.1,OKC,Big,599,82,61.8%,97,84%,71,50%,82,46%,74,47%,50,41%,86,49%,78,46%
Andre Iguodala,31.8,GSW,Forward,765,83,55.9%,83,69%,11,18%,72,42%,56,32%,0,38%,100,41%,75,40%
Kyrie Irving,23.6,CLE,Combo,771,100,53.6%,15,54%,77,44%,77,48%,77,46%,0,52%,80,42%,88,44%
Reggie Jackson,25.5,DET,Point,147,69,48.2%,100,70%,44,38%,81,56%,88,47%,0,0%,9,18%,0,17%
LeBron James,30.8,CLE,Forward,819,89,56.4%,89,69%,61,33%,67,41%,72,37%,0,17%,80,37%,44,34%
Al Jefferson,30.8,CHA,Big,168,47,50.6%,79,71%,61,45%,37,17%,42,38%,0,0%,0,0%,0,0%
Richard Jefferson,35.4,CLE,Forward,338,94,60.4%,94,72%,44,25%,94,50%,61,33%,0,50%,0,20%,69,38%
Jonas Jerebko,28.7,BOS,Forward,162,72,55.4%,72,65%,100,67%,94,50%,100,57%,0,25%,60,33%,31,32%
Amir Johnson,28.5,BOS,Big,133,92,66.7%,74,69%,100,80%,0,0%,100,80%,0,0%,0,0%,0,0%
Joe Johnson,34.3,MIA,Wing,489,48,48.4%,55,62%,83,58%,24,29%,79,47%,0,18%,56,34%,28,30%
DeAndre Jordan,27.3,LAC,Big,197,89,63.2%,76,70%,5,20%,0,0%,0,20%,0,0%,0,0%,0,0%
Cory Joseph,24.2,TOR,Combo,437,69,49.7%,77,70%,38,36%,23,39%,31,38%,0,50%,0,29%,63,36%
Frank Kaminsky,22.6,CHA,Big,184,3,34.9%,0,33%,26,33%,29,0%,16,31%,0,50%,0,23%,0,27%
Enes Kanter,23.4,OKC,Big,296,79,58.5%,84,74%,58,44%,58,40%,66,42%,0,17%,0,0%,0,17%
Kyle Korver,34.6,ATL,Wing,315,93,63.5%,93,75%,59,50%,41,36%,48,38%,0,50%,94,44%,92,45%
Courtney Lee,30.1,CHA,Wing,256,24,45.1%,7,38%,79,57%,48,37%,69,42%,0,0%,0,50%,0,44%
Kawhi Leonard,24.3,SAS,Wing,337,76,55.8%,90,74%,41,38%,38,35%,41,36%,0,91%,19,27%,96,46%
Damian Lillard,25.3,POR,Point,436,50,45.6%,31,43%,6,23%,19,28%,0,26%,0,57%,91,39%,83,40%
Jeremy Lin,27.2,CHA,Combo,188,8,44.4%,54,60%,23,30%,8,22%,0,26%,0,0%,0,25%,0,23%
Shaun Livingston,30.1,GSW,Combo,507,46,48.5%,31,59%,69,42%,85,50%,62,45%,0,0%,0,0%,0,0%
Kevin Love,27.1,CLE,Big,611,29,48.1%,3,34%,37,36%,55,39%,39,37%,100,45%,14,38%,56,41%
Kyle Lowry,29.6,TOR,Point,765,56,45.9%,81,61%,19,31%,44,42%,31,37%,0,17%,45,31%,42,30%
Ian Mahinmi,29.0,IND,Big,171,39,50.0%,42,58%,13,27%,0,0%,11,27%,0,0%,0,0%,0,0%
Wesley Matthews,29.0,DAL,Wing,173,14,41.7%,3,29%,86,60%,62,38%,76,44%,0,36%,13,25%,20,29%
CJ McCollum,24.1,POR,Combo,441,31,47.7%,38,59%,31,35%,69,48%,54,43%,0,29%,40,36%,50,34%
Josh McRoberts,28.7,MIA,Big,121,24,47.1%,61,67%,89,56%,89,50%,92,53%,0,0%,0,0%,0,0%
Patty Mills,27.2,SAS,Combo,160,85,51.0%,92,100%,100,100%,62,42%,69,46%,0,20%,60,38%,25,32%
Paul Millsap,30.7,ATL,Big,364,18,46.0%,45,59%,26,33%,76,44%,29,36%,0,0%,0,30%,11,24%
Marcus Morris,26.2,DET,Wing,143,62,54.3%,83,70%,59,50%,41,36%,66,42%,0,33%,0,42%,60,39%
Dirk Nowitzki,37.4,DAL,Big,169,53,51.8%,89,77%,68,48%,74,44%,71,46%,0,100%,0,30%,0,36%
