Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Ray Allen,32.3,BOS,Wing,984,74,52.6%,55,58%,23,26%,35,38%,23,33%,75,50%,67,38%,75,41%
Rafer Alston,31.3,HOU,Point,125,81,55.2%,50,56%,50,33%,50,40%,31,36%,0,50%,50,43%,55,44%
Carmelo Anthony,23.4,DEN,Forward,146,0,36.8%,0,38%,67,38%,40,33%,47,35%,0,0%,0,29%,0,25%
Leandro Barbosa,24.9,PHX,Combo,137,25,40.4%,17,39%,83,60%,17,29%,100,47%,0,10%,0,43%,29,24%
Andrea Bargnani,22.0,TOR,Big,103,7,38.5%,11,50%,0,0%,55,38%,36,35%,0,0%,0,27%,20,25%
Brent Barry,35.8,SAS,Wing,190,100,74.4%,90,75%,74,50%,84,50%,81,50%,0,50%,100,52%,95,52%
Brandon Bass,22.5,DAL,Big,131,52,48.6%,34,58%,9,20%,75,45%,45,38%,0,0%,0,0%,0,0%
Shane Battier,29.1,HOU,Forward,245,87,60.5%,93,71%,13,25%,13,25%,13,25%,0,58%,0,42%,82,50%
Raja Bell,31.1,PHX,Wing,212,97,74.3%,3,33%,87,67%,81,45%,81,50%,0,67%,0,64%,100,65%
Mike Bibby,29.5,ATL,Point,250,6,39.2%,88,67%,81,50%,6,23%,13,28%,0,33%,10,29%,9,29%
Chauncey Billups,31.1,DET,Point,479,31,47.4%,31,47%,44,31%,56,41%,50,38%,0,25%,40,39%,36,38%
Keith Bogans,27.5,ORL,Wing,291,35,47.8%,58,58%,16,20%,16,33%,6,27%,13,31%,58,38%,45,33%
Carlos Boozer,25.9,UTA,Big,440,14,41.5%,27,57%,43,35%,27,24%,18,30%,0,0%,0,0%,0,0%
Chris Bosh,23.6,TOR,Big,198,45,48.3%,98,79%,25,29%,36,31%,20,31%,0,0%,0,20%,0,17%
Bruce Bowen,36.4,SAS,Wing,505,68,51.6%,100,100%,3,0%,71,45%,32,35%,50,41%,0,33%,65,41%
Ronnie Brewer,22.6,UTA,Wing,304,71,52.6%,81,69%,68,40%,39,38%,39,39%,0,0%,0,17%,0,17%
P.J. Brown,38.0,BOS,Big,329,34,46.3%,39,59%,32,33%,80,46%,68,42%,0,0%,0,0%,0,0%
Kobe Bryant,29.2,LAL,Wing,859,65,51.4%,71,63%,84,59%,58,42%,77,48%,0,33%,33,31%,20,31%
Caron Butler,27.6,WAS,Wing,245,48,48.9%,65,60%,97,70%,39,38%,74,47%,0,33%,0,22%,5,24%
Jose Calderon,26.1,TOR,Point,118,88,56.3%,50,56%,13,0%,44,39%,25,35%,0,67%,70,50%,82,53%
Marcus Camby,33.6,DEN,Big,123,0,26.2%,2,25%,0,0%,23,17%,2,13%,0,100%,0,0%,0,100%
Sam Cassell,38.0,BOS,Combo,259,8,36.4%,8,22%,50,37%,67,40%,58,39%,0,0%,0,26%,14,22%
Tyson Chandler,25.1,NOP,Big,409,95,63.2%,68,66%,32,33%,0,0%,25,33%,0,0%,0,0%,0,0%
Josh Childress,24.4,ATL,Wing,193,77,52.6%,52,58%,19,25%,0,0%,3,25%,0,0%,0,0%,0,0%
Samuel Dalembert,27.5,PHI,Big,192,18,42.2%,18,52%,9,20%,32,27%,7,25%,0,0%,0,0%,0,0%
Antonio Daniels,32.6,WAS,Point,151,25,46.8%,94,80%,94,55%,19,27%,75,41%,0,0%,0,33%,0,25%
Glen Davis,21.8,BOS,Big,112,5,38.1%,5,38%,73,50%,9,0%,61,40%,0,0%,0,0%,0,0%
Carlos Delfino,25.2,TOR,Wing,120,26,45.9%,58,58%,32,33%,61,43%,48,40%,0,0%,0,31%,0,27%
Boris Diaw,25.5,PHX,Big,174,80,54.7%,100,89%,86,53%,66,42%,86,47%,0,0%,0,0%,0,0%
Keyon Dooling,27.5,ORL,Combo,141,83,50.0%,50,50%,0,13%,83,45%,25,32%,0,67%,50,41%,86,45%
Tim Duncan,31.5,SAS,Big,662,30,45.5%,30,57%,55,40%,43,33%,48,38%,0,0%,0,25%,0,25%
Maurice Evans,29.0,ORL,Wing,277,90,61.0%,68,61%,32,33%,97,75%,90,57%,63,43%,0,38%,80,42%
Reggie Evans,27.5,PHI,Big,139,41,48.0%,11,50%,73,50%,43,33%,73,43%,0,0%,0,0%,0,0%
Jordan Farmar,20.9,LAL,Point,341,19,44.3%,13,45%,19,17%,13,24%,0,22%,0,14%,60,45%,45,39%
Michael Finley,34.7,SAS,Forward,373,47,49.5%,67,67%,80,44%,73,43%,73,43%,0,50%,43,31%,27,35%
Derek Fisher,33.2,LAL,Point,663,75,53.1%,44,55%,25,30%,94,46%,88,44%,0,55%,30,37%,55,44%
T.J. Ford,24.6,TOR,Point,124,0,37.1%,6,39%,50,33%,81,43%,69,41%,0,0%,0,14%,0,13%
Kevin Garnett,31.5,BOS,Big,984,59,49.9%,55,61%,68,48%,73,45%,84,46%,0,0%,0,29%,0,29%
Pau Gasol,27.3,LAL,Big,834,73,52.8%,73,68%,41,34%,41,32%,25,33%,0,0%,0,0%,0,0%
Daniel Gibson,21.7,CLE,Combo,276,100,58.6%,42,44%,42,33%,92,48%,83,44%,0,42%,75,52%,100,48%
Manu Ginobili,30.3,SAS,Wing,554,61,50.7%,32,53%,65,39%,48,39%,45,39%,0,50%,50,36%,55,38%
Willie Green,26.3,PHI,Wing,141,19,44.1%,23,50%,10,17%,84,50%,48,40%,0,0%,0,33%,0,20%
Richard Hamilton,29.7,DET,Wing,648,52,48.9%,74,63%,81,53%,55,40%,68,44%,0,27%,0,33%,20,31%
Matt Harpring,31.4,UTA,Wing,208,13,40.5%,77,65%,55,38%,3,21%,0,24%,0,33%,0,0%,0,33%
Chuck Hayes,24.4,HOU,Big,103,100,77.8%,89,71%,100,100%,0,0%,100,100%,0,0%,0,0%,0,0%
