Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
LaMarcus Aldridge,23.3,POR,Big,236,40,50.5%,38,50.0%,0,50.0%,0,70.0%,83,55%,28,73%,90,49%,75,100%
Ray Allen,33.3,BOS,Wing,564,55,48.8%,48,45.3%,35,35.0%,100,94.8%,27,75%,27,60%,27,61%,42,94%
Rafer Alston,32.3,ORL,Point,739,24,44.9%,18,42.2%,50,32.7%,43,75.0%,53,38%,82,18%,88,10%,41,86%
Chris Andersen,30.3,DEN,Big,317,95,62.3%,95,63.5%,0,0.0%,19,63.9%,65,61%,65,57%,38,80%,0,0%
Carmelo Anthony,24.4,DEN,Forward,610,60,49.8%,70,47.8%,60,38.1%,100,82.6%,70,51%,50,45%,60,43%,80,83%
Trevor Ariza,23.3,LAL,Wing,720,88,60.5%,76,51.5%,88,47.6%,6,56.3%,24,75%,24,61%,39,55%,39,95%
J.J. Barea,24.4,DAL,Combo,207,50,47.8%,75,47.2%,0,33.3%,0,69.2%,100,17%,92,12%,92,13%,100,40%
Brandon Bass,23.5,DAL,Big,186,63,54.2%,63,54.2%,0,0.0%,95,90.3%,40,72%,10,83%,53,65%,0,0%
Tony Battie,32.7,ORL,Big,124,15,44.2%,15,44.2%,0,0.0%,0,60.0%,15,84%,30,71%,15,92%,0,0%
Shane Battier,30.1,HOU,Wing,495,70,51.2%,91,59.3%,15,31.5%,0,95.7%,21,76%,39,50%,42,50%,3,100%
Michael Beasley,19.8,MIA,Big,163,3,40.1%,3,40.0%,0,27.3%,0,66.7%,100,39%,98,7%,57,62%,75,100%
Mike Bibby,30.5,ATL,Point,387,94,59.6%,6,39.7%,100,56.5%,0,95.0%,18,67%,41,29%,12,50%,35,88%
Chauncey Billups,32.1,DEN,Combo,616,83,57.1%,50,45.1%,89,46.8%,100,90.6%,75,33%,100,11%,67,25%,92,48%
Steve Blake,28.7,POR,Point,229,100,60.0%,94,57.1%,75,41.7%,0,71.4%,47,45%,41,29%,71,20%,71,70%
Carlos Boozer,26.9,UTA,Big,185,55,52.8%,57,52.8%,0,0.0%,76,77.1%,55,63%,40,67%,60,61%,0,0%
Bruce Bowen,37.4,SAS,Wing,122,97,66.7%,67,50.0%,0,50.0%,0,100.0%,0,100%,0,0%,0,100%,3,100%
Ronnie Brewer,23.6,UTA,Wing,157,3,40.8%,27,42.6%,0,0.0%,0,68.8%,15,80%,6,82%,15,78%,0,0%
Aaron Brooks,23.8,HOU,Combo,438,75,54.3%,67,47.1%,78,45.0%,0,80.4%,92,28%,75,19%,100,4%,83,56%
Shannon Brown,22.9,LAL,Point,260,76,51.2%,12,41.1%,92,50.0%,0,79.2%,0,74%,0,82%,12,50%,29,92%
Kobe Bryant,30.2,LAL,Wing,939,58,49.4%,64,48.5%,38,35.9%,88,88.3%,91,24%,73,20%,79,19%,94,46%
Rasual Butler,29.4,NOP,Wing,155,91,61.1%,12,38.9%,100,55.6%,0,100.0%,36,65%,39,50%,55,40%,76,80%
Andrew Bynum,21.0,LAL,Big,399,23,45.7%,25,45.7%,0,0.0%,24,65.1%,60,62%,50,65%,73,59%,0,0%
Anthony Carter,33.4,DEN,Point,212,12,43.8%,82,50.0%,0,16.7%,0,50.0%,6,70%,18,60%,0,75%,6,100%
Mario Chalmers,22.5,MIA,Point,230,41,46.0%,71,48.3%,17,28.6%,0,71.4%,88,25%,100,10%,59,25%,94,50%
Daequan Cook,21.5,MIA,Wing,142,27,46.1%,3,33.3%,31,34.6%,0,0.0%,6,92%,39,50%,0,100%,3,100%
Samuel Dalembert,28.5,PHI,Big,133,98,64.0%,98,64.0%,0,0.0%,0,75.0%,80,56%,78,55%,65,60%,0,0%
Erick Dampier,33.3,DAL,Big,254,90,61.1%,90,61.1%,0,0.0%,0,61.9%,50,64%,68,56%,35,83%,0,0%
Glen Davis,22.8,BOS,Big,509,28,49.1%,35,49.1%,0,0.0%,52,71.0%,23,80%,23,74%,23,87%,0,0%
Tim Duncan,32.5,SAS,Big,163,57,53.2%,60,53.2%,0,0.0%,5,60.7%,98,44%,68,56%,100,36%,0,0%
Maurice Evans,30.0,ATL,Wing,244,39,48.1%,82,53.6%,4,28.0%,0,66.7%,18,77%,9,75%,18,71%,61,86%
Jordan Farmar,21.9,LAL,Point,246,47,46.3%,53,44.4%,42,32.4%,0,71.4%,35,53%,24,44%,53,27%,65,83%
Rudy Fernandez,23.6,POR,Wing,158,79,54.3%,36,43.8%,73,42.1%,0,100.0%,45,60%,91,0%,42,50%,55,88%
Michael Finley,35.7,SAS,Forward,143,80,54.4%,30,42.1%,0,46.7%,0,75.0%,40,73%,70,40%,20,67%,0,100%
Derek Fisher,34.2,LAL,Point,635,35,45.3%,65,47.3%,8,28.4%,100,86.1%,12,70%,6,64%,6,64%,59,84%
Pau Gasol,28.3,LAL,Big,926,85,58.0%,85,58.0%,0,0.0%,57,71.4%,93,49%,88,51%,95,46%,0,0%
Daniel Gibson,22.7,CLE,Combo,152,33,45.6%,8,22.2%,33,36.0%,0,100.0%,17,91%,0,0%,0,100%,50,89%
Ben Gordon,25.6,CHI,Wing,303,24,45.8%,18,39.8%,65,38.6%,81,87.5%,82,40%,85,10%,61,36%,82,65%
Marcin Gortat,24.7,ORL,Big,263,100,65.4%,100,65.4%,0,0.0%,0,60.0%,0,94%,0,93%,3,100%,0,0%
Willie Green,27.3,PHI,Wing,147,9,45.1%,24,42.5%,0,36.4%,0,33.3%,33,71%,3,100%,30,60%,3,100%
Richard Hamilton,30.7,DET,Wing,153,0,37.9%,9,38.8%,0,22.2%,0,90.0%,70,48%,82,14%,33,58%,3,100%
Udonis Haslem,28.4,MIA,Big,203,65,54.3%,65,54.3%,0,0.0%,0,90.0%,8,88%,35,70%,3,100%,0,0%
Chuck Hayes,25.4,HOU,Big,168,30,50.0%,53,52.6%,0,0.0%,0,0.0%,68,60%,60,60%,65,60%,0,0%
Nene Hilario,26.1,DEN,Big,521,73,55.2%,75,55.2%,0,0.0%,29,65.7%,18,83%,13,82%,28,85%,0,0%
