Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,28.3,MEM,Big,1997,80,+1.9%,63,+0.9%,70,+1.8%,65,+1.9%,71,+1.7%,68,+2.2%,91,+3.8%,91,+3.4%
LaMarcus Aldridge,36.3,BKN,Big,1047,50,-0.2%,25,-3.2%,91,+4.9%,74,+3.7%,92,+4.5%,81,+4.2%,39,-0.9%,56,+0.3%
Justin Anderson,28.0,IND,Forward,260,72,+1.3%,17,-4.6%,41,-1.3%,94,+9.1%,80,+2.8%,89,+6.4%,81,+2.4%,89,+3.2%
Kyle Anderson,28.1,MEM,Forward,1458,43,-0.8%,81,+2.9%,33,-2.0%,9,-8.2%,18,-3.3%,72,+2.8%,24,-2.3%,38,-0.9%
Giannis Antetokounmpo,26.9,MIL,Big,2189,97,+4.3%,98,+7.3%,45,-1.0%,86,+6.2%,70,+1.7%,87,+5.6%,39,-0.9%,67,+0.9%
Thanasis Antetokounmpo,29.3,MIL,Big,359,35,-1.3%,27,-2.8%,46,-0.8%,33,-2.1%,35,-1.5%,12,-6.7%,75,+1.9%,49,-0.2%
Carmelo Anthony,37.4,LAL,Big,1784,62,+0.6%,31,-2.3%,73,+2.1%,78,+4.3%,82,+3.0%,86,+5.5%,51,-0.1%,71,+1.2%
Trevor Ariza,36.3,LAL,Forward,453,19,-2.5%,24,-3.2%,68,+1.4%,26,-3.4%,44,-0.8%,46,-0.4%,14,-3.2%,16,-2.7%
D.J. Augustin,34.0,HOU,Point,507,65,+0.8%,39,-1.4%,97,+7.9%,83,+5.1%,98,+7.2%,24,-3.7%,55,+0.2%,42,-0.7%
D.J. Augustin,34.0,LAL,Combo,357,19,-2.5%,9,-6.3%,6,-7.9%,94,+9.0%,34,-1.6%,36,-1.5%,75,+1.8%,67,+0.9%
Harrison Barnes,29.4,SAC,Forward,2581,71,+1.2%,65,+1.1%,56,+0.3%,82,+4.9%,71,+1.8%,73,+2.9%,50,-0.2%,62,+0.6%
Will Barton,30.8,DEN,Wing,2272,51,-0.2%,88,+4.1%,55,+0.1%,31,-2.5%,43,-0.8%,8,-7.8%,60,+0.6%,28,-1.5%
Nicolas Batum,32.9,LAC,Forward,1457,12,-3.3%,53,-0.1%,24,-3.0%,12,-7.1%,9,-4.8%,64,+1.6%,11,-3.7%,20,-2.2%
Kent Bazemore,32.3,LAL,Wing,487,5,-5.0%,13,-5.3%,16,-4.1%,37,-1.6%,21,-2.9%,16,-5.7%,14,-3.2%,9,-3.9%
Bradley Beal,28.3,WAS,Combo,1438,28,-1.7%,33,-2.1%,47,-0.6%,33,-2.1%,38,-1.2%,16,-5.7%,13,-3.3%,11,-3.5%
Malik Beasley,24.9,MIN,Wing,1959,50,-0.3%,46,-0.8%,65,+1.2%,6,-10.2%,32,-1.8%,39,-1.2%,56,+0.4%,56,+0.3%
DeAndre' Bembry,27.3,BKN,Wing,894,69,+1.0%,89,+4.2%,72,+1.9%,29,-3.0%,53,+0.1%,86,+5.5%,23,-2.3%,47,-0.4%
Davis Bertans,29.0,WAS,Forward,489,46,-0.5%,19,-4.1%,30,-2.2%,74,+3.6%,47,-0.5%,99,+12.8%,12,-3.4%,52,+0.0%
Davis Bertans,29.0,DAL,Forward,285,68,+0.9%,6,-7.5%,5,-8.4%,95,+9.2%,12,-4.2%,90,+6.8%,93,+4.4%,97,+5.0%
Patrick Beverley,33.3,MIN,Combo,1473,33,-1.4%,59,+0.4%,23,-3.1%,53,+0.3%,28,-2.1%,44,-0.7%,29,-1.8%,27,-1.6%
Bismack Biyombo,29.2,PHX,Big,440,20,-2.4%,23,-3.5%,8,-6.7%,65,+1.9%,16,-3.8%,96,+9.2%,4,-5.6%,34,-1.2%
Nemanja Bjelica,33.5,GSW,Big,1093,48,-0.3%,30,-2.4%,44,-1.0%,94,+9.1%,77,+2.4%,16,-5.6%,47,-0.4%,27,-1.6%
Eric Bledsoe,31.9,LAC,Point,1358,34,-1.4%,46,-0.7%,6,-7.8%,34,-2.0%,9,-5.2%,91,+7.2%,23,-2.3%,50,-0.1%
Bojan Bogdanovic,32.5,UTA,Forward,2121,67,+0.9%,68,+1.4%,84,+3.5%,55,+0.5%,80,+2.9%,42,-0.9%,55,+0.2%,51,-0.1%
Devin Booker,25.0,PHX,Wing,2343,95,+3.8%,95,+6.1%,94,+5.8%,74,+3.6%,95,+5.0%,89,+6.6%,59,+0.5%,82,+2.3%
Avery Bradley,30.9,LAL,Wing,1384,30,-1.7%,25,-3.1%,4,-8.9%,84,+5.3%,26,-2.3%,46,-0.5%,65,+1.0%,66,+0.9%
Malcolm Brogdon,28.9,IND,Combo,1205,38,-1.1%,77,+2.4%,49,-0.5%,85,+5.6%,71,+1.7%,42,-0.9%,6,-5.2%,8,-4.0%
Jaylen Brown,25.0,BOS,Wing,2220,83,+2.0%,86,+3.7%,85,+3.6%,32,-2.4%,69,+1.5%,31,-2.4%,67,+1.1%,59,+0.4%
Reggie Bullock,30.6,DAL,Forward,1893,71,+1.2%,45,-0.8%,74,+2.2%,68,+2.5%,78,+2.5%,57,+0.9%,53,+0.1%,61,+0.5%
