Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Alex Acker,25.8,LAC,Wing,132,71,0.8%,32,1.1%,72,2.6%,96,5.2%,13,7.4%,0,0.0%,0,0.0%
Arron Afflalo,23.0,DET,Wing,1193,54,0.6%,26,1.1%,4,5.5%,51,2.6%,27,8.1%,53,1.1%,75,15.5%
Alexis Ajinca,20.5,CHA,Big,136,72,2.7%,79,1.4%,2,9.7%,18,6.3%,2,9.8%,0,0.0%,79,37.5%
LaMarcus Aldridge,23.3,POR,Big,2993,40,1.5%,70,1.2%,98,2.7%,46,8.7%,19,13.4%,62,4.1%,41,26.6%
Joe Alexander,21.9,MIL,Forward,612,96,2.4%,18,0.9%,5,6.7%,73,6.1%,20,10.5%,0,0.0%,25,14.3%
Malik Allen,30.3,MIL,Big,522,31,1.3%,14,0.6%,20,6.7%,15,5.9%,18,13.3%,96,13.8%,1,8.8%
Ray Allen,33.3,BOS,Wing,2866,13,0.2%,31,1.1%,84,2.4%,55,2.8%,16,7.6%,57,1.2%,36,5.8%
Tony Allen,26.8,BOS,Wing,782,94,1.5%,98,2.6%,22,4.1%,57,2.9%,44,9.3%,0,0.0%,71,15.1%
Morris Almond,23.7,UTA,Wing,233,79,0.9%,4,0.6%,8,5.1%,87,4.3%,48,9.6%,0,0.0%,88,21.1%
Rafer Alston,32.3,HOU,Point,1587,56,0.2%,39,1.6%,91,2.0%,48,1.7%,20,7.8%,0,0.0%,65,3.3%
Rafer Alston,32.3,ORL,Point,853,43,0.2%,93,2.8%,59,3.1%,9,0.9%,56,8.9%,87,1.5%,52,2.2%
Lou Amundson,25.9,PHX,Big,909,78,3.1%,64,1.2%,20,6.7%,93,13.1%,15,12.5%,87,8.1%,28,21.8%
Chris Andersen,30.3,DEN,Big,1412,99,6.1%,60,1.1%,55,4.8%,88,12.3%,41,15.7%,65,4.5%,97,49.4%
