Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Arron Afflalo,26.0,DEN,Wing,228,0,80.0%,24,5.2%,24,1.0%,0,0.0%
Lavoy Allen,22.7,PHI,Big,234,0,58.3%,36,10.6%,0,0.0%,74,28.6%
Ray Allen,36.3,BOS,Wing,610,25,71.1%,51,7.8%,51,1.4%,54,7.1%
Tony Allen,29.8,MEM,Wing,170,0,70.6%,92,15.4%,35,1.1%,59,12.5%
Ryan Anderson,23.5,ORL,Big,172,0,85.7%,21,8.5%,62,2.3%,64,25.0%
Carmelo Anthony,27.4,NYK,Forward,203,25,75.6%,75,13.0%,25,1.4%,63,22.2%
Joel Anthony,29.2,MIA,Big,319,0,79.2%,91,27.8%,23,1.4%,23,10.0%
Omer Asik,25.3,CHI,Big,128,0,35.3%,98,35.0%,79,3.0%,36,14.3%
Leandro Barbosa,28.9,IND,Wing,214,0,50.0%,65,9.0%,3,0.4%,86,28.6%
Matt Barnes,31.6,LAL,Wing,173,0,50.0%,14,3.6%,8,0.5%,0,0.0%
Brandon Bass,26.5,BOS,Big,603,100,92.2%,62,14.9%,13,1.1%,13,6.7%
Shane Battier,33.1,MIA,Wing,761,0,81.3%,14,3.6%,27,1.0%,0,0.0%
Mike Bibby,33.5,NYK,Point,108,0,66.7%,12,4.8%,0,0.8%,0,0.0%
Steve Blake,31.7,LAL,Point,298,0,71.4%,0,0.0%,12,1.0%,100,0.0%
Eric Bledsoe,21.9,LAC,Combo,184,0,62.5%,30,6.3%,80,1.8%,60,25.0%
Matt Bonner,31.6,SAS,Big,156,0,60.0%,0,3.4%,4,0.6%,0,0.0%
Carlos Boozer,29.9,CHI,Big,200,0,71.4%,2,4.4%,28,1.4%,100,75.0%
Chris Bosh,27.6,MIA,Big,438,86,82.7%,60,14.5%,36,1.5%,83,29.2%
