Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Ray Allen,32.3,BOS,Wing,984,48,17.7%,84,119.5,65,12.5%,52,0.70,52,10.4%
Rafer Alston,31.3,HOU,Point,125,56,23.2%,75,114.0,44,27.7%,38,1.19,75,9.9%
Carmelo Anthony,23.4,DEN,Forward,146,93,30.7%,0,88.0,67,10.4%,40,0.34,53,11.1%
Leandro Barbosa,24.9,PHX,Combo,137,33,20.1%,25,92.7,8,9.3%,8,0.46,67,6.7%
Andrea Bargnani,22.0,TOR,Big,103,55,16.9%,7,80.0,18,2.9%,9,0.17,100,5.3%
Brent Barry,35.8,SAS,Wing,190,10,11.3%,100,154.5,61,12.3%,100,1.09,45,10.8%
Brandon Bass,22.5,DAL,Big,131,52,16.5%,91,123.4,14,2.9%,7,0.17,91,6.4%
Shane Battier,29.1,HOU,Forward,245,0,9.6%,87,125.5,7,2.1%,7,0.22,7,16.5%
Raja Bell,31.1,PHX,Wing,212,3,10.2%,97,151.1,29,7.4%,58,0.73,48,10.6%
Mike Bibby,29.5,ATL,Point,250,38,18.6%,0,87.8,13,16.8%,13,0.90,25,13.1%
Chauncey Billups,31.1,DET,Point,479,75,26.9%,63,112.6,56,30.6%,31,1.14,94,7.6%
Keith Bogans,27.5,ORL,Wing,291,23,12.6%,26,101.4,19,6.1%,29,0.49,65,9.3%
Carlos Boozer,25.9,UTA,Big,440,84,24.9%,14,91.4,80,13.1%,61,0.53,39,14.6%
Chris Bosh,23.6,TOR,Big,198,91,26.1%,75,114.3,86,16.1%,73,0.62,64,11.5%
Bruce Bowen,36.4,SAS,Wing,505,0,9.8%,42,106.1,26,7.1%,61,0.73,74,8.9%
Ronnie Brewer,22.6,UTA,Wing,304,39,15.8%,61,111.9,48,9.8%,45,0.62,100,3.8%
P.J. Brown,38.0,BOS,Big,329,16,10.9%,52,107.6,43,6.1%,64,0.57,30,16.6%
Kobe Bryant,29.2,LAL,Wing,859,97,33.8%,74,115.9,97,26.1%,71,0.77,35,11.1%
Caron Butler,27.6,WAS,Wing,245,77,23.6%,68,113.1,81,18.0%,68,0.76,23,12.3%
Jose Calderon,26.1,TOR,Point,118,81,27.6%,81,118.0,100,52.2%,94,1.89,88,8.8%
Marcus Camby,33.6,DEN,Big,123,23,12.5%,0,54.2,75,12.4%,91,0.99,5,26.3%
Sam Cassell,38.0,BOS,Combo,259,75,25.8%,8,79.0,67,18.7%,50,0.72,42,8.7%
Tyson Chandler,25.1,NOP,Big,409,9,8.8%,95,126.3,5,1.7%,14,0.20,45,13.6%
Josh Childress,24.4,ATL,Wing,193,6,10.8%,45,107.0,42,9.3%,87,0.85,97,4.5%
Samuel Dalembert,27.5,PHI,Big,192,39,14.5%,25,98.2,16,2.9%,16,0.20,27,16.7%
Antonio Daniels,32.6,WAS,Point,151,19,16.1%,69,113.5,25,20.2%,50,1.25,19,13.9%
Glen Davis,21.8,BOS,Big,112,41,14.6%,5,78.6,45,6.2%,48,0.42,9,20.9%
Carlos Delfino,25.2,TOR,Wing,120,52,18.3%,29,102.4,68,13.4%,65,0.73,90,6.6%
Boris Diaw,25.5,PHX,Big,174,77,21.0%,61,109.0,100,23.2%,98,1.11,80,10.0%
Keyon Dooling,27.5,ORL,Combo,141,42,21.9%,83,110.9,0,9.0%,0,0.41,33,10.0%
Tim Duncan,31.5,SAS,Big,662,100,27.4%,27,98.3,84,15.6%,66,0.57,68,10.7%
Maurice Evans,29.0,ORL,Wing,277,19,12.2%,90,122.2,10,4.0%,16,0.33,32,11.3%
Reggie Evans,27.5,PHI,Big,139,48,15.9%,59,108.3,30,3.7%,25,0.23,2,27.7%
Jordan Farmar,20.9,LAL,Point,341,25,18.0%,19,94.6,6,13.2%,0,0.73,56,11.6%
Michael Finley,34.7,SAS,Forward,373,20,12.3%,40,105.9,47,6.3%,53,0.51,87,6.1%
Derek Fisher,33.2,LAL,Point,663,6,14.0%,88,122.2,0,11.3%,6,0.81,81,9.8%
T.J. Ford,24.6,TOR,Point,124,94,31.9%,6,90.6,88,41.3%,56,1.29,69,11.3%
Kevin Garnett,31.5,BOS,Big,984,89,25.4%,50,107.3,91,17.6%,80,0.69,70,10.6%
Pau Gasol,27.3,LAL,Big,834,68,19.5%,73,112.1,89,16.1%,86,0.83,57,12.4%
Daniel Gibson,21.7,CLE,Combo,276,0,16.4%,100,119.8,58,18.2%,92,1.11,0,15.6%
Manu Ginobili,30.3,SAS,Wing,554,90,26.7%,77,116.3,87,20.7%,77,0.77,6,14.9%
Willie Green,26.3,PHI,Wing,141,74,22.5%,16,94.7,77,17.4%,74,0.77,10,13.4%
Richard Hamilton,29.7,DET,Wing,648,94,26.8%,65,112.3,84,18.6%,48,0.70,13,12.8%
Matt Harpring,31.4,UTA,Wing,208,65,19.2%,23,97.5,23,6.8%,23,0.36,16,12.8%
Chuck Hayes,24.4,HOU,Big,103,0,5.8%,100,155.6,59,7.5%,100,1.29,0,32.0%
Brendan Haywood,27.9,WAS,Big,178,43,14.7%,98,128.6,39,5.4%,41,0.37,82,9.1%
Al Horford,21.4,ATL,Big,265,57,17.1%,48,106.3,93,17.8%,93,1.04,32,15.8%
Robert Horry,37.2,SAS,Big,137,20,11.4%,2,66.7,55,6.8%,68,0.60,95,6.1%
Eddie House,29.5,BOS,Combo,136,8,16.7%,58,100.0,33,14.6%,75,0.87,83,6.1%
Dwight Howard,21.9,ORL,Big,421,70,19.6%,80,116.7,27,3.7%,11,0.19,23,18.1%
Josh Howard,27.5,DAL,Wing,170,84,25.3%,6,75.0,39,8.2%,13,0.32,55,9.7%
Lindsey Hunter,36.9,DET,Point,115,0,12.8%,31,105.0,19,20.0%,81,1.56,6,17.5%
Andre Iguodala,23.8,PHI,Wing,228,81,25.1%,13,91.9,90,22.2%,90,0.89,0,21.6%
Zydrunas Ilgauskas,32.4,CLE,Big,392,75,20.6%,43,105.6,70,10.8%,59,0.52,55,12.6%
Allen Iverson,32.4,DEN,Combo,157,100,28.8%,67,101.0,75,20.5%,42,0.71,75,6.5%
Bobby Jackson,34.6,HOU,Combo,137,83,27.0%,0,70.3,25,13.4%,25,0.50,92,5.2%
LeBron James,22.8,CLE,Forward,550,100,37.2%,33,104.6,100,39.1%,100,1.05,33,12.6%
Antawn Jamison,31.4,WAS,Forward,236,73,21.8%,7,93.5,27,5.0%,13,0.23,67,9.3%
Joe Johnson,26.3,ATL,Wing,274,87,25.5%,55,110.2,94,23.7%,94,0.93,39,11.0%
Jason Kapono,26.7,TOR,Forward,151,33,14.5%,100,144.4,20,4.5%,33,0.31,100,4.4%
Jason Kidd,34.6,DAL,Point,179,13,15.9%,25,102.4,63,31.2%,100,1.96,13,14.4%
Andrei Kirilenko,26.7,UTA,Wing,386,42,16.8%,35,103.1,58,11.9%,55,0.70,19,12.7%
Linas Kleiza,22.8,DEN,Wing,119,32,14.8%,81,117.0,3,2.7%,3,0.18,68,9.2%
Kyle Korver,26.6,UTA,Wing,258,29,14.5%,58,111.9,13,4.6%,10,0.32,58,9.6%
Carl Landry,24.1,HOU,Big,103,36,14.3%,30,100.0,0,0.0%,0,0.00,93,6.3%
Rashard Lewis,28.2,ORL,Big,415,80,23.0%,57,107.7,82,13.9%,70,0.60,66,11.4%
Kenyon Martin,29.8,DEN,Big,117,50,15.9%,16,92.1,50,6.4%,43,0.40,14,20.0%
Roger Mason Jr.,27.1,WAS,Combo,114,25,20.0%,17,81.4,17,9.8%,17,0.49,100,2.3%
Jason Maxiell,24.7,DET,Big,353,14,10.7%,89,121.3,57,7.2%,75,0.67,61,11.8%
Antonio McDyess,33.1,DET,Big,467,34,13.8%,77,115.3,41,6.0%,50,0.43,34,15.3%
Tracy McGrady,28.4,HOU,Wing,247,100,38.3%,19,95.3,100,36.6%,97,0.96,71,9.0%
Andre Miller,31.6,PHI,Combo,228,58,23.4%,42,94.8,50,18.2%,58,0.78,8,12.3%
Paul Millsap,22.7,UTA,Big,205,45,15.6%,70,111.6,25,3.5%,23,0.23,52,12.6%
Jamario Moon,27.4,TOR,Forward,103,13,12.3%,13,96.4,40,5.8%,47,0.47,73,7.1%
Dikembe Mutombo,41.4,HOU,Big,123,5,7.2%,86,121.1,11,2.3%,32,0.32,98,5.6%
Steve Nash,33.7,PHX,Point,182,63,26.0%,44,109.5,69,34.5%,63,1.33,63,11.5%
Jameer Nelson,25.7,ORL,Point,332,50,22.8%,100,126.8,38,23.0%,25,1.01,31,13.0%
Dirk Nowitzki,29.4,DAL,Big,210,93,26.2%,82,118.6,98,20.6%,84,0.79,86,8.4%
Shaquille O'Neal,35.7,PHX,Big,150,95,26.4%,20,93.8,36,5.4%,18,0.20,73,10.5%
Fabricio Oberto,32.6,SAS,Big,315,11,9.2%,84,120.8,68,8.8%,89,0.96,7,23.9%
Lamar Odom,28.0,LAL,Big,784,64,18.8%,66,109.9,77,12.8%,77,0.68,36,14.8%
Mehmet Okur,28.4,UTA,Big,461,59,18.2%,45,106.3,61,8.0%,52,0.44,77,10.4%
Jannero Pargo,28.0,NOP,Combo,242,67,25.6%,33,93.2,42,18.1%,33,0.71,50,7.7%
Anthony Parker,32.4,TOR,Wing,195,26,13.0%,48,107.5,32,7.6%,42,0.58,87,7.3%
Tony Parker,25.5,SAS,Point,651,88,31.2%,38,109.2,50,30.6%,19,0.98,50,11.7%
Chris Paul,22.5,NOP,Point,483,100,33.5%,56,111.2,94,48.7%,69,1.46,100,6.6%
Sasha Pavlovic,24.0,CLE,Wing,103,13,11.4%,10,91.7,0,1.8%,0,0.15,77,8.5%
Kendrick Perkins,23.0,BOS,Big,625,18,11.4%,93,125.2,23,3.4%,30,0.30,11,20.4%
Morris Peterson,30.2,NOP,Wing,271,16,11.7%,87,121.1,6,3.7%,6,0.31,94,6.1%
Paul Pierce,30.1,BOS,Forward,986,87,26.8%,67,113.1,87,22.1%,80,0.83,13,14.9%
James Posey,30.8,BOS,Forward,546,7,12.2%,93,126.9,53,8.5%,67,0.70,60,9.4%
Leon Powe,23.8,BOS,Big,249,61,18.5%,68,110.4,9,2.1%,5,0.11,75,10.4%
Tayshaun Prince,27.7,DET,Wing,670,61,19.2%,35,103.1,71,14.9%,81,0.78,26,12.2%
Vladimir Radmanovic,26.9,LAL,Forward,477,47,15.8%,53,109.2,60,9.5%,60,0.60,40,12.2%
Theo Ratliff,34.5,DET,Big,116,2,6.4%,55,107.7,2,1.4%,20,0.23,16,19.4%
Rajon Rondo,21.7,BOS,Point,828,44,22.7%,13,91.3,75,35.5%,88,1.56,44,11.9%
Luis Scola,27.5,HOU,Big,220,66,19.2%,36,103.7,52,6.8%,36,0.35,43,13.7%
JR Smith,22.1,DEN,Wing,105,71,21.0%,94,140.8,52,10.4%,32,0.50,61,9.5%
Joe Smith,32.3,CLE,Big,246,25,13.2%,64,109.6,34,4.8%,39,0.37,84,8.7%
Josh Smith,21.9,ATL,Big,233,98,26.5%,34,101.9,95,18.4%,82,0.70,18,19.3%
Jerry Stackhouse,33.0,DAL,Wing,101,68,20.6%,3,71.8,55,11.1%,35,0.54,3,15.6%
DeShawn Stevenson,26.6,WAS,Wing,195,58,19.0%,52,108.8,74,15.5%,84,0.82,29,11.4%
Peja Stojakovic,30.4,NOP,Forward,454,27,14.1%,73,115.8,0,2.0%,0,0.15,93,6.1%
Amar'e Stoudemire,25.0,PHX,Big,201,86,24.9%,41,105.5,7,1.7%,2,0.07,50,13.0%
Rodney Stuckey,21.5,DET,Combo,346,50,23.2%,75,103.1,92,25.4%,83,1.09,17,12.2%
Wally Szczerbiak,30.7,CLE,Wing,371,45,17.5%,32,103.0,45,9.8%,39,0.56,84,7.4%
Jason Terry,30.1,DAL,Combo,179,17,18.5%,92,116.9,100,26.4%,100,1.42,58,6.9%
Kurt Thomas,35.1,SAS,Big,250,30,13.7%,18,92.6,20,3.3%,27,0.24,25,18.1%
Ronny Turiaf,24.8,LAL,Big,173,27,13.5%,11,85.7,32,4.5%,34,0.33,20,18.9%
Hedo Turkoglu,28.6,ORL,Forward,399,80,26.3%,47,108.0,93,23.3%,87,0.89,0,17.3%
Ime Udoka,30.2,SAS,Forward,202,53,16.2%,80,125.0,73,12.1%,73,0.74,47,11.9%
Anderson Varejao,25.1,CLE,Big,233,32,13.8%,9,85.5,48,6.3%,55,0.46,48,13.4%
Sasha Vujacic,23.6,LAL,Wing,437,35,15.7%,71,115.2,16,5.4%,19,0.34,42,10.9%
Ben Wallace,33.1,CLE,Big,302,7,8.1%,23,95.3,66,8.5%,95,1.05,41,13.7%
Rasheed Wallace,33.1,DET,Big,584,73,19.9%,32,101.4,64,8.3%,45,0.42,59,12.3%
Luke Walton,27.6,LAL,Forward,338,60,17.6%,60,112.3,80,17.7%,93,1.00,27,14.0%
Bonzi Wells,31.1,NOP,Wing,155,55,18.5%,0,71.4,35,7.9%,26,0.43,81,8.4%
David West,27.2,NOP,Big,484,82,24.4%,39,104.5,73,12.0%,57,0.49,89,8.1%
Delonte West,24.3,CLE,Point,449,31,18.4%,50,110.5,31,22.5%,44,1.23,0,18.8%
Deron Williams,23.3,UTA,Point,512,69,26.3%,94,122.2,81,39.9%,75,1.52,38,12.5%
Lou Williams,21.0,PHI,Combo,106,92,27.8%,50,96.6,83,22.0%,67,0.79,25,10.7%
Marvin Williams,21.4,ATL,Forward,196,67,20.1%,20,102.7,33,5.7%,27,0.29,20,14.6%
Thaddeus Young,19.4,PHI,Forward,144,40,15.3%,27,104.0,13,4.2%,20,0.27,80,6.2%
