Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Shareef Abdur-Rahim,28.9,SAC,Big,1946,54,-0.3%,71,-1.9%,17,+3.8%,57,-0.6%,32,+1.1%,31,+3.5%,61,-1.3%,51,-0.0%
Malik Allen,27.3,CHI,Big,655,56,-0.4%,10,+5.2%,78,-3.4%,85,-3.7%,92,-3.6%,42,+1.1%,45,+0.2%,47,+0.2%
Ray Allen,30.3,SEA,Wing,3009,57,-0.4%,46,+0.4%,96,-7.9%,30,+1.5%,76,-2.0%,53,-0.9%,30,+2.2%,34,+1.4%
Tony Allen,23.8,BOS,Combo,911,53,-0.2%,88,-4.2%,82,-4.0%,44,+0.3%,65,-1.2%,83,-6.5%,5,+8.2%,15,+3.6%
Rafer Alston,29.3,HOU,Point,2420,37,+0.6%,16,+3.9%,66,-1.8%,40,+0.7%,50,-0.2%,33,+2.9%,53,-0.5%,45,+0.5%
Chris Andersen,27.3,NOH,Big,528,50,-0.0%,89,-4.5%,66,-1.8%,67,-1.7%,73,-1.7%,11,+9.3%,9,+6.1%,4,+7.2%
Alan Anderson,23.0,CHA,Wing,515,87,-2.5%,67,-1.6%,84,-4.3%,90,-4.6%,95,-4.6%,6,+12.5%,92,-6.5%,60,-1.0%
Derek Anderson,31.3,HOU,Wing,579,37,+0.6%,53,-0.2%,13,+4.3%,46,+0.2%,25,+1.6%,26,+4.4%,80,-4.1%,63,-1.4%
Derek Anderson,31.3,MIA,Wing,426,38,+0.6%,9,+5.3%,83,-4.1%,41,+0.6%,63,-1.1%,48,+0.1%,49,-0.2%,52,-0.1%
Shandon Anderson,31.8,MIA,Wing,575,32,+1.1%,27,+2.4%,52,-0.1%,49,+0.1%,47,+0.0%,26,+4.6%,76,-3.3%,55,-0.4%
Carmelo Anthony,21.4,DEN,Forward,2930,35,+0.8%,31,+2.1%,64,-1.5%,30,+1.5%,41,+0.5%,91,-9.1%,21,+3.5%,54,-0.4%
Rafael Araujo,25.2,TOR,Big,587,59,-0.6%,3,+7.2%,51,-0.0%,75,-2.3%,68,-1.4%,98,-15.5%,35,+1.7%,84,-3.9%
Gilbert Arenas,23.8,WAS,Combo,3379,8,+3.3%,52,-0.1%,86,-4.6%,14,+3.0%,49,-0.1%,1,+21.2%,1,+11.8%,0,+14.8%
Trevor Ariza,20.3,NYK,Wing,700,65,-0.9%,63,-1.1%,69,-2.1%,73,-2.2%,79,-2.2%,37,+2.2%,55,-0.8%,43,+0.6%
Trevor Ariza,20.3,ORL,Forward,280,72,-1.4%,87,-4.0%,33,+1.8%,73,-2.2%,58,-0.8%,51,-0.6%,74,-3.1%,75,-2.4%
Darrell Armstrong,37.4,DAL,Point,545,31,+1.1%,41,+1.0%,95,-7.3%,20,+2.3%,60,-0.9%,59,-1.8%,30,+2.2%,32,+1.6%
Carlos Arroyo,26.3,DET,Point,524,69,-1.3%,57,-0.6%,31,+2.1%,84,-3.6%,72,-1.7%,65,-2.9%,65,-1.6%,70,-1.9%
Carlos Arroyo,26.3,ORL,Point,584,94,-3.6%,83,-3.4%,53,-0.2%,90,-4.7%,89,-3.3%,43,+1.0%,87,-5.3%,83,-3.6%
Chucky Atkins,31.2,WAS,Point,533,70,-1.3%,47,+0.4%,11,+5.3%,90,-4.8%,63,-1.1%,60,-2.1%,90,-6.1%,88,-4.6%
Chucky Atkins,31.2,MEM,Point,1154,18,+2.0%,50,+0.0%,50,+0.1%,12,+3.4%,19,+2.1%,59,-1.8%,20,+3.6%,26,+2.1%
Stacey Augmon,37.3,ORL,Forward,374,98,-4.9%,73,-2.1%,71,-2.5%,93,-5.5%,95,-4.5%,77,-5.2%,71,-2.4%,81,-3.3%
Marcus Banks,24.0,BOS,Combo,250,42,+0.4%,90,-4.9%,1,+14.4%,6,+4.7%,1,+7.8%,67,-3.4%,91,-6.4%,92,-5.8%
Marcus Banks,24.0,MIN,Point,1198,45,+0.2%,50,+0.0%,90,-5.3%,24,+2.0%,62,-1.0%,56,-1.3%,23,+3.1%,28,+1.9%
Leandro Barbosa,22.9,PHX,Wing,1538,21,+1.7%,20,+3.3%,61,-1.0%,42,+0.5%,48,-0.0%,34,+2.6%,53,-0.6%,48,+0.2%
Matt Barnes,25.6,PHI,Forward,503,94,-3.6%,63,-1.1%,98,-9.7%,42,+0.4%,87,-3.0%,96,-12.4%,74,-3.1%,91,-5.4%
Andre Barrett,23.7,TOR,Point,257,88,-2.8%,56,-0.5%,50,+0.1%,86,-3.9%,84,-2.7%,39,+1.6%,85,-4.8%,77,-2.6%
Brent Barry,33.8,SAS,Wing,1179,75,-1.6%,46,+0.4%,46,+0.5%,67,-1.7%,57,-0.7%,88,-8.0%,86,-5.0%,92,-5.9%
Jon Barry,36.3,HOU,Wing,330,5,+3.9%,52,-0.1%,3,+9.0%,61,-1.0%,19,+2.1%,35,+2.5%,2,+10.2%,3,+7.6%
Eddie Basden,22.7,CHI,Wing,124,100,-6.7%,97,-7.8%,98,-10.8%,4,+5.7%,47,+0.1%,20,+5.9%,100,-20.4%,99,-13.2%
Brandon Bass,20.5,NOH,Big,201,2,+5.2%,22,+3.0%,93,-6.4%,70,-1.9%,91,-3.5%,56,-1.3%,0,+19.9%,0,+13.4%
Esteban Batista,22.2,ATL,Big,457,62,-0.7%,26,+2.5%,39,+1.3%,33,+1.2%,30,+1.3%,83,-6.8%,93,-7.4%,95,-7.2%
Tony Battie,29.7,ORL,Big,2211,30,+1.2%,53,-0.1%,43,+0.7%,26,+1.8%,28,+1.4%,16,+7.8%,21,+3.5%,10,+4.9%
Shane Battier,27.1,MEM,Forward,2832,95,-4.1%,91,-5.1%,78,-3.4%,59,-0.8%,73,-1.8%,94,-10.7%,67,-1.8%,87,-4.4%
Lonny Baxter,26.8,HOU,Big,251,51,-0.1%,56,-0.5%,28,+2.2%,76,-2.4%,56,-0.7%,85,-7.0%,16,+4.2%,33,+1.5%
Lonny Baxter,26.8,CHA,Big,113,24,+1.6%,1,+11.4%,100,-18.0%,4,+5.2%,86,-2.9%,68,-3.5%,96,-8.9%,96,-7.3%
Charlie Bell,26.6,MIL,Combo,1229,50,-0.0%,47,+0.3%,34,+1.7%,78,-2.7%,62,-1.0%,39,+1.7%,54,-0.6%,49,+0.1%
Raja Bell,29.1,PHX,Wing,2942,48,+0.0%,54,-0.2%,69,-2.2%,20,+2.2%,38,+0.5%,97,-13.2%,5,+8.2%,23,+2.5%
Mike Bibby,27.5,SAC,Point,3163,23,+1.7%,47,+0.4%,19,+3.5%,13,+3.2%,8,+3.3%,60,-2.1%,60,-1.3%,67,-1.6%
Andris Biedrins,19.6,GSW,Big,960,58,-0.5%,28,+2.3%,50,+0.0%,22,+2.0%,30,+1.3%,25,+4.8%,81,-4.2%,64,-1.5%
Chauncey Billups,29.1,DET,Point,2918,49,-0.0%,62,-0.9%,74,-2.8%,13,+3.1%,31,+1.2%,41,+1.2%,43,+0.6%,41,+0.8%
Steve Blake,25.7,POR,Point,1750,16,+2.2%,18,+3.6%,58,-0.7%,37,+1.0%,45,+0.2%,58,-1.6%,16,+4.1%,23,+2.5%
Andray Blatche,19.2,WAS,Big,123,98,-5.1%,98,-8.6%,77,-3.1%,98,-8.8%,97,-6.5%,66,-3.1%,17,+4.0%,33,+1.5%
Mark Blount,29.9,BOS,Big,1077,14,+2.3%,15,+4.2%,22,+3.0%,31,+1.5%,20,+2.0%,65,-3.0%,33,+1.9%,45,+0.4%
Mark Blount,29.9,MIN,Big,1140,7,+3.4%,14,+4.4%,16,+3.8%,5,+5.0%,4,+4.4%,97,-14.4%,9,+5.8%,43,+0.6%
Keith Bogans,25.5,CHA,Wing,842,46,+0.2%,67,-1.5%,69,-2.1%,29,+1.6%,45,+0.3%,37,+2.1%,52,-0.5%,47,+0.3%
Keith Bogans,25.5,HOU,Wing,1042,54,-0.3%,40,+1.1%,76,-3.1%,27,+1.7%,46,+0.1%,46,+0.5%,88,-5.5%,84,-3.8%
Andrew Bogut,20.9,MIL,Big,2335,86,-2.5%,90,-4.8%,27,+2.5%,69,-1.9%,50,-0.2%,22,+5.3%,86,-5.0%,65,-1.6%
Matt Bonner,25.6,TOR,Forward,1665,31,+1.1%,66,-1.4%,35,+1.6%,79,-2.8%,65,-1.2%,22,+5.6%,9,+6.2%,6,+6.1%
Calvin Booth,29.5,WAS,Big,220,56,-0.4%,97,-8.2%,44,+0.7%,92,-5.1%,85,-2.8%,0,+21.3%,25,+2.8%,2,+8.4%
Carlos Boozer,23.9,UTA,Big,1023,3,+4.4%,18,+3.6%,48,+0.4%,35,+1.1%,34,+0.8%,71,-4.3%,4,+8.6%,10,+5.0%
Chris Bosh,21.6,TOR,Big,2745,32,+1.1%,60,-0.8%,15,+4.1%,19,+2.4%,10,+3.1%,67,-3.4%,24,+2.9%,43,+0.5%
Bruce Bowen,34.4,SAS,Wing,2745,64,-0.9%,68,-1.6%,53,-0.3%,59,-0.7%,53,-0.5%,91,-9.0%,36,+1.5%,69,-1.7%
Ryan Bowen,29.9,HOU,Forward,618,36,+0.7%,35,+1.7%,47,+0.4%,23,+2.0%,27,+1.5%,46,+0.3%,45,+0.3%,47,+0.3%
Earl Boykins,29.4,DEN,Point,1515,7,+3.3%,15,+4.1%,51,-0.0%,23,+2.0%,31,+1.2%,10,+9.9%,42,+0.7%,14,+3.9%
Michael Bradley,26.5,PHI,Big,323,81,-2.0%,30,+2.1%,83,-4.1%,66,-1.6%,81,-2.4%,82,-6.3%,67,-2.0%,83,-3.7%
Elton Brand,26.6,LAC,Big,3096,54,-0.3%,77,-2.5%,12,+4.9%,4,+5.1%,3,+5.0%,95,-11.3%,59,-1.2%,84,-3.8%
Primoz Brezec,26.1,CHA,Big,2160,5,+4.0%,10,+5.2%,29,+2.1%,10,+3.8%,10,+3.2%,17,+7.2%,52,-0.5%,29,+1.8%
Devin Brown,26.8,UTA,Wing,1641,27,+1.4%,59,-0.7%,36,+1.5%,76,-2.4%,61,-1.0%,13,+8.8%,15,+4.3%,8,+5.5%
Kwame Brown,23.6,LAL,Big,1966,44,+0.2%,38,+1.3%,92,-5.8%,29,+1.6%,65,-1.2%,55,-1.1%,39,+1.2%,43,+0.6%
P.J. Brown,36.0,NOH,Big,2365,62,-0.7%,48,+0.2%,26,+2.7%,33,+1.2%,24,+1.7%,80,-5.8%,57,-0.9%,74,-2.4%
Rick Brunson,33.4,HOU,Combo,206,73,-1.4%,56,-0.5%,38,+1.4%,70,-1.9%,57,-0.7%,63,-2.5%,86,-5.2%,85,-3.9%
Kobe Bryant,27.2,LAL,Combo,3271,10,+2.8%,12,+4.8%,37,+1.5%,26,+1.8%,24,+1.7%,38,+1.8%,40,+1.0%,36,+1.3%
Greg Buckner,29.1,DEN,Wing,1721,29,+1.2%,8,+5.6%,93,-6.6%,24,+1.9%,64,-1.1%,46,+0.6%,47,+0.1%,50,+0.1%
Pat Burke,31.9,PHX,Big,268,37,+0.6%,13,+4.7%,11,+5.2%,95,-6.0%,81,-2.3%,86,-7.3%,29,+2.3%,51,0.0%
Antonio Burks,25.7,MEM,Point,513,58,-0.5%,29,+2.2%,43,+0.7%,84,-3.6%,75,-1.9%,40,+1.5%,61,-1.3%,55,-0.5%
Kevin Burleson,26.6,CHA,Combo,307,86,-2.5%,59,-0.7%,81,-3.9%,44,+0.4%,64,-1.1%,99,-15.7%,85,-4.8%,97,-8.4%
Caron Butler,25.6,WAS,Wing,2688,34,+0.8%,16,+3.8%,11,+5.2%,56,-0.6%,21,+1.9%,84,-6.8%,87,-5.3%,92,-5.8%
Jackie Butler,20.6,NYK,Big,651,91,-3.1%,84,-3.5%,91,-5.7%,85,-3.6%,94,-4.4%,94,-11.2%,18,+3.8%,57,-0.8%
