Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Precious Achiuwa,23.1,TOR,Big,1113,41,1.4%,62,1.2%,82,3.2%,56,8.6%,75,20.4%,48,1.7%,81,40.8%
Steven Adams,29.3,MEM,Big,1132,66,2.0%,70,1.3%,93,2.7%,99,17.5%,83,22.5%,98,12.1%,21,17.6%
Bam Adebayo,25.3,MIA,Big,2594,32,1.2%,86,1.5%,92,2.7%,42,7.7%,74,20.3%,0,0.0%,47,26.4%
Ochai Agbaji,22.5,UTA,Combo,1159,62,0.6%,1,0.5%,62,3.0%,88,3.8%,2,6.0%,0,0.0%,56,4.9%
Santi Aldama,21.8,MEM,Big,1625,38,1.3%,59,1.2%,83,3.2%,18,4.7%,37,15.9%,82,5.6%,55,29.5%
Nickeil Alexander-Walker,24.2,MIN,Wing,353,87,1.0%,24,1.0%,26,3.6%,36,2.1%,26,8.9%,0,0.0%,55,11.1%
Nickeil Alexander-Walker,24.2,UTA,Combo,486,96,1.1%,72,1.8%,4,4.7%,37,1.8%,49,9.7%,0,0.0%,88,9.1%
Grayson Allen,27.1,MIL,Wing,1968,24,0.3%,56,1.3%,74,2.5%,56,2.7%,22,8.5%,98,9.1%,15,2.2%
Jarrett Allen,24.5,CLE,Big,2212,68,2.1%,48,1.1%,90,2.8%,79,11.3%,76,20.8%,41,0.9%,52,28.7%
Jose Alvarado,24.6,NOP,Point,1285,35,0.4%,98,2.2%,15,3.9%,59,2.3%,33,9.1%,63,1.3%,50,4.3%
Kyle Anderson,29.1,MIN,Forward,1954,98,1.6%,92,1.7%,57,3.0%,47,3.6%,76,14.4%,69,3.0%,82,27.3%
Giannis Antetokounmpo,27.9,MIL,Big,2021,32,1.2%,48,1.1%,89,2.8%,38,6.8%,96,26.4%,73,4.3%,74,37.9%
Thanasis Antetokounmpo,30.3,MIL,Big,113,5,0.4%,0,0.0%,21,5.0%,42,7.6%,44,16.8%,0,0.0%,16,16.7%
Cole Anthony,22.5,ORL,Point,1524,96,1.0%,15,1.1%,11,4.1%,80,3.0%,91,15.6%,96,3.7%,76,8.3%
OG Anunoby,25.3,TOR,Wing,2385,94,1.1%,95,2.3%,51,3.1%,77,3.7%,51,10.3%,86,3.2%,88,22.7%
Ryan Arcidiacono,28.6,POR,Point,127,0,0.0%,0,0.7%,20,3.7%,0,0.0%,28,9.0%,0,0.0%,0,0.0%
Deni Avdija,21.8,WAS,Forward,1998,51,0.7%,78,1.4%,23,4.1%,55,3.8%,97,19.3%,48,1.1%,85,29.5%
Deandre Ayton,24.3,PHX,Big,2033,40,1.4%,26,0.8%,79,3.3%,57,8.7%,88,23.6%,0,0.0%,89,44.9%
Udoka Azubuike,23.1,UTA,Big,309,63,1.8%,8,0.6%,65,3.7%,59,8.9%,81,21.9%,0,0.0%,99,54.5%
Marvin Bagley,23.6,DET,Big,978,48,1.5%,30,0.8%,85,3.0%,62,9.4%,50,17.5%,50,1.9%,41,24.6%
Patrick Baldwin Jr.,20.0,GSW,Forward,156,71,1.0%,46,1.1%,79,2.5%,2,0.7%,87,15.7%,0,0.0%,0,0.0%
LaMelo Ball,21.2,CHA,Point,1267,41,0.4%,48,1.5%,26,3.5%,87,3.3%,89,15.5%,0,0.0%,28,1.7%
Mohamed Bamba,24.5,ORL,Big,658,80,2.6%,27,0.8%,13,5.5%,41,7.6%,48,17.2%,0,0.0%,87,43.9%
Paolo Banchero,20.0,ORL,Forward,2428,59,0.8%,40,1.1%,81,2.4%,49,3.7%,93,17.1%,0,0.0%,76,25.2%
Desmond Bane,24.4,MEM,Wing,1837,61,0.6%,49,1.3%,54,3.1%,40,2.3%,70,12.4%,75,1.9%,68,14.0%
Dalano Banton,23.0,TOR,Combo,229,100,3.0%,64,1.6%,0,5.9%,92,4.3%,81,11.1%,0,0.0%,0,0.0%
Dominick Barlow,19.4,SAS,Big,340,77,2.4%,22,0.7%,15,5.3%,72,10.5%,25,13.8%,0,0.0%,21,17.9%
Harrison Barnes,30.4,SAC,Forward,2658,3,0.2%,21,0.9%,99,1.5%,45,3.6%,23,10.5%,50,1.3%,40,14.0%
Scottie Barnes,21.3,TOR,Forward,2668,86,1.2%,70,1.3%,78,2.5%,92,6.4%,70,13.8%,83,4.1%,34,11.5%
RJ Barrett,22.4,NYK,Wing,2474,19,0.3%,1,0.5%,62,2.8%,46,2.4%,61,11.2%,50,0.6%,96,31.1%
Will Barton,31.8,WAS,Wing,767,47,0.5%,19,0.9%,88,2.1%,8,1.1%,82,13.2%,0,0.0%,36,6.7%
Will Barton,31.8,TOR,Combo,201,82,0.8%,89,2.2%,39,3.4%,56,2.2%,74,10.8%,0,0.0%,84,8.3%
Charles Bassey,22.0,SAS,Big,438,91,3.3%,82,1.4%,20,5.1%,96,15.3%,79,21.3%,88,7.4%,96,50.0%
Keita Bates-Diop,26.8,SAS,Forward,1410,46,0.7%,69,1.3%,96,1.7%,68,4.4%,58,12.7%,65,2.6%,65,22.0%
Nicolas Batum,33.9,LAC,Forward,1699,90,1.3%,77,1.4%,36,3.6%,50,3.7%,61,12.9%,71,3.2%,81,27.0%
