Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Alex Abrines,24.3,OKC,Wing,106,37,50.0%,29,18%,17,6%,23,6%,17,12%,86,24%,77,47%,86,71%
Steven Adams,24.3,OKC,Big,199,56,58.7%,78,67%,90,33%,0,0%,56,33%,0,0%,0,0%,0,0%
LaMarcus Aldridge,32.3,SAS,Big,175,12,48.1%,24,34%,100,41%,95,20%,100,60%,32,1%,41,4%,34,5%
Al-Farouq Aminu,27.1,POR,Big,130,83,64.4%,20,30%,10,8%,27,6%,15,13%,98,17%,95,40%,98,57%
Giannis Antetokounmpo,22.9,MIL,Forward,279,80,59.2%,93,51%,87,27%,60,13%,73,40%,0,0%,0,9%,0,9%
Carmelo Anthony,33.4,OKC,Big,193,0,41.7%,5,22%,61,22%,90,19%,76,42%,51,4%,90,32%,83,36%
OG Anunoby,20.3,TOR,Forward,237,93,68.3%,87,44%,7,4%,0,0%,0,4%,93,40%,7,12%,67,53%
Trevor Ariza,32.3,HOU,Wing,579,17,45.7%,66,31%,40,9%,0,0%,11,9%,89,25%,51,36%,71,60%
Aron Baynes,30.9,BOS,Big,372,49,56.9%,59,51%,32,15%,51,10%,37,24%,95,16%,49,9%,63,24%
Bradley Beal,24.3,WAS,Wing,215,69,55.1%,37,21%,60,13%,91,26%,80,39%,23,5%,49,35%,43,40%
Marco Belinelli,31.6,PHI,Wing,272,31,48.1%,34,21%,20,6%,97,30%,74,36%,9,3%,66,41%,51,43%
Jordan Bell,22.8,GSW,Big,133,73,61.5%,88,83%,5,7%,56,10%,20,17%,0,0%,0,0%,0,0%
Eric Bledsoe,27.9,MIL,Point,223,46,48.2%,62,32%,69,21%,69,23%,77,43%,77,8%,23,17%,31,25%
Bojan Bogdanovic,28.5,IND,Forward,233,40,48.1%,27,20%,47,16%,53,12%,47,28%,80,17%,80,35%,60,52%
Corey Brewer,31.7,OKC,Wing,151,97,62.0%,100,56%,9,4%,0,0%,0,4%,100,37%,3,4%,46,41%
Malcolm Brogdon,24.9,MIL,Combo,185,38,48.2%,38,27%,75,24%,63,15%,69,38%,94,16%,25,18%,56,35%
Jaylen Brown,21.0,BOS,Wing,581,71,55.3%,83,39%,69,15%,26,6%,37,21%,40,10%,40,30%,37,40%
Alec Burks,26.3,UTA,Wing,112,60,54.4%,74,37%,91,26%,37,10%,71,35%,43,10%,14,18%,11,27%
Jimmy Butler,28.1,MIN,Wing,170,43,50.8%,91,44%,80,21%,31,7%,54,29%,71,16%,6,11%,9,27%
Clint Capela,23.5,HOU,Big,518,93,66.0%,93,88%,22,12%,12,1%,12,12%,0,0%,0,0%,0,0%
Ian Clark,26.7,NOP,Combo,166,69,50.9%,0,15%,50,22%,81,20%,75,43%,100,17%,63,26%,75,43%
Jordan Clarkson,25.4,CLE,Combo,243,0,33.0%,19,24%,88,25%,75,18%,81,43%,56,9%,56,24%,44,33%
Darren Collison,30.2,IND,Point,213,69,52.2%,54,31%,31,13%,77,24%,46,37%,85,9%,46,23%,54,31%
Quinn Cook,24.6,GSW,Point,130,38,46.3%,23,24%,0,5%,54,22%,15,27%,100,22%,54,27%,85,49%
Robert Covington,26.9,PHI,Forward,280,13,41.6%,60,32%,13,7%,20,3%,13,10%,60,10%,93,47%,80,57%
Jamal Crawford,37.6,MIN,Wing,116,63,54.4%,23,16%,89,25%,94,27%,97,53%,46,10%,20,22%,20,31%
Jae Crowder,27.3,UTA,Forward,320,27,43.4%,40,21%,27,13%,47,12%,40,25%,67,15%,87,40%,73,55%
Stephen Curry,29.6,GSW,Point,552,85,55.6%,15,23%,38,13%,23,12%,8,25%,92,9%,92,43%,100,52%
Anthony Davis,24.6,NOP,Big,357,34,53.7%,54,47%,68,25%,80,18%,80,43%,29,1%,51,9%,41,10%
DeMar DeRozan,28.2,TOR,Wing,352,20,46.5%,71,34%,94,30%,74,20%,94,50%,3,2%,9,13%,0,16%
Goran Dragic,31.5,MIA,Point,155,54,51.3%,85,45%,8,7%,62,23%,31,30%,31,2%,38,23%,31,25%
Kevin Durant,29.1,GSW,Forward,805,60,53.5%,13,17%,93,27%,93,27%,93,54%,7,2%,67,27%,33,29%
Wayne Ellington,29.9,MIA,Wing,100,54,52.9%,6,6%,6,3%,20,6%,9,9%,66,14%,100,71%,94,86%
Joel Embiid,23.6,PHI,Big,278,7,46.7%,29,38%,95,35%,44,9%,83,44%,34,1%,63,17%,54,19%
Dante Exum,22.3,UTA,Combo,110,81,52.5%,94,61%,63,23%,0,0%,25,23%,63,9%,19,7%,19,16%
Derrick Favors,26.3,UTA,Big,284,78,63.2%,71,66%,49,18%,54,10%,49,28%,66,6%,0,0%,37,6%
