Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Kyle Anderson,30.1,MIN,Forward,227,19,-3.8%,14,-5.2%,89,+5.6%,66,+1.4%,89,+7.0%,90,+3.4%,12,-5.2%,36,-1.8%
Nicolas Batum,34.9,PHI,Wing,197,17,-4.1%,44,-1.0%,39,-1.2%,52,+0.1%,41,-1.1%,85,+2.2%,49,-0.1%,63,+2.1%
Bradley Beal,30.3,PHX,Combo,153,18,-3.8%,15,-5.0%,24,-3.1%,74,+2.2%,43,-0.9%,64,+1.1%,84,+4.8%,86,+5.9%
Malik Beasley,26.9,MIL,Combo,126,13,-4.6%,79,+3.4%,54,+0.4%,2,-4.1%,22,-3.7%,71,+1.3%,43,-1.1%,52,+0.3%
Patrick Beverley,35.3,MIL,Wing,209,59,+1.4%,90,+5.6%,89,+5.6%,83,+3.5%,94,+9.1%,2,-4.9%,3,-9.8%,0,-14.7%
Devin Booker,27.0,PHX,Point,165,65,+2.0%,8,-6.1%,2,-10.4%,98,+6.3%,19,-4.2%,15,-2.6%,99,+12.9%,98,+10.3%
Jaylen Brown,27.0,BOS,Wing,706,35,-1.3%,84,+4.7%,47,-0.6%,11,-3.0%,24,-3.6%,49,-0.1%,42,-1.1%,41,-1.1%
Alec Burks,32.3,NYK,Wing,114,21,-3.3%,34,-1.8%,90,+5.7%,11,-3.0%,72,+2.7%,72,+1.4%,28,-2.2%,43,-0.8%
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,95,+9.5%,21,-3.5%,85,+4.6%,59,+0.6%,81,+5.2%,61,+1.0%,24,-2.6%,38,-1.7%
Mike Conley,36.1,MIN,Point,472,50,+0.3%,56,+0.1%,82,+4.1%,28,-1.3%,72,+2.8%,7,-4.6%,65,+1.7%,29,-2.9%
Pat Connaughton,30.8,MIL,Wing,122,53,+0.7%,50,-0.6%,5,-7.6%,22,-1.7%,2,-9.3%,69,+1.3%,97,+8.6%,97,+9.9%
Anthony Davis,30.6,LAL,Big,248,78,+3.9%,59,+0.4%,95,+6.8%,94,+4.7%,98,+11.5%,0,-7.3%,15,-4.6%,2,-11.9%
Kevin Durant,35.1,PHX,Big,167,99,+11.7%,1,-14.7%,4,-7.7%,85,+3.8%,20,-3.9%,99,+4.5%,100,+14.1%,100,+18.6%
Joel Embiid,29.6,PHI,Big,286,100,+19.0%,7,-6.4%,32,-2.1%,89,+4.1%,69,+2.0%,63,+1.0%,77,+3.4%,80,+4.4%
Dante Exum,28.3,DAL,Wing,117,9,-5.0%,37,-1.5%,49,-0.4%,43,-0.5%,42,-0.9%,30,-1.5%,80,+3.9%,67,+2.4%
Paul George,33.5,LAC,Forward,222,74,+3.3%,60,+0.6%,74,+2.8%,88,+4.0%,88,+6.8%,25,-1.9%,11,-5.6%,7,-7.4%
Rudy Gobert,31.3,MIN,Big,510,92,+8.7%,89,+5.6%,67,+1.7%,24,-1.6%,50,+0.1%,3,-4.9%,44,-0.8%,11,-5.7%
Aaron Gordon,28.1,DEN,Big,444,42,-0.3%,32,-2.0%,70,+2.3%,76,+2.4%,80,+4.7%,11,-3.2%,54,+0.6%,31,-2.7%
Eric Gordon,34.9,PHX,Wing,116,96,+10.0%,97,+10.6%,14,-5.0%,9,-3.1%,3,-8.1%,42,-0.7%,33,-1.8%,33,-2.5%
Tim Hardaway Jr.,31.6,DAL,Wing,161,4,-6.7%,70,+1.4%,37,-1.4%,80,+3.0%,66,+1.6%,46,-0.3%,24,-2.7%,28,-3.0%
James Harden,34.2,LAC,Combo,241,85,+5.7%,0,-17.0%,93,+6.4%,84,+3.5%,95,+9.9%,66,+1.1%,89,+6.0%,92,+7.1%
Gary Harris,29.1,ORL,Wing,158,24,-2.8%,46,-0.9%,12,-5.5%,61,+0.8%,16,-4.7%,48,-0.2%,87,+5.8%,85,+5.6%
Tobias Harris,31.3,PHI,Forward,251,28,-2.6%,78,+3.2%,41,-1.0%,36,-1.0%,33,-2.0%,24,-2.0%,56,+0.8%,41,-1.2%
Jrue Holiday,33.4,BOS,Combo,718,47,+0.1%,73,+2.1%,20,-3.4%,33,-1.1%,18,-4.5%,92,+3.5%,41,-1.1%,66,+2.4%
Justin Holiday,34.6,DEN,Combo,146,26,-2.7%,63,+0.8%,34,-1.7%,45,-0.5%,32,-2.2%,76,+1.7%,48,-0.3%,59,+1.4%
