Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Shareef Abdur-Rahim,27.9,POR,Forward,1856,7,+6.9,12,+5.4,75,-1.6%,44,-0.2%,48,+0.6,70,-1.1,26,+8.2
Cory Alexander,31.4,CHA,Point,169,3,+9.0,8,+6.8,10,+4.0%,43,-0.3%,68,-1.5,92,-3.1,21,+9.6
Malik Allen,26.3,MIA,Big,243,0,+15.5,3,+10.1,4,+6.1%,53,+0.1%,1,+10.8,1,+6.2,4,+23.2
Malik Allen,26.3,CHA,Big,238,17,+4.7,5,+8.0,82,-2.4%,98,+3.5%,14,+4.3,57,-0.3,4,+23.4
Ray Allen,29.3,SEA,Wing,3057,48,+0.2,39,+1.4,42,+0.6%,57,+0.3%,62,-1.0,43,+0.5,79,-7.9
Tony Allen,22.8,BOS,Wing,1207,96,-7.7,71,-2.6,85,-2.9%,92,+2.2%,79,-2.8,82,-2.1,55,-1.3
Rafer Alston,28.3,TOR,Point,2714,69,-2.2,51,+0.1,72,-1.4%,90,+2.0%,50,+0.3,72,-1.2,26,+8.1
Chris Andersen,26.3,NOH,Big,1388,85,-4.6,87,-4.8,33,+1.3%,95,+2.5%,64,-1.2,52,-0.0,70,-5.7
Derek Anderson,30.3,POR,Wing,1234,59,-0.8,37,+1.7,79,-2.0%,65,+0.7%,89,-4.3,74,-1.4,87,-12.1
Kenny Anderson,34.1,ATL,Point,715,43,+0.8,25,+3.0,70,-1.2%,76,+1.2%,38,+1.4,46,+0.3,35,+5.6
Shandon Anderson,30.8,MIA,Forward,1116,76,-3.2,58,-0.9,38,+1.0%,90,+2.0%,85,-3.6,62,-0.7,93,-16.5
Carmelo Anthony,20.4,DEN,Forward,2597,48,+0.2,61,-1.2,54,-0.1%,84,+1.6%,73,-2.1,81,-2.0,45,+1.8
Rafael Araujo,24.2,TOR,Big,706,58,-0.7,59,-1.0,54,-0.1%,35,-0.6%,30,+2.1,71,-1.2,7,+19.1
Gilbert Arenas,22.8,WAS,Wing,3266,46,+0.5,80,-4.0,6,+4.9%,88,+1.9%,26,+2.8,28,+1.5,34,+5.6
Trevor Ariza,19.3,NYK,Wing,1333,81,-4.0,91,-5.7,12,+3.5%,38,-0.4%,70,-1.7,36,+0.9,91,-13.7
Darrell Armstrong,36.4,NOH,Point,415,93,-6.1,93,-6.6,47,+0.3%,3,-3.2%,9,+5.3,8,+3.7,37,+4.5
Darrell Armstrong,36.4,DAL,Point,508,55,-0.5,53,-0.3,25,+2.2%,11,-1.8%,52,+0.2,39,+0.8,55,-1.4
Carlos Arroyo,25.3,UTA,Point,738,4,+8.5,11,+5.6,8,+4.5%,32,-0.8%,3,+8.3,4,+5.0,15,+12.5
Carlos Arroyo,25.3,DET,Point,653,17,+4.8,15,+4.3,18,+3.0%,25,-1.0%,5,+7.0,25,+1.6,2,+27.1
Chucky Atkins,30.2,LAL,Point,2904,18,+4.5,21,+3.6,31,+1.4%,20,-1.3%,12,+4.6,31,+1.2,11,+16.0
Stacey Augmon,36.3,ORL,Wing,604,22,+3.7,24,+3.1,20,+2.8%,74,+1.0%,5,+6.5,11,+3.2,16,+12.3
Vin Baker,32.9,NYK,Big,156,0,+16.5,0,+14.5,0,+14.9%,1,-4.8%,1,+10.0,0,+10.9,85,-9.6
Marcus Banks,23.0,BOS,Point,1062,95,-7.0,97,-7.9,39,+0.9%,54,+0.2%,13,+4.4,15,+2.6,33,+5.7
Leandro Barbosa,21.9,PHX,Combo,981,35,+1.9,36,+1.8,84,-2.8%,33,-0.7%,59,-0.6,80,-1.9,27,+7.8
Matt Barnes,24.6,SAC,Wing,638,65,-1.6,45,+0.8,71,-1.2%,89,+2.0%,87,-4.1,98,-5.6,14,+13.9
Andre Barrett,22.7,HOU,Point,287,62,-1.3,75,-3.1,20,+2.8%,82,+1.5%,46,+0.8,68,-1.0,14,+13.5
Andre Barrett,22.7,ORL,Point,153,100,-11.5,87,-4.9,99,-7.1%,80,+1.3%,100,-22.6,100,-10.7,100,-63.2
Brent Barry,32.8,SAS,Wing,1652,31,+2.4,25,+3.1,92,-3.9%,26,-1.0%,74,-2.3,71,-1.1,72,-6.0
Jon Barry,35.3,ATL,Combo,274,4,+8.1,21,+3.7,0,+10.1%,11,-1.9%,11,+5.1,6,+4.1,47,+1.4
Jon Barry,35.3,HOU,Wing,1190,91,-5.6,93,-6.4,20,+2.8%,77,+1.2%,16,+4.1,15,+2.6,25,+8.4
Tony Battie,28.7,ORL,Big,1900,61,-1.2,55,-0.6,30,+1.5%,46,-0.2%,73,-2.1,44,+0.4,90,-13.4
Shane Battier,26.1,MEM,Forward,2493,89,-5.3,65,-1.8,98,-5.9%,23,-1.1%,79,-2.8,87,-2.5,53,-0.6
Raja Bell,28.1,UTA,Wing,1783,22,+3.9,17,+4.1,66,-1.0%,58,+0.4%,52,+0.2,41,+0.6,60,-2.6
Travis Best,32.3,NJN,Combo,1389,14,+5.6,19,+4.0,11,+3.5%,22,-1.2%,11,+4.9,11,+3.0,22,+8.8
Mike Bibby,26.5,SAC,Point,3083,58,-0.8,89,-5.3,33,+1.3%,8,-2.1%,18,+3.8,17,+2.4,36,+4.7
Andris Biedrins,18.6,GSW,Big,357,34,+1.9,88,-4.9,17,+3.1%,15,-1.6%,4,+7.5,2,+5.6,44,+2.1
Chauncey Billups,28.1,DET,Combo,2860,74,-2.9,90,-5.3,46,+0.4%,36,-0.6%,68,-1.6,62,-0.8,63,-3.7
Steve Blake,24.7,WAS,Point,607,21,+3.9,20,+3.9,52,-0.0%,21,-1.2%,48,+0.5,65,-0.9,23,+8.7
Mark Blount,28.9,BOS,Big,2129,57,-0.6,55,-0.5,86,-3.1%,35,-0.6%,97,-6.8,94,-3.6,87,-12.3
