Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Shareef Abdur-Rahim,28.9,SAC,Big,1946,77,19.9%,91,117.8,93,13.0%,89,0.65,72,12.8%
Malik Allen,27.3,CHI,Big,655,57,16.4%,31,100.4,41,4.8%,32,0.29,73,12.8%
Ray Allen,30.3,OKC,Wing,3009,95,26.8%,94,119.3,80,16.6%,41,0.62,79,10.5%
Tony Allen,23.8,BOS,Combo,911,31,18.9%,84,111.7,16,12.1%,15,0.64,27,16.2%
Rafer Alston,29.3,HOU,Point,2420,52,21.7%,31,94.8,73,30.1%,67,1.39,37,14.1%
Chris Andersen,27.3,NOP,Big,528,32,13.4%,68,110.2,8,1.9%,6,0.14,41,16.5%
Alan Anderson,23.0,CHA,Wing,515,41,17.4%,35,100.6,27,9.4%,28,0.54,38,14.0%
Derek Anderson,31.3,HOU,Wing,579,69,20.6%,63,108.0,81,16.6%,76,0.81,24,15.0%
Derek Anderson,31.3,MIA,Wing,426,45,17.7%,15,91.8,73,15.3%,86,0.87,89,9.5%
Shandon Anderson,31.8,MIA,Wing,575,5,11.4%,29,96.7,12,7.3%,52,0.65,35,14.1%
Carmelo Anthony,21.4,DEN,Forward,2930,100,29.7%,80,114.5,88,14.1%,45,0.47,80,11.3%
Rafael Araujo,25.2,TOR,Big,587,42,14.3%,1,78.6,27,3.9%,25,0.27,9,22.6%
Gilbert Arenas,23.8,WAS,Combo,3379,98,31.3%,95,116.9,80,26.1%,35,0.83,76,12.3%
Trevor Ariza,20.3,NYK,Wing,700,19,14.6%,11,89.0,40,10.1%,61,0.70,4,19.7%
Trevor Ariza,20.3,ORL,Forward,280,72,19.1%,20,94.9,47,8.3%,33,0.43,48,13.2%
Darrell Armstrong,37.4,DAL,Point,545,10,15.8%,19,92.0,15,21.3%,62,1.35,2,24.4%
Carlos Arroyo,26.3,DET,Point,524,63,22.5%,10,85.6,92,39.1%,96,1.74,19,16.2%
Carlos Arroyo,26.3,ORL,Point,584,81,25.6%,85,113.5,38,23.6%,10,0.92,71,11.8%
Chucky Atkins,31.2,MEM,Point,1154,62,22.4%,63,108.2,8,19.5%,2,0.87,87,10.5%
Chucky Atkins,31.2,WAS,Point,533,27,18.6%,48,101.1,17,21.5%,42,1.16,58,12.8%
Stacey Augmon,37.3,ORL,Forward,374,5,12.1%,8,82.3,60,9.5%,88,0.78,73,11.6%
Marcus Banks,24.0,BOS,Combo,250,42,20.4%,49,105.9,49,20.3%,55,0.99,15,17.6%
Marcus Banks,24.0,MIN,Point,1198,69,22.9%,69,108.8,46,25.6%,33,1.12,23,16.0%
Leandro Barbosa,22.9,PHX,Wing,1538,68,20.4%,95,119.5,65,14.1%,59,0.69,55,12.6%
Matt Barnes,25.6,PHI,Forward,503,2,11.7%,88,117.4,30,6.6%,60,0.57,18,16.0%
Andre Barrett,23.7,TOR,Point,257,65,22.5%,8,76.8,65,29.6%,54,1.31,88,10.4%
Brent Barry,33.8,SAS,Wing,1179,27,15.6%,91,117.8,74,15.3%,96,0.99,65,11.7%
Jon Barry,36.3,HOU,Wing,330,16,14.1%,65,108.2,62,13.1%,92,0.93,1,22.4%
