Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Abrines,23.3,OKC,Wing,976,16,+2.1%,31,+1.8%,49,-0.0%,10,+4.8%,20,+2.2%,38,+2.0%,22,+2.3%,20,+2.2%
Quincy Acy,26.1,BKN,Big,492,38,+0.5%,27,+2.2%,68,-1.8%,51,-0.3%,61,-1.0%,91,-8.0%,21,+2.3%,51,-0.2%
Steven Adams,23.3,OKC,Big,2381,60,-0.5%,82,-3.0%,69,-2.0%,47,+0.1%,66,-1.3%,9,+8.6%,23,+2.2%,10,+3.7%
Arron Afflalo,31.0,SAC,Wing,1576,15,+2.2%,32,+1.7%,27,+2.5%,21,+3.0%,16,+2.7%,23,+4.5%,33,+1.3%,19,+2.3%
Alexis Ajinca,28.5,NOP,Big,566,66,-0.8%,74,-2.1%,51,-0.3%,87,-4.6%,80,-2.5%,34,+3.0%,24,+2.0%,21,+2.2%
Cole Aldrich,28.0,MIN,Big,497,34,+0.8%,12,+4.1%,6,+6.6%,79,-2.9%,29,+1.5%,80,-5.1%,70,-1.6%,81,-2.4%
LaMarcus Aldridge,31.3,SAS,Big,2325,31,+1.0%,55,-0.4%,40,+1.0%,34,+1.7%,32,+1.3%,57,-1.1%,20,+2.4%,28,+1.6%
Lavoy Allen,27.7,IND,Big,829,16,+2.1%,14,+3.8%,92,-5.8%,44,+0.5%,79,-2.4%,7,+9.2%,38,+1.0%,13,+3.2%
Tony Allen,34.8,MEM,Wing,1906,27,+1.2%,40,+0.8%,18,+3.8%,9,+4.8%,7,+4.2%,34,+2.9%,72,-1.8%,57,-0.5%
Al-Farouq Aminu,26.1,POR,Big,1756,50,+0.0%,35,+1.2%,86,-4.3%,23,+2.8%,58,-0.6%,81,-5.2%,56,-0.3%,70,-1.4%
Alan Anderson,34.0,LAC,Wing,258,11,+2.6%,5,+5.8%,0,+11.3%,92,-5.7%,16,+2.8%,42,+1.5%,89,-3.8%,81,-2.4%
Justin Anderson,23.0,DAL,Wing,627,7,+3.6%,7,+5.1%,10,+5.3%,5,+6.7%,3,+6.0%,25,+4.0%,88,-3.7%,74,-1.8%
Justin Anderson,23.0,PHI,Wing,462,52,-0.1%,37,+1.2%,18,+3.8%,97,-7.5%,77,-2.1%,73,-3.5%,26,+1.9%,46,+0.3%
Kyle Anderson,23.1,SAS,Wing,912,73,-1.2%,43,+0.5%,46,+0.3%,60,-1.2%,57,-0.5%,63,-2.0%,75,-2.0%,79,-2.2%
Ryan Anderson,28.5,HOU,Big,2112,26,+1.3%,20,+3.0%,43,+0.6%,60,-1.2%,55,-0.3%,23,+4.5%,52,-0.1%,34,+1.1%
Giannis Antetokounmpo,21.9,MIL,Forward,2820,72,-1.2%,91,-4.4%,83,-3.8%,14,+4.0%,51,-0.0%,12,+7.2%,60,-0.6%,25,+1.9%
Carmelo Anthony,32.4,NYK,Forward,2532,29,+1.1%,15,+3.4%,61,-1.1%,72,-2.1%,70,-1.6%,16,+5.9%,62,-0.8%,41,+0.7%
Trevor Ariza,31.3,HOU,Forward,2759,8,+3.4%,21,+2.9%,37,+1.1%,34,+1.6%,31,+1.3%,10,+7.6%,37,+1.1%,18,+2.7%
Darrell Arthur,28.6,DEN,Big,620,48,+0.1%,67,-1.5%,92,-5.8%,4,+6.9%,31,+1.4%,15,+6.0%,85,-3.3%,64,-0.9%
Omer Asik,30.3,NOP,Big,481,39,+0.5%,16,+3.4%,56,-0.7%,32,+1.8%,38,+0.6%,26,+3.9%,53,-0.2%,39,+0.8%
D.J. Augustin,29.0,ORL,Combo,1456,50,+0.0%,67,-1.4%,12,+4.8%,39,+1.0%,14,+2.9%,22,+4.7%,67,-1.3%,50,-0.1%
Luke Babbitt,27.4,MIA,Forward,1044,78,-1.5%,48,+0.1%,65,-1.6%,66,-1.6%,69,-1.6%,26,+3.8%,88,-3.7%,74,-1.8%
Ron Baker,23.6,NYK,Combo,778,47,+0.2%,70,-1.7%,25,+2.7%,71,-2.0%,43,+0.4%,75,-3.9%,22,+2.2%,40,+0.8%
Wade Baldwin,20.6,MEM,Combo,381,31,+1.0%,56,-0.5%,78,-3.2%,24,+2.7%,54,-0.3%,89,-7.5%,11,+3.9%,36,+1.0%
Leandro Barbosa,33.9,PHX,Wing,946,72,-1.1%,36,+1.2%,69,-2.0%,42,+0.8%,57,-0.5%,58,-1.2%,73,-1.9%,82,-2.5%
