Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Arron Afflalo,26.0,DEN,Wing,2077,21,-6.0,-15,31,-3.8,31,-2.0%,29,+1.0%,47,-0.3%,55,+0.4,31,+2.1,40,+0.4%,10,-2.1%,67,-1.3%,54,-0.2
Solomon Alabi,23.6,TOR,Big,105,91,+8.9,+25,28,-4.2,32,-1.9%,58,-0.2%,41,-0.8%,43,-0.7,99,-13.1,99,-8.3%,10,-2.0%,87,-2.8%,92,-4.8
LaMarcus Aldridge,26.3,POR,Big,1987,97,+13.1,+33,83,+4.6,79,+2.1%,57,-0.2%,56,+0.5%,54,+0.3,96,-8.6,90,-3.1%,82,+1.4%,84,-2.6%,53,-0.1
Lavoy Allen,22.7,PHI,Big,569,65,+1.9,+6,26,-4.6,25,-2.5%,64,-0.5%,72,+1.9%,10,-4.7,92,-6.5,86,-2.5%,63,+0.5%,64,-1.0%,91,-4.7
Ray Allen,36.3,BOS,Wing,1558,44,-1.9,-6,74,+3.1,74,+1.6%,76,-0.9%,47,-0.3%,64,+1.5,12,+5.0,14,+2.2%,19,-1.3%,52,-0.2%,56,-0.4
Tony Allen,29.8,MEM,Wing,1523,88,+8.0,+21,66,+1.6,55,+0.2%,45,+0.4%,76,+2.2%,94,+5.0,91,-6.4,75,-1.6%,90,+2.1%,63,-0.9%,80,-3.0
Al-Farouq Aminu,21.1,NOH,Forward,1436,86,+7.2,+18,55,-0.3,46,-0.6%,20,+1.6%,79,+2.5%,87,+3.8,93,-7.4,87,-2.6%,78,+1.1%,90,-3.3%,47,+0.6
Lou Amundson,28.9,IND,Big,650,32,-3.6,-9,36,-3.4,12,-3.6%,39,+0.6%,90,+4.1%,78,+2.7,48,+0.2,43,+0.3%,91,+2.1%,27,+1.6%,9,+5.5
Chris Andersen,33.3,DEN,Big,481,69,+2.6,+7,55,-0.3,36,-1.4%,62,-0.4%,66,+1.4%,63,+1.3,74,-3.0,93,-3.6%,43,-0.2%,12,+3.2%,48,+0.4
Alan Anderson,29.0,TOR,Wing,450,38,-2.6,-8,6,-10.8,9,-4.5%,82,-1.3%,2,-6.5%,19,-3.4,95,-8.2,85,-2.3%,23,-1.1%,99,-7.1%,93,-5.0
James Anderson,22.6,SAS,Wing,512,63,+1.5,+3,69,+2.4,79,+2.0%,40,+0.5%,11,-3.7%,84,+3.2,41,+0.9,21,+1.5%,79,+1.2%,64,-0.9%,36,+1.6
Ryan Anderson,23.5,ORL,Big,1956,98,+13.6,+35,98,+11.4,93,+3.9%,93,-2.5%,94,+5.1%,24,-2.5,68,-2.2,46,+0.1%,89,+2.0%,43,+0.4%,31,+2.1
Carmelo Anthony,27.4,NYK,Forward,1871,47,-1.1,-3,74,+3.2,49,-0.2%,58,-0.2%,63,+1.2%,95,+5.3,15,+4.3,27,+1.2%,9,-2.1%,50,-0.1%,62,-1.0
Joel Anthony,29.2,MIA,Big,1342,79,+4.9,+10,80,+4.2,95,+4.3%,43,+0.4%,58,+0.6%,11,-4.6,56,-0.6,41,+0.4%,25,-0.9%,48,+0.1%,98,-6.6
Gilbert Arenas,29.8,MEM,Point,210,75,+3.9,+10,52,-0.7,53,+0.1%,21,+1.6%,53,+0.2%,45,-0.5,84,-4.6,57,-0.5%,81,+1.4%,41,+0.5%,80,-3.0
Trevor Ariza,26.3,NOH,Wing,1346,31,-3.9,-9,61,+0.7,67,+1.0%,75,-0.9%,28,-2.0%,16,-3.7,13,+4.7,10,+2.7%,62,+0.5%,19,+2.3%,79,-2.9
Omer Asik,25.3,CHI,Big,874,44,-1.9,-3,13,-7.3,20,-2.7%,15,+2.0%,70,+1.8%,15,-3.9,88,-5.5,96,-4.4%,90,+2.0%,28,+1.6%,16,+4.2
D.J. Augustin,24.0,CHA,Point,1404,51,-0.4,+0,82,+4.5,85,+2.7%,64,-0.5%,53,+0.2%,40,-1.0,12,+4.8,24,+1.4%,27,-0.8%,19,+2.3%,38,+1.5
Gustavo Ayon,26.6,NOH,Big,1042,70,+2.7,+7,63,+1.3,65,+0.8%,40,+0.5%,63,+1.2%,30,-1.9,61,-1.4,76,-1.6%,92,+2.2%,5,+4.6%,27,+2.7
Luke Babbitt,22.4,POR,Forward,468,3,-17.5,-37,29,-4.0,19,-2.8%,30,+0.9%,77,+2.3%,35,-1.4,0,+13.5,5,+4.2%,1,-3.7%,13,+3.1%,49,+0.4
Leandro Barbosa,28.9,TOR,Combo,925,55,+0.4,+1,69,+2.3,56,+0.3%,21,+1.5%,96,+5.7%,63,+1.3,34,+1.8,70,-1.2%,30,-0.7%,33,+1.1%,2,+8.2
Leandro Barbosa,28.9,IND,Wing,413,53,+0.2,+1,52,-0.7,6,-5.0%,73,-0.8%,96,+5.6%,97,+6.1,57,-0.9,43,+0.3%,94,+2.6%,11,+3.3%,10,+5.1
J.J. Barea,27.3,MIN,Point,1022,37,-2.9,-8,51,-0.9,62,+0.6%,65,-0.5%,11,-3.8%,75,+2.3,32,+2.1,32,+0.9%,25,-0.9%,41,+0.6%,89,-4.1
Andrea Bargnani,26.0,TOR,Forward,1030,68,+2.5,+7,83,+4.7,83,+2.4%,83,-1.4%,21,-2.6%,77,+2.7,31,+2.1,29,+1.0%,39,-0.3%,16,+2.7%,85,-3.6
Matt Barnes,31.6,LAL,Wing,1429,59,+1.1,+3,73,+3.0,80,+2.2%,44,+0.4%,55,+0.4%,58,+0.7,33,+1.9,34,+0.8%,38,-0.3%,82,-2.3%,23,+3.1
Brandon Bass,26.5,BOS,Big,1850,74,+3.7,+10,87,+5.8,84,+2.6%,65,-0.5%,63,+1.2%,43,-0.8,32,+2.1,39,+0.5%,12,-1.9%,71,-1.5%,63,-1.2
Tony Battie,35.7,PHI,Big,286,74,+3.9,+10,22,-5.5,42,-0.9%,21,+1.5%,30,-1.9%,13,-4.3,97,-9.4,85,-2.3%,64,+0.6%,92,-3.6%,60,-0.9
Shane Battier,33.1,MIA,Wing,1451,31,-3.8,-8,39,-2.9,14,-3.1%,69,-0.6%,78,+2.4%,41,-0.9,42,+0.8,25,+1.3%,79,+1.1%,75,-1.8%,20,+3.6
Nicolas Batum,22.9,POR,Wing,1747,50,-0.7,-2,75,+3.3,71,+1.3%,59,-0.3%,57,+0.5%,79,+2.8,17,+4.0,25,+1.3%,72,+0.8%,17,+2.6%,19,+3.8
