Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Bam Adebayo,23.3,MIA,Big,132,20,0.7%,89,1.6%,80,3.0%,54,9.0%,37,15.3%,0,0.0%,17,10.0%
Grayson Allen,25.1,MEM,Wing,145,75,0.7%,79,1.8%,36,3.8%,29,1.8%,50,10.0%,0,0.0%,79,20.0%
Kyle Anderson,27.1,MEM,Forward,213,87,1.4%,100,3.0%,100,2.0%,61,2.8%,57,12.7%,87,6.7%,100,77.8%
Giannis Antetokounmpo,25.9,MIL,Big,792,54,1.7%,54,1.0%,91,2.7%,43,7.1%,91,25.9%,86,5.6%,91,47.8%
Carmelo Anthony,36.4,POR,Forward,143,17,0.4%,13,0.6%,17,4.8%,13,1.4%,43,11.5%,0,0.0%,52,22.2%
Deandre Ayton,22.3,PHX,Big,799,46,1.5%,51,1.0%,71,3.4%,60,9.2%,69,21.5%,0,0.0%,86,46.2%
Desmond Bane,22.4,MEM,Wing,153,64,0.7%,50,1.1%,79,2.5%,54,2.6%,79,15.0%,0,0.0%,0,0.0%
RJ Barrett,20.4,NYK,Wing,158,68,0.7%,54,1.1%,57,3.1%,46,2.3%,96,20.7%,0,0.0%,96,33.3%
Nicolas Batum,31.9,LAC,Wing,554,82,0.9%,89,2.0%,86,2.2%,82,4.2%,75,14.6%,0,0.0%,89,25.0%
Bradley Beal,27.3,WAS,Wing,258,89,1.1%,14,0.6%,100,1.0%,64,2.9%,71,14.0%,0,0.0%,50,8.3%
Davis Bertans,28.0,WAS,Forward,150,65,0.6%,9,0.5%,26,4.1%,0,0.0%,4,8.1%,0,0.0%,0,0.0%
Patrick Beverley,32.3,LAC,Combo,314,95,2.1%,90,1.8%,5,4.8%,90,3.3%,57,10.0%,90,7.7%,71,8.3%
Bogdan Bogdanovic,28.2,ATL,Wing,598,43,0.4%,96,2.2%,46,3.6%,36,1.9%,61,11.1%,0,0.0%,0,0.0%
Bojan Bogdanovic,31.5,UTA,Forward,389,0,0.0%,35,1.1%,39,3.0%,30,1.7%,48,11.7%,0,0.0%,0,0.0%
Devin Booker,24.0,PHX,Wing,887,14,0.2%,32,0.9%,54,3.1%,32,1.9%,64,11.9%,0,0.0%,43,2.6%
Mikal Bridges,24.2,PHX,Wing,699,86,1.0%,75,1.5%,75,2.6%,68,3.2%,54,10.0%,0,0.0%,54,12.1%
Dillon Brooks,24.8,MEM,Wing,259,50,0.6%,82,1.8%,25,4.2%,50,2.3%,43,9.2%,96,10.0%,0,0.0%
Bruce Brown,24.2,BKN,Forward,260,70,0.9%,65,1.4%,9,5.2%,100,8.7%,61,12.9%,96,10.0%,30,7.7%
Jalen Brunson,24.2,DAL,Combo,109,0,0.0%,0,0.0%,62,2.6%,100,5.2%,76,12.1%,0,0.0%,0,0.0%
Reggie Bullock,29.6,NYK,Wing,162,29,0.3%,29,0.8%,61,3.1%,61,2.9%,18,7.2%,0,0.0%,0,0.0%
Alec Burks,29.3,NYK,Wing,127,0,0.0%,4,0.4%,32,3.9%,79,4.0%,82,16.1%,0,0.0%,0,0.0%
Jimmy Butler,31.1,MIA,Wing,150,32,0.3%,71,1.4%,93,1.4%,71,3.5%,86,16.3%,0,0.0%,0,0.0%
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,25,0.3%,93,2.1%,29,3.9%,25,1.8%,36,8.6%,0,0.0%,0,0.0%
Facundo Campazzo,29.6,DEN,Point,268,57,0.8%,93,2.2%,0,5.1%,79,2.5%,43,9.7%,0,0.0%,0,0.0%
Clint Capela,26.5,ATL,Big,568,57,1.7%,49,0.9%,69,3.4%,71,11.1%,71,23.0%,0,0.0%,69,37.1%
Alex Caruso,26.7,LAL,Combo,149,90,1.9%,57,1.2%,14,4.2%,43,1.9%,19,6.0%,0,0.0%,0,0.0%
Jordan Clarkson,28.4,UTA,Combo,296,57,0.5%,38,0.9%,90,2.1%,52,2.1%,48,9.2%,0,0.0%,81,11.1%
Nicolas Claxton,21.5,BKN,Big,120,97,5.5%,86,1.6%,14,6.2%,80,12.6%,29,14.2%,0,0.0%,17,10.0%
John Collins,23.1,ATL,Big,576,31,1.0%,23,0.6%,49,4.1%,37,6.5%,57,19.2%,0,0.0%,80,41.7%
Mike Conley,33.1,UTA,Point,175,79,0.9%,0,0.2%,36,3.5%,50,1.9%,64,10.9%,0,0.0%,0,0.0%
Pat Connaughton,27.8,MIL,Wing,526,57,0.6%,25,0.8%,64,3.0%,93,5.0%,68,13.8%,89,2.4%,71,15.8%
Robert Covington,29.9,POR,Big,228,40,1.4%,97,1.8%,63,3.6%,17,4.5%,31,14.3%,0,0.0%,77,40.0%
Torrey Craig,29.9,PHX,Big,243,49,1.7%,0,0.2%,26,5.3%,46,8.0%,11,12.8%,0,0.0%,46,28.6%
Jae Crowder,30.3,PHX,Forward,728,83,1.3%,48,1.2%,22,4.1%,22,1.5%,78,16.5%,0,0.0%,39,9.7%
Seth Curry,30.2,PHI,Wing,381,39,0.4%,39,1.0%,50,3.5%,4,1.2%,14,6.5%,0,0.0%,46,5.0%
Anthony Davis,27.6,LAL,Big,186,83,2.7%,60,1.2%,86,2.9%,23,5.0%,66,19.9%,0,0.0%,57,30.0%
Luka Doncic,21.7,DAL,Wing,280,54,0.6%,61,1.3%,82,2.4%,18,1.5%,100,21.2%,0,0.0%,75,16.7%
Goran Dragic,34.5,MIA,Point,111,86,0.9%,71,1.6%,7,4.3%,7,0.8%,0,4.9%,0,0.0%,71,14.3%
Andre Drummond,27.2,LAL,Big,121,69,2.1%,74,1.4%,46,4.3%,97,16.9%,100,30.3%,0,0.0%,100,100.0%
Kevin Durant,32.1,BKN,Forward,477,91,1.9%,83,1.7%,87,2.2%,9,1.2%,96,20.1%,0,0.0%,74,29.6%
Joel Embiid,26.6,PHI,Big,356,74,2.2%,69,1.3%,89,2.7%,20,4.9%,94,26.5%,91,5.7%,60,31.3%
Derrick Favors,29.3,UTA,Big,144,91,3.4%,20,0.6%,3,7.1%,89,14.0%,63,19.7%,0,0.0%,46,28.6%
Dorian Finney-Smith,27.5,DAL,Forward,269,35,0.4%,57,1.3%,35,3.5%,91,6.9%,35,11.3%,0,0.0%,52,22.2%
Bryn Forbes,27.3,MIL,Combo,256,48,0.4%,5,0.3%,86,2.2%,10,0.7%,43,8.6%,0,0.0%,67,7.7%
Evan Fournier,28.0,BOS,Wing,200,0,0.0%,68,1.4%,7,4.7%,57,2.8%,57,10.8%,0,0.0%,0,0.0%
Daniel Gafford,22.1,WAS,Big,142,100,5.6%,83,1.5%,17,5.8%,66,10.2%,40,15.4%,0,0.0%,26,11.8%
Danilo Gallinari,32.2,ATL,Big,441,6,0.3%,17,0.6%,43,4.3%,0,1.8%,23,13.7%,0,0.0%,11,6.5%
Paul George,30.5,LAC,Forward,776,61,0.6%,30,1.1%,43,2.9%,48,2.5%,100,20.7%,0,0.0%,78,36.1%
Taj Gibson,35.4,NYK,Big,137,60,1.9%,100,2.6%,54,3.8%,63,9.6%,17,13.1%,100,25.0%,63,33.3%
Rudy Gobert,28.4,UTA,Big,375,89,3.2%,26,0.7%,29,4.8%,83,12.7%,74,23.2%,0,0.0%,97,63.6%
Aaron Gordon,25.1,DEN,Forward,298,48,0.5%,22,0.7%,83,2.5%,87,6.6%,26,11.1%,91,7.7%,91,50.0%
Danny Green,33.4,PHI,Forward,198,96,2.0%,91,1.9%,57,2.8%,78,5.6%,0,6.6%,0,0.0%,0,0.0%
JaMychal Green,30.4,DEN,Big,186,14,0.6%,9,0.5%,100,2.4%,51,8.9%,49,18.1%,0,0.0%,63,33.3%
Jeff Green,34.2,BKN,Big,147,17,0.7%,46,0.9%,40,4.3%,14,2.9%,0,8.6%,0,0.0%,0,0.0%
Blake Griffin,31.6,BKN,Big,317,29,0.9%,77,1.4%,20,5.6%,26,5.1%,34,15.2%,0,0.0%,46,28.6%
Rui Hachimura,22.7,WAS,Big,211,11,0.4%,6,0.4%,37,4.4%,3,2.1%,26,13.9%,80,5.3%,54,29.4%
Tim Hardaway Jr.,28.6,DAL,Wing,261,0,0.0%,11,0.5%,71,2.9%,43,2.0%,25,7.5%,0,0.0%,57,12.5%
James Harden,31.2,BKN,Point,311,64,0.8%,100,2.3%,57,3.0%,71,2.4%,79,14.4%,0,0.0%,71,14.3%
Joe Harris,29.2,BKN,Wing,423,18,0.2%,7,0.4%,68,3.0%,7,1.3%,32,8.0%,0,0.0%,61,13.0%
Tobias Harris,28.3,PHI,Forward,436,57,0.6%,43,1.2%,78,2.6%,52,2.5%,91,19.3%,0,0.0%,83,40.0%
George Hill,34.5,PHI,Combo,203,67,0.7%,81,1.7%,38,3.6%,62,2.5%,5,4.6%,0,0.0%,52,4.8%
Solomon Hill,29.6,ATL,Forward,138,22,0.4%,17,0.6%,4,5.8%,35,2.0%,39,11.5%,0,0.0%,22,6.3%
Jrue Holiday,30.4,MIL,Combo,900,62,0.6%,86,1.7%,95,2.0%,81,3.2%,62,10.8%,86,3.6%,100,19.0%
Dwight Howard,34.9,PHI,Big,143,63,2.1%,14,0.6%,0,8.0%,94,16.1%,97,27.8%,86,5.6%,86,46.2%
Kevin Huerter,22.2,ATL,Wing,556,96,1.5%,46,1.1%,39,3.8%,39,2.0%,46,9.6%,0,0.0%,61,13.0%
DeAndre Hunter,22.9,ATL,Forward,151,74,1.0%,4,0.3%,61,2.7%,13,1.4%,17,9.9%,0,0.0%,83,40.0%
Joe Ingles,33.1,UTA,Forward,306,0,0.0%,26,1.0%,52,2.8%,4,0.4%,22,10.8%,0,0.0%,26,7.1%
Kyrie Irving,28.6,BKN,Combo,318,71,0.8%,62,1.3%,81,2.5%,95,3.7%,67,11.0%,0,0.0%,57,5.3%
Jaren Jackson,21.1,MEM,Big,183,77,2.4%,71,1.4%,23,5.6%,34,6.4%,6,11.6%,0,0.0%,31,16.7%
Reggie Jackson,30.5,LAC,Combo,621,33,0.3%,67,1.4%,43,3.4%,29,1.4%,38,8.5%,0,0.0%,62,7.4%
LeBron James,35.8,LAL,Wing,258,61,0.6%,86,1.9%,96,1.4%,75,3.6%,93,16.4%,100,14.3%,93,30.0%
Cameron Johnson,24.7,PHX,Forward,428,39,0.5%,87,1.8%,65,2.7%,74,3.9%,30,11.1%,0,0.0%,0,0.0%
Nikola Jokic,25.7,DEN,Big,344,43,1.4%,37,0.8%,94,2.6%,69,10.3%,83,25.3%,80,5.3%,71,37.5%
Luke Kennard,24.4,LAC,Combo,208,0,0.0%,19,0.4%,52,2.9%,67,2.5%,0,4.0%,0,0.0%,0,0.0%
Maxi Kleber,28.8,DAL,Big,187,0,0.0%,31,0.7%,34,4.7%,9,2.7%,3,11.3%,0,0.0%,71,37.5%
Furkan Korkmaz,23.3,PHI,Forward,180,52,0.5%,61,1.4%,96,2.1%,43,2.5%,13,9.4%,0,0.0%,35,9.1%
Kyle Kuzma,25.3,LAL,Forward,144,30,0.4%,52,1.2%,91,2.2%,65,3.3%,83,16.5%,100,11.1%,43,11.1%
Romeo Langford,21.0,BOS,Wing,113,79,0.9%,21,0.8%,89,1.5%,96,5.0%,29,7.7%,0,0.0%,0,0.0%
Kawhi Leonard,29.3,LAC,Forward,431,78,1.1%,96,2.5%,48,2.9%,83,5.9%,70,14.0%,0,0.0%,70,28.0%
Damian Lillard,30.3,POR,Point,247,71,0.8%,14,0.9%,93,1.5%,0,0.5%,57,10.0%,0,0.0%,57,6.7%
Brook Lopez,32.6,MIL,Big,660,80,2.6%,57,1.1%,97,2.6%,40,6.7%,14,13.0%,97,11.4%,9,5.3%
Terance Mann,24.0,LAC,Wing,370,71,0.7%,57,1.3%,4,5.1%,100,5.5%,39,9.0%,0,0.0%,0,0.0%
Wesley Matthews,34.1,LAL,Wing,124,0,0.0%,18,0.7%,14,4.5%,86,4.4%,7,4.7%,0,0.0%,0,0.0%
Tyrese Maxey,20.0,PHI,Combo,144,86,1.1%,33,0.9%,14,4.2%,5,0.7%,71,12.1%,0,0.0%,0,0.0%
CJ McCollum,29.1,POR,Combo,239,76,0.9%,10,0.4%,10,4.8%,71,2.7%,86,13.2%,0,0.0%,0,0.0%
De'Anthony Melton,22.4,MEM,Combo,104,100,2.3%,14,0.4%,33,3.7%,86,3.3%,90,13.4%,0,0.0%,0,0.0%
