Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Arron Afflalo,26.0,DEN,Wing,228,63,+1.7%,16,-4.7%,64,+2.3%,76,+4.2%,83,+6.5%,15,-2.6%,60,+0.8%,36,-1.8%
Lavoy Allen,22.7,PHI,Big,234,85,+6.6%,55,+0.2%,55,+1.2%,37,-2.6%,37,-1.3%,48,-0.1%,63,+1.2%,59,+1.1%
Ray Allen,36.3,BOS,Wing,610,61,+1.7%,89,+5.7%,20,-2.9%,11,-6.8%,7,-9.7%,59,+0.5%,78,+3.5%,80,+4.0%
Tony Allen,29.8,MEM,Wing,170,92,+9.1%,94,+7.4%,26,-2.1%,46,-0.7%,32,-2.8%,52,+0.3%,14,-4.9%,15,-4.6%
Ryan Anderson,23.5,ORL,Big,172,75,+4.7%,32,-3.0%,72,+2.6%,7,-9.2%,16,-6.6%,100,+5.4%,86,+4.3%,98,+9.6%
Carmelo Anthony,27.4,NYK,Forward,203,96,+10.7%,7,-6.1%,80,+3.8%,70,+2.9%,85,+6.7%,0,-7.8%,97,+7.1%,46,-0.7%
Joel Anthony,29.2,MIA,Big,319,24,-2.8%,33,-2.9%,63,+2.2%,59,+0.7%,64,+2.9%,77,+1.9%,32,-1.9%,51,+0.0%
Omer Asik,25.3,CHI,Big,128,34,-1.9%,45,-1.2%,13,-4.0%,75,+4.0%,46,+0.0%,39,-0.6%,67,+1.7%,59,+1.1%
Leandro Barbosa,28.9,IND,Wing,214,7,-6.5%,75,+3.0%,3,-7.0%,88,+6.8%,44,-0.3%,20,-1.9%,40,-0.8%,28,-2.7%
Matt Barnes,31.6,LAL,Wing,173,40,-1.2%,59,+0.9%,25,-2.1%,52,+0.1%,33,-2.1%,95,+4.2%,21,-3.0%,60,+1.1%
