Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Ray Allen,32.3,BOS,Wing,984,45,0.4%,48,1.2%,65,2.9%,45,2.9%,32,8.1%,0,0.0%,32,3.4%
Rafer Alston,31.3,HOU,Point,125,0,0.0%,56,1.5%,75,2.7%,44,1.7%,0,3.7%,0,0.0%,0,0.0%
Carmelo Anthony,23.4,DEN,Forward,146,40,0.3%,13,0.6%,33,4.0%,100,11.9%,67,13.8%,0,0.0%,0,0.0%
Leandro Barbosa,24.9,PHX,Combo,137,0,0.0%,8,1.0%,92,2.3%,25,0.8%,100,13.3%,0,0.0%,0,0.0%
Andrea Bargnani,22.0,TOR,Big,103,36,1.5%,91,1.8%,41,5.3%,0,0.9%,0,6.9%,100,0.0%,0,0.0%
Brent Barry,35.8,SAS,Wing,190,61,0.6%,55,1.2%,32,4.4%,3,0.6%,39,8.2%,0,0.0%,48,6.7%
Brandon Bass,22.5,DAL,Big,131,30,1.3%,45,1.1%,57,4.2%,98,15.9%,16,11.6%,0,0.0%,20,16.7%
Shane Battier,29.1,HOU,Forward,245,80,1.1%,40,1.2%,47,3.7%,33,2.6%,7,6.5%,87,5.0%,33,11.1%
Raja Bell,31.1,PHX,Wing,212,39,0.3%,16,0.4%,48,3.7%,58,3.3%,65,11.3%,0,0.0%,55,10.0%
Mike Bibby,29.5,ATL,Point,250,63,0.4%,38,0.7%,94,2.1%,19,1.4%,38,8.4%,0,0.0%,0,0.0%
Chauncey Billups,31.1,DET,Point,479,31,0.1%,50,1.2%,56,3.2%,31,1.5%,56,9.0%,0,0.0%,94,9.7%
Keith Bogans,27.5,ORL,Wing,291,0,0.0%,23,0.7%,35,4.3%,29,1.7%,87,13.2%,0,0.0%,0,0.0%
Carlos Boozer,25.9,UTA,Big,440,2,0.3%,25,0.6%,55,4.4%,64,9.9%,91,23.8%,84,9.7%,70,38.9%
Chris Bosh,23.6,TOR,Big,198,9,0.5%,93,1.8%,64,3.9%,59,9.8%,11,11.1%,0,0.0%,73,40.0%
Bruce Bowen,36.4,SAS,Wing,505,68,0.6%,42,1.1%,52,3.7%,0,0.4%,13,5.8%,0,0.0%,58,10.7%
Ronnie Brewer,22.6,UTA,Wing,304,74,0.7%,87,1.8%,39,4.2%,84,6.0%,35,8.2%,0,0.0%,0,0.0%
P.J. Brown,38.0,BOS,Big,329,45,1.8%,27,0.7%,9,7.9%,23,6.4%,27,12.3%,0,0.0%,39,30.0%
Kobe Bryant,29.2,LAL,Wing,859,52,0.5%,90,1.9%,77,2.5%,39,2.4%,77,12.1%,0,0.0%,39,4.5%
Caron Butler,27.6,WAS,Wing,245,0,0.0%,94,2.1%,58,3.3%,68,4.0%,48,9.0%,100,7.7%,77,20.0%
Jose Calderon,26.1,TOR,Point,118,0,0.0%,0,0.4%,6,6.1%,94,3.5%,88,13.6%,0,0.0%,0,0.0%
Marcus Camby,33.6,DEN,Big,123,93,4.7%,66,1.3%,89,3.0%,41,8.0%,100,31.3%,0,0.0%,100,60.0%
Sam Cassell,38.0,BOS,Combo,259,33,0.2%,58,1.5%,8,5.3%,42,0.9%,33,5.5%,0,0.0%,0,0.0%
Tyson Chandler,25.1,NOP,Big,409,64,2.7%,18,0.6%,50,4.5%,89,12.5%,61,17.8%,0,0.0%,30,25.0%
Josh Childress,24.4,ATL,Wing,193,90,1.4%,0,0.2%,97,1.5%,97,8.4%,71,11.7%,0,0.0%,0,0.0%
Samuel Dalembert,27.5,PHI,Big,192,73,3.0%,11,0.5%,68,3.9%,84,11.4%,82,21.6%,0,0.0%,73,40.0%
Antonio Daniels,32.6,WAS,Point,151,94,0.7%,25,0.6%,100,1.6%,13,0.7%,63,9.4%,0,0.0%,0,0.0%
Glen Davis,21.8,BOS,Big,112,25,1.1%,89,1.7%,7,8.7%,73,10.5%,25,12.0%,95,16.7%,0,0.0%
Carlos Delfino,25.2,TOR,Wing,120,0,0.0%,74,1.6%,10,5.6%,77,4.7%,97,15.1%,0,0.0%,94,30.0%
Boris Diaw,25.5,PHX,Big,174,27,1.2%,32,0.8%,52,4.5%,14,4.4%,20,12.0%,0,0.0%,0,0.0%
Keyon Dooling,27.5,ORL,Combo,141,67,0.4%,83,2.2%,0,7.7%,33,0.9%,8,4.3%,100,9.1%,0,0.0%
Tim Duncan,31.5,SAS,Big,662,70,2.9%,52,1.1%,95,2.4%,61,9.9%,98,27.5%,52,2.4%,82,41.9%
Maurice Evans,29.0,ORL,Wing,277,0,0.0%,61,1.4%,87,2.1%,55,3.1%,19,6.6%,0,0.0%,0,0.0%
Reggie Evans,27.5,PHI,Big,139,0,0.0%,82,1.7%,39,5.7%,77,10.8%,80,21.6%,86,11.1%,66,37.5%
Jordan Farmar,20.9,LAL,Point,341,88,0.6%,31,0.7%,44,3.5%,63,2.3%,19,7.4%,0,0.0%,88,5.6%
Michael Finley,34.7,SAS,Forward,373,47,0.4%,7,0.5%,67,3.0%,0,0.3%,27,8.9%,0,0.0%,20,3.7%
Derek Fisher,33.2,LAL,Point,663,44,0.2%,94,3.0%,19,4.1%,0,0.4%,13,6.7%,0,0.0%,81,2.7%
T.J. Ford,24.6,TOR,Point,124,0,0.0%,75,1.8%,50,3.2%,69,2.3%,100,16.8%,0,0.0%,100,22.2%
Kevin Garnett,31.5,BOS,Big,984,41,1.8%,84,1.7%,91,2.9%,43,8.3%,77,21.2%,80,7.9%,61,33.9%
Pau Gasol,27.3,LAL,Big,834,57,2.5%,20,0.6%,84,3.2%,32,7.4%,41,15.8%,55,3.1%,45,30.4%
Daniel Gibson,21.7,CLE,Combo,276,75,0.4%,33,1.2%,75,2.9%,58,1.7%,50,6.0%,0,0.0%,0,0.0%
Manu Ginobili,30.3,SAS,Wing,554,55,0.5%,29,0.8%,55,3.5%,42,2.8%,42,8.5%,0,0.0%,81,21.6%
Willie Green,26.3,PHI,Wing,141,94,1.7%,77,1.7%,13,5.4%,26,1.6%,10,5.5%,0,0.0%,0,0.0%
Richard Hamilton,29.7,DET,Wing,648,77,0.8%,81,1.7%,61,3.2%,61,3.5%,58,9.5%,0,0.0%,35,4.4%
Matt Harpring,31.4,UTA,Wing,208,81,0.8%,68,1.6%,6,6.7%,100,8.9%,52,9.4%,0,0.0%,48,6.7%
Chuck Hayes,24.4,HOU,Big,103,66,2.8%,68,1.4%,14,7.5%,18,6.2%,39,15.7%,82,9.1%,95,54.5%
Brendan Haywood,27.9,WAS,Big,178,68,2.8%,50,1.1%,34,5.9%,39,7.9%,34,14.0%,0,0.0%,80,41.7%
Al Horford,21.4,ATL,Big,265,34,1.4%,14,0.5%,70,3.8%,50,9.5%,70,19.6%,0,0.0%,84,42.9%
Robert Horry,37.2,SAS,Big,137,55,2.1%,86,1.7%,0,10.4%,34,7.4%,32,13.9%,95,16.7%,0,0.0%
Eddie House,29.5,BOS,Combo,136,83,0.4%,42,1.4%,25,4.4%,0,0.0%,92,13.2%,0,0.0%,100,6.7%
Dwight Howard,21.9,ORL,Big,421,84,4.4%,41,0.9%,86,3.0%,100,17.2%,89,22.8%,0,0.0%,52,33.3%
Josh Howard,27.5,DAL,Wing,170,65,0.6%,6,0.3%,74,2.7%,94,7.1%,74,12.0%,0,0.0%,100,60.0%
Lindsey Hunter,36.9,DET,Point,115,0,0.0%,100,3.6%,0,9.0%,56,2.2%,31,8.2%,0,0.0%,0,0.0%
Andre Iguodala,23.8,PHI,Wing,228,35,0.3%,100,2.7%,90,1.9%,48,3.0%,81,12.4%,0,0.0%,0,0.0%
Zydrunas Ilgauskas,32.4,CLE,Big,392,52,2.1%,23,0.6%,73,3.7%,52,9.5%,64,18.7%,0,0.0%,14,5.9%
Allen Iverson,32.4,DEN,Combo,157,50,0.3%,25,1.1%,100,0.3%,75,2.5%,25,5.3%,0,0.0%,0,0.0%
Bobby Jackson,34.6,HOU,Combo,137,0,0.0%,75,1.7%,50,3.8%,50,1.5%,67,7.1%,0,0.0%,0,0.0%
LeBron James,22.8,CLE,Forward,550,100,1.8%,80,2.0%,93,2.0%,47,2.9%,87,16.3%,80,4.8%,93,29.6%
Antawn Jamison,31.4,WAS,Forward,236,93,1.8%,67,1.4%,60,3.4%,87,8.8%,100,22.6%,0,0.0%,47,21.1%
Joe Johnson,26.3,ATL,Wing,274,0,0.0%,13,0.3%,81,2.4%,65,3.8%,26,7.2%,0,0.0%,0,0.0%
Jason Kapono,26.7,TOR,Forward,151,0,0.0%,20,0.6%,73,2.9%,7,1.4%,13,8.3%,0,0.0%,0,0.0%
Jason Kidd,34.6,DAL,Point,179,81,0.6%,69,1.8%,63,3.1%,88,3.4%,94,14.8%,100,20.0%,0,0.0%
Andrei Kirilenko,26.7,UTA,Wing,386,100,2.9%,97,2.1%,16,5.4%,74,4.4%,16,5.8%,0,0.0%,71,16.2%
Linas Kleiza,22.8,DEN,Wing,119,0,0.0%,10,0.3%,45,3.8%,87,6.2%,68,11.4%,0,0.0%,90,27.3%
Kyle Korver,26.6,UTA,Wing,258,97,1.8%,26,0.7%,23,4.5%,32,2.0%,29,7.8%,0,0.0%,58,10.7%
Carl Landry,24.1,HOU,Big,103,43,1.8%,100,2.7%,77,3.6%,95,15.2%,18,11.6%,0,0.0%,39,30.0%
Rashard Lewis,28.2,ORL,Big,415,11,0.7%,57,1.3%,100,1.8%,20,6.4%,9,10.9%,57,3.2%,91,50.0%
Kenyon Martin,29.8,DEN,Big,117,16,0.8%,70,1.4%,45,5.3%,68,10.2%,2,9.2%,0,0.0%,16,14.3%
Roger Mason Jr.,27.1,WAS,Combo,114,100,0.5%,50,1.4%,17,5.0%,0,0.0%,0,3.1%,0,0.0%,0,0.0%
Jason Maxiell,24.7,DET,Big,353,82,3.5%,95,2.1%,32,5.9%,27,7.2%,30,12.8%,64,4.5%,45,30.4%
Antonio McDyess,33.1,DET,Big,467,23,1.1%,48,1.1%,25,6.4%,86,12.2%,66,19.2%,0,0.0%,39,30.0%
Tracy McGrady,28.4,HOU,Wing,247,87,1.2%,84,1.7%,100,1.0%,52,3.1%,100,19.0%,0,0.0%,65,11.1%
Andre Miller,31.6,PHI,Combo,228,0,0.0%,17,1.0%,83,2.5%,100,3.6%,58,6.5%,0,0.0%,0,0.0%
Paul Millsap,22.7,UTA,Big,205,89,4.6%,64,1.3%,16,7.4%,75,10.7%,20,12.0%,75,7.7%,30,25.0%
Jamario Moon,27.4,TOR,Forward,103,87,1.6%,100,2.6%,80,2.2%,80,6.1%,80,15.6%,0,0.0%,100,50.0%
Dikembe Mutombo,41.4,HOU,Big,123,98,5.0%,7,0.4%,61,4.0%,48,9.1%,84,22.5%,0,0.0%,91,50.0%
Steve Nash,33.7,PHX,Point,182,50,0.3%,13,0.5%,88,2.3%,6,0.6%,25,8.0%,0,0.0%,0,0.0%
Jameer Nelson,25.7,ORL,Point,332,56,0.3%,6,0.4%,13,5.8%,25,1.5%,81,11.5%,0,0.0%,0,0.0%
Dirk Nowitzki,29.4,DAL,Big,210,48,1.8%,2,0.2%,98,2.4%,11,4.4%,95,25.4%,75,7.7%,73,40.0%
Shaquille O'Neal,35.7,PHX,Big,150,91,4.7%,73,1.5%,48,5.2%,68,10.2%,86,22.5%,0,0.0%,16,14.3%
Fabricio Oberto,32.6,SAS,Big,315,18,0.9%,43,0.9%,18,6.9%,16,5.1%,57,17.6%,68,5.3%,27,22.2%
Lamar Odom,28.0,LAL,Big,784,50,1.8%,36,0.8%,80,3.6%,25,7.1%,73,19.8%,0,0.0%,50,31.6%
Mehmet Okur,28.4,UTA,Big,461,20,1.0%,34,0.8%,82,3.5%,30,7.3%,93,24.1%,93,16.0%,36,29.3%
Jannero Pargo,28.0,NOP,Combo,242,92,0.5%,92,2.4%,67,3.8%,67,2.1%,83,9.7%,0,0.0%,83,5.0%
Anthony Parker,32.4,TOR,Wing,195,58,0.6%,32,1.0%,68,2.9%,35,2.1%,90,13.9%,0,0.0%,74,17.6%
Tony Parker,25.5,SAS,Point,651,25,0.1%,44,1.2%,81,2.6%,38,1.5%,50,8.8%,94,3.3%,69,2.1%
Chris Paul,22.5,NOP,Point,483,38,0.2%,88,2.7%,31,3.8%,81,3.4%,75,9.8%,0,0.0%,0,0.0%
Sasha Pavlovic,24.0,CLE,Wing,103,0,0.0%,35,1.0%,3,7.2%,90,6.2%,0,3.8%,0,0.0%,0,0.0%
Kendrick Perkins,23.0,BOS,Big,625,75,3.1%,55,1.2%,27,6.4%,55,9.6%,43,16.0%,68,5.3%,64,35.5%
Morris Peterson,30.2,NOP,Wing,271,42,0.4%,45,1.1%,19,4.6%,16,1.2%,61,10.5%,0,0.0%,45,6.3%
Paul Pierce,30.1,BOS,Forward,986,53,0.5%,53,1.4%,40,3.8%,27,2.5%,40,11.8%,0,0.0%,40,14.8%
James Posey,30.8,BOS,Forward,546,60,0.6%,87,2.2%,20,5.1%,20,2.4%,73,14.0%,67,3.8%,87,28.9%
Leon Powe,23.8,BOS,Big,249,14,0.7%,0,0.0%,11,7.5%,91,13.9%,14,11.4%,0,0.0%,52,33.3%
Tayshaun Prince,27.7,DET,Wing,670,71,0.7%,39,1.0%,94,1.8%,81,5.6%,55,9.4%,0,0.0%,84,24.4%
Vladimir Radmanovic,26.9,LAL,Forward,477,13,0.1%,47,1.3%,13,5.3%,67,5.4%,33,10.9%,87,5.0%,80,26.9%
Theo Ratliff,34.5,DET,Big,116,95,4.8%,9,0.4%,5,8.7%,93,14.6%,5,10.2%,0,0.0%,52,33.3%
Rajon Rondo,21.7,BOS,Point,828,75,0.6%,81,2.6%,38,3.8%,100,5.5%,69,9.6%,0,0.0%,63,2.1%
Luis Scola,27.5,HOU,Big,220,5,0.3%,39,0.9%,30,5.9%,80,11.1%,52,16.9%,73,6.3%,0,0.0%
JR Smith,22.1,DEN,Wing,105,0,0.0%,71,1.6%,29,4.4%,6,1.0%,23,6.7%,0,0.0%,0,0.0%
