Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,22.3,OKC,Big,546,47,+0.4,58,-0.9,60,-0.4%,47,-0.9,44,-0.1,23,+9.1%,69,-25.5,65,-1.1,71,-3.2%,42,+3.8
LaMarcus Aldridge,30.3,SAS,Big,336,42,+1.4,19,+2.1,15,+3.1%,19,+18.9,79,-1.4,11,+19.6%,80,-38.3,7,+3.5,10,+7.3%,5,+55.4
Al-Farouq Aminu,25.1,POR,Forward,370,72,-7.0,60,-1.1,7,+4.1%,75,-20.6,95,-3.1,5,+27.2%,100,-131.0,24,+1.5,31,+4.1%,38,+10.2
Kyle Anderson,22.1,SAS,Forward,100,36,+3.3,65,-1.4,35,+0.8%,59,-9.0,17,+1.6,73,-7.6%,38,+10.3,88,-3.0,81,-4.7%,81,-29.9
Trevor Ariza,30.3,HOU,Forward,180,17,+8.4,53,-0.5,1,+7.1%,87,-32.7,73,-1.2,93,-22.9%,70,-26.7,32,+1.1,3,+14.6%,74,-22.5
Leandro Barbosa,32.9,GSW,Wing,212,49,-0.1,27,+1.4,58,-0.3%,21,+15.7,85,-1.6,42,+3.2%,88,-46.0,8,+3.3,54,+0.2%,3,+61.8
J.J. Barea,31.3,DAL,Point,100,12,+9.6,75,-2.1,99,-7.4%,36,+9.0,89,-2.1,97,-35.0%,87,-45.5,38,+0.8,97,-10.4%,8,+43.0
Harrison Barnes,23.4,GSW,Forward,720,48,+0.2,69,-1.8,88,-2.6%,55,-6.2,69,-1.0,89,-19.6%,57,-9.1,59,-0.8,59,-1.2%,52,-4.0
Matt Barnes,35.6,MEM,Forward,138,21,+6.9,98,-5.4,92,-3.5%,82,-29.3,97,-4.2,20,+12.0%,98,-110.3,73,-1.6,86,-6.6%,35,+13.2
Nicolas Batum,26.9,CHA,Wing,143,0,+27.9,5,+4.4,64,-0.8%,4,+41.0,36,+0.3,71,-7.5%,63,-15.2,3,+4.1,91,-8.2%,7,+51.2
Kent Bazemore,26.3,ATL,Wing,324,5,+16.6,85,-3.5,14,+3.2%,88,-33.1,14,+1.8,51,-1.0%,14,+39.9,97,-4.5,8,+8.6%,93,-50.6
Patrick Beverley,27.3,HOU,Point,128,77,-8.0,91,-4.1,85,-2.4%,86,-30.7,94,-3.1,47,+0.5%,94,-68.7,56,-0.6,79,-4.4%,60,-9.0
Bismack Biyombo,23.2,TOR,Big,504,47,+0.3,79,-2.7,78,-1.9%,65,-11.9,55,-0.4,70,-7.5%,39,+10.0,85,-2.7,53,+0.2%,80,-28.3
Andrew Bogut,30.9,GSW,Big,364,83,-9.4,55,-0.6,44,+0.3%,62,-10.7,67,-0.9,39,+4.0%,66,-19.9,42,+0.3,56,0.0%,53,-6.4
Kentavious Caldwell-Pope,22.7,DET,Wing,160,80,-8.6,97,-5.4,93,-4.3%,73,-19.4,100,-6.0,99,-44.4%,48,0.0,39,+0.6,25,+4.4%,46,0.0
DeMarre Carroll,29.3,TOR,Forward,595,53,-0.9,13,+3.2,63,-0.4%,18,+22.4,25,+1.2,30,+7.0%,26,+25.9,25,+1.4,45,+1.4%,32,+14.5
Ian Clark,24.7,GSW,Combo,109,67,-5.5,92,-4.5,43,+0.3%,90,-34.2,53,-0.3,76,-11.9%,27,+24.7,95,-4.2,13,+7.0%,89,-45.1
Allen Crabbe,23.6,POR,Wing,298,15,+8.8,3,+5.2,53,-0.1%,3,+46.8,9,+2.0,24,+9.0%,10,+58.5,13,+2.8,58,-0.7%,11,+37.8
Jamal Crawford,35.6,LAC,Wing,197,19,+7.5,11,+3.3,90,-3.0%,12,+28.9,18,+1.6,1,+37.5%,50,-2.0,19,+2.0,96,-10.2%,24,+22.3
Jae Crowder,25.3,BOS,Forward,195,97,-18.1,80,-3.0,3,+6.4%,77,-21.4,15,+1.6,42,+2.9%,11,+58.0,92,-3.5,3,+13.5%,97,-60.2
Stephen Curry,27.6,GSW,Point,612,34,+4.0,17,+2.5,62,-0.4%,13,+28.6,14,+1.7,18,+12.8%,21,+32.9,33,+1.0,92,-8.3%,19,+28.4
Ed Davis,26.4,POR,Big,204,51,-0.4,29,+1.2,89,-3.0%,28,+14.0,3,+2.8,36,+5.1%,5,+72.1,64,-1.1,86,-6.6%,63,-10.1
DeMar DeRozan,26.2,TOR,Wing,745,31,+4.3,8,+3.7,18,+2.5%,14,+27.4,23,+1.3,9,+22.2%,46,+3.1,21,+1.9,60,-1.3%,20,+28.1
Matthew Dellavedova,25.1,CLE,Point,218,57,-1.9,3,+4.5,14,+3.2%,6,+39.7,19,+1.5,3,+29.3%,14,+40.8,16,+2.4,66,-1.8%,14,+34.2
Luol Deng,30.5,MIA,Forward,492,64,-4.5,22,+1.6,67,-0.9%,22,+15.5,26,+1.2,43,+2.9%,13,+49.3,41,+0.5,67,-1.9%,46,0.0
Boris Diaw,33.5,SAS,Big,138,73,-7.5,32,+1.0,25,+1.7%,33,+10.5,2,+3.0,40,+3.9%,7,+65.2,77,-2.0,69,-2.4%,72,-19.7
Goran Dragic,29.5,MIA,Point,470,88,-11.0,7,+3.9,33,+0.9%,7,+38.8,4,+2.3,10,+20.6%,2,+99.4,30,+1.3,90,-8.0%,36,+12.9
Andre Drummond,22.2,DET,Big,131,95,-17.8,83,-3.4,19,+2.3%,97,-42.0,70,-1.2,21,+11.6%,76,-35.0,83,-2.2,19,+6.0%,92,-46.7
Tim Duncan,39.5,SAS,Big,216,84,-9.9,88,-3.8,45,+0.2%,84,-29.8,47,-0.1,80,-13.4%,47,+2.8,92,-3.6,37,+2.8%,91,-45.6
Kevin Durant,27.1,OKC,Forward,723,61,-3.5,26,+1.4,51,-0.0%,23,+15.2,77,-1.4,35,+5.7%,81,-38.8,14,+2.8,72,-3.4%,14,+33.7
Monta Ellis,30.0,IND,Combo,225,20,+7.2,56,-0.7,66,-0.9%,31,+11.9,86,-1.7,88,-19.1%,52,-2.6,36,+0.8,38,+2.7%,23,+22.6
Festus Ezeli,26.0,GSW,Big,187,14,+9.0,30,+1.2,54,-0.1%,34,+10.3,12,+1.8,69,-6.5%,17,+36.1,62,-1.0,29,+4.2%,64,-10.4
Jordan Farmar,28.9,MEM,Point,100,82,-9.2,94,-4.9,75,-1.5%,85,-30.6,76,-1.4,55,-2.9%,62,-12.5,86,-2.8,46,+1.3%,90,-45.1
Raymond Felton,31.3,DAL,Combo,160,100,-21.8,25,+1.5,5,+5.3%,54,-5.4,1,+3.8,0,+40.7%,1,+146.7,87,-3.0,42,+2.3%,92,-48.9
Randy Foye,32.1,OKC,Combo,148,22,+6.6,59,-1.0,73,-1.5%,66,-14.5,29,+1.0,33,+6.2%,42,+8.1,76,-1.9,92,-9.4%,85,-33.7
Channing Frye,32.5,CLE,Big,227,89,-11.2,74,-2.1,80,-1.9%,70,-15.8,56,-0.4,61,-5.1%,53,-4.3,84,-2.6,86,-6.3%,78,-28.0
Paul George,25.5,IND,Forward,274,86,-10.3,67,-1.5,68,-1.0%,32,+11.3,97,-4.2,56,-3.0%,77,-36.5,15,+2.6,8,+8.5%,8,+43.7
Manu Ginobili,38.3,SAS,Wing,190,70,-6.1,51,-0.3,70,-1.4%,46,+1.4,34,+0.6,14,+15.2%,33,+16.2,61,-0.9,84,-5.5%,59,-8.8
Danny Green,28.4,SAS,Wing,263,44,+1.3,47,+0.0,29,+1.2%,51,-3.2,71,-1.2,29,+7.6%,73,-30.1,31,+1.2,19,+5.8%,34,+14.0
Draymond Green,25.7,GSW,Big,876,74,-7.7,34,+0.9,23,+1.9%,47,+0.5,30,+0.8,25,+8.0%,29,+20.7,47,+0.1,28,+4.2%,65,-10.8
Jeff Green,29.2,LAC,Forward,154,19,+7.8,9,+3.4,92,-3.6%,8,+35.5,21,+1.4,14,+15.8%,15,+37.4,18,+2.3,93,-9.5%,16,+32.2
Blake Griffin,26.6,LAC,Big,126,64,-4.0,76,-2.5,22,+2.0%,76,-21.1,74,-1.3,86,-18.4%,60,-12.1,58,-0.8,15,+6.8%,58,-8.3
James Harden,26.2,HOU,Combo,192,10,+10.7,42,+0.2,3,+5.9%,64,-11.8,0,+5.0,44,+2.6%,0,+168.4,97,-4.6,39,+2.6%,95,-53.8
Maurice Harkless,22.5,POR,Forward,270,69,-5.7,61,-1.2,37,+0.7%,63,-11.0,66,-0.9,90,-20.1%,69,-24.8,48,-0.1,31,+4.0%,51,-3.0
Devin Harris,32.7,DAL,Wing,117,26,+5.4,57,-0.7,98,-6.6%,24,+14.9,78,-1.4,98,-36.3%,65,-19.7,52,-0.2,88,-7.0%,26,+20.3
Tobias Harris,23.3,DET,Big,156,86,-10.6,47,-0.0,81,-2.0%,43,+3.6,24,+1.2,100,-47.1%,3,+93.3,68,-1.2,4,+13.3%,98,-73.7
Gerald Henderson,27.9,POR,Wing,233,41,+2.1,23,+1.6,72,-1.4%,20,+16.7,13,+1.8,48,+0.4%,9,+61.2,43,+0.3,76,-4.3%,42,+3.7
George Hill,29.5,IND,Point,234,52,-0.6,18,+2.3,81,-1.9%,5,+40.8,8,+2.0,64,-5.9%,3,+89.3,47,+0.1,36,+2.8%,36,+11.5
Solomon Hill,24.6,IND,Forward,195,18,+8.3,93,-4.5,94,-4.5%,91,-34.4,92,-2.8,62,-5.1%,97,-81.8,78,-2.0,98,-10.4%,66,-14.3
Al Horford,29.4,ATL,Big,326,42,+1.9,42,+0.2,87,-2.5%,45,+2.4,57,-0.4,64,-5.3%,59,-11.9,44,+0.2,94,-9.8%,46,0.0
Dwight Howard,29.9,HOU,Big,176,3,+19.1,48,-0.0,55,-0.1%,68,-15.2,99,-4.8,66,-6.3%,93,-66.7,2,+5.0,14,+6.9%,9,+39.5
Serge Ibaka,26.1,OKC,Big,599,65,-4.6,68,-1.6,12,+3.6%,75,-20.9,43,-0.1,47,+0.5%,54,-5.3,71,-1.5,9,+7.8%,84,-30.9
Andre Iguodala,31.8,GSW,Forward,765,23,+6.6,10,+3.4,65,-0.9%,10,+29.8,3,+2.8,68,-6.5%,8,+63.5,37,+0.8,64,-1.7%,30,+15.2
Kyrie Irving,23.6,CLE,Combo,771,8,+15.2,62,-1.2,64,-0.7%,72,-18.9,42,-0.0,81,-14.6%,68,-24.8,55,-0.6,35,+3.5%,58,-8.4
Reggie Jackson,25.5,DET,Point,147,96,-17.9,81,-3.0,25,+1.8%,93,-35.6,98,-4.4,94,-24.5%,74,-31.1,28,+1.3,6,+10.1%,46,0.0
LeBron James,30.8,CLE,Forward,819,94,-16.5,84,-3.4,47,+0.1%,89,-33.2,81,-1.5,92,-22.3%,91,-50.0,74,-1.7,42,+2.0%,79,-28.0
Al Jefferson,30.8,CHA,Big,168,2,+21.4,21,+1.9,56,-0.1%,17,+23.1,64,-0.9,16,+14.0%,72,-30.0,11,+2.8,51,+0.4%,13,+35.4
Richard Jefferson,35.4,CLE,Forward,338,46,+0.6,35,+0.9,31,+1.0%,35,+9.6,58,-0.4,26,+7.9%,71,-27.1,34,+1.0,47,+1.2%,33,+14.4
Jonas Jerebko,28.7,BOS,Forward,162,32,+4.2,12,+3.3,69,-1.2%,25,+14.4,39,+0.2,19,+12.2%,78,-36.7,14,+2.7,58,-0.3%,18,+30.1
Amir Johnson,28.5,BOS,Big,133,37,+2.7,87,-3.8,19,+2.4%,78,-23.0,59,-0.5,25,+8.5%,84,-42.3,82,-2.2,33,+3.9%,53,-5.6
Joe Johnson,34.3,MIA,Wing,489,40,+2.1,1,+6.0,59,-0.3%,0,+70.2,10,+2.0,22,+10.8%,8,+65.0,4,+4.1,85,-5.7%,0,+72.4
