Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Shareef Abdur-Rahim,28.9,SAC,Big,122,0,0.0%,31,0.8%,11,8.5%,33,6.4%,56,17.0%,89,10.0%,22,14.3%
Malik Allen,27.3,CHI,Big,116,72,2.8%,36,0.8%,47,5.6%,17,4.9%,8,10.7%,0,0.0%,22,14.3%
Carmelo Anthony,21.4,DEN,Forward,192,18,0.3%,29,0.9%,35,3.7%,88,5.8%,47,13.0%,0,0.0%,0,0.0%
Gilbert Arenas,23.8,WAS,Combo,283,100,0.6%,90,2.1%,60,3.0%,80,2.8%,80,10.6%,0,0.0%,0,0.0%
Chucky Atkins,31.2,MEM,Point,101,0,0.0%,29,1.0%,6,7.6%,0,0.0%,0,3.5%,0,0.0%,0,0.0%
Leandro Barbosa,22.9,PHX,Wing,625,28,0.3%,47,1.1%,31,4.7%,0,0.9%,0,4.7%,0,0.0%,0,0.0%
Brent Barry,33.8,SAS,Wing,281,56,0.6%,50,1.2%,38,4.5%,6,1.4%,56,11.4%,0,0.0%,38,4.8%
Shane Battier,27.1,MEM,Forward,128,59,0.9%,88,1.6%,24,5.2%,94,7.4%,47,13.0%,0,0.0%,35,16.7%
Raja Bell,29.1,PHX,Wing,673,16,0.2%,6,0.8%,22,4.9%,9,1.4%,6,5.9%,0,0.0%,69,17.9%
Mike Bibby,27.5,SAC,Point,255,0,0.0%,82,1.7%,82,2.4%,65,2.3%,47,9.0%,76,5.3%,0,0.0%
Chauncey Billups,29.1,DET,Point,702,47,0.2%,76,1.5%,76,2.6%,24,1.0%,65,9.4%,65,1.7%,59,2.0%
Andrew Bogut,20.9,MIL,Big,168,0,0.0%,44,0.9%,50,5.5%,31,6.2%,19,13.4%,0,0.0%,64,33.3%
Bruce Bowen,34.4,SAS,Wing,440,84,1.0%,56,1.2%,34,4.5%,16,1.8%,3,5.0%,0,0.0%,59,12.5%
Earl Boykins,29.4,DEN,Point,139,0,0.0%,53,1.3%,94,1.9%,47,1.9%,6,4.1%,0,0.0%,0,0.0%
Elton Brand,26.6,LAC,Big,516,81,3.2%,53,1.0%,100,2.7%,92,11.6%,22,13.8%,0,0.0%,11,11.1%
Kwame Brown,23.6,LAL,Big,224,44,1.5%,3,0.4%,83,3.4%,56,8.8%,31,14.8%,0,0.0%,97,66.7%
Kobe Bryant,27.2,LAL,Combo,313,90,0.6%,40,1.0%,80,2.5%,20,1.1%,100,14.9%,0,0.0%,100,16.7%
Greg Buckner,29.1,DEN,Wing,137,41,0.5%,25,0.9%,66,3.8%,22,1.9%,44,8.9%,0,0.0%,56,11.1%
Caron Butler,25.6,WAS,Wing,261,72,0.8%,88,2.1%,13,5.2%,91,6.5%,94,18.1%,97,4.3%,75,21.1%
Marcus Camby,31.6,DEN,Big,175,97,4.7%,58,1.0%,81,3.6%,36,6.9%,94,24.2%,0,0.0%,94,55.6%
Vince Carter,28.8,BKN,Wing,449,66,0.8%,91,2.1%,75,3.2%,72,4.3%,91,16.8%,0,0.0%,22,2.5%
