Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Quincy Acy,23.1,SAC,Big,744,25,-2.2%,41,-1.1%,37,-0.8%,37,-0.8%,36,-1.6%,70,+0.6%,76,+2.1%,77,+2.7%
Steven Adams,20.3,OKC,Big,1115,31,-1.6%,62,+0.8%,71,+1.2%,49,-0.0%,62,+1.2%,19,-1.1%,37,-0.9%,28,-2.0%
Jeff Adrien,27.7,CHA,Big,226,5,-5.2%,95,+5.9%,1,-6.6%,50,+0.1%,5,-6.5%,81,+1.0%,46,-0.3%,57,+0.7%
Jeff Adrien,27.7,MIL,Big,676,75,+1.2%,73,+1.9%,90,+3.1%,48,-0.1%,79,+3.1%,15,-1.3%,9,-3.7%,7,-5.0%
Arron Afflalo,28.0,ORL,Wing,2543,73,+1.0%,13,-3.7%,38,-0.8%,78,+2.4%,65,+1.5%,55,+0.1%,75,+2.1%,73,+2.2%
Alexis Ajinca,25.5,NOP,Big,934,42,-0.8%,40,-1.1%,89,+3.0%,66,+1.3%,85,+4.3%,20,-1.1%,23,-2.1%,18,-3.2%
Cole Aldrich,25.0,NYK,Big,210,16,-3.0%,53,-0.2%,97,+4.8%,22,-2.3%,75,+2.5%,86,+1.2%,9,-3.6%,25,-2.4%
LaMarcus Aldridge,28.3,POR,Big,2496,83,+2.1%,19,-2.8%,86,+2.6%,94,+4.9%,98,+7.5%,18,-1.1%,10,-3.6%,9,-4.7%
Lavoy Allen,24.7,PHI,Big,905,19,-2.7%,16,-3.1%,74,+1.4%,85,+3.4%,88,+4.8%,31,-0.6%,34,-1.1%,30,-1.7%
Ray Allen,38.3,MIA,Wing,1897,22,-2.4%,25,-2.4%,79,+1.9%,31,-1.4%,57,+0.6%,83,+1.1%,62,+0.8%,69,+1.9%
Tony Allen,31.8,MEM,Wing,1271,69,+0.8%,93,+5.5%,29,-1.3%,37,-0.7%,31,-2.1%,9,-1.6%,26,-1.9%,17,-3.5%
Al-Farouq Aminu,23.1,NOP,Forward,2032,29,-1.8%,52,-0.3%,44,-0.5%,95,+5.3%,89,+4.9%,2,-2.4%,21,-2.2%,10,-4.6%
Lou Amundson,30.9,NOP,Big,165,1,-8.0%,55,+0.0%,46,-0.4%,30,-1.4%,35,-1.9%,91,+1.6%,54,+0.3%,69,+1.8%
Chris Andersen,35.3,MIA,Big,1368,23,-2.3%,59,+0.4%,59,+0.3%,43,-0.5%,47,-0.2%,66,+0.5%,39,-0.7%,48,-0.2%
Alan Anderson,31.0,BKN,Wing,1622,60,+0.3%,58,+0.2%,29,-1.3%,59,+0.6%,43,-0.7%,69,+0.5%,49,-0.1%,55,+0.4%
James Anderson,24.6,PHI,Wing,2289,44,-0.7%,11,-3.9%,55,+0.1%,54,+0.3%,56,+0.4%,85,+1.1%,78,+2.4%,82,+3.5%
Ryan Anderson,25.5,NOP,Big,778,87,+2.4%,89,+4.3%,0,-7.2%,21,-2.3%,1,-9.5%,72,+0.6%,93,+4.6%,92,+5.2%
Giannis Antetokounmpo,18.9,MIL,Forward,1796,81,+1.8%,97,+7.0%,64,+0.8%,5,-6.1%,7,-5.4%,48,-0.1%,29,-1.5%,30,-1.6%
Carmelo Anthony,29.4,NYK,Forward,2971,79,+1.5%,11,-4.1%,10,-3.0%,94,+4.8%,69,+1.8%,42,-0.3%,80,+2.6%,74,+2.3%
Joel Anthony,31.2,BOS,Big,128,32,-1.5%,28,-2.1%,87,+2.6%,5,-6.3%,18,-3.7%,98,+2.7%,84,+3.1%,94,+5.8%
Pero Antic,31.3,ATL,Big,898,33,-1.4%,24,-2.4%,7,-3.5%,9,-4.5%,2,-8.0%,96,+2.2%,99,+8.2%,99,+10.4%
Trevor Ariza,28.3,WAS,Wing,2715,92,+3.1%,64,+0.9%,17,-2.2%,29,-1.5%,18,-3.7%,87,+1.3%,69,+1.5%,78,+2.7%
Darrell Arthur,25.6,DEN,Big,1143,48,-0.4%,17,-3.1%,12,-2.7%,99,+8.1%,92,+5.4%,40,-0.4%,24,-2.0%,26,-2.3%
Omer Asik,27.3,HOU,Big,929,26,-2.1%,36,-1.4%,9,-3.3%,63,+0.9%,27,-2.4%,26,-0.8%,93,+4.6%,84,+3.8%
D.J. Augustin,26.0,CHI,Point,1813,77,+1.4%,32,-1.7%,82,+2.3%,2,-7.5%,9,-5.2%,98,+2.7%,92,+4.3%,96,+6.9%
Gustavo Ayon,28.6,ATL,Big,401,23,-2.4%,99,+9.1%,6,-3.7%,33,-1.1%,10,-4.8%,28,-0.8%,10,-3.5%,11,-4.3%
Jeff Ayres,26.5,SAS,Big,855,89,+2.6%,18,-3.0%,5,-3.9%,86,+3.4%,44,-0.5%,60,+0.3%,84,+3.2%,82,+3.4%
Chris Babb,23.7,BOS,Wing,106,4,-5.8%,83,+3.3%,20,-1.9%,0,-8.5%,0,-10.5%,44,-0.2%,98,+7.3%,97,+7.1%
Luke Babbitt,24.4,NOP,Big,453,100,+7.6%,48,-0.5%,38,-0.8%,2,-7.4%,2,-8.2%,65,+0.4%,99,+8.3%,98,+8.7%
Leandro Barbosa,30.9,PHX,Combo,366,4,-5.9%,76,+2.3%,79,+2.0%,77,+2.3%,85,+4.2%,12,-1.4%,4,-5.1%,3,-6.6%
J.J. Barea,29.3,MIN,Combo,1413,8,-4.4%,9,-4.4%,49,-0.2%,81,+2.8%,75,+2.6%,8,-1.6%,86,+3.4%,69,+1.8%
Andrea Bargnani,28.0,NYK,Big,1252,9,-4.2%,71,+1.7%,75,+1.6%,57,+0.5%,71,+2.0%,1,-2.8%,37,-0.9%,15,-3.7%
Harrison Barnes,21.4,GSW,Forward,2097,6,-5.0%,35,-1.5%,76,+1.7%,67,+1.3%,78,+3.0%,57,+0.2%,27,-1.7%,32,-1.5%
Matt Barnes,33.6,LAC,Forward,1701,93,+3.2%,96,+6.3%,59,+0.4%,5,-6.1%,7,-5.7%,30,-0.7%,50,+0.0%,41,-0.6%
Will Barton,22.8,POR,Wing,310,3,-5.9%,73,+1.9%,67,+1.0%,67,+1.3%,72,+2.2%,46,-0.2%,7,-3.9%,12,-4.1%
Brandon Bass,28.5,BOS,Big,2263,54,-0.0%,58,+0.3%,61,+0.5%,85,+3.3%,83,+3.9%,29,-0.7%,10,-3.4%,12,-4.1%
Shane Battier,35.1,MIA,Wing,1456,74,+1.2%,63,+0.9%,38,-0.8%,34,-1.1%,33,-1.9%,66,+0.5%,59,+0.6%,63,+1.1%
Nicolas Batum,24.9,POR,Wing,2951,83,+2.0%,77,+2.3%,42,-0.6%,28,-1.6%,30,-2.2%,30,-0.6%,58,+0.5%,49,-0.1%
Jerryd Bayless,25.2,MEM,Combo,640,66,+0.6%,47,-0.6%,20,-2.0%,21,-2.5%,13,-4.5%,97,+2.4%,81,+2.6%,91,+5.1%
Jerryd Bayless,25.2,BOS,Combo,1009,67,+0.7%,43,-1.0%,39,-0.8%,87,+3.6%,76,+2.8%,22,-1.0%,39,-0.7%,29,-1.8%
Aron Baynes,26.9,SAS,Big,381,16,-3.0%,12,-3.8%,40,-0.8%,77,+2.3%,66,+1.5%,81,+0.9%,67,+1.3%,73,+2.2%
Kent Bazemore,24.3,GSW,Wing,190,0,-13.6%,77,+2.3%,32,-1.2%,86,+3.4%,73,+2.2%,8,-1.6%,14,-3.0%,10,-4.6%
Kent Bazemore,24.3,LAL,Wing,609,52,-0.2%,92,+4.9%,32,-1.2%,38,-0.7%,34,-1.9%,27,-0.8%,22,-2.1%,20,-3.0%
Bradley Beal,20.3,WAS,Wing,2516,69,+0.8%,29,-1.9%,48,-0.3%,89,+4.0%,81,+3.6%,27,-0.8%,37,-0.9%,30,-1.7%
Michael Beasley,24.8,MIA,Big,746,37,-1.2%,56,+0.1%,93,+3.6%,71,+1.5%,91,+5.2%,2,-2.8%,17,-2.4%,6,-5.2%
Marco Belinelli,27.6,SAS,Wing,1942,93,+3.2%,33,-1.6%,63,+0.7%,18,-3.0%,30,-2.2%,65,+0.4%,87,+3.4%,85,+3.9%
