Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Alex Abrines,25.3,OKC,Wing,558,9,-8.1,5,-2.6,70,+0.8%,17,-10.0,2,-1.7,52,+0.1%,10,-21.9,19,-1.0,80,+2.7%,38,-4.1
Quincy Acy,28.1,PHX,Big,102,79,+3.3,100,+6.4,34,-0.7%,100,+40.4,93,+1.1,1,-17.5%,94,+25.0,99,+4.9,48,-0.2%,99,+47.1
Steven Adams,25.3,OKC,Big,2678,97,+9.8,97,+2.9,98,+3.5%,90,+12.9,95,+1.3,86,+6.5%,88,+17.7,91,+1.4,96,+6.9%,78,+8.8
LaMarcus Aldridge,33.3,SAS,Big,2698,62,+0.7,54,+0.1,26,-1.2%,63,+3.2,51,+0.1,50,-0.1%,32,-6.3,55,+0.1,19,-3.2%,72,+6.4
Al-Farouq Aminu,28.1,POR,Big,2291,90,+5.5,41,-0.3,61,+0.4%,54,+0.5,93,+1.1,44,-1.5%,93,+22.5,13,-1.3,24,-2.7%,16,-12.8
Justin Anderson,25.0,ATL,Wing,414,23,-4.3,95,+2.3,86,+1.9%,86,+11.3,98,+1.8,54,+0.3%,98,+37.3,78,+0.8,92,+4.7%,61,+3.1
Kyle Anderson,25.1,MEM,Forward,1270,21,-4.6,25,-1.0,44,-0.3%,23,-7.7,7,-1.1,36,-2.3%,5,-26.3,50,-0.0,49,-0.1%,54,+0.6
Ryan Anderson,30.5,PHX,Big,277,3,-11.8,7,-2.5,0,-5.0%,9,-14.5,15,-0.8,5,-10.5%,58,+2.3,12,-1.4,0,-10.8%,14,-14.3
Giannis Antetokounmpo,23.9,MIL,Forward,2364,79,+3.4,66,+0.5,95,+2.9%,56,+1.0,68,+0.3,71,+2.8%,51,+0.4,71,+0.5,95,+6.2%,63,+3.8
Carmelo Anthony,34.4,HOU,Forward,291,2,-12.8,6,-2.5,79,+1.4%,2,-22.6,87,+0.8,90,+8.2%,69,+7.0,1,-3.0,85,+3.1%,0,-42.1
Trevor Ariza,33.3,PHX,Wing,883,23,-4.1,4,-2.8,7,-2.6%,4,-18.9,19,-0.7,53,+0.1%,37,-4.3,5,-2.1,21,-2.9%,3,-28.9
Trevor Ariza,33.3,WAS,Wing,1463,83,+4.0,64,+0.5,67,+0.7%,43,-2.0,56,+0.1,54,+0.3%,35,-4.8,53,+0.0,82,+2.8%,41,-3.1
D.J. Augustin,31.0,ORL,Point,2265,93,+6.5,67,+0.6,7,-2.7%,80,+8.6,61,+0.2,17,-5.2%,66,+6.1,70,+0.5,6,-6.0%,80,+9.9
J.J. Barea,34.3,DAL,Combo,744,81,+3.7,86,+1.5,12,-2.2%,93,+14.9,56,+0.1,10,-7.3%,59,+2.4,91,+1.4,8,-5.0%,94,+21.7
Harrison Barnes,26.4,DAL,Forward,1569,21,-4.6,3,-3.0,75,+1.0%,1,-25.3,11,-0.9,58,+0.8%,6,-25.8,3,-2.3,76,+2.3%,2,-29.6
Harrison Barnes,26.4,SAC,Forward,948,68,+1.5,98,+3.5,85,+1.8%,95,+17.1,97,+1.5,91,+8.3%,95,+27.2,96,+2.2,85,+3.1%,89,+15.8
Will Barton,27.8,DEN,Wing,1189,29,-3.0,26,-0.9,68,+0.7%,29,-5.7,37,-0.3,78,+4.2%,33,-5.8,20,-1.0,70,+1.7%,24,-9.0
Nicolas Batum,29.9,CHA,Wing,2338,45,-1.0,35,-0.5,51,-0.0%,40,-2.7,26,-0.5,51,-0.1%,22,-11.9,50,-0.0,55,+0.5%,61,+3.0
Jerryd Bayless,30.2,MIN,Point,637,16,-5.9,20,-1.3,4,-3.1%,20,-9.2,11,-1.0,50,-0.2%,8,-24.3,36,-0.5,3,-7.2%,47,-1.7
Aron Baynes,31.9,BOS,Big,810,63,+0.9,80,+1.2,49,-0.1%,81,+9.1,60,+0.2,85,+6.3%,67,+6.3,87,+1.2,31,-1.9%,83,+11.7
Kent Bazemore,29.3,ATL,Wing,1639,19,-5.0,23,-1.1,70,+0.8%,19,-9.6,20,-0.7,23,-4.4%,20,-13.9,40,-0.3,76,+2.3%,31,-6.3
Bradley Beal,25.3,WAS,Wing,3025,95,+8.2,70,+0.7,97,+3.4%,45,-1.4,63,+0.2,97,+13.4%,55,+1.5,57,+0.2,96,+6.5%,32,-5.8
Malik Beasley,21.9,DEN,Wing,1789,64,+1.0,74,+0.9,59,+0.3%,77,+7.7,17,-0.7,82,+5.1%,29,-7.8,94,+1.9,62,+1.0%,93,+19.5
Michael Beasley,29.8,LAL,Big,254,53,-0.2,7,-2.2,1,-4.4%,19,-9.2,1,-1.9,3,-11.9%,2,-35.2,28,-0.7,1,-8.8%,46,-2.0
Marco Belinelli,32.6,SAS,Wing,1796,73,+2.6,46,-0.1,74,+1.0%,51,-0.0,66,+0.3,93,+9.6%,82,+14.0,38,-0.4,71,+1.8%,34,-5.1
DeAndre' Bembry,24.3,ATL,Wing,1873,44,-1.1,29,-0.7,26,-1.2%,41,-2.5,54,+0.1,45,-1.2%,53,+1.0,25,-0.8,12,-4.3%,37,-4.2
Dragan Bender,21.0,PHX,Big,776,42,-1.4,41,-0.3,32,-0.9%,50,-0.4,26,-0.5,31,-3.0%,33,-6.2,52,+0.0,28,-2.3%,58,+2.0
Davis Bertans,26.0,SAS,Big,1594,97,+10.0,87,+1.5,83,+1.6%,88,+12.2,89,+0.9,94,+9.8%,96,+29.1,67,+0.4,81,+2.7%,66,+4.4
Patrick Beverley,30.3,LAC,Combo,2121,88,+4.8,88,+1.5,47,-0.2%,89,+12.8,75,+0.5,15,-5.7%,73,+8.7,85,+1.0,38,-1.2%,87,+15.2
Bismack Biyombo,26.2,CHA,Big,755,9,-8.4,11,-1.9,37,-0.5%,22,-7.9,20,-0.6,18,-5.1%,36,-4.6,19,-1.0,39,-1.1%,32,-5.7
Nemanja Bjelica,30.5,SAC,Big,1795,86,+4.5,87,+1.5,88,+2.0%,74,+6.3,83,+0.7,88,+7.3%,57,+1.9,72,+0.5,74,+2.1%,68,+5.1
Eric Bledsoe,28.9,MIL,Point,2266,79,+3.3,73,+0.8,94,+2.8%,60,+2.2,76,+0.5,72,+3.0%,43,-1.9,66,+0.4,91,+4.5%,64,+3.9
Bojan Bogdanovic,29.5,IND,Forward,2547,60,+0.6,51,+0.0,76,+1.1%,35,-3.6,57,+0.1,76,+3.7%,40,-2.8,54,+0.1,74,+2.1%,43,-2.5
