Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Rafer Alston,30.3,HOU,Point,308,100,+59.8,+39,95,+20.0,58,+2.0%,82,-3.8%,72,+3.5%,100,+27.4,100,-39.8,84,-4.7%,3,-7.0%,100,-34.4%,92,-15.6
Carmelo Anthony,22.4,DEN,Wing,209,39,-2.4,-5,75,+7.8,96,+11.5%,60,-1.6%,0,-16.9%,78,+6.3,15,+10.2,25,+3.7%,92,+4.9%,82,-5.6%,5,+10.5
Leandro Barbosa,23.9,PHX,Combo,344,18,-8.6,-18,13,-6.5,18,-3.7%,17,+2.1%,74,+3.8%,50,+0.4,44,+2.2,65,-2.0%,32,-1.5%,31,+1.9%,16,+6.6
Andrea Bargnani,21.0,TOR,Big,174,14,-10.8,-22,30,-2.9,54,+1.5%,57,-1.4%,5,-10.0%,65,+3.5,20,+7.9,11,+7.1%,91,+4.4%,43,+0.9%,35,+2.7
Matt Barnes,26.6,GSW,Forward,328,49,+0.2,+0,75,+7.9,64,+2.7%,46,-0.4%,73,+3.8%,64,+3.5,22,+7.7,51,+0.3%,55,+0.6%,5,+8.9%,27,+3.9
Brent Barry,34.8,SAS,Wing,209,19,-8.3,-22,14,-6.2,16,-3.7%,72,-2.8%,52,-0.1%,22,-4.4,45,+2.1,68,-2.2%,43,-0.5%,22,+3.2%,49,-0.3
Shane Battier,28.1,HOU,Forward,271,60,+2.7,+6,46,+0.2,82,+5.6%,4,+4.9%,48,-0.5%,29,-3.2,59,-2.5,34,+2.9%,94,+5.7%,24,+3.0%,51,-0.6
Raja Bell,30.1,PHX,Wing,437,39,-2.4,-5,39,-0.7,68,+2.9%,22,+1.7%,32,-2.7%,55,+2.5,46,+1.6,43,+1.0%,68,+1.6%,11,+6.1%,37,+2.7
Andris Biedrins,20.6,GSW,Big,264,67,+4.5,+12,33,-1.7,46,+0.4%,23,+1.5%,40,-1.7%,16,-5.8,73,-6.3,57,-0.3%,75,+2.2%,79,-4.8%,79,-9.1
Chauncey Billups,30.1,DET,Point,647,96,+39.4,+63,94,+19.4,94,+8.9%,76,-3.3%,21,-4.9%,99,+16.1,95,-19.9,93,-8.4%,90,+4.0%,59,-1.6%,24,+4.7
Steve Blake,26.7,DEN,Point,179,90,+25.8,+39,86,+12.0,86,+6.5%,71,-2.8%,47,-0.6%,41,-1.4,89,-13.8,82,-4.0%,22,-2.3%,93,-9.0%,71,-5.7
Josh Boone,21.9,NJN,Big,103,9,-14.8,-38,47,+0.9,79,+5.0%,20,+1.8%,14,-6.0%,36,-2.3,4,+15.7,20,+4.4%,18,-2.5%,11,+5.1%,38,+2.7
Carlos Boozer,24.9,UTA,Big,651,33,-4.5,-13,80,+10.0,91,+7.9%,35,+0.3%,9,-8.5%,73,+5.1,7,+14.5,33,+3.0%,13,-3.2%,17,+4.1%,34,+2.7
