Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,25.3,OKC,Big,159,35,+3.2%,74,-4.2%,10,+13.4%,88,-13.5%,49,+0.5%,5,+31.5%,41,+1.0%,15,+7.0%
LaMarcus Aldridge,33.3,SAS,Big,243,92,-6.6%,39,+3.3%,83,-6.5%,49,-1.0%,81,-5.0%,99,-48.7%,78,-4.3%,96,-11.4%
Al-Farouq Aminu,28.1,POR,Big,399,20,+5.8%,23,+8.9%,28,+5.4%,42,+0.9%,25,+3.6%,74,-5.4%,28,+4.4%,46,+1.8%
Giannis Antetokounmpo,23.9,MIL,Forward,513,67,-1.4%,77,-4.8%,84,-7.3%,40,+1.4%,73,-3.2%,44,+2.6%,48,-0.0%,53,+0.7%
D.J. Augustin,31.0,ORL,Point,140,10,+7.5%,50,+0.7%,18,+8.3%,77,-7.1%,37,+2.0%,18,+18.0%,11,+9.2%,7,+10.5%
Will Barton,27.8,DEN,Wing,320,66,-1.4%,78,-5.5%,80,-6.2%,66,-5.5%,85,-5.9%,33,+8.5%,23,+5.6%,20,+5.8%
Aron Baynes,31.9,BOS,Big,115,58,-0.5%,66,-2.4%,72,-4.7%,11,+13.7%,21,+4.7%,3,+33.5%,76,-4.0%,31,+3.9%
Malik Beasley,21.9,DEN,Wing,265,11,+7.4%,21,+9.4%,24,+6.8%,71,-6.2%,40,+1.6%,13,+22.0%,20,+6.1%,8,+9.0%
Marco Belinelli,32.6,SAS,Wing,130,59,-0.5%,29,+6.2%,14,+10.4%,94,-17.9%,32,+2.6%,93,-30.4%,75,-3.9%,93,-8.3%
Patrick Beverley,30.3,LAC,Combo,194,23,+5.3%,68,-2.7%,9,+13.8%,70,-6.1%,24,+3.6%,57,-1.2%,13,+8.4%,18,+6.1%
Eric Bledsoe,28.9,MIL,Point,422,80,-3.5%,42,+2.8%,73,-4.8%,43,+0.9%,67,-2.3%,88,-16.4%,63,-2.1%,83,-5.9%
Bojan Bogdanovic,29.5,IND,Forward,147,1,+12.7%,4,+16.6%,7,+14.9%,55,-2.6%,14,+6.7%,8,+30.0%,14,+8.3%,4,+12.7%
Andrew Bogut,33.9,GSW,Big,178,54,+0.0%,37,+4.3%,91,-10.7%,15,+11.0%,65,-2.2%,79,-7.4%,40,+1.2%,56,-0.4%
Malcolm Brogdon,25.9,MIL,Combo,194,74,-2.3%,30,+6.2%,93,-12.4%,54,-2.5%,89,-7.1%,31,+9.5%,81,-5.2%,57,-0.8%
Jaylen Brown,22.0,BOS,Wing,269,19,+5.9%,38,+3.6%,25,+6.7%,6,+18.9%,6,+13.5%,3,+34.9%,83,-5.4%,51,+1.0%
