Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
LaMarcus Aldridge,25.3,POR,Big,258,91,24.5%,42,98.4,53,6.4%,30,0.26,93,7.3%
Ray Allen,35.3,BOS,Wing,360,29,15.9%,97,144.1,53,10.0%,59,0.63,68,8.4%
Tony Allen,28.8,MEM,Combo,348,44,19.3%,22,93.4,0,9.7%,0,0.50,11,16.8%
Ryan Anderson,22.5,ORL,Big,145,19,10.6%,9,84.8,28,3.2%,42,0.30,100,3.0%
Carmelo Anthony,26.4,NYK,Wing,155,97,33.1%,32,103.0,94,26.8%,85,0.81,44,11.1%
Joel Anthony,28.2,MIA,Big,572,2,6.6%,19,90.6,21,2.7%,51,0.41,28,17.1%
Trevor Ariza,25.3,NOP,Wing,240,71,21.1%,29,98.9,65,15.6%,71,0.74,82,7.0%
Darrell Arthur,22.6,MEM,Big,197,84,21.9%,35,95.6,58,6.7%,44,0.31,58,12.8%
Omer Asik,24.3,CHI,Big,136,5,7.4%,28,93.8,9,1.2%,9,0.16,0,34.1%
J.J. Barea,26.3,DAL,Combo,384,100,30.4%,44,100.5,100,33.5%,78,1.10,78,9.3%
Matt Barnes,30.6,LAL,Wing,125,24,15.5%,6,78.4,35,6.9%,29,0.45,15,14.5%
Brandon Bass,25.5,ORL,Big,138,47,16.4%,51,100.0,26,3.1%,16,0.19,44,15.4%
Shane Battier,32.1,MEM,Forward,337,0,9.7%,42,105.9,33,6.7%,83,0.69,92,8.2%
Nicolas Batum,21.9,POR,Forward,150,50,17.8%,33,104.3,42,9.0%,42,0.50,42,13.5%
Marco Belinelli,24.6,NOP,Wing,171,41,17.3%,9,89.2,15,4.2%,15,0.24,91,6.6%
Mike Bibby,32.5,MIA,Point,413,11,13.6%,0,75.3,0,9.2%,0,0.68,32,14.7%
Steve Blake,30.7,LAL,Point,144,0,11.6%,11,87.0,26,20.2%,89,1.74,37,14.3%
Keith Bogans,30.5,CHI,Wing,307,3,10.6%,76,115.5,26,6.5%,53,0.61,56,10.0%
Matt Bonner,30.6,SAS,Big,122,14,10.0%,95,131.0,19,2.7%,33,0.27,98,3.8%
Carlos Boozer,28.9,CHI,Big,506,63,19.8%,44,98.5,72,9.5%,72,0.48,60,12.8%
Chris Bosh,26.6,MIA,Big,831,81,21.2%,65,109.6,42,5.5%,28,0.26,79,11.0%
Elton Brand,31.6,PHI,Big,183,51,17.1%,77,114.7,23,2.9%,14,0.17,95,6.2%
Ronnie Brewer,25.6,CHI,Forward,247,17,11.1%,67,111.1,50,11.0%,100,1.00,100,7.1%
Shannon Brown,24.9,LAL,Wing,158,59,19.8%,41,104.8,41,7.4%,26,0.37,18,13.6%
Kobe Bryant,32.2,LAL,Wing,353,100,33.2%,53,107.1,76,18.5%,50,0.56,32,12.8%
Andrew Bynum,23.0,LAL,Big,318,60,19.5%,86,119.0,33,4.5%,26,0.23,40,15.6%
Marcus Camby,36.6,POR,Big,166,7,9.0%,23,91.3,65,7.8%,95,0.86,26,17.2%
Mario Chalmers,24.5,MIA,Point,502,21,15.9%,74,113.6,5,14.9%,16,0.94,11,17.0%
Tyson Chandler,28.1,DAL,Big,678,9,9.4%,93,123.7,12,1.9%,21,0.20,86,10.6%
Wilson Chandler,23.5,DEN,Wing,114,21,14.7%,0,72.7,9,2.8%,9,0.19,47,11.0%
Jason Collins,31.9,ATL,Big,157,0,6.5%,81,116.7,7,1.1%,12,0.17,7,25.0%
Darren Collison,23.2,IND,Point,145,42,21.0%,21,92.2,42,22.7%,42,1.08,53,13.2%
Nick Collison,30.0,OKC,Big,411,16,10.2%,98,132.6,49,5.8%,81,0.57,49,14.2%
Mike Conley,23.1,MEM,Point,505,58,24.5%,32,94.7,58,28.3%,53,1.15,63,11.1%
Daequan Cook,23.5,OKC,Wing,187,12,12.2%,79,116.0,0,0.8%,0,0.07,9,14.6%
Jamal Crawford,30.6,ATL,Combo,356,89,25.2%,67,108.3,44,16.3%,11,0.65,89,8.6%
Glen Davis,24.8,BOS,Big,187,40,14.7%,7,83.3,60,7.0%,70,0.48,30,16.1%
Luol Deng,25.5,CHI,Wing,684,50,18.2%,35,104.3,56,11.1%,56,0.61,62,9.7%
Toney Douglas,24.6,NYK,Combo,108,11,18.8%,11,92.9,56,16.4%,56,0.87,100,8.4%
Tim Duncan,34.5,SAS,Big,211,77,21.0%,47,98.7,95,14.8%,88,0.71,21,19.3%
Kevin Durant,22.1,OKC,Forward,721,92,26.9%,92,117.1,75,13.5%,33,0.50,83,9.7%
Raymond Felton,26.3,DEN,Combo,151,67,22.9%,33,98.3,89,26.3%,89,1.15,33,13.1%
Derek Fisher,36.2,LAL,Point,324,5,13.5%,63,106.6,11,17.2%,74,1.27,74,8.6%
Danilo Gallinari,22.2,DEN,Forward,147,67,19.4%,67,111.1,67,11.9%,67,0.61,67,11.5%
Kevin Garnett,34.5,BOS,Big,327,86,22.7%,33,95.0,86,11.7%,74,0.52,67,12.2%
Marc Gasol,25.8,MEM,Big,515,49,16.8%,72,112.2,70,9.4%,79,0.56,53,13.8%
Pau Gasol,30.3,LAL,Big,354,74,20.8%,49,99.2,100,17.2%,93,0.83,77,11.0%
Paul George,20.5,IND,Forward,129,33,15.1%,0,85.7,25,6.2%,17,0.41,17,16.7%
Taj Gibson,25.4,CHI,Big,272,35,13.8%,84,117.6,56,6.4%,67,0.47,23,17.8%
Manu Ginobili,33.3,SAS,Wing,173,91,28.4%,82,116.3,85,21.4%,74,0.76,6,16.1%
Danny Granger,27.5,IND,Wing,183,85,24.9%,65,113.7,79,19.8%,82,0.79,85,6.9%
Jeff Green,24.2,BOS,Forward,168,42,17.4%,100,117.9,0,2.2%,0,0.13,0,20.0%
Tyler Hansbrough,25.0,IND,Big,164,65,19.9%,5,82.4,40,5.3%,35,0.27,63,12.4%
James Harden,21.2,OKC,Wing,534,47,18.1%,94,127.0,74,18.4%,88,1.01,29,12.9%
Udonis Haslem,30.4,MIA,Big,286,33,13.0%,14,87.5,37,5.0%,49,0.39,47,14.8%
Brendan Haywood,30.9,DAL,Big,273,23,10.8%,70,112.0,14,2.1%,19,0.20,14,22.0%
Roy Hibbert,23.9,IND,Big,128,79,21.2%,30,94.2,35,4.5%,23,0.21,16,21.5%
Nene Hilario,28.1,DEN,Big,161,72,20.7%,60,104.4,67,9.1%,60,0.44,84,11.0%
George Hill,24.5,SAS,Combo,188,0,18.1%,89,111.1,11,12.8%,33,0.71,67,9.7%
Kirk Hinrich,29.8,ATL,Point,173,16,15.6%,84,117.3,16,18.4%,58,1.18,95,7.1%
Jrue Holiday,20.4,PHI,Combo,186,56,21.4%,78,109.2,78,24.8%,100,1.16,44,12.1%
Al Horford,24.4,ATL,Big,466,56,17.7%,21,90.7,98,16.0%,98,0.91,88,10.3%
Dwight Howard,24.9,ORL,Big,257,98,26.6%,100,136.1,16,2.6%,7,0.10,9,23.4%
Serge Ibaka,21.1,OKC,Big,490,44,15.0%,56,101.8,5,1.1%,5,0.07,56,12.8%
Andre Iguodala,26.8,PHI,Wing,181,76,22.5%,24,96.6,100,30.9%,100,1.37,3,16.5%
Zydrunas Ilgauskas,35.4,MIA,Big,103,53,17.6%,37,97.0,51,6.3%,47,0.35,12,22.8%
Jarrett Jack,27.0,NOP,Combo,111,78,25.1%,0,85.4,67,23.2%,67,0.92,22,15.0%
LeBron James,25.8,MIA,Forward,918,100,28.6%,83,114.0,100,27.8%,92,0.97,58,12.3%
Richard Jefferson,30.4,SAS,Forward,175,8,10.5%,50,108.3,17,5.0%,25,0.47,25,15.4%
Joe Johnson,29.3,ATL,Wing,494,88,25.1%,47,105.6,68,15.9%,62,0.63,35,12.4%
James Jones,30.1,MIA,Wing,267,0,8.8%,100,147.2,3,1.3%,6,0.15,71,8.3%
Jason Kidd,37.6,DAL,Point,742,26,18.6%,68,112.7,68,33.3%,100,1.78,0,19.3%
Kyle Korver,29.6,CHI,Wing,264,44,17.5%,44,105.2,47,9.5%,44,0.54,12,14.6%
Carl Landry,27.1,NOP,Big,212,67,20.6%,74,113.1,47,5.8%,37,0.28,51,14.0%
Ty Lawson,23.0,DEN,Point,166,37,19.8%,95,130.0,37,20.9%,26,1.05,79,8.3%
Shawn Marion,32.5,DAL,Forward,688,58,19.3%,25,102.0,58,11.7%,58,0.61,50,13.2%
Kenyon Martin,32.8,DEN,Big,147,58,18.9%,51,100.0,74,9.9%,77,0.52,72,11.5%
Wesley Matthews,24.0,POR,Wing,202,35,16.5%,85,118.2,18,5.5%,18,0.33,53,10.6%
Eric Maynor,23.4,OKC,Point,212,53,24.0%,53,103.8,47,26.6%,47,1.11,42,14.1%
O.J. Mayo,23.0,MEM,Combo,359,22,19.2%,56,102.9,22,13.4%,22,0.70,56,10.4%
Antonio McDyess,36.2,SAS,Big,144,37,14.6%,12,85.0,74,9.9%,86,0.68,35,15.7%
Jodie Meeks,23.2,PHI,Wing,122,9,11.5%,85,118.2,21,5.6%,35,0.48,100,3.3%
Andre Miller,34.6,POR,Point,193,74,27.3%,79,117.1,74,33.3%,63,1.22,58,12.9%
Mike Miller,30.7,MIA,Wing,210,15,14.0%,15,90.4,50,9.8%,65,0.70,21,13.4%
Nazr Mohammed,33.2,OKC,Big,139,30,12.9%,0,81.1,0,0.0%,0,0.00,33,15.8%
Gary Neal,26.1,SAS,Wing,106,62,20.0%,12,89.4,29,6.9%,21,0.34,94,4.2%
Jameer Nelson,28.7,ORL,Point,216,47,22.9%,26,94.0,53,28.3%,68,1.24,89,7.7%
Joakim Noah,25.7,CHI,Big,526,42,14.9%,26,92.5,88,12.1%,91,0.81,74,11.2%
Dirk Nowitzki,32.4,DAL,Big,824,100,30.4%,88,122.0,91,13.0%,53,0.43,65,12.2%
