Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Arron Afflalo,24.0,DEN,Wing,2157,32,-2.6,18,-1.4,82,+1.5%,8,-16.4,36,-0.3,35,-2.1%,41,-3.6,20,-1.0,90,+4.9%,7,-21.4
LaMarcus Aldridge,24.3,POR,Big,2911,71,+2.0,65,+0.5,85,+1.7%,56,+1.7,23,-0.6,73,+3.8%,5,-30.8,85,+1.1,75,+2.4%,94,+19.3
Malik Allen,31.3,DEN,Big,383,3,-11.0,0,-4.9,0,-5.7%,1,-30.9,4,-1.3,3,-12.4%,13,-19.3,1,-3.4,4,-7.2%,2,-36.6
Ray Allen,34.3,BOS,Wing,2813,97,+8.4,99,+3.1,89,+2.0%,98,+21.5,85,+0.7,59,+1.5%,87,+16.9,100,+2.4,91,+5.0%,96,+24.4
Tony Allen,27.8,BOS,Wing,838,27,-3.4,95,+2.1,68,+0.7%,93,+13.7,94,+1.1,56,+1.0%,86,+16.1,82,+1.0,55,+0.2%,81,+11.0
Rafer Alston,33.3,NJN,Combo,744,11,-6.9,11,-1.9,15,-1.8%,8,-16.5,4,-1.3,58,+1.3%,2,-40.9,43,-0.3,5,-6.7%,53,+1.0
Rafer Alston,33.3,MIA,Point,652,83,+3.9,74,+0.7,81,+1.5%,47,+0.1,22,-0.6,80,+5.4%,8,-25.3,88,+1.3,85,+3.8%,88,+14.7
Lou Amundson,26.9,PHX,Big,1029,22,-4.1,27,-0.9,67,+0.6%,31,-5.8,49,-0.1,64,+2.5%,15,-17.4,21,-1.0,35,-1.6%,35,-5.4
Chris Andersen,31.3,DEN,Big,1668,91,+5.7,95,+2.1,84,+1.6%,89,+11.6,80,+0.6,71,+3.5%,57,+1.4,92,+1.5,81,+3.2%,90,+16.9
David Andersen,29.4,HOU,Big,848,73,+2.3,28,-0.8,68,+0.7%,21,-9.4,37,-0.3,8,-8.2%,45,-2.0,44,-0.2,91,+5.0%,31,-7.0
