Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
LaMarcus Aldridge,29.3,POR,Big,208,89,88.9%,56,14.3%,42,2.0%,44,22.2%
Tony Allen,32.8,MEM,Wing,278,0,75.0%,54,8.3%,40,1.2%,80,40.0%
Al-Farouq Aminu,24.1,DAL,Forward,148,0,76.5%,100,21.1%,0,0.3%,0,12.5%
Alan Anderson,32.0,BKN,Wing,141,0,75.0%,20,5.1%,91,2.9%,97,100.0%
Giannis Antetokounmpo,19.9,MIL,Forward,200,0,73.9%,78,15.0%,89,2.0%,56,25.0%
Pero Antic,32.3,ATL,Big,195,0,80.0%,40,10.9%,81,3.0%,33,16.7%
Trevor Ariza,29.3,HOU,Forward,653,100,90.5%,33,8.0%,22,0.7%,33,20.0%
Leandro Barbosa,31.9,GSW,Combo,217,0,81.8%,78,12.0%,17,1.0%,50,18.2%
J.J. Barea,30.3,DAL,Combo,152,0,83.3%,11,3.4%,89,2.5%,0,0.0%
Harrison Barnes,22.4,GSW,Forward,678,0,73.5%,44,8.5%,67,1.1%,67,27.8%
Matt Barnes,34.6,LAC,Wing,404,0,75.0%,51,7.5%,17,0.9%,60,25.0%
Nicolas Batum,25.9,POR,Wing,208,0,76.9%,9,4.1%,49,1.3%,0,0.0%
Jerryd Bayless,26.2,MIL,Combo,108,0,76.5%,100,18.4%,83,2.2%,44,14.3%
Kent Bazemore,25.3,ATL,Wing,299,17,67.7%,91,13.9%,83,2.2%,17,9.1%
Bradley Beal,21.3,WAS,Wing,416,75,83.1%,77,10.9%,86,2.3%,43,16.7%
Marco Belinelli,28.6,SAS,Combo,108,0,84.6%,50,10.3%,44,1.3%,0,0.0%
Bojan Bogdanovic,25.5,BKN,Forward,205,0,71.4%,0,4.9%,11,0.5%,78,33.3%
Andrew Bogut,29.9,GSW,Big,438,0,38.5%,7,5.1%,21,1.3%,58,25.0%
Avery Bradley,23.9,BOS,Combo,132,0,85.7%,17,5.7%,11,1.0%,0,0.0%
Corey Brewer,28.7,HOU,Wing,417,8,61.5%,71,10.6%,80,2.2%,40,15.8%
Aaron Brooks,29.8,CHI,Point,120,0,40.0%,7,3.5%,33,1.5%,0,0.0%
Jimmy Butler,25.1,CHI,Wing,505,67,81.9%,89,13.6%,74,2.1%,57,21.9%
Nick Calathes,25.7,MEM,Combo,117,0,42.9%,0,2.9%,67,1.6%,0,0.0%
Clint Capela,20.5,HOU,Big,108,0,56.5%,86,20.6%,70,2.7%,93,42.9%
DeMarre Carroll,28.3,ATL,Wing,556,50,78.0%,69,10.5%,29,1.1%,49,20.0%
Vince Carter,37.8,MEM,Wing,193,0,88.9%,66,10.3%,71,2.0%,94,71.4%
Michael Carter-Williams,23.1,MIL,Point,190,0,58.3%,60,8.8%,13,1.2%,100,57.1%
Tyson Chandler,32.1,DAL,Big,160,16,50.0%,100,27.5%,23,1.3%,0,0.0%
Norris Cole,26.1,NOP,Point,105,0,66.7%,40,7.9%,27,1.3%,80,33.3%
Mike Conley,27.1,MEM,Point,243,0,82.1%,93,12.5%,53,2.1%,87,38.5%
Jamal Crawford,34.6,LAC,Wing,372,83,86.7%,11,4.3%,51,1.4%,26,12.5%
Jae Crowder,24.3,BOS,Forward,100,0,76.9%,89,18.8%,78,1.4%,89,50.0%
Stephen Curry,26.6,GSW,Point,823,14,83.5%,27,6.9%,87,3.4%,40,15.6%
Anthony Davis,21.6,NOP,Big,171,89,88.9%,51,14.0%,58,2.4%,19,7.1%
Glen Davis,28.8,LAC,Big,136,0,77.8%,35,10.8%,7,0.6%,58,25.0%
DeMar DeRozan,25.2,TOR,Wing,158,0,82.4%,74,10.7%,54,1.4%,71,33.3%
Matthew Dellavedova,24.1,CLE,Combo,486,50,79.3%,39,7.2%,56,1.3%,56,20.0%
Boris Diaw,32.5,SAS,Big,197,0,69.2%,21,6.7%,28,1.4%,42,20.0%
Jared Dudley,29.3,MIL,Forward,110,0,57.1%,11,6.5%,100,2.5%,89,50.0%
Tim Duncan,38.5,SAS,Big,249,26,55.9%,77,16.5%,16,1.1%,51,23.5%
Mike Dunleavy,34.1,CHI,Wing,388,0,94.7%,29,5.6%,69,2.0%,91,60.0%
Monta Ellis,29.0,DAL,Wing,196,0,75.0%,43,6.8%,60,1.6%,26,12.5%
Tyreke Evans,25.1,NOP,Wing,125,0,58.8%,97,16.0%,57,1.5%,26,12.5%
Festus Ezeli,25.0,GSW,Big,179,21,55.2%,63,15.5%,88,3.4%,26,11.1%
