Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Steven Adams,31.3,HOU,Big,154,65,60.0%,68,60.0%,0,0.0%,12,53.3%,79,50%,74,45%,0,100%,0,0%
Bam Adebayo,27.3,MIA,Big,233,18,48.9%,24,51.5%,14,28.6%,0,58.8%,79,50%,88,38%,88,39%,29,100%
Santi Aldama,23.8,MEM,Big,177,59,58.7%,65,59.4%,62,38.7%,0,100.0%,38,74%,47,60%,68,57%,29,100%
Nickeil Alexander-Walker,26.2,MIN,Wing,300,25,48.6%,38,45.7%,35,33.9%,0,86.7%,46,79%,50,65%,29,75%,54,90%
Jarrett Allen,26.5,CLE,Big,261,97,72.1%,97,72.1%,0,0.0%,100,94.3%,15,84%,9,77%,0,100%,0,0%
Giannis Antetokounmpo,29.9,MIL,Big,187,74,61.1%,79,62.8%,0,20.0%,47,69.8%,100,32%,97,32%,100,27%,29,100%
OG Anunoby,27.3,NYK,Forward,703,35,50.6%,26,49.2%,30,34.5%,70,81.0%,65,66%,43,65%,74,37%,87,80%
Paolo Banchero,22.0,ORL,Big,230,12,46.7%,9,43.0%,71,40.0%,41,69.2%,97,40%,82,40%,97,27%,97,67%
Desmond Bane,26.4,MEM,Wing,211,17,47.0%,33,45.3%,22,32.6%,0,95.2%,96,46%,92,15%,88,36%,79,80%
Nicolas Batum,35.9,LAC,Forward,170,87,59.1%,0,0.0%,65,39.4%,0,0.0%,0,100%,0,0%,0,0%,0,100%
Malik Beasley,27.9,DET,Wing,163,29,50.0%,50,50.0%,30,33.3%,0,100.0%,33,85%,42,67%,63,50%,38,95%
Anthony Black,20.8,ORL,Combo,107,68,52.4%,68,53.8%,11,31.3%,0,66.7%,21,68%,11,60%,26,50%,0,100%
Bogdan Bogdanovic,32.2,LAC,Wing,114,4,41.5%,13,42.1%,4,27.3%,0,85.7%,83,64%,88,25%,29,75%,71,83%
Christian Braun,23.5,DEN,Wing,544,50,53.4%,83,59.7%,17,30.9%,20,71.0%,54,76%,29,74%,25,88%,88,76%
Mikal Bridges,28.2,NYK,Forward,705,39,51.5%,57,51.4%,39,34.6%,0,75.0%,78,53%,57,51%,78,33%,57,96%
