Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Shareef Abdur-Rahim,28.9,SAC,Big,122,83,+15.3,+34,84,+12.5,83,+6.0%,14,+2.7%,95,+9.4%,93,+11.4,59,-2.8,78,-4.5%,5,-4.9%,88,-6.2%,16,+6.3
Malik Allen,27.3,CHI,Big,116,23,-7.3,-18,18,-7.6,56,+1.2%,16,+2.3%,16,-4.1%,11,-11.3,47,-0.3,53,-0.6%,21,-2.1%,24,+2.9%,62,-3.2
Carmelo Anthony,21.4,DEN,Forward,192,97,+33.0,+37,49,+1.1,52,+0.9%,9,+3.8%,55,+1.2%,67,+3.8,100,-31.9,99,-12.0%,78,+1.9%,97,-13.0%,21,+6.0
Gilbert Arenas,23.8,WAS,Combo,283,47,+0.9,+2,54,+2.5,57,+1.5%,77,-2.1%,78,+4.4%,3,-16.3,39,+1.6,1,+12.2%,95,+4.0%,97,-14.4%,0,+13.4
Chucky Atkins,31.2,MEM,Point,101,17,-10.9,-8,68,+6.0,69,+3.3%,62,-0.9%,73,+3.7%,8,-13.2,2,+16.9,3,+10.5%,23,-2.0%,1,+12.1%,97,-20.0
Leandro Barbosa,22.9,PHX,Wing,625,19,-9.4,-22,27,-5.1,17,-4.5%,27,+1.2%,62,+2.1%,78,+6.5,28,+4.4,43,+0.9%,83,+2.7%,5,+7.6%,20,+6.1
Brent Barry,33.8,SAS,Wing,281,3,-20.7,-47,23,-5.5,27,-2.4%,50,-0.3%,21,-3.4%,89,+8.2,4,+15.2,16,+5.6%,9,-4.0%,47,-0.0%,19,+6.1
Shane Battier,27.1,MEM,Forward,128,91,+21.7,+15,83,+12.4,93,+8.5%,34,+1.0%,87,+5.9%,9,-12.2,85,-9.3,86,-5.7%,20,-2.1%,89,-7.6%,96,-17.5
Raja Bell,29.1,PHX,Wing,673,51,+1.5,+4,55,+2.8,75,+4.1%,67,-1.4%,8,-6.8%,37,-2.6,42,+1.3,40,+1.8%,47,-0.2%,72,-2.9%,37,+2.4
Mike Bibby,27.5,SAC,Point,255,54,+1.9,+5,72,+7.4,90,+7.3%,34,+1.0%,16,-4.1%,41,-1.2,23,+5.5,12,+6.3%,80,+2.0%,57,-1.4%,98,-22.5
Chauncey Billups,29.1,DET,Point,702,74,+11.5,+30,60,+3.6,50,+0.7%,83,-2.8%,28,-3.0%,84,+7.8,82,-8.0,77,-4.3%,60,+0.8%,73,-3.0%,59,-2.1
Andrew Bogut,20.9,MIL,Big,168,68,+7.3,+9,29,-4.7,16,-4.5%,90,-3.8%,37,-1.9%,41,-1.2,94,-12.0,54,-0.7%,11,-3.4%,98,-14.7%,71,-6.6
Bruce Bowen,34.4,SAS,Wing,440,29,-5.4,-13,9,-12.6,32,-1.9%,9,+3.7%,43,-0.6%,1,-20.0,78,-7.2,59,-1.3%,29,-1.5%,67,-2.3%,84,-9.2
Earl Boykins,29.4,DEN,Point,139,5,-19.9,-45,33,-4.4,24,-2.8%,84,-3.0%,11,-5.8%,46,-0.4,3,+15.5,2,+11.1%,35,-1.1%,94,-9.4%,5,+9.5
Elton Brand,26.6,LAC,Big,516,35,-3.0,-10,90,+18.6,59,+1.7%,99,-6.8%,99,+14.3%,34,-3.4,0,+21.6,5,+9.3%,94,+4.0%,65,-1.9%,13,+7.2
Kwame Brown,23.6,LAL,Big,224,2,-25.8,-54,6,-14.1,12,-5.4%,17,+2.0%,6,-9.6%,76,+6.1,9,+11.7,9,+6.6%,77,+1.8%,37,+1.5%,95,-15.5
Kobe Bryant,27.2,LAL,Combo,313,16,-11.6,-28,10,-11.4,72,+3.7%,2,+6.4%,71,+2.9%,7,-15.2,47,+0.2,47,+0.2%,28,-1.7%,27,+2.5%,73,-7.2
Greg Buckner,29.1,DEN,Wing,137,81,+14.2,+28,41,-1.7,39,-0.6%,7,+4.2%,93,+8.7%,32,-4.0,96,-15.9,78,-4.3%,96,+4.4%,83,-4.8%,18,+6.2
Caron Butler,25.6,WAS,Wing,261,25,-6.8,-16,3,-16.1,15,-4.6%,1,+7.2%,81,+4.8%,0,-23.8,88,-9.4,100,-12.4%,25,-1.8%,82,-4.7%,11,+7.8
Marcus Camby,31.6,DEN,Big,175,66,+6.0,+12,44,-0.2,58,+1.6%,59,-0.7%,78,+4.3%,24,-6.3,74,-6.2,97,-10.0%,51,+0.2%,3,+11.3%,72,-6.8
Vince Carter,28.8,NJN,Wing,449,90,+21.7,+41,91,+18.9,94,+8.7%,71,-1.4%,44,-0.4%,99,+18.2,58,-2.7,64,-1.8%,15,-3.1%,64,-1.9%,80,-8.3
Sam Cassell,36.0,LAC,Point,403,8,-15.3,-34,47,+0.5,16,-4.6%,73,-1.6%,94,+9.3%,55,+1.7,3,+15.8,8,+7.3%,16,-3.1%,26,+2.7%,39,+1.9
Tyson Chandler,23.1,CHI,Big,103,45,+0.4,+2,74,+8.4,64,+2.6%,29,+1.2%,92,+8.4%,63,+3.5,16,+8.0,22,+4.4%,84,+2.7%,35,+1.6%,8,+8.4
Jason Collins,26.9,NJN,Big,302,58,+4.3,+11,59,+3.5,84,+6.3%,23,+1.5%,27,-3.1%,30,-4.2,51,-0.8,20,+4.6%,74,+1.5%,77,-4.0%,88,-10.6
Austin Croshere,30.5,IND,Forward,173,59,+4.4,+11,80,+11.4,80,+5.5%,98,-6.4%,1,-15.2%,72,+4.5,17,+7.1,0,+12.8%,91,+3.5%,84,-5.0%,54,-1.1
Erick Dampier,30.3,DAL,Big,447,57,+3.4,+8,72,+7.4,73,+3.9%,36,+0.9%,83,+5.0%,58,+1.9,31,+4.0,52,-0.3%,48,-0.1%,46,+0.0%,36,+2.5
Antonio Daniels,30.6,WAS,Point,215,80,+13.8,+34,94,+20.7,91,+7.5%,20,+1.9%,39,-1.6%,100,+25.1,19,+6.9,22,+4.2%,61,+0.8%,45,+0.2%,57,-1.9
Marquis Daniels,24.8,DAL,Wing,207,37,-2.5,-6,32,-4.4,22,-2.9%,69,-1.4%,22,-3.3%,42,-1.1,55,-1.8,51,-0.1%,88,+2.9%,20,+3.4%,30,+3.8
Tony Delk,31.8,DET,Combo,114,21,-8.8,-23,50,+1.5,34,-1.3%,56,-0.5%,80,+4.6%,70,+4.2,11,+10.3,3,+10.2%,40,-0.8%,81,-4.6%,90,-11.0
Luol Deng,20.5,CHI,Forward,178,9,-14.7,-36,12,-11.1,6,-6.8%,48,-0.3%,7,-8.1%,73,+5.4,34,+3.5,45,+0.6%,82,+2.5%,17,+4.0%,51,-0.8
Boris Diaw,23.5,PHX,Big,793,65,+5.7,+14,43,-1.2,47,+0.5%,19,+2.0%,58,+1.5%,25,-6.3,76,-6.9,67,-2.3%,86,+2.9%,32,+1.8%,72,-7.2
DeSagana Diop,23.8,DAL,Big,404,50,+1.3,+4,28,-4.8,38,-0.7%,52,-0.3%,22,-3.4%,17,-8.7,73,-6.1,55,-1.0%,37,-0.9%,36,+1.5%,92,-11.7
Chris Duhon,23.2,CHI,Point,127,13,-11.7,-27,15,-9.5,61,+2.1%,3,+5.2%,3,-11.6%,88,+8.1,35,+2.2,44,+0.9%,30,-1.5%,59,-1.4%,42,+0.8
Tim Duncan,29.5,SAS,Big,491,94,+24.4,+48,92,+19.3,95,+10.4%,78,-2.1%,72,+3.6%,22,-6.8,71,-5.1,36,+2.0%,39,-0.8%,95,-10.1%,77,-7.3
Michael Finley,32.7,SAS,Forward,408,41,-1.8,-5,69,+6.1,74,+3.9%,70,-1.4%,5,-10.3%,96,+13.9,16,+7.9,29,+2.6%,53,+0.3%,16,+4.0%,38,+2.3
T.J. Ford,22.6,MIL,Point,160,97,+28.6,+31,64,+4.9,25,-2.8%,92,-3.9%,91,+8.0%,59,+2.3,99,-23.7,98,-11.1%,19,-2.4%,66,-2.1%,84,-9.5
Pau Gasol,25.3,MEM,Big,157,73,+11.4,+7,89,+16.3,91,+7.7%,51,-0.3%,47,-0.2%,20,-7.6,25,+4.9,48,+0.0%,1,-7.6%,70,-2.5%,47,+0.1
Devean George,28.2,LAL,Wing,120,86,+18.6,+41,65,+5.4,84,+6.1%,10,+3.6%,82,+4.8%,28,-5.1,95,-13.3,81,-5.2%,98,+4.9%,34,+1.7%,2,+11.3
Manu Ginobili,28.3,SAS,Wing,424,95,+26.4,+53,77,+10.1,72,+3.6%,46,+0.1%,70,+2.9%,78,+6.2,97,-16.3,83,-5.5%,100,+6.5%,49,-0.3%,44,+0.5
Drew Gooden,24.1,CLE,Big,280,32,-3.7,-10,11,-11.4,9,-6.1%,38,+0.8%,76,+4.0%,13,-9.8,79,-7.7,66,-2.3%,34,-1.3%,86,-5.8%,83,-9.0
Ben Gordon,22.6,CHI,Wing,244,82,+14.3,+26,71,+7.2,63,+2.6%,86,-3.3%,86,+5.9%,3,-16.1,78,-7.2,84,-5.5%,67,+1.1%,19,+3.6%,4,+9.6
Danny Granger,22.5,IND,Forward,158,11,-13.2,-31,38,-3.3,34,-1.6%,28,+1.2%,10,-6.0%,57,+1.9,12,+9.9,34,+2.1%,72,+1.2%,7,+7.5%,29,+3.8
Adrian Griffin,31.3,DAL,Wing,338,56,+2.4,+6,51,+1.6,46,+0.5%,43,+0.6%,66,+2.6%,49,+0.7,53,-0.9,30,+2.3%,71,+1.2%,79,-4.3%,58,-2.0
Richard Hamilton,27.7,DET,Wing,689,67,+7.1,+19,67,+5.8,78,+5.1%,63,-0.9%,25,-3.2%,52,+0.9,54,-1.3,72,-3.3%,13,-3.4%,87,-6.1%,34,+2.6
Devin Harris,22.7,DAL,Point,556,22,-8.0,-20,37,-3.6,35,-1.2%,55,-0.5%,31,-2.7%,69,+4.0,28,+4.5,41,+1.3%,38,-0.9%,47,-0.1%,14,+6.6
Udonis Haslem,25.4,MIA,Big,647,18,-10.8,-24,28,-4.8,36,-1.2%,5,+4.3%,63,+2.3%,38,-2.4,20,+6.0,49,+0.0%,2,-5.2%,41,+0.7%,53,-1.0
Brendan Haywood,25.9,WAS,Big,154,14,-11.7,-29,0,-22.1,2,-10.3%,33,+1.1%,46,-0.3%,4,-15.8,91,-10.4,75,-4.0%,97,+4.7%,50,-0.5%,68,-5.6
Kirk Hinrich,24.8,CHI,Combo,233,91,+22.4,+36,93,+20.1,87,+6.7%,91,-3.8%,89,+6.4%,98,+17.5,57,-2.4,91,-6.0%,6,-4.7%,52,-0.7%,35,+2.5
Robert Horry,35.2,SAS,Big,223,31,-4.6,-12,26,-5.1,20,-3.8%,42,+0.6%,54,+1.2%,51,+0.8,48,-0.5,71,-3.1%,70,+1.2%,11,+6.1%,24,+5.8
Eddie House,27.5,PHX,Combo,121,4,-19.9,-42,14,-9.6,4,-7.8%,74,-1.6%,77,+4.2%,35,-2.9,10,+10.3,10,+6.6%,58,+0.6%,13,+5.2%,66,-5.0
Josh Howard,25.5,DAL,Wing,823,78,+13.1,+33,61,+4.4,77,+4.4%,53,-0.3%,53,+0.5%,34,-3.7,84,-8.7,57,-1.2%,81,+2.1%,48,-0.2%,81,-8.5
Larry Hughes,26.8,CLE,Wing,333,38,-2.3,-6,56,+2.9,45,+0.2%,47,+0.1%,56,+1.3%,56,+1.9,24,+5.2,24,+4.1%,26,-1.7%,74,-3.1%,56,-1.7
Lindsey Hunter,34.9,DET,Point,196,16,-11.4,-29,24,-5.4,31,-1.9%,8,+3.8%,75,+3.9%,22,-7.1,21,+6.0,23,+4.2%,78,+1.9%,14,+5.0%,16,+6.3
Zydrunas Ilgauskas,30.4,CLE,Big,353,12,-12.3,-31,3,-16.0,10,-5.7%,11,+3.3%,59,+1.7%,12,-10.1,63,-3.7,58,-1.2%,22,-2.0%,76,-4.0%,64,-4.1
Stephen Jackson,27.6,IND,Wing,227,84,+16.2,+29,81,+11.7,40,-0.4%,61,-0.8%,97,+11.9%,97,+14.0,68,-4.5,70,-2.8%,57,+0.5%,69,-2.5%,28,+4.4
LeBron James,20.8,CLE,Wing,602,24,-7.1,-18,7,-12.8,42,-0.1%,0,+14.5%,41,-1.2%,16,-9.2,72,-5.8,87,-5.7%,3,-5.0%,51,-0.7%,97,-21.4
