Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,31.3,HOU,Big,154,92,+23.3,+50,83,+9.6,42,-0.6%,30,+1.0%,99,+14.6%,97,+11.3,92,-13.7,92,-8.3%,22,-3.1%,86,-5.7%,48,+0.1
Giannis Antetokounmpo,29.9,MIL,Big,187,25,-10.6,-24,86,+11.8,81,+3.6%,87,-4.5%,45,-1.2%,94,+9.5,2,+22.3,3,+9.1%,19,-3.3%,21,+3.8%,31,+2.6
Nicolas Batum,35.9,LAC,Forward,170,58,+5.1,+12,61,+3.0,33,-1.6%,13,+3.2%,82,+3.2%,87,+6.9,56,-2.0,48,+0.1%,72,+1.3%,59,-0.4%,16,+4.6
Malik Beasley,27.9,DET,Wing,163,39,-5.1,-13,36,-2.6,48,-0.0%,4,+4.8%,4,-10.8%,98,+11.3,40,+2.5,46,+0.4%,94,+4.1%,2,+9.3%,6,+8.2
Jaylen Brown,28.0,BOS,Wing,402,45,+0.7,+3,19,-8.3,14,-4.9%,23,+1.7%,55,+0.7%,95,+9.5,79,-9.0,54,-0.5%,93,+3.9%,89,-6.5%,25,+3.2
Jimmy Butler,35.1,GSW,Forward,436,19,-12.9,-31,25,-6.0,26,-2.8%,71,-2.9%,13,-7.1%,68,+1.8,27,+7.0,20,+4.0%,51,-0.5%,43,+0.9%,69,-3.3
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,26,-10.3,-22,8,-12.4,28,-2.4%,46,-0.6%,1,-13.3%,13,-6.8,58,-2.1,33,+2.0%,58,+0.0%,69,-2.8%,86,-7.8
Mike Conley,37.1,MIN,Point,356,76,+10.9,+26,58,+2.8,68,+1.6%,79,-3.9%,37,-2.4%,42,-1.6,76,-8.1,70,-3.2%,49,-0.7%,40,+1.3%,87,-8.1
Stephen Curry,36.6,GSW,Point,318,77,+12.7,+30,92,+14.1,93,+6.2%,76,-3.8%,28,-3.3%,32,-3.0,46,+1.4,67,-2.5%,6,-5.7%,38,+1.4%,52,-0.9
Kris Dunn,30.6,LAC,Combo,151,37,-6.5,-16,41,-1.5,47,-0.1%,58,-1.5%,63,+1.5%,34,-2.8,35,+5.0,51,-0.3%,33,-1.8%,47,+0.7%,37,+1.4
Dorian Finney-Smith,31.5,LAL,Forward,169,90,+20.7,+29,82,+9.5,86,+5.1%,20,+2.1%,86,+5.2%,0,-20.8,84,-11.2,86,-6.2%,54,-0.1%,68,-2.8%,66,-3.0
Rudy Gobert,32.4,MIN,Big,411,65,+7.5,+19,30,-4.5,16,-4.6%,75,-3.8%,64,+1.5%,12,-7.0,87,-12.0,82,-5.1%,75,+1.6%,53,-0.0%,96,-11.9
Aaron Gordon,29.1,DEN,Big,521,99,+36.9,+46,98,+27.7,98,+11.4%,89,-4.6%,86,+5.0%,90,+7.4,80,-9.2,63,-1.4%,48,-0.7%,91,-7.2%,64,-2.9
Draymond Green,34.7,GSW,Big,418,53,+3.9,+9,23,-7.0,53,+0.5%,44,-0.5%,15,-5.8%,81,+5.2,83,-10.9,80,-4.6%,52,-0.4%,58,-0.4%,97,-14.5
Tim Hardaway Jr.,32.6,DET,Forward,188,81,+14.1,+33,96,+15.8,85,+5.0%,80,-4.0%,95,+8.7%,1,-18.5,43,+1.7,55,-0.6%,8,-5.4%,81,-4.2%,72,-4.1
James Harden,35.2,LAC,Point,275,8,-20.2,-41,32,-3.3,24,-3.1%,84,-4.3%,6,-9.8%,88,+7.1,4,+16.9,27,+3.0%,11,-4.1%,3,+8.4%,94,-11.4
Tobias Harris,32.3,DET,Forward,232,12,-17.5,-40,15,-9.6,1,-10.4%,64,-1.9%,53,+0.2%,25,-4.3,23,+7.9,9,+6.1%,3,-6.7%,99,-12.8%,26,+3.1
Buddy Hield,31.9,GSW,Wing,338,69,+8.2,+20,78,+8.6,74,+2.4%,40,-0.2%,59,+1.0%,79,+5.0,49,+0.4,24,+3.7%,66,+0.7%,79,-4.0%,75,-4.5
Jrue Holiday,34.4,BOS,Combo,263,29,-9.7,-19,12,-11.6,5,-7.1%,53,-1.1%,51,0.0%,16,-5.9,55,-1.9,43,+0.5%,81,+2.0%,27,+2.6%,61,-2.7
Al Horford,38.4,BOS,Big,347,15,-16.5,-28,11,-11.7,10,-5.5%,38,-0.1%,50,-0.1%,6,-9.8,36,+4.8,26,+3.2%,31,-2.0%,64,-1.7%,57,-1.8
LeBron James,39.8,LAL,Big,203,2,-27.8,-58,56,+1.1,11,-5.4%,41,-0.2%,98,+13.8%,96,+10.4,0,+28.9,0,+14.8%,91,+3.5%,8,+6.6%,63,-2.8
Nikola Jokic,29.7,DEN,Big,562,98,+30.1,+37,93,+15.0,60,+1.2%,92,-5.1%,16,-5.1%,78,+4.9,94,-15.1,94,-8.7%,27,-2.5%,97,-10.6%,78,-5.0
Derrick Jones Jr.,27.7,LAC,Big,128,59,+5.9,+15,24,-6.1,27,-2.7%,10,+3.6%,74,+2.4%,60,+1.0,86,-12.0,77,-4.3%,83,+2.2%,73,-3.5%,22,+3.6
Cory Joseph,33.2,ORL,Point,142,50,+2.0,+2,8,-12.9,23,-3.1%,51,-0.9%,0,-14.5%,23,-4.5,93,-14.9,69,-2.8%,68,+0.8%,78,-3.9%,98,-16.8
Kawhi Leonard,33.3,LAC,Forward,264,23,-11.6,-28,64,+4.0,83,+3.9%,98,-8.1%,40,-2.0%,36,-2.4,7,+15.6,31,+2.5%,14,-3.8%,1,+10.3%,67,-3.1
Kevon Looney,28.7,GSW,Big,128,28,-10.0,-22,43,-0.8,35,-1.5%,21,+2.1%,87,+5.5%,72,+2.6,18,+9.2,45,+0.4%,44,-1.1%,34,+1.7%,18,+4.2
TJ McConnell,32.6,IND,Point,385,31,-9.6,-23,18,-9.0,30,-2.2%,14,+2.9%,44,-1.3%,64,+1.5,48,+0.6,52,-0.5%,31,-2.0%,81,-4.8%,23,+3.3
Jamal Murray,27.7,DEN,Combo,578,100,+63.4,+47,100,+36.6,100,+17.2%,99,-8.7%,89,+5.9%,54,+0.6,100,-26.8,97,-10.3%,40,-1.4%,57,-0.2%,92,-10.1
Bobby Portis,29.7,MIL,Big,158,97,+29.2,+46,91,+13.6,41,-0.8%,91,-4.8%,93,+8.2%,24,-4.4,95,-15.7,100,-15.2%,14,-3.8%,19,+3.8%,81,-5.1
Kristaps Porzingis,29.3,BOS,Big,230,22,-11.7,-25,36,-2.3,36,-1.4%,7,+4.4%,79,+3.0%,89,+7.2,17,+9.4,28,+2.9%,36,-1.5%,30,+2.1%,76,-4.8
Norman Powell,31.4,LAC,Wing,237,5,-24.9,-50,14,-10.8,36,-1.3%,14,+3.0%,34,-2.8%,29,-3.6,9,+14.1,8,+6.1%,5,-5.8%,45,+0.9%,86,-7.8
Julius Randle,29.9,MIN,Big,527,57,+5.1,+13,60,+3.0,67,+1.6%,52,-0.9%,54,+0.4%,84,+5.6,58,-2.1,65,-2.3%,18,-3.4%,50,+0.5%,42,+1.1
Dennis Schroder,31.1,DET,Point,164,30,-9.6,-24,46,-0.6,84,+4.2%,39,-0.1%,7,-9.6%,99,+12.5,19,+9.0,18,+4.2%,97,+5.0%,0,+12.1%,65,-3.0
Pascal Siakam,30.6,IND,Big,768,84,+15.8,+36,38,-2.0,19,-3.8%,73,-3.3%,57,+0.7%,57,+0.7,97,-17.8,92,-7.8%,55,-0.0%,28,+2.5%,83,-6.2
