Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Precious Achiuwa,24.1,NYK,Big,1144,28,13.0%,30,113.4,15,6.1%,21,0.47,37,14.3%
Precious Achiuwa,24.1,TOR,Big,424,84,20.4%,12,105.6,79,14.2%,59,0.70,39,14.0%
Bam Adebayo,26.3,MIA,Big,2415,92,25.1%,32,114.7,90,19.3%,68,0.77,62,12.1%
Ochai Agbaji,23.5,TOR,Wing,610,39,14.8%,7,92.7,20,7.7%,17,0.52,16,13.7%
Ochai Agbaji,23.5,UTA,Wing,956,9,11.2%,29,107.4,8,6.4%,24,0.57,37,12.4%
Santi Aldama,22.8,MEM,Big,1614,67,17.3%,17,108.5,74,13.3%,67,0.77,79,10.6%
Nickeil Alexander-Walker,25.2,MIN,Wing,1887,42,15.0%,63,116.5,74,14.3%,83,0.95,45,11.8%
Grayson Allen,28.1,PHX,Wing,2505,35,14.2%,97,135.4,57,11.7%,71,0.82,50,11.4%
Jarrett Allen,25.5,CLE,Big,2441,68,17.7%,83,132.1,71,12.8%,63,0.73,57,12.3%
Timmy Allen,23.8,MEM,Combo,122,0,8.3%,0,59.1,0,3.7%,0,0.44,87,8.2%
Jose Alvarado,25.6,NOP,Point,920,14,17.5%,28,107.9,2,14.5%,12,0.83,77,9.1%
Kyle Anderson,30.1,MIN,Forward,1769,66,17.4%,14,102.2,98,26.4%,100,1.52,21,13.0%
Giannis Antetokounmpo,28.9,MIL,Forward,2565,100,33.0%,97,130.1,99,31.3%,91,0.95,29,12.5%
Cole Anthony,23.5,ORL,Point,1775,53,25.0%,35,109.7,19,20.1%,5,0.80,42,12.3%
OG Anunoby,26.3,TOR,Wing,900,56,16.9%,80,120.7,46,10.7%,43,0.64,38,12.2%
OG Anunoby,26.3,NYK,Forward,796,52,15.4%,67,118.5,13,5.7%,10,0.37,14,13.6%
Deni Avdija,22.8,WAS,Forward,2250,76,20.5%,72,120.4,89,17.3%,87,0.85,8,14.7%
Deandre Ayton,25.3,POR,Big,1783,76,18.7%,41,117.6,43,8.6%,20,0.46,50,12.9%
Ibou Badji,21.1,POR,Big,192,3,9.2%,61,123.1,37,7.9%,77,0.86,0,33.7%
Marvin Bagley,24.6,WAS,Big,572,73,18.3%,65,124.4,25,7.3%,10,0.40,64,11.9%
Marvin Bagley,24.6,DET,Big,465,79,19.4%,66,124.6,40,8.2%,14,0.42,42,13.8%
Patrick Baldwin Jr.,21.0,WAS,Big,405,39,14.4%,14,107.1,32,7.7%,30,0.53,54,12.6%
LaMelo Ball,22.2,CHA,Point,710,98,35.7%,37,112.8,91,39.6%,53,1.11,26,13.6%
Mohamed Bamba,25.5,PHI,Big,665,37,14.2%,28,112.6,38,8.0%,37,0.56,27,15.9%
Paolo Banchero,21.0,ORL,Big,2797,99,30.9%,17,108.9,96,25.4%,72,0.82,55,12.4%
Desmond Bane,25.4,MEM,Combo,1440,92,28.6%,77,119.2,86,27.2%,43,0.95,50,11.5%
Dalano Banton,24.0,POR,Wing,859,97,27.6%,15,102.3,92,21.3%,67,0.77,48,11.6%
Dominick Barlow,20.4,SAS,Big,373,35,14.1%,24,110.5,68,12.7%,84,0.90,97,7.3%
