Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Ray Allen,37.3,MIA,Wing,565,48,17.0%,93,123.5,45,7.9%,38,0.47,28,13.6%
Tony Allen,30.8,MEM,Wing,420,62,19.3%,34,100.7,62,10.9%,48,0.56,52,11.2%
Chris Andersen,34.3,MIA,Big,298,20,11.9%,100,162.7,11,1.8%,9,0.15,45,15.4%
Carmelo Anthony,28.4,NYK,Forward,480,100,36.8%,31,99.4,38,9.3%,0,0.25,85,8.5%
Darrell Arthur,24.6,MEM,Big,173,43,15.5%,25,101.8,43,6.3%,48,0.40,70,12.2%
Omer Asik,26.3,HOU,Big,207,36,14.3%,93,121.3,16,2.4%,11,0.17,27,18.0%
D.J. Augustin,25.0,IND,Point,308,6,13.0%,88,117.7,6,7.0%,6,0.54,50,11.7%
Harrison Barnes,20.4,GSW,Wing,459,55,17.4%,48,107.3,14,5.0%,7,0.29,90,8.5%
Matt Barnes,32.6,LAC,Wing,160,28,15.1%,97,136.5,3,3.1%,3,0.20,72,10.0%
Brandon Bass,27.5,BOS,Big,201,5,9.6%,66,111.8,41,6.1%,75,0.64,66,13.0%
Shane Battier,34.1,MIA,Forward,375,0,12.3%,23,98.0,8,4.6%,23,0.37,100,5.2%
Jerryd Bayless,24.2,MEM,Combo,313,69,23.0%,31,93.6,46,17.3%,15,0.75,69,10.1%
Marco Belinelli,26.6,CHI,Wing,314,66,19.9%,59,109.6,83,16.5%,76,0.83,41,11.5%
Patrick Beverley,24.3,HOU,Point,191,25,17.1%,25,103.0,13,14.7%,25,0.86,94,7.9%
Chauncey Billups,36.1,LAC,Wing,115,76,20.3%,10,94.9,48,8.6%,31,0.42,14,17.0%
Andray Blatche,26.2,BKN,Big,138,84,22.9%,64,110.8,84,13.0%,68,0.57,91,7.5%
Andrew Bogut,27.9,GSW,Big,326,27,13.4%,59,110.3,70,9.8%,86,0.73,18,22.9%
Matt Bonner,32.6,SAS,Big,249,11,10.3%,95,127.9,20,2.9%,30,0.28,98,3.7%
Carlos Boozer,30.9,CHI,Big,430,77,21.7%,43,104.2,59,8.0%,41,0.37,52,14.5%
Chris Bosh,28.6,MIA,Big,747,55,17.5%,45,104.5,55,7.5%,52,0.43,82,10.0%
Avery Bradley,21.9,BOS,Combo,189,8,14.8%,8,90.9,8,8.5%,8,0.57,8,20.4%
Corey Brewer,26.7,DEN,Wing,145,83,22.5%,7,86.7,28,7.3%,21,0.32,83,9.2%
Caron Butler,32.6,LAC,Wing,135,52,17.0%,55,108.5,0,0.0%,0,0.00,34,13.0%
