Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Malik Allen,25.3,MIA,Big,132,95,4.2%,35,0.8%,20,7.5%,80,10.4%,23,13.4%,98,16.7%,25,14.3%
Rafer Alston,27.3,MIA,Point,288,53,0.2%,6,0.8%,41,3.6%,12,1.0%,71,9.0%,0,0.0%,53,5.3%
Shandon Anderson,29.8,NYK,Wing,111,47,0.5%,39,1.2%,0,6.9%,81,4.1%,0,4.6%,0,0.0%,0,0.0%
Carmelo Anthony,19.4,DEN,Wing,144,0,0.0%,56,1.5%,75,2.5%,75,3.9%,100,20.8%,0,0.0%,0,0.0%
Darrell Armstrong,35.4,NOP,Point,149,0,0.0%,82,2.0%,65,3.0%,94,4.2%,18,5.7%,0,0.0%,76,9.1%
Chucky Atkins,29.2,BOS,Point,134,0,0.0%,18,1.0%,100,0.7%,53,2.6%,59,8.5%,0,0.0%,0,0.0%
Stacey Augmon,35.2,NOP,Wing,165,33,0.3%,69,1.7%,33,3.5%,44,2.6%,22,7.9%,0,0.0%,56,12.5%
Jonathan Bender,22.8,IND,Big,186,98,4.4%,5,0.3%,63,4.4%,15,5.5%,3,9.0%,85,5.9%,0,0.0%
Mike Bibby,25.5,SAC,Point,498,82,0.5%,88,2.1%,59,3.2%,35,1.9%,35,7.5%,0,0.0%,59,6.3%
Chauncey Billups,27.1,DET,Combo,882,22,0.1%,33,1.7%,89,2.9%,0,1.7%,11,6.6%,0,0.0%,56,4.9%
Mark Blount,27.9,BOS,Big,144,73,2.9%,90,2.0%,57,4.7%,63,9.0%,65,17.3%,0,0.0%,13,10.0%
Bruce Bowen,32.4,SAS,Wing,297,56,0.6%,6,0.7%,22,3.8%,28,2.0%,28,8.3%,89,3.8%,47,8.0%
Earl Boykins,27.4,DEN,Point,116,88,0.5%,76,1.9%,76,2.2%,100,4.7%,0,4.5%,0,0.0%,65,7.1%
Devin Brown,24.8,SAS,Combo,124,67,0.5%,0,1.1%,11,5.7%,56,3.1%,67,10.1%,0,0.0%,89,11.8%
P.J. Brown,34.0,NOP,Big,254,65,2.5%,18,0.5%,100,2.3%,83,11.0%,50,15.5%,0,0.0%,53,23.1%
Kobe Bryant,25.2,LAL,Wing,966,44,0.4%,86,2.1%,64,2.9%,33,2.2%,36,8.8%,0,0.0%,67,14.1%
Caron Butler,23.6,MIA,Wing,509,69,0.8%,94,2.7%,28,3.5%,78,4.0%,89,17.4%,0,0.0%,81,31.0%
Marcus Camby,29.6,DEN,Big,194,50,2.1%,45,0.9%,53,4.8%,40,6.8%,85,21.3%,0,0.0%,100,66.7%
Elden Campbell,35.3,DET,Big,125,100,4.4%,98,2.3%,8,9.5%,68,9.1%,20,12.7%,0,0.0%,33,16.7%
Sam Cassell,34.0,MIN,Point,496,71,0.3%,29,1.1%,29,4.4%,0,0.7%,41,7.7%,0,0.0%,35,3.7%
Kelvin Cato,29.2,HOU,Big,146,38,1.5%,80,1.7%,43,5.3%,78,10.4%,40,14.4%,0,0.0%,5,5.6%
Doug Christie,33.5,SAC,Wing,458,53,0.6%,89,2.1%,53,3.1%,67,3.6%,69,11.9%,86,3.7%,39,3.6%
Jason Collins,24.9,BKN,Big,263,60,2.3%,20,0.5%,18,7.9%,48,8.0%,5,9.6%,0,0.0%,25,14.3%
Austin Croshere,28.5,IND,Forward,204,22,1.0%,11,1.0%,100,3.6%,67,7.1%,78,15.6%,0,0.0%,0,0.0%
Marquis Daniels,22.8,DAL,Combo,179,89,0.9%,78,2.2%,100,2.7%,78,4.9%,100,11.6%,0,0.0%,78,8.3%
Baron Davis,24.6,NOP,Combo,261,100,1.1%,56,1.9%,67,3.2%,22,2.3%,44,9.2%,0,0.0%,0,0.0%
Ricky Davis,24.1,BOS,Wing,121,0,0.0%,11,0.8%,78,2.4%,58,3.0%,14,6.8%,0,0.0%,56,12.5%
Vlade Divac,35.7,SAC,Big,235,23,1.1%,33,0.8%,35,5.4%,65,9.1%,33,13.8%,0,0.0%,78,42.9%
Tim Duncan,27.5,SAS,Big,401,78,3.1%,48,0.9%,83,3.7%,70,9.2%,83,20.6%,73,3.0%,75,40.0%
Michael Finley,30.7,DAL,Wing,196,67,0.8%,14,0.8%,100,1.4%,39,2.6%,3,4.7%,0,0.0%,50,8.3%
Derek Fisher,29.2,LAL,Combo,495,0,0.0%,22,1.7%,22,4.2%,33,2.4%,56,10.0%,0,0.0%,33,3.2%
