Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Kyle Anderson,29.1,MIN,Forward,179,53,+2.9,+6,13,-10.8,19,-3.6%,31,+1.2%,8,-7.0%,3,-10.9,95,-13.7,68,-2.4%,99,+6.4%,37,+1.7%,44,+0.7
Harrison Barnes,30.4,SAC,Forward,196,0,-24.7,-53,1,-17.3,1,-10.4%,86,-3.8%,16,-5.4%,80,+5.6,16,+7.5,5,+6.2%,93,+4.5%,9,+6.6%,96,-11.2
Devin Booker,26.0,PHX,Wing,458,24,-8.1,-20,80,+8.6,97,+11.2%,20,+2.6%,23,-4.4%,9,-7.7,3,+16.7,48,+0.2%,8,-3.9%,22,+4.1%,45,+0.6
Malcolm Brogdon,29.9,BOS,Combo,466,54,+2.9,+7,61,+4.4,77,+3.3%,52,-0.5%,27,-3.2%,68,+3.1,40,+1.4,69,-2.4%,28,-2.0%,63,-1.0%,22,+4.1
Jaylen Brown,26.0,BOS,Wing,748,35,-2.9,-6,14,-10.7,9,-5.7%,26,+1.9%,38,-1.7%,49,+0.6,81,-7.9,78,-3.5%,53,+0.3%,29,+3.2%,76,-3.8
Jimmy Butler,33.1,MIA,Forward,955,26,-8.0,-19,37,-2.7,4,-7.9%,45,+0.3%,76,+3.1%,95,+10.3,28,+5.3,22,+3.6%,60,+0.9%,39,+1.4%,54,-0.5
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,17,-11.1,-18,28,-4.9,18,-4.0%,83,-3.5%,28,-2.6%,44,-0.4,24,+6.1,19,+3.9%,38,-0.6%,46,+0.8%,78,-4.3
Clint Capela,28.5,ATL,Big,179,28,-6.9,-17,21,-7.1,29,-2.1%,40,+0.5%,33,-2.3%,15,-6.6,52,-0.2,70,-2.5%,23,-2.5%,79,-3.9%,75,-3.6
Mike Conley,35.1,MIN,Point,255,93,+21.4,+39,75,+7.4,86,+6.6%,13,+3.6%,88,+4.9%,78,+5.5,96,-14.0,57,-1.4%,86,+3.5%,91,-6.2%,57,-0.9
Stephen Curry,34.6,GSW,Point,491,88,+18.5,+40,95,+19.1,94,+9.5%,23,+2.3%,86,+4.5%,73,+3.9,45,+0.6,29,+2.4%,81,+2.7%,33,+2.4%,12,+6.2
Anthony Davis,29.6,LAL,Big,650,87,+18.2,+41,89,+16.6,79,+3.6%,68,-1.9%,79,+3.2%,98,+11.4,57,-1.6,73,-2.9%,38,-0.7%,72,-2.2%,29,+2.6
