Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Alex Abrines,23.3,OKC,Wing,976,81,55.0%,16,43.0%,79,39.6%,88,87.2%,11,86%,61,50%,18,68%,26,98%
Quincy Acy,26.1,BKN,Big,492,51,53.1%,4,40.3%,93,42.5%,64,76.0%,10,87%,9,81%,85,50%,84,97%
Steven Adams,23.3,OKC,Big,2381,78,57.4%,78,57.5%,0,0.0%,17,61.3%,63,67%,42,68%,67,63%,0,0%
Arron Afflalo,31.0,SAC,Wing,1576,65,51.9%,35,45.9%,87,41.3%,97,89.0%,50,66%,51,54%,46,49%,33,97%
Alexis Ajinca,28.5,NOP,Big,566,20,49.1%,34,50.3%,0,0.0%,54,72.5%,14,83%,10,80%,17,87%,0,0%
Cole Aldrich,28.0,MIN,Big,497,47,52.6%,49,52.6%,0,0.0%,0,76.5%,54,71%,45,68%,29,80%,0,0%
LaMarcus Aldridge,31.3,SAS,Big,2325,17,48.8%,19,48.0%,87,41.1%,85,81.2%,85,59%,87,49%,68,63%,87,96%
Lavoy Allen,27.7,IND,Big,829,10,46.6%,14,46.9%,0,0.0%,38,69.7%,43,73%,81,51%,1,100%,0,0%
Tony Allen,34.8,MEM,Wing,1906,21,47.3%,48,47.9%,14,27.8%,1,61.5%,73,58%,49,54%,29,62%,0,100%
Al-Farouq Aminu,26.1,POR,Big,1756,12,47.2%,8,44.7%,39,33.5%,50,71.6%,64,67%,94,43%,80,55%,38,100%
Alan Anderson,34.0,LAC,Wing,258,7,43.8%,55,48.5%,9,25.8%,0,75.0%,48,67%,61,50%,11,75%,61,88%
Justin Anderson,23.0,DAL,Wing,627,8,44.8%,46,47.4%,14,27.8%,40,78.8%,61,62%,61,51%,89,21%,0,100%
Justin Anderson,23.0,PHI,Wing,462,79,54.8%,94,58.9%,29,32.8%,17,75.0%,32,75%,19,71%,41,50%,55,90%
Kyle Anderson,23.1,SAS,Wing,912,26,47.8%,36,45.9%,59,37.1%,36,78.4%,48,67%,37,63%,35,56%,0,100%
Ryan Anderson,28.5,HOU,Big,2112,71,55.2%,9,44.7%,85,40.4%,93,86.0%,37,76%,97,36%,93,40%,80,98%
Giannis Antetokounmpo,21.9,MIL,Forward,2820,76,54.6%,83,56.4%,14,28.2%,52,76.7%,95,44%,71,51%,92,15%,98,73%
Carmelo Anthony,32.4,NYK,Forward,2532,31,49.2%,32,46.5%,61,36.5%,82,83.5%,98,43%,86,41%,86,28%,97,76%
Trevor Ariza,31.3,HOU,Forward,2759,61,53.1%,81,56.0%,46,34.6%,27,73.8%,22,81%,44,63%,64,45%,53,96%
Darrell Arthur,28.6,DEN,Big,620,72,55.5%,5,41.1%,98,44.8%,0,89.5%,4,89%,35,71%,25,82%,77,98%
Omer Asik,30.3,NOP,Big,481,13,47.7%,17,47.7%,0,0.0%,12,59.0%,52,71%,33,71%,0,0%,0,0%
D.J. Augustin,29.0,ORL,Combo,1456,45,47.7%,26,40.6%,61,36.0%,60,81.1%,52,47%,50,35%,95,6%,71,73%
Luke Babbitt,27.4,MIA,Forward,1044,80,55.1%,3,36.2%,93,40.9%,0,73.3%,8,88%,98,0%,29,65%,49,96%
Ron Baker,23.6,NYK,Combo,778,29,44.3%,42,44.3%,21,29.4%,6,65.7%,44,49%,40,39%,56,23%,42,85%
Wade Baldwin,20.6,MEM,Combo,381,3,32.7%,6,36.0%,0,15.8%,70,82.9%,85,32%,31,47%,94,8%,98,33%
Leandro Barbosa,33.9,PHX,Wing,946,29,47.9%,32,45.7%,52,36.1%,100,90.2%,92,43%,90,36%,85,26%,65,86%
J.J. Barea,32.4,DAL,Combo,768,58,48.8%,47,45.6%,58,35.8%,85,86.3%,92,26%,63,30%,89,11%,97,40%
Harrison Barnes,24.4,DAL,Big,2797,26,49.9%,23,49.2%,52,35.1%,93,86.0%,96,50%,83,51%,95,40%,89,95%
Matt Barnes,36.6,GSW,Forward,376,73,54.2%,71,52.9%,63,36.7%,0,85.7%,0,94%,0,100%,7,80%,59,94%
Matt Barnes,36.6,SAC,Forward,1360,25,47.8%,24,45.0%,34,33.3%,36,75.8%,27,79%,24,70%,20,70%,80,90%
Will Barton,25.8,DEN,Wing,1671,55,51.2%,51,48.0%,68,38.0%,21,75.5%,89,46%,88,39%,86,26%,95,74%
Brandon Bass,31.5,LAC,Big,458,59,53.5%,61,53.9%,0,0.0%,92,84.7%,58,68%,35,71%,65,64%,0,0%
