Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,31.3,HOU,Big,784,63,-1.4,62,-1.3,44,+0.4%,85,+1.6%,94,-5.7,86,-2.8,86,-14.1
Kyle Anderson,31.1,GSW,Big,508,72,-2.3,67,-1.9,20,+2.5%,47,-0.1%,64,-1.1,58,-0.4,57,-2.4
Kyle Anderson,31.1,MIA,Big,444,85,-4.6,94,-7.3,51,-0.1%,80,+1.2%,36,+1.1,64,-0.9,16,+13.5
Giannis Antetokounmpo,29.9,MIL,Big,2287,75,-2.8,61,-1.2,76,-1.9%,83,+1.4%,81,-3.0,78,-2.0,60,-2.9
Harrison Barnes,32.4,SAS,Big,2224,74,-2.5,51,-0.2,63,-0.8%,47,-0.1%,78,-2.7,33,+1.0,93,-21.1
Nicolas Batum,35.9,LAC,Forward,1344,80,-3.7,89,-5.9,32,+1.4%,10,-1.9%,32,+1.6,43,+0.5,32,+5.6
Bradley Beal,31.3,PHX,Wing,1699,32,+1.9,23,+2.9,88,-3.2%,54,+0.1%,81,-3.0,89,-3.2,35,+4.1
Malik Beasley,27.9,DET,Wing,2272,73,-2.5,68,-2.0,17,+2.8%,25,-1.1%,40,+0.7,35,+0.8,52,-1.0
Bismack Biyombo,32.2,SAS,Big,511,65,-1.7,20,+3.5,90,-3.4%,36,-0.6%,74,-2.1,25,+1.5,93,-21.1
Devin Booker,28.0,PHX,Combo,2780,24,+3.3,23,+3.1,65,-0.9%,25,-1.0%,15,+3.4,36,+0.8,19,+11.8
Malcolm Brogdon,31.9,WAS,Combo,563,52,-0.1,33,+1.6,66,-1.0%,88,+1.8%,76,-2.4,74,-1.6,51,-0.8
Jaylen Brown,28.0,BOS,Wing,2154,25,+3.0,10,+4.9,74,-1.7%,72,+0.8%,69,-1.6,75,-1.6,45,+1.4
Alec Burks,33.3,MIA,Wing,859,80,-3.8,71,-2.3,42,+0.5%,13,-1.7%,74,-2.1,54,-0.2,81,-10.9
Jimmy Butler,35.1,MIA,Forward,765,20,+3.8,18,+3.8,67,-1.1%,32,-0.8%,17,+2.9,39,+0.7,22,+10.1
Jimmy Butler,35.1,GSW,Forward,979,88,-5.3,62,-1.3,64,-0.9%,69,+0.7%,61,-0.9,55,-0.2,62,-3.8
Kentavious Caldwell-Pope,31.7,ORL,Wing,2277,61,-1.2,60,-1.2,58,-0.6%,38,-0.6%,71,-1.8,40,+0.7,89,-16.2
Clint Capela,30.5,ATL,Big,1173,82,-4.0,87,-5.0,34,+1.3%,6,-2.4%,21,+2.5,17,+2.0,47,+0.7
Jordan Clarkson,32.4,UTA,Combo,961,58,-0.8,66,-1.8,35,+1.2%,3,-3.1%,10,+4.4,37,+0.8,11,+18.0
Mike Conley,37.1,MIN,Point,1755,78,-3.3,71,-2.3,92,-3.8%,55,+0.2%,70,-1.7,89,-3.2,23,+9.8
