Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Precious Achiuwa,25.1,NYK,Big,1141,25,51.9%,23,53.0%,24,28.6%,8,59.4%,61,72%,41,70%,61,71%,23,100%
Steven Adams,31.3,HOU,Big,784,39,54.9%,32,54.9%,0,0.0%,1,46.7%,98,44%,98,38%,69,67%,0,0%
Bam Adebayo,27.3,MIA,Big,2666,27,52.3%,17,51.6%,60,36.4%,64,76.6%,79,65%,60,63%,79,59%,92,89%
Ochai Agbaji,24.5,TOR,Wing,1711,86,59.1%,83,58.6%,77,39.8%,12,70.8%,20,86%,10,80%,23,75%,35,96%
Santi Aldama,23.8,MEM,Big,1634,56,57.7%,62,60.1%,64,37.0%,34,69.1%,42,77%,58,64%,69,67%,76,97%
Nickeil Alexander-Walker,26.2,MIN,Wing,2053,60,55.8%,60,52.9%,67,38.4%,40,77.8%,38,81%,76,53%,26,74%,21,99%
Grayson Allen,29.1,PHX,Wing,1532,90,60.1%,37,50.4%,89,42.7%,55,81.3%,11,88%,30,70%,34,70%,30,97%
Jarrett Allen,26.5,CLE,Big,2292,97,70.8%,96,71.4%,0,0.0%,43,71.7%,22,83%,16,78%,10,94%,0,0%
Jose Alvarado,26.6,NOP,Point,1332,33,49.6%,19,44.2%,51,35.5%,33,81.7%,29,56%,48,37%,19,40%,54,70%
Kyle Anderson,31.1,MIA,Big,444,23,51.6%,13,50.9%,67,37.5%,67,77.8%,96,49%,88,52%,95,35%,23,100%
Kyle Anderson,31.1,GSW,Big,508,18,50.7%,8,47.2%,79,39.1%,0,66.7%,77,66%,81,57%,82,55%,84,94%
Giannis Antetokounmpo,29.9,MIL,Big,2287,75,60.4%,70,62.0%,9,23.3%,13,61.8%,99,43%,93,48%,97,30%,99,50%
Cole Anthony,24.5,ORL,Point,1172,25,48.4%,37,47.5%,53,35.6%,55,83.2%,58,43%,81,28%,60,26%,46,77%
OG Anunoby,27.3,NYK,Forward,2701,69,56.2%,67,55.9%,66,37.5%,62,80.8%,37,79%,28,73%,36,66%,64,93%
Deni Avdija,23.8,POR,Forward,2166,62,55.4%,61,55.3%,63,36.8%,49,78.2%,88,57%,93,44%,67,48%,84,85%
Deandre Ayton,26.3,POR,Big,1205,52,57.3%,59,59.4%,6,18.8%,20,66.7%,53,75%,54,66%,35,83%,23,100%
Marcus Bagley,23.0,PHI,Forward,246,4,43.2%,91,60.0%,1,16.1%,0,87.5%,79,62%,64,60%,99,0%,88,80%
Marvin Bagley,25.6,WAS,Big,115,33,53.8%,36,55.6%,0,25.0%,0,68.8%,95,52%,100,36%,32,83%,23,100%
LaMelo Ball,23.2,CHA,Point,1501,35,49.7%,40,47.6%,39,34.5%,63,84.1%,67,41%,90,22%,65,25%,69,62%
Lonzo Ball,27.0,CHI,Wing,776,37,51.7%,9,45.8%,45,35.4%,59,81.5%,40,80%,70,55%,63,55%,75,88%
Mohamed Bamba,26.5,LAC,Big,316,39,54.9%,77,63.0%,32,31.1%,0,65.2%,35,79%,76,59%,1,100%,23,100%
Paolo Banchero,22.0,ORL,Big,1580,16,50.4%,13,50.9%,39,32.7%,49,72.6%,99,40%,96,45%,96,31%,100,49%
Desmond Bane,26.4,MEM,Wing,2191,68,56.5%,68,54.8%,72,39.2%,95,89.3%,93,50%,90,42%,77,43%,97,64%
Dalano Banton,25.0,POR,Wing,1037,5,45.8%,3,43.1%,24,32.7%,29,75.3%,85,58%,91,40%,89,35%,61,91%
Dominick Barlow,21.4,ATL,Big,336,67,59.3%,81,64.9%,22,28.0%,28,67.9%,43,77%,32,71%,41,80%,23,100%
Harrison Barnes,32.4,SAS,Big,2224,83,62.3%,56,58.9%,94,43.5%,78,80.9%,44,77%,55,66%,93,41%,70,98%
Scottie Barnes,23.3,TOR,Forward,2121,15,48.6%,30,50.9%,11,27.7%,38,75.3%,92,50%,69,57%,89,35%,94,74%
RJ Barrett,24.4,TOR,Forward,1855,38,52.4%,37,52.2%,46,35.2%,9,63.0%,89,57%,79,54%,97,27%,68,93%
Charles Bassey,24.0,SAS,Big,316,41,55.2%,33,55.2%,0,0.0%,20,66.7%,33,79%,26,75%,13,93%,0,0%
Jamison Battle,23.5,TOR,Forward,977,80,57.9%,25,50.0%,83,40.3%,0,88.2%,3,93%,6,90%,25,74%,40,97%
Nicolas Batum,35.9,LAC,Forward,1344,99,63.4%,12,47.1%,99,43.9%,0,81.0%,8,91%,94,42%,22,75%,30,99%
Damion Baugh,24.2,CHA,Combo,347,0,35.0%,7,38.2%,1,20.4%,0,92.3%,43,58%,84,29%,6,67%,0,100%
Bradley Beal,31.3,PHX,Wing,1699,74,57.6%,75,56.6%,73,39.2%,52,80.7%,79,62%,77,53%,68,51%,77,87%
Malik Beasley,27.9,DET,Wing,2272,80,58.0%,12,46.4%,86,41.8%,5,67.9%,24,84%,47,65%,48,62%,46,94%
