Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,26.3,OKC,Big,210,3,-7.8%,68,+2.3%,55,-0.2%,13,-3.3%,32,-3.5%,33,-1.0%,64,+2.1%,54,+1.2%
Giannis Antetokounmpo,24.9,MIL,Big,277,69,+2.2%,98,+11.4%,3,-9.7%,2,-7.4%,3,-17.1%,69,+1.2%,79,+4.6%,81,+5.7%
Carmelo Anthony,35.4,POR,Big,213,54,+0.2%,43,-1.3%,45,-1.2%,50,-0.2%,45,-1.4%,91,+3.2%,38,-0.6%,68,+2.7%
D.J. Augustin,32.0,ORL,Point,127,47,-0.5%,63,+1.5%,91,+5.0%,59,+0.4%,88,+5.4%,2,-4.9%,28,-2.1%,5,-6.9%
Patrick Beverley,31.3,LAC,Point,165,22,-3.7%,89,+6.2%,26,-2.6%,23,-2.1%,21,-4.8%,9,-2.8%,56,+1.3%,31,-1.5%
Eric Bledsoe,29.9,MIL,Point,267,11,-5.3%,84,+5.1%,80,+3.1%,25,-1.9%,64,+1.1%,13,-2.3%,13,-3.9%,8,-6.2%
Malcolm Brogdon,26.9,IND,Combo,159,94,+7.8%,99,+11.7%,0,-18.9%,65,+1.0%,1,-17.9%,29,-1.1%,92,+7.4%,84,+6.3%
Jaylen Brown,23.0,BOS,Wing,670,20,-3.8%,73,+3.2%,48,-0.8%,34,-1.4%,39,-2.2%,44,-0.5%,37,-0.6%,36,-1.0%
Trey Burke,27.0,DAL,Point,155,79,+3.8%,48,-0.7%,38,-1.7%,64,+0.9%,52,-0.8%,96,+3.6%,26,-2.2%,60,+1.5%
Jimmy Butler,30.1,MIA,Wing,806,64,+1.6%,19,-4.3%,87,+4.0%,66,+1.1%,87,+5.1%,30,-1.1%,47,+0.4%,39,-0.8%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,30,-2.8%,37,-1.8%,73,+2.2%,97,+4.8%,94,+6.9%,50,-0.1%,5,-5.1%,9,-5.2%
Jordan Clarkson,27.4,UTA,Wing,197,12,-5.1%,13,-4.9%,97,+6.6%,29,-1.6%,86,+5.0%,79,+2.0%,29,-2.1%,43,-0.1%
