Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Rafer Alston,30.3,HOU,Point,308,84,-4.7%,33,+1.5%,100,-13.2%,15,+6.0%,94,-7.2%,68,-1.3%,4,+6.9%,11,+5.7%
Carmelo Anthony,22.4,DEN,Wing,209,25,+3.7%,28,+2.4%,27,+2.8%,61,-1.0%,46,+1.9%,17,+2.5%,92,-6.8%,80,-4.3%
Leandro Barbosa,23.9,PHX,Combo,344,65,-2.0%,21,+3.9%,92,-4.5%,55,-0.4%,83,-4.9%,84,-2.8%,17,+3.8%,34,+1.0%
Andrea Bargnani,21.0,TOR,Big,174,11,+7.1%,14,+5.6%,77,-2.2%,84,-4.5%,91,-6.7%,7,+3.5%,68,-2.4%,32,+1.1%
Matt Barnes,26.6,GSW,Forward,328,51,+0.3%,52,-0.4%,84,-3.3%,91,-6.8%,97,-10.0%,34,+1.0%,1,+9.5%,1,+10.5%
Brent Barry,34.8,SAS,Wing,209,68,-2.2%,45,+0.4%,56,+0.1%,71,-2.4%,67,-2.3%,47,+0.3%,28,+1.7%,29,+2.0%
Shane Battier,28.1,HOU,Forward,271,34,+2.9%,0,+13.4%,97,-8.2%,20,+4.8%,72,-3.4%,46,+0.3%,98,-10.3%,97,-10.0%
Raja Bell,30.1,PHX,Wing,437,43,+1.0%,79,-4.1%,61,-0.1%,10,+6.9%,18,+6.8%,35,+0.9%,80,-3.7%,67,-2.7%
Andris Biedrins,20.6,GSW,Big,264,57,-0.3%,93,-7.5%,42,+1.7%,11,+6.3%,13,+8.0%,51,-0.1%,51,-0.4%,47,-0.5%
Chauncey Billups,30.1,DET,Point,647,93,-8.4%,64,-2.2%,22,+3.4%,12,+6.2%,7,+9.6%,73,-1.5%,89,-5.9%,94,-7.4%
Steve Blake,26.7,DEN,Point,179,82,-4.0%,46,+0.2%,11,+4.6%,42,+1.4%,21,+6.0%,89,-3.5%,74,-2.8%,91,-6.3%
Josh Boone,21.9,NJN,Big,103,20,+4.4%,11,+6.0%,31,+2.4%,89,-5.8%,71,-3.4%,65,-1.1%,62,-1.5%,65,-2.6%
Carlos Boozer,24.9,UTA,Big,651,33,+3.0%,27,+2.6%,32,+2.3%,67,-1.8%,52,+0.5%,74,-1.7%,61,-1.5%,70,-3.2%
Chris Bosh,22.6,TOR,Big,222,96,-9.6%,17,+4.4%,29,+2.4%,22,+4.6%,18,+7.0%,92,-3.9%,96,-7.5%,98,-11.4%
Bruce Bowen,35.4,SAS,Wing,684,53,+0.2%,35,+1.3%,74,-1.7%,73,-2.6%,82,-4.3%,20,+2.0%,33,+1.1%,22,+3.0%
Kwame Brown,24.6,LAL,Big,132,74,-3.0%,82,-4.9%,33,+2.2%,31,+2.9%,25,+5.1%,18,+2.5%,73,-2.8%,44,-0.3%
P.J. Brown,37.0,CHI,Big,225,70,-2.6%,40,+0.8%,36,+2.0%,49,+0.5%,40,+2.5%,45,+0.3%,79,-3.6%,73,-3.3%
Kobe Bryant,28.2,LAL,Wing,211,0,+19.2%,99,-10.9%,0,+12.4%,52,+0.2%,3,+12.6%,13,+2.9%,86,-4.7%,59,-1.8%
Jose Calderon,25.1,TOR,Point,138,72,-2.9%,30,+2.2%,57,+0.1%,92,-7.1%,92,-7.0%,1,+6.5%,64,-1.7%,14,+4.8%
Marcus Camby,32.6,DEN,Big,184,80,-3.7%,84,-5.0%,7,+6.6%,41,+1.5%,12,+8.1%,10,+3.3%,90,-6.5%,69,-3.1%
Vince Carter,29.8,NJN,Wing,484,79,-3.5%,83,-4.9%,59,-0.0%,33,+2.8%,39,+2.8%,93,-4.0%,5,+6.1%,28,+2.1%
Jarron Collins,27.9,UTA,Big,100,73,-3.0%,97,-9.8%,62,-0.2%,26,+3.5%,35,+3.3%,32,+1.0%,9,+5.5%,5,+6.5%
Jason Collins,27.9,NJN,Big,328,62,-1.5%,76,-3.5%,87,-3.8%,5,+8.9%,25,+5.2%,21,+2.0%,78,-3.6%,56,-1.6%
Antonio Daniels,31.6,WAS,Point,175,60,-0.5%,2,+11.6%,3,+8.9%,99,-13.9%,84,-5.0%,58,-0.6%,89,-6.0%,92,-6.6%
Baron Davis,27.6,GSW,Point,442,45,+0.9%,50,-0.4%,80,-2.9%,53,+0.2%,68,-2.6%,50,-0.0%,21,+3.1%,23,+3.0%
Carlos Delfino,24.2,DET,Wing,122,29,+3.6%,8,+7.3%,68,-0.8%,94,-7.5%,96,-8.3%,14,+2.8%,66,-1.8%,33,+1.0%
Luol Deng,21.5,CHI,Forward,409,75,-3.1%,1,+12.2%,96,-7.7%,98,-11.1%,100,-18.7%,39,+0.7%,7,+5.9%,4,+6.6%
Boris Diaw,24.5,PHX,Big,227,35,+2.7%,16,+5.1%,82,-2.9%,72,-2.6%,89,-5.6%,32,+1.0%,53,-0.6%,37,+0.5%
DeSagana Diop,24.8,DAL,Big,139,32,+3.1%,77,-3.7%,43,+1.5%,18,+5.6%,17,+7.1%,100,-7.5%,15,+4.1%,75,-3.4%
Chris Duhon,24.2,CHI,Point,156,11,+7.2%,56,-1.2%,51,+0.6%,21,+4.7%,23,+5.3%,54,-0.4%,82,-3.7%,78,-4.1%
Tim Duncan,30.5,SAS,Big,733,61,-0.9%,39,+1.0%,16,+4.3%,44,+1.0%,24,+5.3%,61,-0.9%,88,-5.4%,90,-6.2%
Monta Ellis,21.0,GSW,Combo,231,47,+0.5%,69,-2.7%,30,+2.4%,3,+10.2%,4,+12.6%,55,-0.5%,97,-9.4%,96,-9.9%
Francisco Elson,30.7,SAS,Big,213,48,+0.4%,75,-3.4%,50,+0.8%,36,+2.3%,38,+3.0%,41,+0.6%,47,-0.2%,38,+0.4%
Jordan Farmar,19.9,LAL,Point,114,6,+10.0%,96,-9.7%,32,+2.3%,18,+5.6%,15,+7.9%,43,+0.4%,31,+1.5%,30,+1.8%
Michael Finley,33.7,SAS,Forward,535,49,+0.4%,54,-0.7%,44,+1.4%,40,+1.7%,37,+3.1%,76,-1.9%,52,-0.5%,61,-2.3%
Derek Fisher,32.2,UTA,Combo,437,36,+2.4%,81,-4.2%,34,+2.2%,32,+2.8%,27,+5.1%,56,-0.5%,50,-0.3%,49,-0.9%
T.J. Ford,23.6,TOR,Point,136,32,+3.4%,67,-2.5%,75,-1.7%,7,+8.5%,19,+6.7%,97,-6.3%,25,+2.1%,79,-4.2%
Devean George,29.2,DAL,Forward,103,52,+0.3%,46,+0.3%,89,-4.1%,54,+0.2%,76,-3.9%,16,+2.6%,34,+1.0%,19,+3.6%
Daniel Gibson,20.7,CLE,Combo,398,61,-1.1%,61,-2.0%,20,+3.4%,80,-3.8%,55,-0.3%,4,+3.9%,63,-1.5%,25,+2.4%
Manu Ginobili,29.3,SAS,Wing,599,26,+3.7%,25,+3.5%,93,-5.0%,66,-1.5%,90,-6.4%,39,+0.7%,23,+2.3%,24,+3.0%
Gordan Giricek,29.4,UTA,Wing,298,87,-6.1%,34,+1.4%,70,-1.4%,50,+0.5%,60,-0.9%,64,-1.1%,38,+0.6%,46,-0.5%
Drew Gooden,25.1,CLE,Big,604,44,+0.9%,15,+5.5%,71,-1.4%,76,-3.1%,82,-4.5%,71,-1.3%,40,+0.3%,54,-1.1%
Ben Gordon,23.6,CHI,Wing,393,100,-17.7%,4,+9.0%,68,-0.8%,89,-6.3%,93,-7.0%,75,-1.7%,45,-0.2%,60,-1.9%
Richard Hamilton,28.7,DET,Wing,634,55,-0.1%,36,+1.2%,76,-2.0%,11,+6.9%,28,+5.0%,78,-2.0%,85,-4.2%,89,-6.2%
Matt Harpring,30.4,UTA,Wing,429,66,-2.1%,47,+0.1%,82,-3.0%,48,+0.6%,66,-2.3%,8,+3.4%,59,-1.2%,27,+2.2%
Al Harrington,26.7,GSW,Big,258,67,-2.2%,9,+7.2%,52,+0.4%,83,-4.4%,78,-4.0%,40,+0.7%,84,-3.9%,71,-3.2%
Devin Harris,23.7,DAL,Combo,160,91,-8.0%,68,-2.5%,40,+1.9%,17,+5.7%,16,+7.5%,98,-6.3%,32,+1.3%,83,-5.0%
Udonis Haslem,26.4,MIA,Big,102,12,+6.5%,48,+0.1%,65,-0.5%,29,+3.0%,41,+2.5%,37,+0.8%,76,-3.4%,64,-2.5%
Chuck Hayes,23.4,HOU,Big,196,31,+3.4%,43,+0.4%,81,-2.9%,37,+2.2%,59,-0.7%,60,-0.7%,32,+1.1%,39,+0.3%
