Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,27.3,NOP,Big,1604,92,+3.6%,5,-5.6%,85,+2.7%,93,+3.0%,94,+5.7%,33,-0.6%,57,+0.5%,50,-0.1%
LaMarcus Aldridge,35.3,SAS,Big,544,54,+0.1%,52,+0.2%,3,-5.3%,93,+3.2%,29,-2.0%,42,-0.4%,76,+2.2%,68,+1.8%
LaMarcus Aldridge,35.3,BKN,Big,130,83,+2.3%,12,-3.8%,92,+3.6%,98,+4.6%,99,+8.2%,21,-1.1%,15,-3.3%,12,-4.4%
Al-Farouq Aminu,30.1,ORL,Forward,366,62,+0.7%,78,+2.5%,18,-2.7%,25,-1.5%,12,-4.2%,68,+0.5%,64,+1.2%,67,+1.7%
Kyle Anderson,27.1,MEM,Forward,1884,50,-0.2%,84,+3.3%,26,-1.8%,53,+0.1%,34,-1.7%,56,+0.1%,28,-1.7%,32,-1.7%
Giannis Antetokounmpo,25.9,MIL,Big,2010,84,+2.4%,95,+5.9%,13,-3.2%,5,-3.0%,3,-6.2%,68,+0.5%,49,-0.1%,55,+0.4%
Thanasis Antetokounmpo,28.3,MIL,Forward,448,20,-2.7%,30,-1.7%,29,-1.5%,64,+0.6%,43,-1.0%,47,-0.2%,82,+2.8%,76,+2.7%
Carmelo Anthony,36.4,POR,Forward,1671,22,-2.5%,1,-8.1%,77,+1.8%,98,+4.6%,97,+6.4%,74,+0.7%,62,+1.0%,67,+1.7%
Trevor Ariza,35.3,MIA,Forward,836,72,+1.3%,62,+1.0%,55,+0.2%,61,+0.5%,59,+0.7%,74,+0.7%,21,-2.4%,31,-1.7%
D.J. Augustin,33.0,MIL,Point,697,24,-2.3%,19,-3.0%,56,+0.3%,97,+4.1%,88,+4.4%,58,+0.2%,30,-1.6%,34,-1.4%
D.J. Augustin,33.0,HOU,Combo,405,53,-0.0%,43,-0.5%,37,-1.0%,60,+0.4%,46,-0.6%,55,+0.1%,62,+1.0%,60,+1.0%
Harrison Barnes,28.4,SAC,Forward,2101,85,+2.5%,41,-0.6%,82,+2.3%,31,-1.1%,66,+1.3%,59,+0.2%,40,-0.9%,44,-0.7%
Will Barton,29.8,DEN,Wing,1723,83,+2.2%,60,+0.9%,95,+4.5%,57,+0.3%,91,+4.8%,13,-1.4%,8,-4.3%,6,-5.7%
Nicolas Batum,31.9,LAC,Wing,1839,63,+0.8%,50,+0.1%,15,-2.9%,8,-2.6%,5,-5.6%,93,+2.1%,85,+3.3%,93,+5.4%
Aron Baynes,33.9,TOR,Big,978,32,-1.7%,35,-1.2%,58,+0.5%,67,+0.8%,66,+1.3%,39,-0.5%,55,+0.4%,50,-0.1%
Kent Bazemore,31.3,GSW,Wing,1294,72,+1.3%,41,-0.6%,44,-0.5%,61,+0.4%,51,-0.1%,92,+2.1%,34,-1.3%,58,+0.7%
Bradley Beal,27.3,WAS,Wing,2143,96,+4.3%,95,+5.7%,28,-1.6%,28,-1.2%,23,-2.8%,66,+0.4%,15,-3.3%,22,-2.9%
Malik Beasley,23.9,MIN,Wing,1213,47,-0.4%,9,-4.2%,60,+0.6%,85,+2.0%,78,+2.6%,91,+1.9%,46,-0.3%,66,+1.6%
DeAndre' Bembry,26.3,TOR,Wing,947,35,-1.4%,88,+3.7%,86,+2.8%,31,-1.1%,71,+1.7%,3,-2.5%,18,-3.0%,6,-5.4%
Davis Bertans,28.0,WAS,Forward,1462,64,+0.9%,40,-0.7%,24,-2.0%,11,-2.3%,11,-4.3%,69,+0.5%,92,+4.5%,91,+5.0%
Patrick Beverley,32.3,LAC,Combo,823,58,+0.3%,3,-6.3%,89,+3.1%,38,-0.7%,76,+2.4%,68,+0.5%,87,+3.4%,86,+3.9%
Bismack Biyombo,28.2,CHA,Big,1342,8,-4.0%,24,-2.3%,94,+4.4%,69,+1.0%,92,+5.4%,29,-0.8%,23,-2.3%,20,-3.1%
Nemanja Bjelica,32.5,SAC,Big,435,23,-2.3%,85,+3.4%,40,-0.8%,32,-1.0%,33,-1.7%,19,-1.2%,43,-0.6%,31,-1.7%
Nemanja Bjelica,32.5,MIA,Big,152,96,+4.5%,86,+3.6%,8,-3.8%,9,-2.4%,4,-6.2%,32,-0.7%,86,+3.3%,76,+2.6%
Eric Bledsoe,30.9,NOP,Point,2108,84,+2.4%,7,-4.8%,88,+3.0%,70,+1.0%,87,+4.0%,50,-0.1%,60,+0.8%,58,+0.8%
Bojan Bogdanovic,31.5,UTA,Forward,2207,48,-0.3%,88,+3.8%,38,-0.8%,90,+2.5%,70,+1.7%,27,-0.8%,6,-4.7%,6,-5.5%
Devin Booker,24.0,PHX,Wing,2269,86,+2.6%,75,+2.2%,82,+2.4%,86,+2.1%,88,+4.5%,42,-0.4%,2,-6.3%,3,-6.7%
Avery Bradley,29.9,MIA,Combo,203,95,+4.2%,1,-7.9%,39,-0.8%,46,-0.3%,42,-1.1%,100,+6.2%,81,+2.7%,99,+9.0%
Avery Bradley,29.9,HOU,Wing,383,39,-1.1%,79,+2.7%,52,+0.1%,71,+1.0%,64,+1.1%,27,-0.8%,17,-3.0%,15,-3.8%
Malcolm Brogdon,27.9,IND,Combo,1929,21,-2.6%,44,-0.4%,1,-5.6%,63,+0.5%,7,-5.1%,81,+1.1%,92,+4.3%,93,+5.5%
Jaylen Brown,24.0,BOS,Wing,1995,75,+1.5%,65,+1.2%,92,+3.5%,54,+0.1%,85,+3.6%,24,-1.0%,11,-3.9%,9,-4.9%
Reggie Bullock,29.6,NYK,Wing,1960,77,+1.8%,50,+0.1%,49,-0.2%,76,+1.4%,64,+1.2%,66,+0.4%,28,-1.7%,36,-1.3%
Trey Burke,28.0,DAL,Point,854,44,-0.8%,56,+0.6%,42,-0.6%,78,+1.5%,61,+0.9%,46,-0.3%,36,-1.2%,33,-1.5%
Alec Burks,29.3,NYK,Wing,1262,37,-1.2%,25,-2.2%,53,+0.1%,55,+0.2%,56,+0.3%,29,-0.8%,81,+2.7%,70,+1.9%
Jimmy Butler,31.1,MIA,Wing,1732,38,-1.2%,85,+3.5%,83,+2.5%,75,+1.3%,86,+3.9%,9,-1.6%,3,-5.8%,1,-7.4%
Kentavious Caldwell-Pope,27.7,LAL,Wing,1894,84,+2.4%,19,-2.9%,46,-0.3%,78,+1.6%,65,+1.2%,76,+0.8%,61,+0.9%,66,+1.6%
Clint Capela,26.5,ATL,Big,1907,59,+0.5%,87,+3.7%,95,+4.5%,6,-3.0%,69,+1.5%,49,-0.1%,5,-5.1%,7,-5.2%
Michael Carter-Williams,29.1,ORL,Combo,797,50,-0.1%,33,-1.4%,73,+1.5%,50,-0.0%,68,+1.5%,59,+0.2%,45,-0.4%,49,-0.2%
Willie Cauley-Stein,27.2,DAL,Big,884,67,+1.0%,55,+0.4%,85,+2.7%,36,-0.8%,71,+1.9%,48,-0.2%,24,-2.1%,26,-2.3%
Jordan Clarkson,28.4,UTA,Combo,1797,37,-1.3%,18,-3.1%,96,+5.0%,4,-3.2%,71,+1.8%,53,+0.0%,66,+1.3%,63,+1.3%
Mike Conley,33.1,UTA,Point,1495,66,+1.0%,67,+1.3%,13,-3.2%,46,-0.2%,17,-3.4%,56,+0.1%,74,+2.0%,71,+2.1%
Pat Connaughton,27.8,MIL,Wing,1568,39,-1.2%,34,-1.4%,52,+0.1%,75,+1.3%,67,+1.4%,56,+0.1%,49,-0.1%,50,-0.1%
DeMarcus Cousins,30.2,HOU,Big,486,29,-1.9%,40,-0.6%,8,-3.8%,71,+1.1%,23,-2.8%,53,+0.0%,87,+3.4%,83,+3.4%
DeMarcus Cousins,30.2,LAC,Big,203,9,-3.9%,67,+1.3%,36,-1.0%,2,-3.4%,10,-4.4%,38,-0.5%,88,+3.6%,80,+3.1%
Robert Covington,29.9,POR,Big,2231,95,+4.2%,92,+4.8%,21,-2.4%,1,-4.8%,1,-7.2%,48,-0.2%,80,+2.6%,73,+2.4%
Jae Crowder,30.3,PHX,Forward,1640,42,-0.9%,30,-1.7%,43,-0.6%,71,+1.0%,58,+0.5%,52,-0.0%,67,+1.3%,63,+1.3%
Seth Curry,30.2,PHI,Wing,1637,93,+3.8%,37,-0.9%,66,+1.1%,73,+1.2%,76,+2.3%,50,-0.1%,33,-1.3%,35,-1.4%
Stephen Curry,32.6,GSW,Point,2151,99,+7.0%,94,+5.6%,1,-6.5%,1,-4.0%,0,-10.5%,99,+3.7%,64,+1.2%,91,+4.9%
Anthony Davis,27.6,LAL,Big,1161,68,+1.1%,16,-3.3%,88,+3.1%,98,+4.3%,98,+7.4%,9,-1.6%,21,-2.5%,13,-4.1%
Ed Davis,31.4,MIN,Big,277,3,-5.9%,9,-4.3%,40,-0.7%,99,+5.4%,89,+4.6%,15,-1.3%,61,+0.9%,47,-0.4%
DeMar DeRozan,31.2,SAS,Forward,2055,70,+1.2%,56,+0.5%,92,+3.9%,77,+1.4%,92,+5.4%,75,+0.7%,2,-6.6%,5,-5.8%
Dewayne Dedmon,31.2,MIA,Big,207,67,+1.1%,29,-1.9%,52,+0.1%,83,+1.9%,72,+1.9%,65,+0.4%,44,-0.5%,50,-0.1%
