Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
LaMarcus Aldridge,25.3,POR,Big,258,0,+31.6%,96,-7.5%,25,+2.2%,21,+4.0%,17,+6.2%,86,-2.6%,12,+3.9%,32,+1.3%
Ray Allen,35.3,BOS,Wing,360,97,-7.6%,88,-4.5%,90,-4.4%,2,+8.5%,24,+4.1%,74,-1.7%,23,+2.1%,36,+0.4%
Tony Allen,28.8,MEM,Combo,348,36,+1.4%,62,-0.5%,37,+1.4%,30,+2.8%,23,+4.2%,28,+1.2%,85,-4.9%,76,-3.7%
Ryan Anderson,22.5,ORL,Big,145,10,+6.8%,32,+2.1%,98,-6.6%,45,+0.7%,88,-5.9%,20,+1.9%,26,+1.9%,18,+3.8%
Carmelo Anthony,26.4,NYK,Wing,155,32,+2.3%,68,-1.5%,16,+3.2%,29,+3.0%,15,+6.2%,47,-0.1%,83,-4.6%,82,-4.7%
Joel Anthony,28.2,MIA,Big,572,88,-5.4%,52,+0.2%,38,+1.2%,40,+1.2%,32,+2.5%,56,-0.7%,69,-2.0%,66,-2.7%
Trevor Ariza,25.3,NOH,Wing,240,13,+5.2%,38,+1.5%,22,+2.4%,70,-2.9%,51,-0.5%,49,-0.2%,59,-0.9%,53,-1.1%
Darrell Arthur,22.6,MEM,Big,197,39,+0.8%,14,+5.4%,72,-1.7%,92,-8.3%,94,-10.0%,22,+1.5%,17,+3.0%,13,+4.5%
Omer Asik,24.3,CHI,Big,136,83,-4.3%,87,-4.3%,33,+1.7%,61,-1.1%,46,+0.6%,53,-0.3%,11,+4.0%,20,+3.7%
J.J. Barea,26.3,DAL,Combo,384,20,+3.9%,15,+5.2%,60,-0.3%,83,-4.1%,84,-4.4%,36,+0.6%,62,-1.3%,51,-0.8%
