Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Arron Afflalo,24.0,DEN,Wing,118,74,0.9%,0,0.4%,0,8.0%,23,1.1%,63,11.5%,0,0.0%,63,14.3%
LaMarcus Aldridge,24.3,POR,Big,225,65,2.3%,70,1.5%,100,2.6%,14,4.6%,7,11.1%,72,5.0%,88,41.7%
Ray Allen,34.3,BOS,Wing,922,17,0.2%,31,1.1%,54,3.6%,29,1.4%,26,8.2%,77,1.7%,20,4.4%
Tony Allen,27.8,BOS,Wing,379,94,2.0%,97,3.2%,3,6.8%,83,4.0%,20,7.3%,0,0.0%,49,10.3%
Lou Amundson,26.9,PHX,Big,172,51,1.9%,81,1.6%,7,6.4%,100,16.0%,21,13.4%,81,9.5%,58,30.0%
Chris Andersen,31.3,DEN,Big,115,79,2.8%,23,0.4%,44,5.1%,30,7.4%,35,14.9%,0,0.0%,93,42.9%
Carmelo Anthony,25.4,DEN,Wing,252,54,0.7%,83,2.1%,74,3.0%,97,5.6%,100,17.4%,94,5.0%,46,8.3%
Carlos Arroyo,30.3,MIA,Point,110,0,0.0%,47,1.3%,27,3.9%,47,1.9%,47,8.8%,0,0.0%,0,0.0%
Leandro Barbosa,26.9,PHX,Wing,227,49,0.5%,17,0.8%,11,5.8%,17,1.0%,31,8.5%,0,0.0%,0,0.0%
Matt Barnes,29.6,ORL,Wing,325,51,0.5%,54,1.5%,37,4.1%,100,6.6%,89,15.1%,0,0.0%,100,53.3%
Nicolas Batum,20.9,POR,Wing,138,0,0.0%,9,0.7%,34,4.2%,74,3.3%,54,11.2%,0,0.0%,51,11.1%
Jerryd Bayless,21.2,POR,Combo,156,0,0.0%,0,0.6%,17,5.6%,58,2.8%,50,7.7%,0,0.0%,92,11.1%
Michael Beasley,20.8,MIA,Forward,131,0,0.0%,70,1.4%,40,3.2%,90,7.7%,80,17.3%,0,0.0%,20,14.3%
Mike Bibby,31.5,ATL,Point,291,0,0.0%,60,1.5%,13,4.4%,53,2.0%,60,9.0%,0,0.0%,0,0.0%
Chauncey Billups,33.1,DEN,Combo,206,83,0.8%,33,1.3%,42,4.2%,17,0.5%,25,7.4%,0,0.0%,58,5.0%
Matt Bonner,29.6,SAS,Big,169,16,0.9%,2,0.3%,26,5.7%,9,3.8%,21,13.4%,86,10.0%,51,28.6%
Carlos Boozer,27.9,UTA,Big,400,14,0.9%,30,0.4%,74,4.2%,51,9.5%,95,26.9%,63,3.1%,58,30.0%
Shannon Brown,23.9,LAL,Combo,296,100,1.1%,58,1.6%,33,5.2%,50,2.3%,42,7.4%,100,3.8%,50,4.8%
Kobe Bryant,31.2,LAL,Wing,921,80,1.0%,49,1.4%,66,3.2%,69,3.1%,77,13.0%,0,0.0%,31,6.4%
Caron Butler,29.6,DAL,Wing,195,83,1.1%,77,1.9%,69,3.1%,34,1.6%,94,16.8%,0,0.0%,0,0.0%
Andrew Bynum,22.0,LAL,Big,546,91,3.5%,33,0.5%,51,4.9%,88,11.9%,53,17.7%,65,3.4%,26,18.5%
Marcus Camby,35.6,POR,Big,177,63,2.2%,58,1.1%,53,4.9%,60,9.9%,98,27.2%,0,0.0%,58,30.0%
Vince Carter,32.8,ORL,Wing,477,26,0.4%,40,1.2%,17,5.1%,46,2.2%,69,11.7%,80,2.3%,43,8.0%
Mario Chalmers,23.5,MIA,Combo,130,0,0.0%,25,1.1%,25,5.4%,25,0.9%,17,7.3%,0,0.0%,0,0.0%
Jarron Collins,30.9,PHX,Big,112,9,0.5%,26,0.4%,5,8.4%,44,9.1%,2,8.8%,0,0.0%,0,0.0%
Nick Collison,29.0,OKC,Big,121,7,0.5%,72,1.5%,19,6.1%,79,10.6%,9,12.2%,0,0.0%,51,28.6%
Jamal Crawford,29.6,ATL,Combo,323,33,0.2%,17,1.0%,75,2.8%,0,0.3%,83,8.9%,0,0.0%,42,3.7%
Erick Dampier,34.3,DAL,Big,118,70,2.4%,19,0.4%,14,6.3%,95,15.3%,12,12.4%,0,0.0%,49,27.3%
Glen Davis,23.8,BOS,Big,467,28,1.2%,93,2.0%,56,4.7%,53,9.6%,14,13.1%,79,7.7%,98,51.5%
Carlos Delfino,27.2,MIL,Wing,224,46,0.5%,26,1.1%,83,2.8%,17,1.0%,51,10.9%,100,11.1%,97,50.0%
Luol Deng,24.5,CHI,Forward,201,50,1.1%,60,1.3%,60,3.1%,40,4.0%,10,9.8%,0,0.0%,10,6.7%
Boris Diaw,27.5,CHA,Big,151,33,1.2%,7,0.3%,95,2.9%,12,3.9%,0,7.7%,95,16.7%,37,23.1%
Goran Dragic,23.5,PHX,Combo,214,42,0.3%,8,0.9%,58,3.4%,100,4.8%,67,8.3%,0,0.0%,83,9.1%
Jared Dudley,24.3,PHX,Wing,364,71,0.9%,89,2.2%,26,4.5%,86,4.2%,57,11.2%,91,4.2%,71,16.7%
Tim Duncan,33.5,SAS,Big,371,74,2.6%,51,1.0%,88,3.3%,56,9.7%,67,18.8%,0,0.0%,35,22.7%
Kevin Durant,21.1,OKC,Wing,230,91,1.9%,6,0.6%,89,2.5%,77,3.4%,97,17.2%,0,0.0%,37,7.1%
Maurice Evans,31.0,ATL,Wing,126,0,0.0%,94,2.5%,9,6.1%,66,3.0%,29,8.4%,0,0.0%,0,0.0%
Jordan Farmar,22.9,LAL,Point,270,0,0.0%,93,2.6%,33,3.8%,0,0.4%,80,10.0%,0,0.0%,0,0.0%
Raymond Felton,25.3,CHA,Point,129,0,0.0%,13,0.8%,53,3.0%,73,2.8%,20,6.9%,0,0.0%,0,0.0%
Rudy Fernandez,24.6,POR,Wing,108,0,0.0%,3,0.5%,86,2.7%,43,2.1%,14,6.9%,0,0.0%,0,0.0%
Kyrylo Fesenko,22.9,UTA,Big,177,40,1.5%,0,0.0%,12,6.3%,21,5.2%,58,18.2%,0,0.0%,58,30.0%
Derek Fisher,35.2,LAL,Point,749,53,0.1%,73,1.7%,0,4.7%,27,1.3%,13,6.9%,0,0.0%,47,2.6%
Channing Frye,26.5,PHX,Big,426,23,1.1%,65,1.3%,33,5.4%,2,2.7%,44,16.9%,0,0.0%,86,40.6%
Kevin Garnett,33.5,BOS,Big,763,37,1.5%,84,1.6%,79,4.0%,16,4.8%,60,18.4%,0,0.0%,72,32.1%
Pau Gasol,29.3,LAL,Big,910,84,2.9%,28,0.4%,93,2.9%,74,10.4%,42,16.8%,84,9.7%,84,40.4%
Taj Gibson,24.4,CHI,Big,143,30,1.2%,5,0.3%,47,5.1%,23,6.3%,49,17.5%,0,0.0%,74,33.3%
Manu Ginobili,32.3,SAS,Wing,351,20,0.3%,100,3.4%,63,3.3%,26,1.3%,49,10.0%,0,0.0%,14,4.3%
Marcin Gortat,25.7,ORL,Big,190,35,1.3%,40,0.8%,9,6.3%,93,14.4%,65,18.6%,0,0.0%,14,13.3%
