Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Precious Achiuwa,22.1,TOR,Big,166,35,52.9%,35,55.6%,50,31.3%,0,60.0%,57,72%,65,65%,0,0%,35,100%
Steven Adams,28.3,MEM,Big,109,5,45.0%,5,45.0%,0,0.0%,0,55.6%,78,67%,86,50%,51,80%,0,0%
Bam Adebayo,24.3,MIA,Big,612,54,59.8%,54,59.8%,0,0.0%,62,76.3%,92,56%,62,65%,95,39%,0,0%
Grayson Allen,26.1,MIL,Wing,305,69,56.7%,58,52.9%,68,39.6%,0,63.6%,65,73%,65,43%,62,50%,0,100%
Jose Alvarado,23.6,NOP,Point,150,69,53.3%,46,44.0%,100,42.9%,0,76.5%,8,70%,8,67%,46,20%,0,100%
Kyle Anderson,28.1,MEM,Forward,211,72,58.5%,96,65.7%,0,25.0%,0,61.1%,88,46%,60,60%,88,23%,4,100%
Giannis Antetokounmpo,26.9,MIL,Big,447,24,51.2%,27,53.7%,21,23.7%,31,67.9%,100,33%,97,34%,100,29%,100,33%
OG Anunoby,24.3,TOR,Wing,216,73,56.8%,73,61.0%,36,35.0%,0,75.0%,81,59%,69,41%,81,38%,62,93%
Deandre Ayton,23.3,PHX,Big,390,81,64.6%,70,64.4%,0,50.0%,8,63.6%,41,78%,30,77%,59,78%,35,100%
Desmond Bane,23.4,MEM,Wing,426,92,60.4%,27,46.5%,100,47.7%,50,85.7%,46,83%,35,79%,46,68%,69,90%
Scottie Barnes,20.3,TOR,Forward,132,16,46.3%,48,53.3%,0,18.2%,0,81.3%,76,50%,40,67%,100,14%,4,100%
Will Barton,30.8,DEN,Wing,172,23,51.6%,15,43.2%,84,42.3%,0,66.7%,62,74%,85,33%,54,62%,0,100%
Malik Beasley,24.9,MIN,Wing,144,62,55.0%,77,61.1%,28,34.4%,0,66.7%,54,82%,50,60%,8,100%,0,100%
Davis Bertans,29.0,DAL,Forward,179,88,61.8%,100,75.0%,59,40.4%,0,83.3%,0,100%,4,100%,0,100%,4,100%
Patrick Beverley,33.3,MIN,Combo,226,48,49.1%,52,50.0%,38,32.3%,0,65.4%,29,65%,62,42%,5,100%,29,90%
Nemanja Bjelica,33.5,GSW,Big,125,46,56.3%,57,60.0%,0,28.6%,0,57.1%,8,88%,11,83%,38,89%,35,100%
Bogdan Bogdanovic,29.2,ATL,Wing,160,77,56.9%,65,53.3%,48,38.9%,0,88.2%,92,43%,96,14%,100,11%,81,79%
Bojan Bogdanovic,32.5,UTA,Forward,214,44,54.9%,76,58.3%,18,33.3%,0,79.2%,44,74%,12,88%,56,55%,4,100%
Devin Booker,25.0,PHX,Wing,365,38,53.1%,23,46.4%,92,43.1%,83,88.7%,100,43%,92,29%,88,29%,92,68%
Chris Boucher,28.8,TOR,Big,129,92,69.0%,95,74.1%,0,40.0%,0,90.0%,68,69%,81,58%,11,100%,35,100%
Mikal Bridges,25.2,PHX,Wing,491,35,52.5%,42,50.5%,64,39.4%,100,93.3%,31,86%,23,82%,38,84%,0,100%
Dillon Brooks,25.8,MEM,Wing,335,0,41.5%,0,35.0%,32,34.7%,0,64.0%,69,68%,54,56%,58,59%,77,84%
Bruce Brown,25.2,BKN,Forward,179,80,60.0%,76,58.3%,77,42.1%,0,80.0%,28,86%,24,75%,0,100%,4,100%
Jaylen Brown,25.0,BOS,Wing,919,50,54.2%,62,53.1%,40,37.3%,0,76.7%,85,54%,62,51%,77,38%,85,77%
Jalen Brunson,25.2,DAL,Combo,627,57,51.0%,62,50.4%,57,35.1%,40,80.0%,95,29%,81,27%,90,15%,52,77%
Reggie Bullock,30.6,DAL,Forward,707,68,57.6%,16,45.0%,50,39.7%,0,88.9%,8,93%,28,71%,0,100%,64,96%
Jimmy Butler,32.1,MIA,Forward,628,40,54.1%,64,55.0%,27,33.8%,70,85.4%,92,40%,92,46%,84,27%,96,52%
Jevon Carter,26.1,MIL,Combo,119,62,52.8%,33,45.5%,0,42.9%,0,100.0%,14,75%,100,0%,24,75%,0,100%
Alex Caruso,27.7,CHI,Combo,113,67,54.3%,10,40.0%,76,38.9%,0,0.0%,10,78%,0,100%,0,0%,67,71%
Brandon Clarke,25.1,MEM,Big,296,62,61.5%,62,62.2%,0,0.0%,23,66.7%,59,71%,73,62%,35,94%,0,0%
Jordan Clarkson,29.4,UTA,Combo,170,90,61.8%,90,63.3%,81,39.1%,0,88.9%,86,30%,57,43%,95,4%,33,89%
Nicolas Claxton,22.5,BKN,Big,126,100,83.3%,100,83.3%,0,0.0%,0,17.9%,49,76%,38,73%,11,100%,0,0%
John Collins,24.1,ATL,Big,121,38,53.8%,22,53.6%,0,36.4%,0,50.0%,35,79%,41,70%,51,80%,35,100%
Mike Conley,34.1,UTA,Point,174,0,37.7%,31,43.8%,0,20.0%,0,80.0%,62,32%,46,33%,15,45%,100,0%
Pat Connaughton,28.8,MIL,Wing,317,96,61.5%,85,69.6%,52,39.1%,0,100.0%,12,93%,35,79%,8,100%,0,100%
Jae Crowder,31.3,PHX,Forward,377,24,49.0%,60,54.8%,5,30.2%,20,73.1%,36,79%,80,50%,28,87%,84,84%
Seth Curry,31.2,BKN,Wing,165,100,66.7%,81,62.5%,96,46.2%,0,66.7%,31,86%,0,100%,50,67%,0,100%
Stephen Curry,33.6,GSW,Point,762,85,57.0%,69,52.6%,79,40.1%,50,82.9%,31,41%,54,18%,23,33%,38,54%
DeMar DeRozan,32.2,CHI,Forward,203,0,41.1%,20,45.3%,0,0.0%,90,86.7%,100,28%,100,25%,80,29%,0,0%
