Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Glen Davis,24.8,BOS,Big,187,11,+6.0%,27,+5.3%,29,+5.0%,42,+1.9%,28,+3.1%,19,+14.7%,44,+0.7%,28,+5.3%
Luol Deng,25.5,CHI,Wing,684,86,-5.1%,10,+11.0%,71,-5.7%,75,-4.2%,82,-4.8%,99,-78.0%,92,-10.8%,99,-18.5%
Toney Douglas,24.6,NYK,Combo,108,15,+4.1%,30,+4.6%,21,+8.4%,64,-2.2%,31,+1.9%,24,+12.5%,16,+8.4%,15,+9.0%
Tim Duncan,34.5,SAS,Big,211,55,-0.8%,64,-3.8%,74,-6.1%,19,+6.6%,55,-0.5%,14,+19.4%,85,-9.4%,32,+4.4%
Kevin Durant,22.1,OKC,Forward,721,69,-2.7%,63,-3.4%,64,-3.7%,4,+11.6%,26,+3.2%,98,-38.7%,70,-4.7%,95,-14.2%
Raymond Felton,26.3,DEN,Combo,151,5,+8.1%,96,-15.1%,4,+14.3%,58,-1.3%,17,+4.6%,10,+25.6%,5,+15.0%,4,+18.1%
Derek Fisher,36.2,LAL,Point,324,55,-0.7%,59,-2.3%,89,-12.5%,55,-0.9%,86,-5.5%,32,+9.0%,24,+6.5%,22,+6.9%
Danilo Gallinari,22.2,DEN,Forward,147,80,-4.0%,7,+12.1%,91,-12.9%,39,+2.6%,69,-3.1%,82,-13.5%,77,-6.7%,87,-8.4%
Kevin Garnett,34.5,BOS,Big,327,31,+2.9%,15,+8.8%,93,-13.3%,60,-1.8%,90,-6.0%,79,-12.1%,3,+18.8%,17,+8.3%
Marc Gasol,25.8,MEM,Big,515,73,-3.3%,25,+5.8%,72,-5.8%,83,-5.9%,84,-5.5%,73,-7.7%,65,-3.7%,74,-4.8%
Pau Gasol,30.3,LAL,Big,354,31,+2.5%,17,+8.3%,79,-8.7%,28,+4.6%,63,-1.7%,31,+9.1%,46,-0.3%,41,+2.6%
Paul George,20.5,IND,Forward,129,62,-1.8%,98,-19.1%,21,+7.4%,9,+8.9%,7,+7.9%,55,+0.9%,55,-1.8%,48,0.0%
Taj Gibson,25.4,CHI,Big,272,89,-5.7%,93,-13.2%,90,-12.7%,64,-2.2%,89,-5.9%,50,+1.7%,23,+6.8%,23,+6.7%
Manu Ginobili,33.3,SAS,Wing,173,96,-7.3%,43,+1.8%,94,-14.8%,61,-1.8%,99,-9.4%,96,-33.3%,28,+5.6%,94,-13.9%
Danny Granger,27.5,IND,Wing,183,25,+3.5%,100,-34.2%,45,+1.2%,1,+18.4%,1,+11.7%,100,0.0%,45,0.0%,40,+2.6%
Jeff Green,24.2,BOS,Forward,168,57,-1.0%,71,-5.4%,27,+5.3%,17,+6.8%,12,+6.2%,53,+1.1%,91,-10.5%,81,-6.6%
Tyler Hansbrough,25.0,IND,Big,164,41,+0.8%,54,-1.5%,69,-5.6%,79,-5.6%,93,-6.7%,6,+30.0%,57,-2.0%,29,+5.1%
James Harden,21.2,OKC,Wing,534,36,+2.0%,37,+3.6%,25,+5.7%,60,-1.5%,36,+1.8%,52,+1.2%,56,-1.8%,58,-1.3%
Udonis Haslem,30.4,MIA,Big,286,48,-0.1%,44,+1.8%,58,-2.9%,34,+3.6%,45,+0.3%,59,-1.3%,69,-4.3%,69,-3.6%
Brendan Haywood,30.9,DAL,Big,273,45,+0.6%,36,+3.7%,41,+2.3%,78,-4.7%,57,-1.2%,61,-1.9%,51,-1.2%,59,-1.4%
Roy Hibbert,23.9,IND,Big,128,82,-4.1%,97,-16.9%,6,+14.0%,24,+5.1%,8,+7.2%,78,-11.5%,73,-5.4%,83,-6.8%
Nene Hilario,28.1,DEN,Big,161,52,-0.5%,31,+4.4%,100,-26.7%,6,+10.7%,69,-3.0%,50,+1.6%,31,+4.2%,34,+3.6%
George Hill,24.5,SAS,Combo,188,1,+12.4%,4,+15.0%,0,+23.7%,72,-3.4%,3,+10.5%,40,+4.8%,11,+11.1%,20,+7.8%
Kirk Hinrich,29.8,ATL,Point,173,98,-8.6%,64,-4.0%,36,+3.2%,69,-2.7%,53,-0.3%,87,-19.4%,95,-15.6%,98,-15.5%
Jrue Holiday,20.4,PHI,Combo,186,49,-0.1%,49,-0.2%,81,-9.2%,56,-1.1%,76,-3.9%,98,-39.3%,13,+9.8%,35,+3.5%
Al Horford,24.4,ATL,Big,466,2,+8.9%,9,+11.1%,76,-7.1%,5,+11.6%,14,+4.7%,12,+22.0%,36,+3.0%,17,+8.4%
Dwight Howard,24.9,ORL,Big,257,56,-1.0%,99,-19.7%,74,-6.2%,20,+6.4%,24,+3.6%,4,+38.1%,68,-4.2%,37,+3.0%
Serge Ibaka,21.1,OKC,Big,490,17,+4.1%,75,-6.0%,36,+3.6%,2,+13.0%,5,+8.1%,7,+29.7%,49,-0.4%,19,+7.8%
Andre Iguodala,26.8,PHI,Wing,181,22,+3.8%,14,+9.0%,63,-3.6%,11,+8.3%,21,+3.9%,44,+3.6%,52,-1.3%,61,-1.9%
Zydrunas Ilgauskas,35.4,MIA,Big,103,2,+12.2%,26,+5.4%,3,+14.5%,8,+8.9%,2,+11.3%,0,+63.0%,4,+18.5%,1,+25.2%
Jarrett Jack,27.0,NOH,Combo,111,77,-3.5%,60,-2.5%,17,+10.1%,99,-15.6%,79,-4.5%,63,-4.2%,62,-3.2%,68,-3.4%
LeBron James,25.8,MIA,Forward,918,8,+7.5%,41,+2.5%,33,+4.5%,7,+9.1%,9,+7.0%,11,+23.5%,27,+5.7%,16,+8.4%
