Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Kyle Anderson,29.1,MIN,Forward,179,19,-3.6%,85,+8.9%,2,-18.1%,38,-5.0%,1,-15.2%,38,-2.4%,33,-2.3%,32,-1.9%
Harrison Barnes,30.4,SAC,Forward,196,1,-10.4%,7,-11.8%,77,+6.7%,6,-23.0%,47,+0.1%,29,-5.0%,1,-17.1%,0,-13.9%
Devin Booker,26.0,PHX,Wing,458,97,+11.2%,96,+20.4%,90,+13.2%,38,-4.5%,83,+6.6%,63,+4.8%,92,+11.4%,91,+8.8%
Malcolm Brogdon,29.9,BOS,Combo,466,77,+3.3%,42,-1.6%,43,-1.2%,44,-2.3%,42,-1.3%,56,+2.5%,86,+8.7%,88,+6.9%
Jaylen Brown,26.0,BOS,Wing,748,9,-5.7%,51,-0.2%,47,+0.8%,73,+6.5%,65,+1.8%,23,-7.0%,9,-9.2%,8,-8.6%
Jimmy Butler,33.1,MIA,Forward,955,4,-7.9%,12,-10.5%,56,+2.1%,37,-5.3%,44,-0.3%,19,-9.0%,20,-5.4%,14,-5.9%
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,18,-4.0%,62,+2.1%,18,-5.7%,60,+1.3%,21,-3.8%,55,+2.5%,13,-8.8%,16,-5.7%
Clint Capela,28.5,ATL,Big,179,29,-2.1%,46,-1.2%,12,-8.6%,88,+16.3%,38,-1.5%,34,-3.8%,24,-4.3%,23,-3.3%
Mike Conley,35.1,MIN,Point,255,86,+6.6%,11,-11.0%,93,+14.2%,13,-16.7%,87,+7.9%,78,+8.7%,98,+16.1%,95,+12.8%
Stephen Curry,34.6,GSW,Point,491,94,+9.5%,94,+19.2%,88,+12.3%,58,+1.2%,91,+9.4%,37,-2.6%,72,+5.2%,78,+4.3%
Anthony Davis,29.6,LAL,Big,650,79,+3.6%,67,+3.0%,82,+7.7%,68,+5.6%,85,+7.2%,90,+14.4%,41,-1.3%,61,+1.8%
Spencer Dinwiddie,29.6,BKN,Point,159,88,+7.4%,13,-10.4%,24,-4.5%,31,-7.1%,14,-5.4%,99,+37.0%,96,+13.5%,100,+20.4%
Kevin Durant,34.1,PHX,Big,465,89,+7.7%,84,+8.7%,51,+1.3%,34,-6.3%,40,-1.3%,83,+11.5%,93,+12.8%,96,+12.8%
Joel Embiid,28.6,PHI,Big,335,49,+0.6%,87,+9.8%,5,-13.2%,77,+8.1%,13,-6.5%,38,-2.6%,30,-2.8%,33,-1.8%
Dorian Finney-Smith,29.5,BKN,Big,100,74,+3.2%,56,+1.1%,76,+6.5%,11,-18.6%,39,-1.3%,41,-1.8%,89,+10.1%,88,+7.1%
Rudy Gobert,30.3,MIN,Big,209,98,+11.3%,91,+14.3%,34,-3.3%,69,+5.8%,31,-2.2%,91,+15.1%,87,+8.8%,93,+10.9%
Aaron Gordon,27.1,DEN,Forward,706,63,+1.7%,49,-0.8%,36,-2.5%,83,+11.4%,63,+1.6%,72,+5.9%,68,+4.5%,80,+5.0%
Eric Gordon,33.9,LAC,Wing,149,31,-1.9%,21,-4.8%,74,+6.4%,2,-36.9%,15,-5.2%,5,-21.2%,78,+6.9%,54,+1.3%
Draymond Green,32.7,GSW,Big,365,41,-0.9%,72,+4.1%,68,+5.5%,87,+15.6%,88,+8.4%,93,+15.5%,3,-13.5%,10,-7.5%
Jeff Green,36.2,DEN,Big,341,67,+2.2%,38,-1.9%,48,+1.0%,64,+3.2%,62,+1.6%,76,+7.1%,57,+1.9%,71,+3.1%
James Harden,33.2,PHI,Point,425,6,-7.2%,13,-9.8%,6,-12.8%,32,-6.8%,6,-10.8%,60,+3.9%,17,-7.2%,22,-3.9%
Tobias Harris,30.3,PHI,Forward,390,33,-1.9%,34,-2.8%,23,-4.9%,56,+0.4%,26,-3.2%,85,+12.4%,36,-2.2%,63,+1.9%
