Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Alex Abrines,24.3,OKC,Wing,106,97,+26.2,+57,88,+11.4,90,+6.0%,31,+1.7%,19,-3.8%,68,+3.0,94,-14.8,95,-8.3%,40,-0.6%,54,-0.7%,7,+9.6
Steven Adams,24.3,OKC,Big,199,50,+2.7,+7,83,+10.6,38,-0.5%,48,+0.2%,98,+10.9%,65,+2.3,22,+8.0,44,+1.6%,6,-4.4%,55,-0.9%,96,-11.3
LaMarcus Aldridge,32.3,SAS,Big,175,77,+11.4,+12,60,+4.3,44,-0.0%,29,+1.9%,81,+5.3%,22,-4.0,78,-7.1,19,+4.9%,50,+0.1%,99,-15.7%,40,+1.0
Al-Farouq Aminu,27.1,POR,Big,130,19,-14.0,-25,15,-8.9,15,-4.3%,10,+4.2%,94,+8.2%,53,+0.7,32,+5.0,39,+2.0%,63,+1.0%,23,+3.2%,68,-2.6
Giannis Antetokounmpo,22.9,MIL,Forward,279,40,-0.1,-0,74,+8.3,54,+0.9%,32,+1.5%,80,+5.0%,94,+8.3,18,+8.4,15,+5.8%,73,+2.1%,49,+0.1%,18,+6.7
Carmelo Anthony,33.4,OKC,Big,193,0,-29.2,-61,1,-18.0,29,-1.6%,6,+4.6%,4,-9.5%,38,-1.1,13,+11.2,7,+8.4%,56,+0.5%,19,+4.8%,87,-7.6
Trevor Ariza,32.3,HOU,Wing,579,83,+14.8,+36,60,+4.2,40,-0.4%,56,-0.6%,76,+4.4%,51,+0.5,86,-10.6,62,-1.7%,95,+4.4%,40,+1.7%,85,-7.2
Aron Baynes,30.9,BOS,Big,372,20,-12.6,-32,24,-5.2,33,-1.2%,30,+1.8%,95,+8.6%,3,-10.9,23,+7.4,65,-2.1%,10,-3.7%,31,+2.3%,49,+0.0
Bradley Beal,24.3,WAS,Wing,215,1,-28.9,-56,4,-15.6,19,-3.6%,8,+4.5%,12,-5.6%,13,-6.7,12,+13.3,2,+10.5%,48,-0.1%,41,+1.2%,61,-1.7
Marco Belinelli,31.6,PHI,Wing,272,54,+4.9,+12,90,+13.4,77,+4.4%,40,+0.7%,79,+5.0%,69,+3.1,17,+8.5,47,+1.2%,16,-2.4%,78,-3.6%,30,+2.9
Eric Bledsoe,27.9,MIL,Point,223,85,+16.3,+39,82,+10.5,84,+5.2%,94,-5.2%,82,+5.3%,27,-3.2,72,-5.8,55,-0.4%,43,-0.4%,29,+2.6%,84,-6.1
Bojan Bogdanovic,28.5,IND,Forward,233,65,+7.6,+19,48,+1.2,48,+0.4%,81,-2.7%,9,-6.6%,72,+3.6,77,-6.4,32,+2.4%,78,+2.6%,12,+6.2%,93,-10.8
Corey Brewer,31.7,OKC,Wing,151,10,-18.9,-42,37,-2.1,69,+3.1%,39,+0.9%,8,-7.0%,32,-2.3,6,+16.8,6,+8.5%,85,+3.0%,35,+1.8%,51,-0.5
Malcolm Brogdon,24.9,MIL,Combo,185,16,-14.3,-35,31,-3.9,49,+0.4%,5,+4.7%,53,+0.9%,85,+5.7,14,+10.5,35,+2.2%,8,-4.1%,57,-1.1%,21,+4.7
Jaylen Brown,21.0,BOS,Wing,581,42,+0.1,+0,55,+3.4,42,-0.0%,77,-2.2%,58,+1.3%,52,+0.7,40,+3.3,44,+1.7%,30,-1.2%,52,-0.6%,57,-1.3
Alec Burks,26.3,UTA,Wing,112,61,+6.3,+16,87,+11.3,68,+2.8%,91,-4.5%,11,-5.8%,69,+3.3,33,+5.0,29,+3.1%,29,-1.2%,75,-3.2%,19,+5.7
Jimmy Butler,28.1,MIN,Wing,170,95,+21.9,+31,93,+16.8,99,+10.2%,28,+1.9%,65,+2.3%,84,+5.4,70,-5.1,59,-0.7%,84,+2.9%,44,+0.5%,44,+0.4
Clint Capela,23.5,HOU,Big,518,36,-3.3,-8,30,-4.3,35,-1.0%,47,+0.3%,99,+11.4%,10,-7.3,54,-1.0,42,+1.9%,60,+0.7%,60,-1.3%,80,-5.5
Ian Clark,26.7,NOP,Combo,166,21,-12.0,-30,32,-3.7,12,-5.2%,81,-2.8%,44,-0.6%,81,+4.8,19,+8.3,31,+2.5%,32,-1.0%,48,+0.1%,26,+3.8
Jordan Clarkson,25.4,CLE,Combo,243,22,-12.0,-26,20,-6.6,23,-2.7%,73,-1.9%,43,-0.7%,7,-8.4,30,+5.4,37,+2.1%,37,-0.7%,50,-0.0%,32,+2.4
Darren Collison,30.2,IND,Point,213,55,+4.9,+13,7,-12.0,10,-5.4%,10,+4.2%,27,-2.6%,47,-0.1,97,-16.9,92,-7.4%,94,+4.3%,26,+2.9%,43,+0.5
Robert Covington,26.9,PHI,Forward,280,26,-10.8,-26,11,-10.3,4,-7.2%,44,+0.5%,62,+1.9%,6,-9.3,49,+0.5,50,+0.9%,52,+0.3%,51,-0.3%,22,+4.6
Jamal Crawford,37.6,MIN,Wing,116,82,+14.8,+27,77,+8.7,66,+2.7%,89,-3.8%,26,-2.7%,93,+7.4,74,-6.0,27,+3.5%,71,+1.8%,92,-8.0%,90,-8.1
Jae Crowder,27.3,UTA,Forward,320,9,-19.3,-46,12,-9.4,16,-4.1%,73,-1.6%,3,-9.8%,40,-0.5,16,+9.9,48,+1.2%,35,-0.8%,16,+5.6%,24,+4.1
Stephen Curry,29.6,GSW,Point,552,52,+4.4,+8,53,+2.9,74,+3.7%,42,+0.6%,25,-2.8%,25,-3.4,56,-1.5,35,+2.2%,94,+4.2%,15,+5.7%,74,-3.9
Anthony Davis,24.6,NOP,Big,357,48,+1.9,+5,19,-7.5,27,-1.9%,1,+5.9%,66,+2.3%,9,-7.5,84,-9.4,82,-4.0%,33,-0.9%,90,-6.8%,66,-2.5
DeMar DeRozan,28.2,TOR,Wing,352,3,-25.1,-51,3,-17.0,6,-6.4%,3,+5.7%,57,+1.3%,20,-4.2,20,+8.1,30,+3.0%,54,+0.4%,65,-1.9%,6,+9.8
Goran Dragic,31.5,MIA,Point,155,62,+6.3,+12,72,+7.8,83,+5.2%,92,-4.8%,21,-3.4%,6,-10.2,45,+1.5,77,-3.3%,74,+2.3%,4,+11.7%,4,+12.8
Kevin Durant,29.1,GSW,Forward,805,84,+15.3,+34,97,+19.0,98,+9.1%,48,+0.2%,46,-0.4%,85,+5.7,39,+3.7,58,-0.6%,49,+0.1%,27,+2.8%,27,+3.6
Wayne Ellington,29.9,MIA,Wing,100,6,-22.0,-37,5,-13.9,0,-12.5%,52,-0.1%,40,-1.1%,95,+8.7,21,+8.1,4,+9.9%,55,+0.4%,81,-4.6%,90,-9.9
Joel Embiid,23.6,PHI,Big,278,80,+12.2,+31,35,-2.6,61,+2.0%,23,+2.8%,52,+0.9%,48,+0.1,94,-14.9,90,-6.9%,31,-1.1%,23,+3.0%,83,-6.0
Dante Exum,22.3,UTA,Combo,110,29,-8.5,-19,68,+6.2,60,+1.9%,83,-2.9%,13,-5.1%,81,+4.8,9,+14.7,12,+6.5%,41,-0.5%,77,-3.6%,5,+12.2
Derrick Favors,26.3,UTA,Big,284,96,+21.9,+50,94,+18.8,94,+7.7%,64,-1.2%,77,+4.6%,57,+1.5,63,-3.1,40,+2.0%,81,+2.8%,67,-2.4%,42,+0.6
Rudy Gay,31.2,SAS,Big,158,100,+35.8,+34,80,+9.3,34,-1.0%,63,-1.1%,74,+4.3%,92,+6.9,100,-26.6,74,-3.1%,90,+3.5%,98,-11.5%,98,-12.9
Paul George,27.5,OKC,Wing,250,69,+8.6,+17,65,+5.7,73,+3.6%,98,-7.2%,23,-2.9%,5,-10.7,62,-2.8,31,+2.5%,99,+7.1%,3,+12.1%,100,-17.2
Taj Gibson,32.4,MIN,Big,122,14,-15.3,-29,2,-17.3,32,-1.2%,0,+7.1%,45,-0.5%,2,-11.5,58,-2.1,97,-8.3%,17,-2.3%,5,+10.4%,60,-1.4
Manu Ginobili,40.3,SAS,Wing,106,91,+19.0,+29,99,+21.7,71,+3.3%,57,-0.8%,78,+4.9%,99,+14.3,42,+2.8,70,-2.7%,15,-2.7%,89,-6.8%,0,+14.8
Rudy Gobert,25.3,UTA,Big,381,31,-5.5,-15,29,-4.8,45,+0.0%,15,+3.8%,85,+5.8%,23,-3.7,48,+0.6,81,-3.6%,15,-2.7%,7,+7.8%,88,-7.7
Eric Gordon,28.9,HOU,Wing,546,11,-16.5,-34,21,-6.4,26,-2.4%,40,+0.7%,18,-4.2%,78,+4.3,15,+10.1,52,+0.2%,0,-6.3%,40,+1.3%,56,-1.2
Marcin Gortat,33.7,WAS,Big,159,69,+8.1,+20,90,+13.1,94,+7.6%,35,+1.2%,93,+8.0%,21,-4.2,34,+4.9,6,+8.8%,20,-2.2%,97,-10.9%,79,-5.1
Jerami Grant,23.6,OKC,Big,128,98,+26.4,+55,85,+10.7,52,+0.8%,84,-2.9%,94,+8.4%,43,-0.4,95,-15.7,99,-12.5%,38,-0.7%,56,-0.9%,10,+9.0
Danny Green,30.4,SAS,Wing,102,18,-14.1,-19,6,-12.4,20,-3.5%,44,+0.4%,36,-1.2%,2,-11.2,44,+1.6,14,+5.9%,58,+0.6%,52,-0.5%,81,-5.8
Draymond Green,27.7,GSW,Big,816,63,+6.4,+14,23,-5.4,87,+5.4%,58,-0.8%,2,-10.1%,1,-11.9,92,-11.9,65,-2.2%,83,+2.9%,10,+6.3%,86,-7.3
Gerald Green,31.8,HOU,Wing,249,37,-2.8,-7,58,+3.9,50,+0.6%,65,-1.3%,20,-3.7%,54,+0.8,25,+6.7,69,-2.6%,3,-5.0%,14,+5.9%,23,+4.4
Jeff Green,31.2,CLE,Big,493,30,-6.7,-17,22,-5.8,24,-2.7%,60,-0.9%,33,-1.9%,67,+2.8,46,+0.9,83,-4.2%,18,-2.3%,48,+0.2%,40,+1.1
James Harden,28.2,HOU,Combo,619,73,+10.6,+27,71,+6.9,67,+2.8%,23,+2.9%,96,+8.7%,76,+4.0,65,-3.7,33,+2.3%,98,+5.7%,47,+0.2%,75,-4.1
Nene Hilario,35.1,HOU,Big,107,64,+6.7,+15,54,+3.0,62,+2.0%,69,-1.4%,5,-8.6%,96,+9.3,64,-3.7,88,-5.9%,26,-1.9%,58,-1.2%,20,+5.0
George Hill,31.5,CLE,Combo,555,72,+10.2,+25,77,+8.8,86,+5.4%,56,-0.7%,39,-1.1%,58,+1.5,55,-1.4,54,-0.4%,62,+0.9%,60,-1.3%,36,+1.3
Jrue Holiday,27.4,NOP,Combo,347,70,+9.4,+23,46,+0.7,27,-2.2%,72,-1.5%,55,+0.9%,35,-1.8,80,-8.6,96,-8.3%,21,-2.2%,87,-6.6%,41,+0.9
Rodney Hood,25.0,CLE,Wing,228,2,-25.5,-44,8,-12.0,3,-7.6%,61,-1.0%,56,+1.0%,15,-5.8,11,+13.5,16,+5.6%,13,-3.2%,72,-3.0%,52,-0.5
Al Horford,31.4,BOS,Big,677,90,+18.7,+43,81,+9.6,75,+3.8%,82,-2.8%,6,-7.8%,73,+3.7,83,-9.2,69,-2.6%,45,-0.2%,30,+2.5%,64,-2.0
