Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Kyle Anderson,30.1,MIN,Forward,1769,43,-1.9,-4,30,-2.8,9,-4.1%,61,-0.3%,61,+1.1%,96,+5.3,62,-0.9,66,-0.7%,82,+1.3%,59,-0.5%,14,+3.7
Giannis Antetokounmpo,28.9,MIL,Forward,2565,96,+12.3,+29,98,+9.2,94,+3.7%,71,-0.7%,77,+2.6%,90,+4.1,77,-3.1,58,-0.4%,22,-0.9%,84,-2.8%,65,-0.9
Harrison Barnes,31.4,SAC,Forward,2380,21,-6.4,-15,26,-3.4,24,-1.9%,89,-1.5%,9,-4.3%,47,-0.2,25,+3.0,8,+3.0%,21,-1.0%,79,-2.4%,94,-4.2
Nicolas Batum,34.9,PHI,Wing,1470,70,+3.2,+8,83,+4.2,90,+2.8%,42,+0.3%,51,+0.3%,62,+0.9,44,+0.9,59,-0.5%,35,-0.4%,43,+0.5%,76,-1.9
Bradley Beal,30.3,PHX,Combo,1759,47,-1.4,-3,51,-0.2,89,+2.7%,43,+0.3%,19,-2.7%,3,-6.3,40,+1.2,6,+3.2%,69,+0.7%,60,-0.6%,93,-3.9
Malik Beasley,26.9,MIL,Combo,2330,88,+8.0,+19,69,+2.1,69,+1.0%,88,-1.5%,39,-0.8%,15,-3.3,89,-6.0,93,-3.3%,13,-1.6%,75,-1.9%,89,-3.2
Davis Bertans,31.0,CHA,Wing,575,38,-2.6,-5,49,-0.5,29,-1.5%,61,-0.4%,70,+1.8%,29,-1.7,33,+2.1,18,+1.8%,83,+1.3%,84,-2.8%,21,+2.7
Patrick Beverley,35.3,PHI,Combo,904,11,-9.5,-22,5,-10.4,4,-6.4%,19,+1.3%,72,+2.0%,60,+0.8,60,-0.9,83,-2.0%,62,+0.4%,25,+1.9%,27,+2.1
Patrick Beverley,35.3,MIL,Wing,527,8,-10.8,-26,23,-3.9,71,+1.1%,31,+0.7%,24,-2.3%,51,+0.0,5,+6.8,6,+3.3%,90,+2.1%,7,+4.1%,69,-1.2
Bismack Biyombo,31.2,MEM,Big,718,35,-3.2,-8,76,+3.0,95,+3.8%,30,+0.7%,93,+5.4%,4,-6.1,8,+6.2,12,+2.4%,0,-4.3%,80,-2.4%,92,-3.8
Bojan Bogdanovic,34.5,DET,Forward,920,25,-5.6,-8,71,+2.2,87,+2.5%,87,-1.4%,17,-3.1%,38,-0.9,3,+7.8,5,+3.5%,14,-1.5%,46,+0.2%,63,-0.7
